dataset,total_frames,gt_count,base_pred_count,base_pe_ratio,base_tp,base_fp,base_fn,base_recall,hyb_pred_count,hyb_pe_ratio,hyb_tp,hyb_fp,hyb_fn,hyb_recall,tp_diff,pred_diff
44b6_0113de3b,100,52,29553,568.3269230769231,52,29501,0,1.0,42513,817.5576923076923,52,42461,0,1.0,0,12960
44b6_0b24845f,100,51,40674,797.5294117647059,36,40638,15,0.7058823529411765,90360,1771.764705882353,47,90313,4,0.9215686274509803,11,49686
44b6_0c582fdc,100,71,32079,451.8169014084507,66,32013,5,0.9295774647887324,43028,606.0281690140845,68,42960,3,0.9577464788732394,2,10949
44b6_0db75fae,100,157,17612,112.17834394904459,147,17465,10,0.9363057324840764,28181,179.4968152866242,155,28026,2,0.9872611464968153,8,10569
44b6_12dfb391,100,788,70170,89.0482233502538,781,69389,7,0.9911167512690355,95264,120.89340101522842,785,94479,3,0.9961928934010152,4,25094
44b6_144b256d,100,121,80909,668.6694214876034,112,80797,9,0.9256198347107438,121701,1005.7933884297521,121,121580,0,1.0,9,40792
44b6_1574802b,100,155,19450,125.48387096774194,145,19305,10,0.9354838709677419,30081,194.07096774193548,152,29929,3,0.9806451612903225,7,10631
44b6_18ced818,100,100,98704,987.04,97,98607,3,0.97,123847,1238.47,98,123749,2,0.98,1,25143
44b6_1d530831,100,276,42717,154.77173913043478,258,42459,18,0.9347826086956522,60779,220.21376811594203,271,60508,5,0.9818840579710145,13,18062
44b6_24264f12,100,230,29442,128.0086956521739,218,29224,12,0.9478260869565217,40302,175.22608695652173,224,40078,6,0.9739130434782609,6,10860
44b6_267148e4,100,280,23334,83.33571428571429,246,23088,34,0.8785714285714286,38980,139.21428571428572,258,38722,22,0.9214285714285714,12,15646
44b6_2a2eff9f,100,214,64116,299.60747663551405,208,63908,6,0.9719626168224299,84465,394.696261682243,208,84257,6,0.9719626168224299,0,20349
44b6_2f31fc2f,100,89,26648,299.4157303370786,78,26570,11,0.8764044943820225,49529,556.5056179775281,88,49441,1,0.9887640449438202,10,22881
44b6_33b596bf,100,50,26299,525.98,45,26254,5,0.9,36905,738.1,46,36859,4,0.92,1,10606
44b6_341df25f,100,216,7989,36.986111111111114,207,7782,9,0.9583333333333334,12005,55.5787037037037,213,11792,3,0.9861111111111112,6,4016
44b6_3a861e03,100,935,46267,49.48342245989305,920,45347,15,0.983957219251337,64252,68.7187165775401,935,63317,0,1.0,15,17985
44b6_3bb3690f,100,400,43441,108.6025,364,43077,36,0.91,66792,166.98,393,66399,7,0.9825,29,23351
44b6_40c45f5a,100,200,41550,207.75,186,41364,14,0.93,54830,274.15,192,54638,8,0.96,6,13280
44b6_415c0a3a,100,331,63006,190.35045317220545,281,62725,50,0.8489425981873112,81660,246.70694864048338,311,81349,20,0.9395770392749244,30,18654
44b6_53f95252,100,70,46590,665.5714285714286,67,46523,3,0.9571428571428572,66889,955.5571428571428,66,66823,4,0.9428571428571428,-1,20299
44b6_551a5dba,100,228,80046,351.07894736842104,213,79833,15,0.9342105263157895,103904,455.719298245614,219,103685,9,0.9605263157894737,6,23858
44b6_5740d24b,100,173,19251,111.27745664739885,167,19084,6,0.9653179190751445,52293,302.271676300578,172,52121,1,0.9942196531791907,5,33042
44b6_587a1e22,100,381,20121,52.811023622047244,367,19754,14,0.963254593175853,29690,77.92650918635171,379,29311,2,0.994750656167979,12,9569
44b6_5f15d135,100,278,37358,134.38129496402877,240,37118,38,0.8633093525179856,67692,243.49640287769785,269,67423,9,0.9676258992805755,29,30334
44b6_668e0cc7,100,643,41553,64.62363919129082,623,40930,20,0.968895800933126,54599,84.91290824261276,637,53962,6,0.9906687402799378,14,13046
44b6_66f9292d,100,200,63313,316.565,158,63155,42,0.79,91093,455.465,193,90900,7,0.965,35,27780
44b6_706092f0,100,118,96746,819.8813559322034,111,96635,7,0.940677966101695,132877,1126.0762711864406,118,132759,0,1.0,7,36131
44b6_71a4179f,100,121,88003,727.297520661157,119,87884,2,0.9834710743801653,119975,991.5289256198347,121,119854,0,1.0,2,31972
44b6_74d0c52e,100,140,15466,110.47142857142858,115,15351,25,0.8214285714285714,63308,452.2,137,63171,3,0.9785714285714285,22,47842
44b6_7a302da0,100,516,83837,162.4748062015504,491,83346,25,0.9515503875968992,111599,216.27713178294573,502,111097,14,0.9728682170542635,11,27762
