dataset,threshold,total_pred,estimated_gt,pred_ratio_to_est,gt_annotated,tp,fp,fn,recall,precision,f1_score,mean_dist_um,detect_time_sec
44b6_0b24845f,0.12,1663,32795,0.051,51,0,1663,51,0,0,0,0,53.3
44b6_0b24845f,0.07,16171,32795,0.493,51,12,16159,39,0.2353,0.0007,0.0015,4.83,53.7
44b6_0b24845f,0.04,37588,32795,1.146,51,31,37557,20,0.6078,0.0008,0.0016,3.77,53.7
44b6_0b24845f,0.02,53871,32795,1.643,51,41,53830,10,0.8039,0.0008,0.0015,3.51,54.1
44b6_0b24845f,0.01,60960,32795,1.859,51,45,60915,6,0.8824,0.0007,0.0015,3.62,53.8
44b6_74d0c52e,0.12,1389,15090,0.092,140,26,1363,114,0.1857,0.0187,0.034,2.57,52.9
44b6_74d0c52e,0.07,7428,15090,0.492,140,103,7325,37,0.7357,0.0139,0.0272,2.28,52.9
44b6_74d0c52e,0.04,16040,15090,1.063,140,123,15917,17,0.8786,0.0077,0.0152,2.1,53
44b6_74d0c52e,0.02,25871,15090,1.714,140,124,25747,16,0.8857,0.0048,0.0095,2.1,53.1
44b6_74d0c52e,0.01,34385,15090,2.279,140,124,34261,16,0.8857,0.0036,0.0072,2.1,53.4
6bba_05b6850b,0.12,7413,6362,1.165,861,794,6619,67,0.9222,0.1071,0.1919,3.55,55.3
6bba_05b6850b,0.07,8763,6362,1.377,861,794,7969,67,0.9222,0.0906,0.165,3.55,54.1
6bba_05b6850b,0.04,9480,6362,1.49,861,794,8686,67,0.9222,0.0838,0.1536,3.55,53.9
6bba_05b6850b,0.02,10977,6362,1.725,861,794,10183,67,0.9222,0.0723,0.1341,3.55,54.1
6bba_05b6850b,0.01,15309,6362,2.406,861,794,14515,67,0.9222,0.0519,0.0982,3.55,54.7
6bba_085bf656,0.12,9181,8463,1.085,1198,1176,8005,22,0.9816,0.1281,0.2266,3.33,54.1
6bba_085bf656,0.07,9750,8463,1.152,1198,1186,8564,12,0.99,0.1216,0.2167,3.33,54.2
6bba_085bf656,0.04,10642,8463,1.257,1198,1187,9455,11,0.9908,0.1115,0.2005,3.32,55.5
6bba_085bf656,0.02,12294,8463,1.453,1198,1187,11107,11,0.9908,0.0966,0.176,3.32,55.4
6bba_085bf656,0.01,16555,8463,1.956,1198,1188,15367,10,0.9917,0.0718,0.1338,3.32,56.4
