dataset,t,bg_median,bg_noise,snr_proxy,fg_ratio,p01,p995,detected_nodes
44b6_0113de3b,0,154.0,124.54,10.8723,0.0616,37.0,1508.0,226
44b6_0113de3b,1,155.0,124.54,10.9285,0.0613,37.0,1516.0,223
44b6_0113de3b,2,156.0,126.02,10.9666,0.0613,37.0,1538.0,227
44b6_0113de3b,3,156.0,125.28,11.0554,0.0613,38.0,1541.0,221
44b6_0113de3b,4,156.0,126.76,10.9261,0.0605,38.0,1541.0,218
44b6_0113de3b,5,156.0,127.5,10.9959,0.0604,37.0,1558.0,225
44b6_0113de3b,6,157.0,128.98,10.9858,0.0603,36.0,1574.0,224
44b6_0113de3b,7,160.0,131.21,10.9063,0.0606,36.0,1591.0,224
44b6_0113de3b,8,161.0,131.95,10.8905,0.06,37.0,1598.0,224
44b6_0113de3b,9,164.0,133.43,10.7021,0.0601,37.0,1592.0,222
44b6_0113de3b,10,166.0,134.91,10.8439,0.0606,36.0,1629.0,230
44b6_0113de3b,11,166.0,134.91,10.8661,0.0608,36.0,1632.0,226
44b6_0113de3b,12,169.0,136.4,10.6014,0.0605,37.0,1615.0,230
44b6_0113de3b,13,170.0,137.88,10.6397,0.0597,36.0,1637.0,233
44b6_0113de3b,14,170.0,139.36,10.5664,0.0596,36.0,1642.57,236
44b6_0113de3b,15,171.0,140.1,10.689,0.0603,36.0,1668.57,232
44b6_0113de3b,16,169.0,136.4,10.8653,0.0592,40.0,1651.0,217
44b6_0113de3b,17,172.0,138.62,10.8064,0.0589,40.0,1670.0,224
44b6_0113de3b,18,174.0,139.36,10.6844,0.058,40.0,1663.0,228
44b6_0113de3b,19,176.0,143.07,10.3866,0.0573,41.0,1662.0,234
44b6_0113de3b,20,177.0,145.29,10.3171,0.0573,40.0,1676.0,235
44b6_0113de3b,21,178.0,146.78,10.2469,0.0571,41.0,1682.0,240
44b6_0113de3b,22,182.0,149.0,10.188,0.0576,41.0,1700.0,236
44b6_0113de3b,23,186.0,153.45,9.8405,0.0562,41.0,1696.0,238
44b6_0113de3b,24,188.0,152.71,9.7442,0.0561,42.0,1676.0,237
44b6_0113de3b,25,188.0,151.96,9.8247,0.0561,42.0,1681.0,238
44b6_0113de3b,26,193.0,155.67,9.7064,0.0555,43.0,1704.0,237
44b6_0113de3b,27,195.0,154.93,9.6495,0.0546,42.0,1690.0,243
44b6_0113de3b,28,192.0,151.96,9.7786,0.0566,41.0,1678.0,246
44b6_0113de3b,29,193.0,154.93,9.656,0.0569,40.0,1689.0,250
44b6_0113de3b,30,197.0,156.41,9.5709,0.057,39.0,1694.0,255
44b6_0113de3b,31,206.0,161.6,9.4554,0.0554,40.0,1734.0,254
44b6_0113de3b,32,205.0,160.86,9.3249,0.0553,40.0,1705.0,263
44b6_0113de3b,33,202.0,157.15,9.5766,0.0561,39.0,1707.0,260
44b6_0113de3b,34,202.0,157.89,9.4846,0.056,38.0,1699.57,264
44b6_0113de3b,35,198.0,153.45,9.7102,0.0576,38.0,1688.0,265
44b6_0113de3b,36,199.0,153.45,9.7819,0.0577,38.0,1700.0,263
44b6_0113de3b,37,202.0,154.19,9.7284,0.0567,38.0,1702.0,266
44b6_0113de3b,38,202.0,154.93,9.6818,0.0568,38.0,1702.0,255
44b6_0113de3b,39,203.0,154.93,9.6366,0.0566,38.0,1696.0,260
44b6_0113de3b,40,201.0,154.19,9.6116,0.056,38.0,1683.0,263
44b6_0113de3b,41,202.0,154.19,9.4726,0.0559,39.0,1662.57,261
44b6_0113de3b,42,196.0,149.0,9.7517,0.0567,37.0,1649.0,262
