dataset,radius_threshold_um,total_gt_nodes,total_pred_nodes,estimated_number_of_nodes,tp,fp,fn,precision,recall,f1_score,mean_distance_um
44b6_0113de3b,7.0,52,18741,25755,52,18689,0,0.0028,1.0,0.0055,1.0058
44b6_0b24845f,7.0,51,444,32795,0,444,51,0.0,0.0,0.0,0.0
44b6_0c582fdc,7.0,71,8965,27958,8,8957,63,0.0009,0.1127,0.0018,5.8174
44b6_0db75fae,7.0,157,5405,15335,138,5267,19,0.0255,0.879,0.0496,1.67
44b6_12dfb391,7.0,788,19150,58672,309,18841,479,0.0161,0.3921,0.031,2.2645
44b6_144b256d,7.0,121,8535,65376,0,8535,121,0.0,0.0,0.0,0.0
44b6_1574802b,7.0,155,5219,17677,99,5120,56,0.019,0.6387,0.0368,1.9918
44b6_18ced818,7.0,100,16145,78644,47,16098,53,0.0029,0.47,0.0058,1.9402
44b6_1d530831,7.0,276,11350,35825,154,11196,122,0.0136,0.558,0.0265,2.9725
44b6_24264f12,7.0,230,12019,26353,180,11839,50,0.015,0.7826,0.0294,2.6188
44b6_267148e4,7.0,280,6517,19130,67,6450,213,0.0103,0.2393,0.0197,4.892
44b6_2a2eff9f,7.0,214,7175,56367,45,7130,169,0.0063,0.2103,0.0122,1.7312
44b6_2f31fc2f,7.0,89,1171,24368,2,1169,87,0.0017,0.0225,0.0032,5.7361
44b6_33b596bf,7.0,50,11996,23330,13,11983,37,0.0011,0.26,0.0022,6.1035
44b6_341df25f,7.0,216,4497,7436,208,4289,8,0.0463,0.963,0.0883,2.0833
44b6_3a861e03,7.0,935,13133,40546,372,12761,563,0.0283,0.3979,0.0529,2.2031
44b6_3bb3690f,7.0,400,4431,31937,37,4394,363,0.0084,0.0925,0.0153,4.8357
44b6_40c45f5a,7.0,200,10869,32681,155,10714,45,0.0143,0.775,0.028,3.5823
44b6_415c0a3a,7.0,331,8140,57292,12,8128,319,0.0015,0.0363,0.0028,5.3151
44b6_53f95252,7.0,70,6431,38715,3,6428,67,0.0005,0.0429,0.0009,2.8844
44b6_551a5dba,7.0,228,17614,57627,60,17554,168,0.0034,0.2632,0.0067,4.7134
44b6_5740d24b,7.0,173,1739,19730,125,1614,48,0.0719,0.7225,0.1308,2.0734
44b6_587a1e22,7.0,381,8906,18137,316,8590,65,0.0355,0.8294,0.0681,1.5594
44b6_5f15d135,7.0,278,1169,29519,14,1155,264,0.012,0.0504,0.0194,2.7075
44b6_668e0cc7,7.0,643,13349,39701,210,13139,433,0.0157,0.3266,0.03,1.8589
44b6_66f9292d,7.0,200,3436,52710,0,3436,200,0.0,0.0,0.0,0.0
44b6_706092f0,7.0,118,12568,69898,0,12568,118,0.0,0.0,0.0,0.0
44b6_71a4179f,7.0,121,12384,67688,0,12384,121,0.0,0.0,0.0,0.0
44b6_74d0c52e,7.0,140,439,15090,11,428,129,0.0251,0.0786,0.038,3.5759
44b6_7a302da0,7.0,516,18627,66858,209,18418,307,0.0112,0.405,0.0218,3.6459
44b6_7e557709,7.0,570,23903,56060,308,23595,262,0.0129,0.5404,0.0252,2.2226
44b6_808952d6,7.0,181,6939,15742,179,6760,2,0.0258,0.989,0.0503,2.2851
44b6_81c256f0,7.0,199,5819,10052,199,5620,0,0.0342,1.0,0.0661,2.3248
44b6_87bba6c4,7.0,153,5979,28102,48,5931,105,0.008,0.3137,0.0157,4.0498
44b6_8cc6506c,7.0,400,3778,32172,15,3763,385,0.004,0.0375,0.0072,5.1052
44b6_8f5ab931,7.0,616,7634,27571,248,7386,368,0.0325,0.4026,0.0601,2.881
44b6_8f9ecab4,7.0,374,14490,74833,1,14489,373,0.0001,0.0027,0.0001,6.6133
44b6_90724892,7.0,105,9553,25532,89,9464,16,0.0093,0.8476,0.0184,2.635
44b6_949adeb1,7.0,388,11203,37179,198,11005,190,0.0177,0.5103,0.0342,3.4253
44b6_95029e92,7.0,200,3157,5161,200,2957,0,0.0634,1.0,0.1192,0.5946
44b6_97725144,7.0,225,4939,35774,21,4918,204,0.0043,0.0933,0.0081,2.2981
44b6_996155de,7.0,380,655,7573,3,652,377,0.0046,0.0079,0.0058,4.5999
44b6_9be80b04,7.0,222,13876,57877,93,13783,129,0.0067,0.4189,0.0132,3.2583
44b6_9bfa6a0a,7.0,264,12493,64308,56,12437,208,0.0045,0.2121,0.0088,2.913
44b6_a21120c2,7.0,296,14955,23040,257,14698,39,0.0172,0.8682,0.0337,1.3925
44b6_a2bb48bb,7.0,416,15121,60613,110,15011,306,0.0073,0.2644,0.0142,4.8835
44b6_aaf8b0ea,7.0,209,1931,22099,7,1924,202,0.0036,0.0335,0.0065,3.0573
44b6_abf82518,7.0,96,4498,27604,78,4420,18,0.0173,0.8125,0.034,1.2613
44b6_b2c44266,7.0,170,13203,59729,3,13200,167,0.0002,0.0176,0.0004,3.3299
44b6_c15fded2,7.0,104,9983,20585,70,9913,34,0.007,0.6731,0.0139,3.3791
44b6_c50204e0,7.0,333,7958,47078,65,7893,268,0.0082,0.1952,0.0157,3.3388
44b6_c771cb04,7.0,227,5375,53345,9,5366,218,0.0017,0.0396,0.0032,3.7873
44b6_c8e2a523,7.0,168,22935,33144,168,22767,0,0.0073,1.0,0.0145,0.8222
44b6_c96cfa10,7.0,629,15760,46236,358,15402,271,0.0227,0.5692,0.0437,2.6204
44b6_cf2536e8,7.0,76,5731,57565,3,5728,73,0.0005,0.0395,0.001,6.1029
44b6_cf8fed6b,7.0,191,12815,43729,153,12662,38,0.0119,0.801,0.0235,1.1948
44b6_d29c9ab2,7.0,1353,20161,38055,636,19525,717,0.0315,0.4701,0.0591,1.9201
44b6_d2f34f90,7.0,283,2024,24074,9,2015,274,0.0044,0.0318,0.0078,4.8178
44b6_d5e7d891,7.0,906,10716,44848,213,10503,693,0.0199,0.2351,0.0367,4.3246
44b6_d754aa59,7.0,72,3543,5171,65,3478,7,0.0183,0.9028,0.036,0.7761
44b6_d78e09d9,7.0,463,9952,22259,320,9632,143,0.0322,0.6911,0.0614,2.3841
44b6_db3c847b,7.0,165,3478,15023,69,3409,96,0.0198,0.4182,0.0379,2.1089
44b6_ddf577ad,7.0,659,11114,53492,65,11049,594,0.0058,0.0986,0.011,4.8144
44b6_deabac95,7.0,126,5909,13989,77,5832,49,0.013,0.6111,0.0255,1.7459
44b6_e28840c6,7.0,311,20772,74686,0,20772,311,0.0,0.0,0.0,0.0
44b6_e29f0176,7.0,51,5580,12969,22,5558,29,0.0039,0.4314,0.0078,3.9663
44b6_e31261b4,7.0,116,12607,72856,19,12588,97,0.0015,0.1638,0.003,1.2164
44b6_e35b117d,7.0,270,2816,28641,29,2787,241,0.0103,0.1074,0.0188,2.9075
44b6_e57ff5c6,7.0,193,2171,20314,23,2148,170,0.0106,0.1192,0.0195,1.9441
44b6_eb2880fc,7.0,390,6765,48084,108,6657,282,0.016,0.2769,0.0302,2.2681
44b6_f28707c6,7.0,63,10931,18656,41,10890,22,0.0038,0.6508,0.0075,4.098
6bba_05b6850b,7.0,861,3565,6362,473,3092,388,0.1327,0.5494,0.2137,3.3558
6bba_05db0fb1,7.0,1229,8744,69800,84,8660,1145,0.0096,0.0683,0.0168,3.3729
6bba_062c8d37,7.0,930,3745,6030,485,3260,445,0.1295,0.5215,0.2075,2.204
6bba_07477033,7.0,613,2394,4836,214,2180,399,0.0894,0.3491,0.1423,3.1217
6bba_07e24132,7.0,359,4233,21485,237,3996,122,0.056,0.6602,0.1032,2.4766
6bba_085bf656,7.0,1198,6921,8463,1007,5914,191,0.1455,0.8406,0.2481,2.9546
6bba_09961292,7.0,1950,8893,31117,929,7964,1021,0.1045,0.4764,0.1714,3.0398
6bba_0c7fa718,7.0,704,7345,13650,334,7011,370,0.0455,0.4744,0.083,2.0347
6bba_0e7c0d07,7.0,209,7023,22467,113,6910,96,0.0161,0.5407,0.0312,3.4605
6bba_12665c0e,7.0,1036,6169,8314,749,5420,287,0.1214,0.723,0.2079,2.2713
6bba_13f19531,7.0,737,4194,5773,598,3596,139,0.1426,0.8114,0.2425,2.7816
6bba_15403b9a,7.0,758,5014,6889,474,4540,284,0.0945,0.6253,0.1642,3.3542
6bba_1d0d8384,7.0,1438,5652,17909,389,5263,1049,0.0688,0.2705,0.1097,2.8169
6bba_1ebfb80d,7.0,745,4325,11558,180,4145,565,0.0416,0.2416,0.071,4.078
6bba_1f58c2f6,7.0,317,4859,28903,134,4725,183,0.0276,0.4227,0.0518,2.47
6bba_207c6aaf,7.0,475,2337,11999,48,2289,427,0.0205,0.1011,0.0341,3.2502
6bba_20852818,7.0,952,5171,9758,663,4508,289,0.1282,0.6964,0.2166,2.244
6bba_2312ac41,7.0,1156,7746,11950,815,6931,341,0.1052,0.705,0.1831,2.8124
6bba_23af9eeb,7.0,513,2989,4450,461,2528,52,0.1542,0.8986,0.2633,3.1338
6bba_2540cd90,7.0,529,3260,3783,503,2757,26,0.1543,0.9509,0.2655,3.3387
6bba_2646afc7,7.0,738,3820,5495,630,3190,108,0.1649,0.8537,0.2764,3.1102
6bba_268e1230,7.0,641,3045,5107,361,2684,280,0.1186,0.5632,0.1959,2.8167
6bba_2819ca14,7.0,986,4002,5534,729,3273,257,0.1822,0.7394,0.2923,3.0674
6bba_283bf9f1,7.0,1342,10524,20861,542,9982,800,0.0515,0.4039,0.0914,2.2619
6bba_312f0dc3,7.0,520,6429,9963,466,5963,54,0.0725,0.8962,0.1341,2.9347
6bba_32db13fc,7.0,862,5201,38705,171,5030,691,0.0329,0.1984,0.0564,2.9356
6bba_337b1b3a,7.0,1272,14282,30480,607,13675,665,0.0425,0.4772,0.0781,2.0177
6bba_372c8cb8,7.0,1036,4820,7021,911,3909,125,0.189,0.8793,0.3111,2.662
6bba_3a1849c2,7.0,1173,3338,7003,605,2733,568,0.1812,0.5158,0.2682,2.9884
6bba_3abfe10a,7.0,997,6765,52065,253,6512,744,0.0374,0.2538,0.0652,3.1397
6bba_3c5691b6,7.0,765,4534,6258,689,3845,76,0.152,0.9007,0.26,2.7454
6bba_3db54e20,7.0,502,5194,23236,247,4947,255,0.0476,0.492,0.0867,3.2185
6bba_3fda6b25,7.0,1207,5120,9842,615,4505,592,0.1201,0.5095,0.1944,2.3615
6bba_43fea39d,7.0,910,3587,5748,325,3262,585,0.0906,0.3571,0.1445,2.842
6bba_474be664,7.0,292,5344,28293,28,5316,264,0.0052,0.0959,0.0099,5.0631
6bba_48816121,7.0,935,11211,23965,616,10595,319,0.0549,0.6588,0.1014,3.8333
6bba_4aa14c89,7.0,707,2833,6787,308,2525,399,0.1087,0.4356,0.174,2.4336
6bba_4f99ce20,7.0,1057,3647,5965,663,2984,394,0.1818,0.6272,0.2819,2.663
6bba_4ffd3da3,7.0,706,5778,17637,183,5595,523,0.0317,0.2592,0.0564,3.8834
6bba_55b7eebe,7.0,705,1576,5257,61,1515,644,0.0387,0.0865,0.0535,3.0197
6bba_55c70843,7.0,490,2013,35415,42,1971,448,0.0209,0.0857,0.0336,3.1523
6bba_57b7cc1e,7.0,1659,10777,65511,287,10490,1372,0.0266,0.173,0.0462,4.3858
6bba_5a4d9360,7.0,747,3985,5976,370,3615,377,0.0928,0.4953,0.1564,3.3132
6bba_5b28472a,7.0,737,3484,5802,479,3005,258,0.1375,0.6499,0.227,3.1753
6bba_5c039895,7.0,1174,6585,8570,855,5730,319,0.1298,0.7283,0.2204,3.3011
6bba_5c824876,7.0,1170,9886,24647,249,9637,921,0.0252,0.2128,0.045,2.778
6bba_5dfe9ad1,7.0,1542,4466,26913,104,4362,1438,0.0233,0.0674,0.0346,2.8892
6bba_5f89039d,7.0,904,2575,4611,547,2028,357,0.2124,0.6051,0.3145,3.2962
6bba_61dd1e0d,7.0,558,3184,10128,119,3065,439,0.0374,0.2133,0.0636,3.1258
6bba_61ecbe65,7.0,640,4623,5774,456,4167,184,0.0986,0.7125,0.1733,2.7286
