dataset,track_id,track_length,duration_frames,total_disp_um,path_length_um,straightness_ratio,net_velocity_um,mean_step_um,max_step_um,step_velocity_cv,confinement_ratio,trajectory_aspect_ratio,directed_motion_index,mean_track_intensity,min_track_intensity,max_track_intensity,std_track_intensity,mean_track_snr,min_track_snr,max_track_snr,is_gt_track
44b6_0113de3b,0,13,13,25.64,31.73,0.8082,2.14,2.64,3.98,0.3191,0.8082,49.0516,6.2269,1002.0,607.0,1182.0,170.43,2.6501,1.0221,3.645,0
44b6_0113de3b,1,5,5,3.98,8.8,0.4524,1.0,2.2,3.25,0.3027,0.4524,2.8904,1.0067,1271.6,997.0,1872.0,353.73,1.4157,1.0931,1.6947,0
44b6_0113de3b,2,69,69,124.38,203.77,0.6104,1.83,3.0,8.12,0.5413,0.6104,31.8948,9.2747,2019.97,384.0,3669.0,438.85,2.7268,0.6814,3.8777,0
44b6_0113de3b,3,68,68,125.77,205.44,0.6122,1.88,3.07,8.29,0.5238,0.6122,60.9734,9.4763,2278.66,866.0,2991.0,357.26,2.7946,1.1283,4.0457,0
44b6_0113de3b,4,97,97,135.98,248.56,0.5471,1.42,2.59,7.96,0.5446,0.5471,91.7595,7.6316,1249.74,387.0,1650.0,234.41,2.6275,0.5236,4.0532,0
44b6_0113de3b,5,31,31,40.95,74.36,0.5507,1.36,2.48,6.08,0.5765,0.5507,15.3987,4.1849,1436.52,1034.0,1586.0,135.52,2.6715,0.7804,3.9677,0
44b6_0113de3b,6,51,51,89.03,142.34,0.6255,1.78,2.85,7.27,0.4461,0.6255,114.5079,7.9542,1434.69,963.0,1591.0,125.44,2.6316,1.2172,3.748,0
44b6_0113de3b,7,35,35,42.56,71.9,0.592,1.25,2.11,5.14,0.5657,0.5976,16.4327,4.3841,1271.14,595.0,1459.0,210.65,2.7704,1.0468,3.7721,0
44b6_0113de3b,8,32,32,56.2,81.12,0.6928,1.81,2.62,4.6,0.3457,0.6928,19.2294,7.1041,1328.53,566.0,1689.0,229.83,2.5844,0.8071,3.6796,0
44b6_0113de3b,9,33,33,55.84,83.29,0.6705,1.75,2.6,5.14,0.3963,0.6705,54.669,6.7213,1730.61,1022.0,2110.0,260.17,2.9925,1.4941,4.4238,0
44b6_0113de3b,10,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,506.0,411.0,601.0,134.35,0.737,0.6599,0.8141,0
44b6_0113de3b,11,12,12,12.16,16.44,0.7399,1.11,1.49,3.63,0.8488,0.7399,39.875,2.8333,1140.67,317.0,1659.0,456.05,1.9614,0.6852,3.4973,0
44b6_0113de3b,12,7,7,8.9,13.63,0.6529,1.48,2.27,2.81,0.152,0.6529,7.723,2.5625,1459.71,860.0,1818.0,315.52,2.2654,1.7806,3.2902,0
44b6_0113de3b,13,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1232.0,1232.0,1232.0,0.0,3.0037,3.0037,3.0037,0
44b6_0113de3b,14,65,65,121.22,200.46,0.6047,1.89,3.13,8.29,0.4731,0.6047,70.6821,9.2347,2109.26,916.0,2648.0,278.31,2.8527,1.7748,3.8149,0
44b6_0113de3b,15,79,79,118.65,217.66,0.5451,1.52,2.79,10.9,0.586,0.5451,140.6181,7.3697,1193.77,417.0,1548.0,178.1,2.5902,1.091,4.2506,0
44b6_0113de3b,16,78,78,115.48,205.33,0.5624,1.5,2.67,8.44,0.6612,0.5624,197.9333,7.4491,1285.21,529.0,1690.0,222.66,2.6793,1.4733,3.9323,0
44b6_0113de3b,17,64,64,117.15,183.63,0.638,1.86,2.91,8.75,0.645,0.638,84.3287,9.4902,1922.2,804.0,2228.0,218.53,2.8431,1.3401,3.7776,0
44b6_0113de3b,18,34,34,71.87,92.64,0.7758,2.18,2.81,4.88,0.4452,0.7758,62.2502,9.8519,2060.12,1812.0,2363.0,151.86,2.8958,2.1155,3.6216,0
44b6_0113de3b,19,3,3,3.98,4.6,0.866,1.99,2.3,2.3,0.0,0.866,8.9998,2.9853,1017.0,920.0,1125.0,102.94,2.3035,2.0642,2.5862,0
44b6_0113de3b,20,18,18,57.7,73.4,0.7862,3.39,4.32,7.08,0.3289,0.7862,41.6313,11.3217,928.61,822.0,1122.0,79.86,2.6567,1.2667,3.6109,0
44b6_0113de3b,21,17,17,28.8,54.53,0.5281,1.8,3.41,5.86,0.3292,0.5438,24.4625,3.9185,894.94,718.0,1181.0,113.13,2.5851,1.8397,3.2485,0
44b6_0113de3b,22,13,13,16.41,23.75,0.6909,1.37,1.98,3.63,0.5897,0.6909,29.4499,3.4068,1892.15,1732.0,2105.0,137.06,2.8786,2.0454,3.7683,0
44b6_0113de3b,23,9,9,20.94,27.83,0.7524,2.62,3.48,6.08,0.4477,0.8028,53.0715,5.9073,1075.56,865.0,1422.0,197.62,2.8012,2.2357,4.2315,0
44b6_0113de3b,24,91,91,124.7,225.83,0.5522,1.39,2.51,8.9,0.5563,0.5522,135.5284,7.2986,1313.58,286.0,1761.0,257.37,2.6451,0.6837,4.2882,0
44b6_0113de3b,25,61,61,95.13,203.2,0.4681,1.59,3.39,8.9,0.5047,0.4681,43.971,5.797,826.05,371.0,1225.0,194.9,2.6281,1.6093,3.9309,0
