dataset,det_threshold,pred_nodes,node_recall,node_precision,pre_pe_ratio,final_nodes,final_edges,edge_tp,edge_fp,edge_fn,edge_recall,edge_precision,final_pe_ratio,official_edge_jaccard,official_division_jaccard,official_score
44b6_71a4179f,0.93,41551,1.0,0.0029,0.6139,35415,30320,90,44,29,0.7563,0.6716,0.5232,0.5521,0.0,0.5521
44b6_71a4179f,0.95,39337,1.0,0.0031,0.5812,34213,29369,90,43,29,0.7563,0.6767,0.5055,0.5556,0.0,0.5556
44b6_71a4179f,0.965,36992,1.0,0.0033,0.5465,32739,28164,91,43,28,0.7647,0.6791,0.4837,0.5617,0.0,0.5617
44b6_71a4179f,0.98,33124,1.0,0.0037,0.4894,29822,25749,90,46,29,0.7563,0.6618,0.4406,0.5455,0.0,0.5455
44b6_71a4179f,0.99,28404,1.0,0.0043,0.4196,25819,22293,91,47,28,0.7647,0.6594,0.3814,0.5482,0.0,0.5482
44b6_71a4179f,0.995,23459,1.0,0.0052,0.3466,21333,18364,92,46,27,0.7731,0.6667,0.3152,0.5576,0.0,0.5576
6bba_57b7cc1e,0.93,105416,0.9928,0.0156,1.6091,90915,76205,1225,268,367,0.7695,0.8205,1.3878,0.6586,0.0,0.6586
6bba_57b7cc1e,0.95,104530,0.9928,0.0158,1.5956,90661,76055,1224,272,368,0.7688,0.8182,1.3839,0.6567,0.0,0.6567
6bba_57b7cc1e,0.965,103515,0.9928,0.0159,1.5801,90288,75818,1224,271,368,0.7688,0.8187,1.3782,0.657,0.0,0.657
6bba_57b7cc1e,0.98,101442,0.9904,0.0162,1.5485,89228,75100,1223,274,369,0.7682,0.817,1.362,0.6554,0.0,0.6554
6bba_57b7cc1e,0.99,98025,0.9898,0.0168,1.4963,86877,73313,1220,288,372,0.7663,0.809,1.3261,0.6489,0.0,0.6489
6bba_57b7cc1e,0.995,92986,0.9867,0.0176,1.4194,83073,70298,1227,287,365,0.7707,0.8104,1.2681,0.653,0.0,0.653
44b6_1d530831,0.93,43394,0.9964,0.0063,1.2113,40103,35639,233,33,38,0.8598,0.8759,1.1194,0.7664,0.0,0.7664
44b6_1d530831,0.95,42677,0.9964,0.0064,1.1913,39567,35247,234,32,37,0.8635,0.8797,1.1045,0.7723,0.0,0.7723
44b6_1d530831,0.965,41883,0.9964,0.0066,1.1691,38995,34783,236,29,35,0.8708,0.8906,1.0885,0.7867,0.0,0.7867
44b6_1d530831,0.98,40538,0.9964,0.0068,1.1316,37936,33871,235,30,36,0.8672,0.8868,1.0589,0.7807,0.0,0.7807
44b6_1d530831,0.99,38472,0.9964,0.0071,1.0739,36131,32254,237,29,34,0.8745,0.891,1.0085,0.79,0.0,0.79
44b6_1d530831,0.995,35938,0.9964,0.0077,1.0032,33856,30091,236,30,35,0.8708,0.8872,0.945,0.7841,0.0,0.7841
6bba_6feb10f0,0.93,17445,0.9539,0.0748,1.9685,13907,11578,1165,99,178,0.8675,0.9217,1.5693,0.8079,0.0,0.8079
6bba_6feb10f0,0.95,17034,0.9539,0.0766,1.9221,13767,11478,1166,101,177,0.8682,0.9203,1.5535,0.8075,0.0,0.8075
6bba_6feb10f0,0.965,16589,0.9539,0.0787,1.8719,13612,11386,1164,102,179,0.8667,0.9194,1.536,0.8055,0.0,0.8055
6bba_6feb10f0,0.98,15831,0.9539,0.0824,1.7864,13197,11088,1165,106,178,0.8675,0.9166,1.4892,0.804,0.0,0.804
6bba_6feb10f0,0.99,14695,0.9539,0.0888,1.6582,12450,10496,1163,106,180,0.866,0.9165,1.4049,0.8026,0.0,0.8026
6bba_6feb10f0,0.995,13321,0.9539,0.098,1.5032,11453,9709,1166,106,177,0.8682,0.9167,1.2924,0.8047,0.0,0.8047
44b6_12dfb391,0.93,54693,0.9987,0.0144,0.9322,51171,46323,715,46,58,0.925,0.9396,0.8722,0.873,0.0,0.873
44b6_12dfb391,0.95,53634,0.9987,0.0147,0.9141,50394,45665,716,44,57,0.9263,0.9421,0.8589,0.8764,0.0,0.8764
44b6_12dfb391,0.965,52455,0.9987,0.015,0.894,49470,44889,716,44,57,0.9263,0.9421,0.8432,0.8764,0.0,0.8764
44b6_12dfb391,0.98,50386,0.9987,0.0156,0.8588,47760,43405,718,44,55,0.9288,0.9423,0.814,0.8788,0.0,0.8788
44b6_12dfb391,0.99,47398,0.9987,0.0166,0.8078,45010,40897,719,46,54,0.9301,0.9399,0.7671,0.8779,0.0,0.8779
44b6_12dfb391,0.995,43700,0.9987,0.018,0.7448,41504,37656,722,45,51,0.934,0.9413,0.7074,0.8826,0.0,0.8826
44b6_0db75fae,0.93,19815,1.0,0.0079,1.2921,18617,16982,144,4,7,0.9536,0.973,1.214,0.929,0.0,0.929
44b6_0db75fae,0.95,19665,1.0,0.008,1.2824,18524,16922,144,4,7,0.9536,0.973,1.208,0.929,0.0,0.929
44b6_0db75fae,0.965,19531,1.0,0.008,1.2736,18460,16875,144,4,7,0.9536,0.973,1.2038,0.929,0.0,0.929
44b6_0db75fae,0.98,19254,1.0,0.0082,1.2556,18283,16718,144,4,7,0.9536,0.973,1.1922,0.929,0.0,0.929
44b6_0db75fae,0.99,18865,1.0,0.0083,1.2302,17970,16453,145,2,6,0.9603,0.9864,1.1718,0.9477,0.0,0.9477
44b6_0db75fae,0.995,18383,1.0,0.0085,1.1988,17526,16039,144,4,7,0.9536,0.973,1.1429,0.929,0.0,0.929
44b6_0113de3b,0.93,26623,1.0,0.002,1.0337,26228,25092,50,0,0,1.0,1.0,1.0184,1.0,0.0,1.0
44b6_0113de3b,0.95,26510,1.0,0.002,1.0293,26154,25017,50,0,0,1.0,1.0,1.0155,1.0,0.0,1.0
44b6_0113de3b,0.965,26374,1.0,0.002,1.024,26051,24918,50,0,0,1.0,1.0,1.0115,1.0,0.0,1.0
44b6_0113de3b,0.98,26149,1.0,0.002,1.0153,25852,24734,50,0,0,1.0,1.0,1.0038,1.0,0.0,1.0
44b6_0113de3b,0.99,25810,1.0,0.002,1.0021,25553,24429,50,0,0,1.0,1.0,0.9922,1.0,0.0,1.0
44b6_0113de3b,0.995,25349,1.0,0.0021,0.9842,25101,23952,50,0,0,1.0,1.0,0.9746,1.0,0.0,1.0
44b6_0b24845f,0.93,39508,1.0,0.0013,1.2047,31832,25695,48,0,1,0.9796,1.0,0.9706,0.9796,0.0,0.9796
44b6_0b24845f,0.95,37976,1.0,0.0013,1.158,31111,25162,48,0,1,0.9796,1.0,0.9487,0.9796,0.0,0.9796
44b6_0b24845f,0.965,36288,1.0,0.0014,1.1065,30286,24508,48,0,1,0.9796,1.0,0.9235,0.9796,0.0,0.9796
44b6_0b24845f,0.98,33466,1.0,0.0015,1.0205,28404,23051,48,0,1,0.9796,1.0,0.8661,0.9796,0.0,0.9796
44b6_0b24845f,0.99,29746,1.0,0.0017,0.907,25583,20845,48,0,1,0.9796,1.0,0.7801,0.9796,0.0,0.9796
44b6_0b24845f,0.995,25710,1.0,0.002,0.784,22351,18195,48,0,1,0.9796,1.0,0.6815,0.9796,0.0,0.9796
