dataset,total_gt_edges,total_pred_edges,tp,fp,fn,precision,recall,f1_score,official_edge_tp,official_edge_fp,official_edge_fn
44b6_0113de3b,50,22415,30,22385,20,0.0013,0.6,0.0027,30,4,20
44b6_0b24845f,49,22829,18,22811,31,0.0008,0.3673,0.0016,18,4,31
44b6_0c582fdc,70,20602,32,20570,38,0.0016,0.4571,0.0031,32,5,38
44b6_0db75fae,151,10959,82,10877,69,0.0075,0.543,0.0148,82,6,69
44b6_12dfb391,773,56810,528,56282,245,0.0093,0.6831,0.0183,526,195,247
44b6_144b256d,119,66641,90,66551,29,0.0014,0.7563,0.0027,90,11,29
44b6_1574802b,153,15811,94,15717,59,0.0059,0.6144,0.0118,94,19,59
44b6_18ced818,99,57822,46,57776,53,0.0008,0.4646,0.0016,46,16,53
44b6_1d530831,271,28754,170,28584,101,0.0059,0.6273,0.0117,169,37,102
44b6_24264f12,221,17614,105,17509,116,0.006,0.4751,0.0118,105,19,116
44b6_267148e4,277,11466,102,11364,175,0.0089,0.3682,0.0174,102,37,175
44b6_2a2eff9f,210,45536,155,45381,55,0.0034,0.7381,0.0068,155,32,55
44b6_2f31fc2f,85,14562,28,14534,57,0.0019,0.3294,0.0038,28,25,57
44b6_33b596bf,49,14048,13,14035,36,0.0009,0.2653,0.0018,13,3,36
44b6_341df25f,209,7282,185,7097,24,0.0254,0.8852,0.0494,185,5,24
44b6_3a861e03,919,35739,612,35127,307,0.0171,0.6659,0.0334,612,163,307
44b6_3bb3690f,396,28909,235,28674,161,0.0081,0.5934,0.016,235,88,161
44b6_40c45f5a,198,29202,125,29077,73,0.0043,0.6313,0.0085,125,44,73
44b6_415c0a3a,322,48603,187,48416,135,0.0038,0.5807,0.0076,187,55,135
44b6_53f95252,68,32622,42,32580,26,0.0013,0.6176,0.0026,42,6,26
44b6_551a5dba,224,54892,129,54763,95,0.0024,0.5759,0.0047,131,53,93
44b6_5740d24b,170,14423,156,14267,14,0.0108,0.9176,0.0214,156,7,14
44b6_587a1e22,371,13071,213,12858,158,0.0163,0.5741,0.0317,213,19,158
44b6_5f15d135,273,26921,154,26767,119,0.0057,0.5641,0.0113,154,54,119
44b6_668e0cc7,631,28497,372,28125,259,0.0131,0.5895,0.0255,374,101,257
44b6_66f9292d,198,49180,95,49085,103,0.0019,0.4798,0.0038,95,31,103
44b6_706092f0,117,72075,73,72002,44,0.001,0.6239,0.002,74,35,43
44b6_71a4179f,119,66526,90,66436,29,0.0014,0.7563,0.0027,90,38,29
44b6_74d0c52e,139,12020,94,11926,45,0.0078,0.6763,0.0155,94,15,45
44b6_7a302da0,507,63219,324,62895,183,0.0051,0.6391,0.0102,324,90,183
44b6_7e557709,560,55217,375,54842,185,0.0068,0.6696,0.0134,375,175,185
44b6_808952d6,179,15483,152,15331,27,0.0098,0.8492,0.0194,152,5,27
44b6_81c256f0,197,10244,185,10059,12,0.0181,0.9391,0.0354,185,5,12
44b6_87bba6c4,149,16954,58,16896,91,0.0034,0.3893,0.0068,58,21,91
44b6_8cc6506c,396,28273,244,28029,152,0.0086,0.6162,0.017,244,49,152
44b6_8f5ab931,604,23561,392,23169,212,0.0166,0.649,0.0324,392,58,212
44b6_8f9ecab4,370,72182,269,71913,101,0.0037,0.727,0.0074,269,53,101
44b6_90724892,103,16642,40,16602,63,0.0024,0.3883,0.0048,40,4,63
44b6_949adeb1,378,28293,196,28097,182,0.0069,0.5185,0.0137,196,56,182
44b6_95029e92,198,6765,180,6585,18,0.0266,0.9091,0.0517,180,0,18
44b6_97725144,221,31601,114,31487,107,0.0036,0.5158,0.0072,114,18,107
44b6_996155de,377,10133,329,9804,48,0.0325,0.8727,0.0626,329,16,48
44b6_9be80b04,220,58003,126,57877,94,0.0022,0.5727,0.0043,124,65,96
44b6_9bfa6a0a,259,62100,167,61933,92,0.0027,0.6448,0.0054,167,86,92
44b6_a21120c2,286,14377,111,14266,175,0.0077,0.3881,0.0151,111,43,175
44b6_a2bb48bb,410,53236,193,53043,217,0.0036,0.4707,0.0072,193,95,217
44b6_aaf8b0ea,206,20440,184,20256,22,0.009,0.8932,0.0178,184,7,22
44b6_abf82518,94,24668,86,24582,8,0.0035,0.9149,0.0069,86,0,8
44b6_b2c44266,168,57314,120,57194,48,0.0021,0.7143,0.0042,122,42,46
44b6_c15fded2,102,11415,41,11374,61,0.0036,0.402,0.0071,41,9,61
44b6_c50204e0,325,38769,145,38624,180,0.0037,0.4462,0.0074,146,60,179
44b6_c771cb04,223,46469,131,46338,92,0.0028,0.5874,0.0056,131,64,92
44b6_c8e2a523,164,29534,107,29427,57,0.0036,0.6524,0.0072,107,22,57
44b6_c96cfa10,616,39189,409,38780,207,0.0104,0.664,0.0206,411,95,205
44b6_cf2536e8,75,50484,34,50450,41,0.0007,0.4533,0.0013,34,6,41
44b6_cf8fed6b,188,25165,114,25051,74,0.0045,0.6064,0.009,114,17,74
44b6_d29c9ab2,1328,35356,781,34575,547,0.0221,0.5881,0.0426,783,316,545
44b6_d2f34f90,281,20975,187,20788,94,0.0089,0.6655,0.0176,187,53,94
44b6_d5e7d891,893,38964,435,38529,458,0.0112,0.4871,0.0218,436,186,457
