dataset,pred_nodes,unique_frames,nodes_per_frame,candidate_edges,gt_nodes,est_nodes,node_tp,node_fp,node_fn,node_recall,node_precision,node_f1,pre_pe_ratio,final_nodes,final_edges,gt_edges,edge_tp,edge_fp,edge_fn,edge_recall,edge_precision,edge_f1,post_node_recall,final_pe_ratio,official_edge_jaccard,official_division_jaccard,official_score
44b6_0113de3b,26510,100,265.1,25158,52,25755,52,26458,0,1.0,0.002,0.0039,1.0293,26133,24978,50,50,0,0,1.0,1.0,1.0,1.0,1.0147,1.0,0.0,1.0
44b6_0b24845f,37976,100,379.76,26559,51,32795,51,37925,0,1.0,0.0013,0.0027,1.158,30994,25052,49,48,0,1,0.9796,1.0,0.9897,1.0,0.9451,0.9796,0.0,0.9796
44b6_0c582fdc,31450,100,314.5,27333,71,27958,71,31379,0,1.0,0.0023,0.0045,1.1249,29396,26472,70,66,2,4,0.9429,0.9706,0.9565,1.0,1.0514,0.9167,0.0,0.9167
44b6_0db75fae,19665,100,196.65,17283,157,15335,157,19508,0,1.0,0.008,0.0158,1.2824,18487,16868,151,145,4,6,0.9603,0.9732,0.9667,0.9936,1.2055,0.9355,0.0,0.9355
44b6_12dfb391,53634,100,536.34,46574,788,58672,787,52847,1,0.9987,0.0147,0.0289,0.9141,50322,45562,773,716,43,57,0.9263,0.9433,0.9347,0.9975,0.8577,0.8775,0.0,0.8775
44b6_144b256d,38194,100,381.94,27174,121,65376,121,38073,0,1.0,0.0032,0.0063,0.5842,31619,26713,119,118,0,1,0.9916,1.0,0.9958,1.0,0.4836,0.9916,0.0,0.9916
44b6_1574802b,21826,100,218.26,19584,155,17677,155,21671,0,1.0,0.0071,0.0141,1.2347,20756,19038,153,143,5,10,0.9346,0.9662,0.9502,0.9935,1.1742,0.9051,0.0,0.9051
44b6_18ced818,90676,100,906.76,74056,100,78644,100,90576,0,1.0,0.0011,0.0022,1.153,81979,71089,99,87,8,12,0.8788,0.9158,0.8969,1.0,1.0424,0.8131,0.0,0.8131
44b6_1d530831,42677,100,426.77,36300,276,35825,275,42402,1,0.9964,0.0064,0.0128,1.1913,39533,35175,271,231,34,40,0.8524,0.8717,0.8619,0.9928,1.1035,0.7574,0.0,0.7574
44b6_24264f12,28856,100,288.56,26070,230,26353,230,28626,0,1.0,0.008,0.0158,1.095,27626,25385,221,211,5,10,0.9548,0.9769,0.9657,0.9957,1.0483,0.9336,0.0,0.9336
44b6_267148e4,25853,100,258.53,21799,280,19130,279,25574,1,0.9964,0.0108,0.0214,1.3514,23622,20922,277,243,15,34,0.8773,0.9419,0.9084,0.9964,1.2348,0.8322,0.0,0.8322
44b6_2a2eff9f,48019,100,480.19,38661,214,56367,214,47805,0,1.0,0.0045,0.0089,0.8519,43141,37789,210,195,16,15,0.9286,0.9242,0.9264,1.0,0.7654,0.8628,0.0,0.8628
