dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15,eval_result
6bba_fe670320,2920793,0,52.0,38.0,65.0,0.6334972,2.3651044,0.82539684,2.5401762,68.65625,0,FP
6bba_fe670320,2920794,0,50.0,225.0,219.0,0.5318616,2.199664,0.7936508,2.5434792,68.92444,0,FP
6bba_fe670320,2920795,0,50.0,140.0,203.0,0.51954234,2.0403168,0.7936508,2.5434792,68.92444,0,FP
6bba_fe670320,2920796,0,61.0,173.0,101.0,0.47758016,2.3497496,0.96825397,2.4687274,63.024292,0,FP
6bba_fe670320,2920797,0,47.0,123.0,201.0,0.46934345,1.4503397,0.74603176,2.5434792,68.92444,0,FP
6bba_fe670320,2920798,0,55.0,64.0,68.0,0.44674486,2.1062028,0.8730159,2.5401762,68.65625,1,FP
6bba_fe670320,2920799,0,55.0,64.0,62.0,0.44441822,1.8794472,0.8730159,2.5368643,68.38806,1,FP
6bba_fe670320,2920800,0,59.0,50.0,78.0,0.43543467,1.8492453,0.93650794,2.5368643,68.38806,0,FP
6bba_fe670320,2920801,0,48.0,224.0,201.0,0.41017917,1.7040205,0.7619048,2.5434792,68.92444,0,FP
6bba_fe670320,2920802,0,57.0,57.0,127.0,0.39080015,3.158912,0.9047619,2.5401762,68.65625,0,FP
6bba_fe670320,2920803,0,51.0,25.0,185.0,0.38556972,2.6305199,0.8095238,2.5401762,68.65625,0,FP
6bba_fe670320,2920804,0,57.0,86.0,145.0,0.3794827,2.1187928,0.9047619,2.5434792,68.92444,1,FP
6bba_fe670320,2920805,0,56.0,86.0,153.0,0.3761869,1.9165095,0.8888889,2.5401762,68.65625,1,FP
6bba_fe670320,2920806,0,55.0,27.0,133.0,0.36602375,3.9315655,0.8730159,2.5368643,68.38806,0,FP
6bba_fe670320,2920807,0,58.0,136.0,139.0,0.34773722,2.2716615,0.9206349,2.5434792,68.92444,0,FP
6bba_fe670320,2920808,0,47.0,90.0,243.0,0.30913892,2.675191,0.74603176,2.5401762,68.65625,0,FP
6bba_fe670320,2920809,0,56.0,166.0,169.0,0.29791582,3.4394732,0.8888889,2.5401762,68.65625,0,TP
6bba_fe670320,2920810,0,59.0,214.0,137.0,0.28526264,3.0021663,0.93650794,2.5434792,68.92444,0,FP
6bba_fe670320,2920811,0,49.0,65.0,217.0,0.27381814,2.201859,0.7777778,2.5368643,68.38806,0,FP
6bba_fe670320,2920812,0,55.0,216.0,168.0,0.26380742,2.446997,0.8730159,2.5335438,68.11987,0,FP
6bba_fe670320,1000004,0,55.0,18.0,7.0,0.5184934,0.9470818,0.8730159,2.5168092,66.77893,1,FN
6bba_fe670320,1000005,0,61.0,14.0,7.0,0.65930456,1.7909756,0.96825397,2.4617038,62.487915,1,FN
6bba_fe670320,1000014,0,61.0,228.0,89.0,0.4235988,2.1703517,0.96825397,2.4687274,63.024292,0,FN
6bba_fe670320,2920813,1,60.0,239.0,100.0,0.63866824,9.095961,0.95238096,2.5401762,68.65625,0,TP
6bba_fe670320,2920814,1,52.0,44.0,70.0,0.5648811,2.225757,0.82539684,2.5401762,68.65625,1,FP
6bba_fe670320,2920815,1,50.0,230.0,216.0,0.5602641,2.158479,0.7936508,2.5434792,68.92444,0,FP
6bba_fe670320,2920816,1,53.0,44.0,63.0,0.56101185,1.9904784,0.84126985,2.5434792,68.92444,1,FP
6bba_fe670320,2920817,1,54.0,69.0,73.0,0.5554801,2.2852077,0.85714287,2.5401762,68.65625,2,FP
6bba_fe670320,2920818,1,49.0,145.0,203.0,0.53880525,2.2215662,0.7777778,2.5434792,68.92444,0,FP
6bba_fe670320,2920819,1,55.0,69.0,65.0,0.5187801,1.9560999,0.8730159,2.5434792,68.92444,1,FP
6bba_fe670320,2920820,1,61.0,177.0,100.0,0.4794657,2.1606057,0.96825397,2.4687274,63.024292,0,FP
6bba_fe670320,2920821,1,59.0,58.0,79.0,0.4718806,1.8445286,0.93650794,2.5168092,66.77893,1,FP
6bba_fe670320,2920822,1,47.0,128.0,202.0,0.44423673,1.5354278,0.74603176,2.5434792,68.92444,0,FP
6bba_fe670320,2920823,1,57.0,62.0,126.0,0.41886142,3.5074408,0.9047619,2.5401762,68.65625,0,FP
6bba_fe670320,2920824,1,46.0,245.0,207.0,0.3777767,1.5107561,0.73015875,2.5434792,68.92444,0,FP
6bba_fe670320,2920825,1,55.0,31.0,137.0,0.38019776,4.6369243,0.8730159,2.5434792,68.92444,0,FP
6bba_fe670320,2920826,1,50.0,27.0,187.0,0.37166432,2.5060873,0.7936508,2.5401762,68.65625,0,FP
6bba_fe670320,2920827,1,57.0,88.0,145.0,0.3638314,2.0663588,0.9047619,2.5434792,68.92444,1,FP
6bba_fe670320,2920828,1,56.0,90.0,153.0,0.3635156,1.9708357,0.8888889,2.5401762,68.65625,1,FP
6bba_fe670320,2920829,1,58.0,141.0,140.0,0.33460495,2.175354,0.9206349,2.5434792,68.92444,0,FP
6bba_fe670320,2920830,1,46.0,93.0,246.0,0.29906282,2.7578688,0.73015875,2.5401762,68.65625,0,FP
6bba_fe670320,2920831,1,56.0,170.0,167.0,0.29974157,3.5377936,0.8888889,2.5434792,68.92444,0,TP
