feature_name,roc_auc,direction,cohens_d,best_f1,best_precision,best_recall,best_threshold,pos_mean,pos_std,pos_median,pos_iqr,neg_mean,neg_std,neg_median,neg_iqr
margin_bwd,0.9016,POS_HIGH,0.2383,0.9801,0.9609,1.0,0.0,35.3896,110.4162,20.9803,16.3523,9.4838,52.2554,5.055,4.3174
margin_fwd,0.8951,POS_HIGH,0.2401,0.9801,0.9609,1.0,0.0,34.9853,109.0874,20.8153,16.4372,9.2164,47.3947,5.0944,4.3606
dead_reckoning_mean,0.8871,POS_LOW,-1.6687,0.9801,0.9609,1.0,149.7385,5.0221,3.214,4.2655,3.0696,10.4526,4.1235,9.8052,4.7138
comp_count_10um,0.8609,POS_LOW,-2.5096,0.9802,0.9614,0.9996,2.0,0.973,0.3026,1.0,0.0,1.7521,0.463,2.0,1.0
dead_reckoning_bwd,0.859,POS_LOW,-1.3163,0.9801,0.9609,1.0,230.9766,5.0008,4.0437,4.0217,3.6132,10.3699,4.8666,9.5101,5.0933
dead_reckoning_fwd,0.8569,POS_LOW,-1.3434,0.9801,0.9609,1.0,235.4376,5.0433,4.0365,4.0625,3.7054,10.5352,5.1963,9.5101,5.3009
comp_count_15um,0.8566,POS_LOW,-1.9577,0.9801,0.9609,1.0,6.0,1.1476,0.4242,1.0,0.0,1.995,0.6078,2.0,0.0
is_mnn,0.8499,POS_HIGH,4.0491,0.9825,0.9886,0.9765,1.0,0.9765,0.1514,1.0,0.0,0.2768,0.4474,0.0,1.0
bwd_rank,0.8179,POS_LOW,-4.0529,0.9869,0.9857,0.9881,1.0,1.0132,0.128,1.0,0.0,1.6585,0.4954,2.0,1.0
dist_3d,0.8177,POS_LOW,-0.9752,0.9801,0.9609,1.0,60.7585,4.4456,3.2349,3.6562,3.8436,7.5611,1.959,8.0125,2.715
fwd_rank,0.813,POS_LOW,-3.8191,0.9856,0.9854,0.9857,1.0,1.0157,0.1366,1.0,0.0,1.6474,0.4909,2.0,1.0
v_gap,0.8058,POS_LOW,-1.0303,0.9801,0.9609,1.0,30.3792,1.7963,1.2639,1.4788,1.5291,3.0903,1.0441,3.031,1.4545
dist_xy,0.7994,POS_LOW,-0.975,0.9801,0.9609,1.0,32.9964,3.4135,2.8129,2.6013,3.1672,6.1365,2.2407,6.3588,3.256
accel_fwd,0.7937,POS_LOW,-1.2185,0.9801,0.9609,1.0,43.7706,0.8285,0.7154,0.6582,0.617,1.7208,1.0666,1.5336,1.3149
accel_bwd,0.7899,POS_LOW,-1.1801,0.9801,0.9609,1.0,42.8512,0.8215,0.7169,0.6526,0.6045,1.6855,1.0369,1.5098,1.3016
cos_gap_prev,0.7602,POS_HIGH,1.0077,0.9801,0.9609,1.0,-1.0,0.4034,0.5395,0.5682,0.8864,-0.1407,0.5531,-0.0896,0.8701
cos_next_gap,0.7567,POS_HIGH,0.9899,0.9801,0.9609,1.0,-1.0,0.4036,0.5382,0.5691,0.8854,-0.1297,0.5514,-0.0921,0.8998
intensity_rank_diff,0.7419,POS_LOW,-1.1307,0.9801,0.961,1.0,0.8889,0.1115,0.1326,0.0714,0.1667,0.2656,0.2057,0.2414,0.3
snr_diff,0.716,POS_LOW,-1.0133,0.9801,0.9609,1.0,22.762,0.4048,0.472,0.2641,0.4136,0.9028,0.8378,0.6717,0.9507
mean_intensity_diff_rel,0.7059,POS_LOW,-1.0343,0.9801,0.961,1.0,0.7529,0.0828,0.0779,0.0617,0.0848,0.1666,0.1364,0.1324,0.1696
v_ratio_gap_prev,0.6908,POS_LOW,-0.1558,0.9801,0.9609,1.0,3037924.3531,15254.6428,70814.0997,0.8879,0.9684,26423.622,90209.9148,1.5744,2.1882
