dataset,radius_threshold_um,total_gt_nodes,total_pred_nodes,estimated_number_of_nodes,tp,fp,fn,precision,recall,f1_score,mean_distance_um
44b6_0113de3b,7.0,52,29553,25755.0,52,29501,0,0.0018,1.0,0.0035,0.7372
44b6_0b24845f,7.0,51,40674,32795.0,36,40638,15,0.0009,0.7059,0.0018,3.4106
44b6_0c582fdc,7.0,71,32079,27958.0,66,32013,5,0.0021,0.9296,0.0041,2.2271
44b6_0db75fae,7.0,157,17612,15335.0,147,17465,10,0.0083,0.9363,0.0165,1.45
44b6_12dfb391,7.0,788,70170,58672.0,781,69389,7,0.0111,0.9911,0.022,1.9173
44b6_144b256d,7.0,121,80909,65376.0,112,80797,9,0.0014,0.9256,0.0028,2.4021
44b6_1574802b,7.0,155,19450,17677.0,145,19305,10,0.0075,0.9355,0.0148,1.9775
44b6_18ced818,7.0,100,98704,78644.0,97,98607,3,0.001,0.97,0.002,2.0464
44b6_1d530831,7.0,276,42717,35825.0,258,42459,18,0.006,0.9348,0.012,2.6171
44b6_24264f12,7.0,230,29442,26353.0,218,29224,12,0.0074,0.9478,0.0147,1.799
44b6_267148e4,7.0,280,23334,19130.0,246,23088,34,0.0105,0.8786,0.0208,2.9177
44b6_2a2eff9f,7.0,214,64116,56367.0,208,63908,6,0.0032,0.972,0.0065,2.1752
44b6_2f31fc2f,7.0,89,26648,24368.0,78,26570,11,0.0029,0.8764,0.0058,4.1738
44b6_33b596bf,7.0,50,26299,23330.0,45,26254,5,0.0017,0.9,0.0034,1.307
44b6_341df25f,7.0,216,7989,7436.0,207,7782,9,0.0259,0.9583,0.0505,1.9091
44b6_3a861e03,7.0,935,46267,40546.0,920,45347,15,0.0199,0.984,0.039,1.7359
44b6_3bb3690f,7.0,400,43441,31937.0,364,43077,36,0.0084,0.91,0.0166,3.0636
44b6_40c45f5a,7.0,200,41550,32681.0,186,41364,14,0.0045,0.93,0.0089,3.1381
44b6_415c0a3a,7.0,331,63006,57292.0,281,62725,50,0.0045,0.8489,0.0089,3.0455
44b6_53f95252,7.0,70,46590,38715.0,67,46523,3,0.0014,0.9571,0.0029,1.5795
44b6_551a5dba,7.0,228,80046,57627.0,213,79833,15,0.0027,0.9342,0.0053,2.7753
44b6_5740d24b,7.0,173,19251,19730.0,167,19084,6,0.0087,0.9653,0.0172,1.9107
44b6_587a1e22,7.0,381,20121,18137.0,367,19754,14,0.0182,0.9633,0.0358,1.429
44b6_5f15d135,7.0,278,37358,29519.0,240,37118,38,0.0064,0.8633,0.0128,2.5282
44b6_668e0cc7,7.0,643,41553,39701.0,623,40930,20,0.015,0.9689,0.0295,1.6963
44b6_66f9292d,7.0,200,63313,52710.0,158,63155,42,0.0025,0.79,0.005,2.7627
44b6_706092f0,7.0,118,96746,69898.0,111,96635,7,0.0011,0.9407,0.0023,2.97
44b6_71a4179f,7.0,121,88003,67688.0,119,87884,2,0.0014,0.9835,0.0027,3.4175
44b6_74d0c52e,7.0,140,15466,15090.0,115,15351,25,0.0074,0.8214,0.0147,2.2117
44b6_7a302da0,7.0,516,83837,66858.0,491,83346,25,0.0059,0.9516,0.0116,2.3656
44b6_7e557709,7.0,570,65254,56060.0,564,64690,6,0.0086,0.9895,0.0171,1.705
44b6_808952d6,7.0,181,17224,15742.0,181,17043,0,0.0105,1.0,0.0208,2.1269
44b6_81c256f0,7.0,199,11216,10052.0,199,11017,0,0.0177,1.0,0.0349,1.9778
44b6_87bba6c4,7.0,153,32176,28102.0,138,32038,15,0.0043,0.902,0.0085,3.7795
44b6_8cc6506c,7.0,400,41673,32172.0,370,41303,30,0.0089,0.925,0.0176,2.8228
44b6_8f5ab931,7.0,616,30551,27571.0,539,30012,77,0.0176,0.875,0.0346,2.3417
44b6_8f9ecab4,7.0,374,92405,74833.0,366,92039,8,0.004,0.9786,0.0079,2.1307
44b6_90724892,7.0,105,28773,25532.0,103,28670,2,0.0036,0.981,0.0071,2.6949
44b6_949adeb1,7.0,388,43879,37179.0,339,43540,49,0.0077,0.8737,0.0153,2.9485
44b6_95029e92,7.0,200,5913,5161.0,200,5713,0,0.0338,1.0,0.0654,0.8574
44b6_97725144,7.0,225,47282,35774.0,197,47085,28,0.0042,0.8756,0.0083,1.8402
44b6_996155de,7.0,380,10337,7573.0,362,9975,18,0.035,0.9526,0.0676,1.7844
44b6_9be80b04,7.0,222,85928,57877.0,209,85719,13,0.0024,0.9414,0.0049,2.2433
44b6_9bfa6a0a,7.0,264,79170,64308.0,253,78917,11,0.0032,0.9583,0.0064,2.7266
44b6_a21120c2,7.0,296,24409,23040.0,294,24115,2,0.012,0.9932,0.0238,1.07
44b6_a2bb48bb,7.0,416,78676,60613.0,376,78300,40,0.0048,0.9038,0.0095,3.4437
44b6_aaf8b0ea,7.0,209,22211,22099.0,209,22002,0,0.0094,1.0,0.0186,1.7566
44b6_abf82518,7.0,96,29893,27604.0,96,29797,0,0.0032,1.0,0.0064,1.1893
44b6_b2c44266,7.0,170,75642,59729.0,160,75482,10,0.0021,0.9412,0.0042,2.9717
44b6_c15fded2,7.0,104,22867,20585.0,103,22764,1,0.0045,0.9904,0.009,2.3485
44b6_c50204e0,7.0,333,56853,47078.0,288,56565,45,0.0051,0.8649,0.0101,2.8493
44b6_c771cb04,7.0,227,64807,53345.0,211,64596,16,0.0033,0.9295,0.0065,2.6195
44b6_c8e2a523,7.0,168,37699,33144.0,167,37532,1,0.0044,0.994,0.0088,0.6451
44b6_c96cfa10,7.0,629,53090,46236.0,602,52488,27,0.0113,0.9571,0.0224,1.8183
44b6_cf2536e8,7.0,76,69079,57565.0,53,69026,23,0.0008,0.6974,0.0015,3.2371
44b6_cf8fed6b,7.0,191,47913,43729.0,191,47722,0,0.004,1.0,0.0079,1.1493
44b6_d29c9ab2,7.0,1353,44111,38055.0,1334,42777,19,0.0302,0.986,0.0587,1.3572
44b6_d2f34f90,7.0,283,28700,24074.0,264,28436,19,0.0092,0.9329,0.0182,2.7431
44b6_d5e7d891,7.0,906,53871,44848.0,783,53088,123,0.0145,0.8642,0.0286,2.7652
44b6_d754aa59,7.0,72,7350,5171.0,72,7278,0,0.0098,1.0,0.0194,0.7385
44b6_d78e09d9,7.0,463,24698,22259.0,429,24269,34,0.0174,0.9266,0.0341,1.8556
44b6_db3c847b,7.0,165,16863,15023.0,144,16719,21,0.0085,0.8727,0.0169,1.9766
44b6_ddf577ad,7.0,659,64301,53492.0,635,63666,24,0.0099,0.9636,0.0196,2.3279
44b6_deabac95,7.0,126,15124,13989.0,111,15013,15,0.0073,0.881,0.0146,2.2196
44b6_e28840c6,7.0,311,95848,74686.0,306,95542,5,0.0032,0.9839,0.0064,1.4087
44b6_e29f0176,7.0,51,13777,12969.0,31,13746,20,0.0023,0.6078,0.0045,3.7427
44b6_e31261b4,7.0,116,83674,72856.0,115,83559,1,0.0014,0.9914,0.0027,1.7206
44b6_e35b117d,7.0,270,39005,28641.0,206,38799,64,0.0053,0.763,0.0105,3.027
44b6_e57ff5c6,7.0,193,22140,20314.0,161,21979,32,0.0073,0.8342,0.0144,2.3543
44b6_eb2880fc,7.0,390,50593,48084.0,365,50228,25,0.0072,0.9359,0.0143,2.0586
44b6_f28707c6,7.0,63,22080,18656.0,53,22027,10,0.0024,0.8413,0.0048,3.1026
6bba_05b6850b,7.0,861,7879,6362.0,805,7074,56,0.1022,0.935,0.1842,3.4638
6bba_05db0fb1,7.0,1229,81678,69800.0,1172,80506,57,0.0143,0.9536,0.0283,1.8998
6bba_062c8d37,7.0,930,6721,6030.0,893,5828,37,0.1329,0.9602,0.2334,2.0951
6bba_07477033,7.0,613,5708,4836.0,597,5111,16,0.1046,0.9739,0.1889,3.2098
6bba_07e24132,7.0,359,38367,21485.0,322,38045,37,0.0084,0.8969,0.0166,2.4235
6bba_085bf656,7.0,1198,9308,8463.0,1184,8124,14,0.1272,0.9883,0.2254,3.1416
6bba_09961292,7.0,1950,38969,31117.0,1919,37050,31,0.0492,0.9841,0.0938,2.2458
6bba_0c7fa718,7.0,704,15769,13650.0,645,15124,59,0.0409,0.9162,0.0783,2.3307
6bba_0e7c0d07,7.0,209,26439,22467.0,183,26256,26,0.0069,0.8756,0.0137,3.3531
6bba_12665c0e,7.0,1036,8834,8314.0,1006,7828,30,0.1139,0.971,0.2039,2.2758
6bba_13f19531,7.0,737,6420,5773.0,734,5686,3,0.1143,0.9959,0.2051,3.0142
6bba_15403b9a,7.0,758,7344,6889.0,699,6645,59,0.0952,0.9222,0.1725,3.1361
6bba_1d0d8384,7.0,1438,21469,17909.0,1280,20189,158,0.0596,0.8901,0.1118,2.425
6bba_1ebfb80d,7.0,745,13186,11558.0,666,12520,79,0.0505,0.894,0.0956,3.2595
6bba_1f58c2f6,7.0,317,35684,28903.0,292,35392,25,0.0082,0.9211,0.0162,2.5289
6bba_207c6aaf,7.0,475,14719,11999.0,339,14380,136,0.023,0.7137,0.0446,3.0908
6bba_20852818,7.0,952,11104,9758.0,874,10230,78,0.0787,0.9181,0.145,2.1976
6bba_2312ac41,7.0,1156,12500,11950.0,1112,11388,44,0.089,0.9619,0.1629,2.6882
6bba_23af9eeb,7.0,513,5285,4450.0,504,4781,9,0.0954,0.9825,0.1739,3.601
6bba_2540cd90,7.0,529,4392,3783.0,528,3864,1,0.1202,0.9981,0.2146,3.694
6bba_2646afc7,7.0,738,6426,5495.0,667,5759,71,0.1038,0.9038,0.1862,3.6351
6bba_268e1230,7.0,641,5841,5107.0,531,5310,110,0.0909,0.8284,0.1638,2.938
6bba_2819ca14,7.0,986,6164,5534.0,948,5216,38,0.1538,0.9615,0.2652,3.2507
6bba_283bf9f1,7.0,1342,21678,20861.0,1229,20449,113,0.0567,0.9158,0.1068,2.1885
6bba_312f0dc3,7.0,520,10546,9963.0,488,10058,32,0.0463,0.9385,0.0882,3.2651
6bba_32db13fc,7.0,862,46191,38705.0,737,45454,125,0.016,0.855,0.0313,2.5942
6bba_337b1b3a,7.0,1272,32564,30480.0,1258,31306,14,0.0386,0.989,0.0744,1.4796
6bba_372c8cb8,7.0,1036,8325,7021.0,1012,7313,24,0.1216,0.9768,0.2162,2.5799
6bba_3a1849c2,7.0,1173,7959,7003.0,903,7056,270,0.1135,0.7698,0.1978,3.0055
6bba_3abfe10a,7.0,997,62567,52065.0,917,61650,80,0.0147,0.9198,0.0289,2.8171
6bba_3c5691b6,7.0,765,7425,6258.0,764,6661,1,0.1029,0.9987,0.1866,2.8581
6bba_3db54e20,7.0,502,24686,23236.0,441,24245,61,0.0179,0.8785,0.035,3.8799
6bba_3fda6b25,7.0,1207,10400,9842.0,1188,9212,19,0.1142,0.9843,0.2047,2.1878
6bba_43fea39d,7.0,910,6380,5748.0,893,5487,17,0.14,0.9813,0.245,2.7577
6bba_474be664,7.0,292,34179,28293.0,131,34048,161,0.0038,0.4486,0.0076,4.5784
6bba_48816121,7.0,935,25482,23965.0,888,24594,47,0.0348,0.9497,0.0672,3.6769
6bba_4aa14c89,7.0,707,7103,6787.0,660,6443,47,0.0929,0.9335,0.169,2.7325
6bba_4f99ce20,7.0,1057,6672,5965.0,1046,5626,11,0.1568,0.9896,0.2707,2.7185
6bba_4ffd3da3,7.0,706,18722,17637.0,510,18212,196,0.0272,0.7224,0.0525,3.2379
6bba_55b7eebe,7.0,705,5682,5257.0,700,4982,5,0.1232,0.9929,0.2192,3.2474
6bba_55c70843,7.0,490,42213,35415.0,403,41810,87,0.0095,0.8224,0.0189,3.3589
6bba_57b7cc1e,7.0,1659,84501,65511.0,1357,83144,302,0.0161,0.818,0.0315,3.7554
6bba_5a4d9360,7.0,747,6268,5976.0,624,5644,123,0.0996,0.8353,0.1779,3.4771
6bba_5b28472a,7.0,737,7002,5802.0,724,6278,13,0.1034,0.9824,0.1871,2.9721
6bba_5c039895,7.0,1174,9587,8570.0,1140,8447,34,0.1189,0.971,0.2119,3.4467
6bba_5c824876,7.0,1170,26484,24647.0,1089,25395,81,0.0411,0.9308,0.0788,2.5706
6bba_5dfe9ad1,7.0,1542,29905,26913.0,1402,28503,140,0.0469,0.9092,0.0892,2.1
6bba_5f89039d,7.0,904,4890,4611.0,889,4001,15,0.1818,0.9834,0.3069,3.1425
6bba_61dd1e0d,7.0,558,10913,10128.0,540,10373,18,0.0495,0.9677,0.0942,3.3233
6bba_61ecbe65,7.0,640,6158,5774.0,609,5549,31,0.0989,0.9516,0.1792,2.935
6bba_6321a359,7.0,827,5589,4821.0,810,4779,17,0.1449,0.9794,0.2525,2.56
