rank,feature_name,hierarchy,roc_auc,direction,cohens_d,best_f1,best_precision,best_recall,best_threshold,pos_mean,pos_std,pos_median,pos_iqr,neg_mean,neg_std,neg_median,neg_iqr
1,gt_matched_dist_um,ノード (Node),1.0,POS_LOW,-0.3962,0.6846,0.5204,1.0,9.93,3.6738,1.9834,3.37,3.65,99.176,244.2301,30.26,27.34
2,std_intensity_3x3,ノード (Node),0.6876,POS_LOW,-0.4981,0.1401,0.1064,0.2048,23.15,38.1249,22.1291,33.01,19.62,65.0605,54.6792,43.71,46.31
3,max_intensity_3x3,ノード (Node),0.6478,POS_LOW,-0.6218,0.1575,0.1196,0.2306,803.0,1150.0953,392.9558,1250.0,480.0,1421.7705,438.0268,1350.0,419.0
4,raw_intensity,ノード (Node),0.646,POS_LOW,-0.6119,0.156,0.1186,0.2281,729.0,1084.876,378.0786,1180.0,473.0,1338.4057,415.2768,1277.0,401.0
5,laplacian_sharpness,ノード (Node),0.6375,POS_LOW,-0.4403,0.0707,0.0377,0.5812,46.0,51.1238,50.0596,39.0,52.0,101.0102,114.5087,62.0,98.0
6,mean_intensity_3x3,ノード (Node),0.6375,POS_LOW,-0.5919,0.1513,0.115,0.2209,708.9435,1076.1581,369.7509,1174.44,455.075,1305.9124,388.616,1260.11,379.57
7,intensity_diff,エッジ (Edge),0.6193,POS_LOW,-0.3465,0.0677,0.037,0.3982,24.0,54.1559,60.1457,35.0,65.0,89.7677,103.5885,61.0,95.0
8,min_intensity_3x3,ノード (Node),0.6187,POS_LOW,-0.5193,0.1357,0.1031,0.1983,590.0,1001.2689,347.3374,1096.0,438.0,1181.3964,346.8544,1164.0,348.0
9,local_contrast,ノード (Node),0.5802,POS_LOW,-0.3474,0.0628,0.0326,0.8762,0.195,0.1422,0.0502,0.1329,0.0605,0.184,0.1216,0.1439,0.1081
10,y,ノード (Node),0.575,POS_LOW,-0.26,0.0661,0.0359,0.4209,76.0,107.9213,71.1977,96.0,120.0,127.1103,73.8671,128.0,128.0
11,y_norm,ノード (Node),0.575,POS_LOW,-0.26,0.0661,0.0359,0.4209,0.298,0.4232,0.2792,0.3765,0.4706,0.4985,0.2897,0.502,0.5019
12,dist_to_border_xy_um,ノード (Node),0.5656,POS_HIGH,0.2534,0.0781,0.0578,0.1202,40.62,20.3848,14.0636,17.88,21.13,17.1652,12.6686,14.62,19.91
13,local_snr,ノード (Node),0.5649,POS_LOW,-0.2173,0.0661,0.0388,0.2235,1.4968,2.1832,0.8833,2.1804,1.2007,2.3642,0.8313,2.3965,1.1044
14,mean_track_snr,トラック (Track),0.5619,POS_LOW,-0.1805,0.057,0.0304,0.4497,2.0711,2.1662,0.708,2.1485,0.8036,2.2936,0.7059,2.3102,0.8446
15,max_track_intensity,トラック (Track),0.5598,POS_LOW,-0.2999,0.059,0.0434,0.0919,830.0,1241.7224,305.4005,1270.0,276.0,1365.0551,413.4468,1300.0,383.0
16,mean_track_intensity,トラック (Track),0.5582,POS_LOW,-0.2975,0.0584,0.043,0.0909,803.0,1198.5465,294.0276,1231.5,226.0,1310.8895,379.3921,1257.8,345.6
17,dist_to_center_xy_um,ノード (Node),0.5578,POS_LOW,-0.2404,0.0798,0.0604,0.1179,12.38,36.0563,16.9045,37.52,24.43,39.7384,15.272,41.43,22.28
18,min_track_snr,トラック (Track),0.5498,POS_LOW,-0.162,0.0575,0.031,0.393,1.367,1.717,0.9306,1.6406,1.273,1.8627,0.8986,1.844,1.2345
19,min_track_intensity,トラック (Track),0.5498,POS_LOW,-0.2629,0.0583,0.0429,0.0909,729.0,1158.1046,294.9266,1186.0,245.5,1255.2205,371.0521,1210.0,344.0
20,dist_3d_um,エッジ (Edge),0.5453,POS_LOW,-0.1592,0.0529,0.029,0.305,0.0,1.7341,1.4936,1.62,2.3,1.9895,1.6068,1.62,2.81
21,velocity_um_per_frame,エッジ (Edge),0.5453,POS_LOW,-0.1592,0.0529,0.029,0.305,0.0,1.7341,1.4936,1.62,2.3,1.9895,1.6068,1.62,2.81
22,dx_um,エッジ (Edge),0.5428,POS_LOW,-0.146,0.0514,0.0266,0.7956,0.0,0.1941,0.9999,0.0,0.0,0.3623,1.1556,0.0,1.62
23,dist_xy_um,エッジ (Edge),0.5407,POS_LOW,-0.1523,0.0523,0.0277,0.4795,0.0,1.0631,1.165,1.62,1.62,1.2586,1.2865,1.62,1.62
24,dz_um,エッジ (Edge),0.5365,POS_LOW,-0.1089,0.0511,0.0264,0.7771,0.0,-0.0712,1.6555,0.0,1.62,0.1256,1.8111,0.0,1.62
25,max_track_snr,トラック (Track),0.5348,POS_LOW,-0.1116,0.0521,0.0285,0.3011,2.1043,2.619,0.9312,2.6406,1.2902,2.7213,0.9157,2.7694,1.2855
26,cos_gap_prev,エッジ (Edge),0.5327,POS_LOW,-0.1309,0.05,0.0258,0.8444,0.0,-0.0309,0.4417,0.0,0.0,0.03,0.4653,0.0,0.0
27,nearest_neighbor_dist_um,ノード (Node),0.5308,POS_LOW,0.1593,0.063,0.0344,0.3755,6.08,8.1293,3.8958,6.89,3.51,7.7239,2.4982,7.45,2.82
28,dist_z_um,エッジ (Edge),0.5299,POS_LOW,-0.1091,0.0505,0.0265,0.5197,0.0,1.0331,1.2955,0.0,1.62,1.1832,1.3769,1.62,1.62
29,cos_next_gap,エッジ (Edge),0.5296,POS_LOW,-0.1192,0.0499,0.0257,0.8558,0.0,-0.0225,0.4225,0.0,0.0,0.0312,0.4507,0.0,0.0
30,dead_reckoning_bwd_um,エッジ (Edge),0.5286,POS_LOW,-0.1022,0.0509,0.0266,0.6123,0.0,1.4031,2.0447,0.0,2.81,1.6262,2.1861,0.0,3.25
31,x,ノード (Node),0.5228,POS_HIGH,0.0951,0.0573,0.0298,0.7032,116.0,146.0063,61.7433,140.0,92.0,139.0445,73.5004,144.0,124.0
32,x_norm,ノード (Node),0.5228,POS_HIGH,0.0951,0.0573,0.0298,0.7032,0.4549,0.5726,0.2421,0.549,0.3608,0.5453,0.2882,0.5647,0.4863
33,dead_reckoning_fwd_um,エッジ (Edge),0.5223,POS_LOW,-0.08,0.0501,0.0262,0.5741,0.0,1.59,2.1648,0.0,3.25,1.7728,2.2888,0.0,3.25
34,z,ノード (Node),0.5203,POS_HIGH,0.0741,0.0583,0.0327,0.2687,53.0,35.7319,18.1601,36.0,34.0,34.3746,18.3091,36.0,31.0
35,z_norm,ノード (Node),0.5203,POS_HIGH,0.0741,0.0583,0.0327,0.2687,0.8413,0.5672,0.2883,0.5714,0.5396,0.5456,0.2906,0.5714,0.4921
36,dead_reckoning_mean_um,エッジ (Edge),0.52,POS_LOW,-0.0836,0.0509,0.0271,0.4276,0.0,2.1015,2.1622,2.3,3.63,2.2888,2.2432,2.3,3.63
37,neighbor_count_10um,ノード (Node),0.5188,POS_HIGH,0.0922,0.0583,0.0325,0.2821,4.0,2.4356,1.9183,2.0,3.0,2.2793,1.6886,2.0,2.0
38,neighbor_count_5um,ノード (Node),0.5183,POS_HIGH,0.12,0.0557,0.0346,0.1426,1.0,0.1531,0.3897,0.0,0.0,0.1126,0.3361,0.0,0.0
39,comp_count_10um,エッジ (Edge),0.518,POS_HIGH,0.1349,0.0525,0.0334,0.1226,2.0,1.1303,0.3587,1.0,0.0,1.09,0.2971,1.0,0.0
40,comp_count_15um,エッジ (Edge),0.518,POS_HIGH,0.1349,0.0525,0.0334,0.1226,2.0,1.1303,0.3587,1.0,0.0,1.09,0.2971,1.0,0.0
41,margin_fwd_um,エッジ (Edge),0.518,POS_LOW,-0.1262,0.0467,0.0239,1.0,999.0,876.7323,327.1236,999.0,0.0,912.3279,280.9546,999.0,0.0
42,transformer_prob,エッジ (Edge),0.5179,POS_LOW,-0.062,0.049,0.0262,0.3837,0.741,0.7824,0.137,0.8002,0.2341,0.7909,0.1366,0.8129,0.2218
43,snr_diff,エッジ (Edge),0.5137,POS_HIGH,0.1008,0.054,0.0313,0.1964,1.4979,0.8603,0.7705,0.6671,1.0624,0.7912,0.6838,0.6286,0.8967
44,std_track_intensity,トラック (Track),0.513,POS_LOW,-0.1281,0.0484,0.0249,0.8925,94.75,32.9158,46.1846,0.0,55.675,41.3085,65.8897,0.0,65.0
45,max_step_um,トラック (Track),0.5111,POS_HIGH,0.0291,0.0491,0.0267,0.2991,2.81,1.6144,2.011,0.0,3.25,1.5543,2.063,0.0,2.81
46,total_disp_um,トラック (Track),0.5105,POS_HIGH,-0.0624,0.0471,0.0248,0.4653,1.62,2.6012,5.5306,0.0,3.63,3.1886,9.4898,0.0,3.63
47,mean_step_um,トラック (Track),0.5102,POS_HIGH,0.0372,0.0487,0.026,0.3851,1.37,0.9269,1.1384,0.0,1.765,0.8846,1.1403,0.0,1.67
48,path_length_um,トラック (Track),0.5096,POS_HIGH,-0.0032,0.0472,0.0273,0.173,11.4155,6.1323,14.747,0.0,6.36,6.1879,17.4229,0.0,5.55
49,ilp_selected,エッジ (Edge),0.5078,POS_LOW,-0.0759,0.0467,0.0239,1.0,1.0,0.9404,0.2367,1.0,0.0,0.9561,0.205,1.0,0.0
50,net_velocity_um,トラック (Track),0.5075,POS_HIGH,0.0174,0.0466,0.0247,0.4164,0.44,0.6046,0.9124,0.0,0.95,0.5888,0.9081,0.0,0.96
51,neighbor_count_15um,ノード (Node),0.5072,POS_LOW,-0.0564,0.1056,0.0689,0.226,2.0,8.2898,5.3438,9.0,9.0,8.54,4.4112,8.0,7.0
52,straightness_ratio,トラック (Track),0.5066,POS_HIGH,0.0086,0.0463,0.0237,1.0,0.0,0.3017,0.3829,0.0,0.6049,0.2984,0.3857,0.0,0.5911
53,fwd_rank,エッジ (Edge),0.5063,POS_HIGH,0.0622,0.0467,0.0239,1.0,1.0,1.0584,0.2418,1.0,0.0,1.0452,0.2128,1.0,0.0
54,is_mnn,エッジ (Edge),0.5063,POS_LOW,-0.0613,0.0467,0.0239,1.0,1.0,0.9433,0.2313,1.0,0.0,0.9559,0.2053,1.0,0.0
55,intensity_ratio,エッジ (Edge),0.5062,POS_HIGH,-0.0043,0.049,0.0253,0.7417,0.969,1.0081,0.0727,1.0,0.0793,1.0086,0.108,1.0,0.0955
56,duration_frames,トラック (Track),0.5059,POS_HIGH,0.045,0.0467,0.0261,0.2219,6.0,4.5591,8.9832,2.0,4.0,4.2379,7.0879,2.0,3.0
57,track_length,トラック (Track),0.5059,POS_HIGH,0.0444,0.0467,0.0261,0.2219,6.0,4.5591,8.9832,2.0,4.0,4.241,7.1112,2.0,3.0
58,directed_motion_index,トラック (Track),0.5058,POS_HIGH,-0.0347,0.0468,0.0248,0.4184,0.3923,0.8995,1.4305,0.0,1.4073,0.957,1.6643,0.0,1.4073
59,confinement_ratio,トラック (Track),0.5039,POS_HIGH,0.004,0.0464,0.0244,0.4643,0.1673,0.3141,0.3848,0.0,0.6211,0.3125,0.3879,0.0,0.6224
60,dy_um,エッジ (Edge),0.5038,POS_LOW,-0.023,0.0476,0.0246,0.7825,0.0,0.1373,1.1945,0.0,0.0,0.1675,1.3188,0.0,0.0
61,snr_ratio,エッジ (Edge),0.5037,POS_HIGH,0.0236,0.0548,0.0339,0.142,1.8365,1628.961,19626.2625,1.0,0.6623,1211.5109,17625.9223,1.0,0.5371
62,step_velocity_cv,トラック (Track),0.5031,POS_HIGH,0.0047,0.0463,0.0237,1.0,0.0,0.2613,0.4027,0.0,0.5554,0.2593,0.4099,0.0,0.5505
63,trajectory_aspect_ratio,トラック (Track),0.502,POS_LOW,-0.0099,0.0473,0.0243,0.9228,26.3954,13953.6752,79746.7228,1.0,3.2226,14867.0079,92912.595,1.0,3.4413
64,dist_to_border_z_slices,ノード (Node),0.5007,POS_HIGH,-0.0051,0.0548,0.0332,0.1575,28.0,15.3966,9.401,14.0,17.0,15.4439,9.2567,16.0,16.0
65,det_prob,ノード (Node),0.5,POS_HIGH,0.0,0.0507,0.026,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
66,dt,エッジ (Edge),0.5,POS_HIGH,0.0,0.0467,0.0239,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
67,bwd_rank,エッジ (Edge),0.5,POS_HIGH,0.0,0.0467,0.0239,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
68,margin_bwd_um,エッジ (Edge),0.5,POS_HIGH,0.0,0.0467,0.0239,1.0,999.0,999.0,0.0,999.0,0.0,999.0,0.0,999.0,0.0
