dataset,pos_pairs,neg_pairs,total_pairs
44b6_0113de3b,94,0,94
44b6_0b24845f,92,0,92
44b6_0c582fdc,137,0,137
44b6_0db75fae,286,1,287
44b6_12dfb391,1501,6,1507
44b6_144b256d,232,0,232
44b6_1574802b,300,0,300
44b6_18ced818,195,0,195
44b6_1d530831,527,0,527
44b6_24264f12,415,15,430
44b6_267148e4,545,17,562
44b6_2a2eff9f,405,3,408
44b6_2f31fc2f,158,0,158
44b6_33b596bf,95,0,95
44b6_341df25f,397,6,403
44b6_3a861e03,1793,5,1798
44b6_3bb3690f,780,137,917
44b6_40c45f5a,390,0,390
44b6_415c0a3a,617,3,620
44b6_53f95252,130,0,130
44b6_551a5dba,436,158,594
44b6_5740d24b,331,0,331
44b6_587a1e22,712,13,725
44b6_5f15d135,532,10,542
44b6_668e0cc7,1226,268,1494
44b6_66f9292d,390,0,390
44b6_706092f0,231,67,298
44b6_71a4179f,232,0,232
44b6_74d0c52e,275,0,275
44b6_7a302da0,987,4,991
44b6_7e557709,1090,241,1331
44b6_808952d6,352,0,352
44b6_81c256f0,388,0,388
44b6_87bba6c4,287,0,287
44b6_8cc6506c,780,174,954
44b6_8f5ab931,1172,16,1188
44b6_8f9ecab4,728,0,728
44b6_90724892,200,0,200
44b6_949adeb1,726,0,726
44b6_95029e92,390,1,391
44b6_97725144,430,0,430
44b6_996155de,745,29,774
44b6_9be80b04,434,328,762
44b6_9bfa6a0a,503,0,503
44b6_a21120c2,542,8,550
44b6_a2bb48bb,802,346,1148
44b6_aaf8b0ea,403,22,425
44b6_abf82518,182,0,182
44b6_b2c44266,330,0,330
44b6_c15fded2,198,27,225
44b6_c50204e0,628,26,654
44b6_c771cb04,434,15,449
44b6_c8e2a523,316,9,325
44b6_c96cfa10,1193,0,1193
44b6_cf2536e8,147,0,147
44b6_cf8fed6b,367,3,370
44b6_d29c9ab2,2581,285,2866
44b6_d2f34f90,556,9,565
44b6_d5e7d891,1747,121,1868
44b6_d754aa59,134,4,138
44b6_d78e09d9,866,0,866
44b6_db3c847b,315,0,315
44b6_ddf577ad,1259,226,1485
44b6_deabac95,242,3,245
44b6_e28840c6,612,365,977
44b6_e29f0176,97,0,97
44b6_e31261b4,217,0,217
44b6_e35b117d,520,0,520
44b6_e57ff5c6,352,3,355
44b6_eb2880fc,727,28,755
44b6_f28707c6,117,1,118
6bba_05b6850b,1642,13,1655
6bba_05db0fb1,2227,76,2303
6bba_062c8d37,1700,17,1717
6bba_07477033,1171,0,1171
6bba_07e24132,648,83,731
6bba_085bf656,2245,7,2252
6bba_09961292,3505,308,3813
6bba_0c7fa718,1184,48,1232
6bba_0e7c0d07,363,28,391
6bba_12665c0e,1881,113,1994
6bba_13f19531,1309,0,1309
6bba_15403b9a,1371,10,1381
6bba_1d0d8384,2514,421,2935
6bba_1ebfb80d,1360,6,1366
