dataset,total_nodes,total_edges,mean_dist_um,median_dist_um,p90_dist_um,p95_dist_um,p99_dist_um,max_dist_um,edges_over_7um,ratio_over_7um_pct,edges_over_10um,ratio_over_10um_pct,edges_over_15um,ratio_over_15um_pct
6bba_f1fde7e0,476,446,3.5992719915251783,3.0671202393287422,7.702650559932987,8.783831479238838,9.960166288941426,17.202181229788856,64,14.349775784753364,4,0.8968609865470852,1,0.2242152466367713
44b6_e57ff5c6,193,186,3.91261050661762,3.287841406064822,7.819437560229773,8.646287302584735,12.354231080549217,13.350737339188424,24,12.903225806451612,5,2.6881720430107525,0,0.0
6bba_7f87b3d8,1000,934,3.5039866509841207,3.040096626753827,7.462176414689009,8.482749038489821,9.909578925158195,15.118832678566822,113,12.098501070663811,8,0.8565310492505354,1,0.10706638115631692
44b6_87bba6c4,153,149,3.7500600057087095,3.300390601883359,8.00092826309918,9.402535500276917,11.719538345252463,12.328867610713484,18,12.080536912751679,4,2.684563758389262,0,0.0
44b6_f28707c6,63,61,3.9396872204160167,3.300390601883359,7.198768340834423,8.68463307011298,12.84773636554738,12.955490209270353,7,11.475409836065573,2,3.278688524590164,0,0.0
6bba_0c7fa718,704,659,3.759613897012966,3.350023320814349,7.189590622376978,8.330588577811545,9.651493659083226,9.992428774452184,73,11.077389984825494,0,0.0,0,0.0
44b6_e29f0176,51,50,4.16443108752755,3.7782013703158857,5.883104813715466,9.780884733752695,15.952449504116492,18.69191523928193,5,10.0,3,6.0,1,2.0
44b6_d754aa59,72,70,3.5947172078824945,3.040096626753827,6.337790171169292,8.474424667745684,11.421990050369871,15.351735447499086,6,8.571428571428571,1,1.4285714285714286,1,1.4285714285714286
6bba_acd782a8,356,330,3.678923300401847,3.300390601883359,6.558099677174257,7.593600972296538,9.036172915362751,20.909052502743876,28,8.484848484848486,2,0.6060606060606061,2,0.6060606060606061
6bba_87289e13,724,699,3.227314095315529,2.632800908728193,5.8814883528183985,8.166533902218012,10.804198668165979,18.058715001350457,57,8.15450643776824,9,1.2875536480686696,4,0.5722460658082975
44b6_c15fded2,104,102,3.3663212559483253,2.632800908728193,4.601419519189684,11.16106624882017,11.994546889136949,13.96105772541966,8,7.8431372549019605,6,5.88235294117647,0,0.0
6bba_67ebd073,462,438,2.843826880743808,2.03125,6.563169608695177,8.183170343388168,13.051621939834021,14.67569339290311,34,7.76255707762557,8,1.82648401826484,0,0.0
6bba_268e1230,641,609,3.2786301419074046,2.9575446425202108,6.104382026507121,7.914901284749244,9.27282867104208,15.254673976358852,47,7.717569786535304,2,0.3284072249589491,1,0.16420361247947454
6bba_a5e926bb,741,698,3.3791431807890486,2.8726212985703494,6.550584420492571,7.9498059418958125,9.727867077975759,19.338524132544343,53,7.593123209169055,5,0.7163323782234957,3,0.42979942693409745
6bba_e5e44988,666,634,3.8552349548107436,3.350023320814349,6.182284018648048,7.981264240613063,16.553143191002093,26.558933584106875,48,7.570977917981073,19,2.996845425867508,9,1.4195583596214512
6bba_fc516dc6,788,762,2.900796720229515,2.3159128070061765,5.983055699587085,8.053592463149597,12.22956387303983,15.639305950872629,57,7.480314960629922,14,1.837270341207349,1,0.13123359580052493
6bba_f20478e9,1003,963,3.2752991089454824,2.471122277933652,6.039340428598143,7.586107362769117,11.004741772948114,60.758487061479734,69,7.165109034267912,13,1.3499480789200415,8,0.8307372793354102
6bba_5a4d9360,747,722,3.270244725635312,2.8145825622994254,5.656947500916842,7.617570080606926,13.002963749247156,16.37646105123143,50,6.9252077562326875,18,2.4930747922437675,3,0.41551246537396125
6bba_c73a1d11,737,710,3.4748362263825903,3.093907824257213,6.26070201457878,7.650545356954269,9.922394400153575,14.500336741779481,47,6.619718309859154,7,0.9859154929577465,0,0.0
6bba_61ecbe65,640,614,3.1171781331671684,2.6012692214570947,5.6540270275384295,7.594634814393863,11.249960444191865,15.400036779582702,39,6.351791530944626,10,1.6286644951140066,2,0.32573289902280134
6bba_b693381b,983,935,2.8761181477009017,2.4375,6.214430032191206,7.518327492875488,9.42756676943384,14.715000849473302,59,6.310160427807486,7,0.7486631016042781,0,0.0
6bba_debd7bfa,766,729,3.3925851567284955,3.040096626753827,6.214430032191206,7.589376312484445,9.762800531282226,11.353215747641723,46,6.310013717421124,3,0.411522633744856,0,0.0
6bba_767a1e17,718,658,3.250538503419276,2.943527526917351,6.214430032191206,7.835466243306776,9.613669502542374,12.75650875533741,41,6.231003039513678,2,0.303951367781155,0,0.0
6bba_207c6aaf,475,450,3.39995106744246,2.9575446425202108,6.099142804235877,7.113995266864351,8.585625281858503,18.240579760522966,26,5.777777777777778,3,0.6666666666666667,2,0.4444444444444444
6bba_d3da753b,887,857,3.4741525999898495,3.040096626753827,5.58501412822743,7.115634657053096,13.99005928308227,18.920087911066904,48,5.600933488914819,14,1.633605600933489,7,0.8168028004667445
