dataset,total_gt_edges,total_pred_edges,tp,fp,fn,precision,recall,f1_score,official_edge_tp,official_edge_fp,official_edge_fn
44b6_0113de3b,50,9578,28,9550,22,0.0029,0.56,0.0058,28,3,22
44b6_0b24845f,49,10848,8,10840,41,0.0007,0.1633,0.0015,8,2,41
44b6_0c582fdc,70,17148,36,17112,34,0.0021,0.5143,0.0042,36,13,34
44b6_0db75fae,151,8560,105,8455,46,0.0123,0.6954,0.0241,105,6,46
44b6_12dfb391,773,15248,194,15054,579,0.0127,0.251,0.0242,194,40,579
44b6_144b256d,119,9441,26,9415,93,0.0028,0.2185,0.0054,26,6,93
44b6_1574802b,153,9159,102,9057,51,0.0111,0.6667,0.0219,102,12,51
44b6_18ced818,99,17191,32,17159,67,0.0019,0.3232,0.0037,32,5,67
44b6_1d530831,271,16563,130,16433,141,0.0078,0.4797,0.0154,130,36,141
44b6_24264f12,221,14879,131,14748,90,0.0088,0.5928,0.0174,132,18,89
44b6_267148e4,277,10720,88,10632,189,0.0082,0.3177,0.016,88,35,189
44b6_2a2eff9f,210,10277,45,10232,165,0.0044,0.2143,0.0086,45,4,165
44b6_2f31fc2f,85,7773,9,7764,76,0.0012,0.1059,0.0023,9,11,76
44b6_33b596bf,49,13060,33,13027,16,0.0025,0.6735,0.005,33,6,16
44b6_341df25f,209,6246,189,6057,20,0.0303,0.9043,0.0586,189,5,20
44b6_3a861e03,919,15308,351,14957,568,0.0229,0.3819,0.0433,351,52,568
44b6_3bb3690f,396,10874,69,10805,327,0.0063,0.1742,0.0122,69,26,327
44b6_40c45f5a,198,18310,136,18174,62,0.0074,0.6869,0.0147,136,28,62
44b6_415c0a3a,322,10954,82,10872,240,0.0075,0.2547,0.0145,82,35,240
44b6_53f95252,68,18341,39,18302,29,0.0021,0.5735,0.0042,39,2,29
44b6_551a5dba,224,16080,33,16047,191,0.0021,0.1473,0.004,33,14,191
44b6_5740d24b,170,7215,135,7080,35,0.0187,0.7941,0.0366,135,14,35
44b6_587a1e22,371,6959,114,6845,257,0.0164,0.3073,0.0311,114,21,257
44b6_5f15d135,273,12429,90,12339,183,0.0072,0.3297,0.0142,90,25,183
44b6_668e0cc7,631,9192,150,9042,481,0.0163,0.2377,0.0305,150,32,481
44b6_66f9292d,198,9479,30,9449,168,0.0032,0.1515,0.0062,30,18,168
44b6_706092f0,117,12966,17,12949,100,0.0013,0.1453,0.0026,17,9,100
44b6_71a4179f,119,13960,39,13921,80,0.0028,0.3277,0.0055,39,13,80
44b6_74d0c52e,139,5707,68,5639,71,0.0119,0.4892,0.0233,68,20,71
44b6_7a302da0,507,24484,190,24294,317,0.0078,0.3748,0.0152,190,43,317
44b6_7e557709,560,14182,180,14002,380,0.0127,0.3214,0.0244,181,30,379
44b6_808952d6,179,12346,179,12167,0,0.0145,1.0,0.0286,179,0,0
44b6_81c256f0,197,8756,195,8561,2,0.0223,0.9898,0.0436,195,0,2
44b6_87bba6c4,149,13472,54,13418,95,0.004,0.3624,0.0079,54,40,95
44b6_8cc6506c,396,12074,87,11987,309,0.0072,0.2197,0.014,87,29,309
44b6_8f5ab931,604,15013,328,14685,276,0.0218,0.543,0.042,328,66,276
44b6_8f9ecab4,370,11216,54,11162,316,0.0048,0.1459,0.0093,54,13,316
44b6_90724892,103,13160,67,13093,36,0.0051,0.6505,0.0101,67,7,36
44b6_949adeb1,378,19642,212,19430,166,0.0108,0.5608,0.0212,212,55,166
44b6_95029e92,198,4265,196,4069,2,0.046,0.9899,0.0878,196,0,2
44b6_97725144,221,20314,119,20195,102,0.0059,0.5385,0.0116,119,17,102
44b6_996155de,377,6880,222,6658,155,0.0323,0.5889,0.0612,222,6,155
44b6_9be80b04,220,13832,38,13794,182,0.0027,0.1727,0.0054,38,10,182
44b6_9bfa6a0a,259,14312,59,14253,200,0.0041,0.2278,0.0081,59,30,200
44b6_a21120c2,286,8557,111,8446,175,0.013,0.3881,0.0251,111,15,175
44b6_a2bb48bb,410,25229,113,25116,297,0.0045,0.2756,0.0088,116,52,294
44b6_aaf8b0ea,206,12786,175,12611,31,0.0137,0.8495,0.0269,175,3,31
44b6_abf82518,94,10388,79,10309,15,0.0076,0.8404,0.0151,79,0,15
44b6_b2c44266,168,17765,55,17710,113,0.0031,0.3274,0.0061,55,23,113
44b6_c15fded2,102,10755,51,10704,51,0.0047,0.5,0.0094,51,18,51
44b6_c50204e0,325,18775,66,18709,259,0.0035,0.2031,0.0069,65,40,260
44b6_c771cb04,223,17809,69,17740,154,0.0039,0.3094,0.0077,69,34,154
44b6_c8e2a523,164,12858,86,12772,78,0.0067,0.5244,0.0132,86,10,78
44b6_c96cfa10,616,18532,274,18258,342,0.0148,0.4448,0.0286,274,48,342
44b6_cf2536e8,75,8903,14,8889,61,0.0016,0.1867,0.0031,14,4,61
44b6_cf8fed6b,188,9164,44,9120,144,0.0048,0.234,0.0094,44,4,144
44b6_d29c9ab2,1328,13702,483,13219,845,0.0353,0.3637,0.0643,484,54,844
44b6_d2f34f90,281,9252,63,9189,218,0.0068,0.2242,0.0132,63,25,218
44b6_d5e7d891,893,19081,246,18835,647,0.0129,0.2755,0.0246,246,118,647
44b6_d754aa59,70,4305,61,4244,9,0.0142,0.8714,0.0279,61,0,9
44b6_d78e09d9,451,12812,277,12535,174,0.0216,0.6142,0.0418,277,44,174
44b6_db3c847b,162,8814,96,8718,66,0.0109,0.5926,0.0214,96,11,66
44b6_ddf577ad,647,9384,78,9306,569,0.0083,0.1206,0.0156,78,30,569
44b6_deabac95,124,10640,87,10553,37,0.0082,0.7016,0.0162,87,15,37
44b6_e28840c6,309,10869,16,10853,293,0.0015,0.0518,0.0029,16,2,293
44b6_e29f0176,50,6820,15,6805,35,0.0022,0.3,0.0044,15,3,35
44b6_e31261b4,113,14664,29,14635,84,0.002,0.2566,0.0039,29,0,84
44b6_e35b117d,266,12975,88,12887,178,0.0068,0.3308,0.0133,88,28,178
44b6_e57ff5c6,186,7605,55,7550,131,0.0072,0.2957,0.0141,55,14,131
44b6_eb2880fc,379,9859,92,9767,287,0.0093,0.2427,0.018,92,23,287
44b6_f28707c6,61,11951,31,11920,30,0.0026,0.5082,0.0052,31,16,30
6bba_05b6850b,845,5390,683,4707,162,0.1267,0.8083,0.2191,685,111,160
6bba_05db0fb1,1183,20263,326,19937,857,0.0161,0.2756,0.0304,326,55,857
6bba_062c8d37,898,4306,680,3626,218,0.1579,0.7572,0.2613,682,111,216
6bba_07477033,602,4203,495,3708,107,0.1178,0.8223,0.206,495,100,107
6bba_07e24132,345,10788,152,10636,193,0.0141,0.4406,0.0273,152,23,193
6bba_085bf656,1168,7006,930,6076,238,0.1327,0.7962,0.2276,930,253,238
6bba_09961292,1871,9681,504,9177,1367,0.0521,0.2694,0.0873,504,65,1367
6bba_0c7fa718,659,6048,265,5783,394,0.0438,0.4021,0.079,265,51,394
6bba_0e7c0d07,198,11845,109,11736,89,0.0092,0.5505,0.0181,109,27,89
6bba_12665c0e,998,6191,826,5365,172,0.1334,0.8277,0.2298,826,62,172
6bba_13f19531,704,4725,610,4115,94,0.1291,0.8665,0.2247,610,101,94
6bba_15403b9a,729,5123,494,4629,235,0.0964,0.6776,0.1688,492,105,237
6bba_1d0d8384,1365,6960,400,6560,965,0.0575,0.293,0.0961,400,83,965
6bba_1ebfb80d,719,6933,436,6497,283,0.0629,0.6064,0.114,438,76,281
6bba_1f58c2f6,299,9351,94,9257,205,0.0101,0.3144,0.0195,94,16,205
6bba_207c6aaf,450,6302,151,6151,299,0.024,0.3356,0.0447,151,43,299
6bba_20852818,909,6455,646,5809,263,0.1001,0.7107,0.1754,646,95,263
6bba_2312ac41,1132,8861,971,7890,161,0.1096,0.8578,0.1943,971,56,161
6bba_23af9eeb,499,3828,418,3410,81,0.1092,0.8377,0.1932,420,90,79
6bba_2540cd90,523,2877,317,2560,206,0.1102,0.6061,0.1865,316,172,207
6bba_2646afc7,721,4432,447,3985,274,0.1009,0.62,0.1735,446,197,275
6bba_268e1230,609,3081,371,2710,238,0.1204,0.6092,0.2011,371,55,238
6bba_2819ca14,949,4273,696,3577,253,0.1629,0.7334,0.2666,696,122,253
6bba_283bf9f1,1288,13750,858,12892,430,0.0624,0.6661,0.1141,857,120,431
6bba_312f0dc3,500,7092,337,6755,163,0.0475,0.674,0.0888,338,120,162
6bba_32db13fc,811,14167,250,13917,561,0.0176,0.3083,0.0334,250,83,561
6bba_337b1b3a,1213,10712,486,10226,727,0.0454,0.4007,0.0815,487,39,726
6bba_372c8cb8,1007,5933,883,5050,124,0.1488,0.8769,0.2545,881,127,126
6bba_3a1849c2,1142,5554,773,4781,369,0.1392,0.6769,0.2309,773,113,369
6bba_3abfe10a,935,23533,347,23186,588,0.0147,0.3711,0.0284,347,89,588
6bba_3c5691b6,746,5393,636,4757,110,0.1179,0.8525,0.2072,636,123,110
6bba_3db54e20,474,12082,223,11859,251,0.0185,0.4705,0.0355,223,91,251
6bba_3fda6b25,1179,5345,827,4518,352,0.1547,0.7014,0.2535,827,77,352
6bba_43fea39d,880,4538,764,3774,116,0.1684,0.8682,0.282,764,76,116
6bba_474be664,286,17975,41,17934,245,0.0023,0.1434,0.0045,41,42,245
6bba_48816121,918,16722,662,16060,256,0.0396,0.7211,0.0751,661,135,257
6bba_4aa14c89,681,4346,539,3807,142,0.124,0.7915,0.2144,541,40,140
6bba_4f99ce20,1010,4427,830,3597,180,0.1875,0.8218,0.3053,830,93,180
6bba_4ffd3da3,689,10614,293,10321,396,0.0276,0.4253,0.0518,293,59,396
6bba_55b7eebe,688,4289,584,3705,104,0.1362,0.8488,0.2347,584,84,104
6bba_55c70843,467,14889,126,14763,341,0.0085,0.2698,0.0164,126,39,341
6bba_57b7cc1e,1592,29498,464,29034,1128,0.0157,0.2915,0.0298,462,217,1130
6bba_5a4d9360,722,4472,454,4018,268,0.1015,0.6288,0.1748,454,118,268
6bba_5b28472a,724,4562,646,3916,78,0.1416,0.8923,0.2444,646,69,78
6bba_5c039895,1145,6163,768,5395,377,0.1246,0.6707,0.2102,766,220,379
6bba_5c824876,1130,15485,821,14664,309,0.053,0.7265,0.0988,821,55,309
6bba_5dfe9ad1,1487,10271,520,9751,967,0.0506,0.3497,0.0885,520,39,967
6bba_5f89039d,885,4051,741,3310,144,0.1829,0.8373,0.3002,741,149,144
6bba_61dd1e0d,543,7117,413,6704,130,0.058,0.7606,0.1078,413,62,130
6bba_61ecbe65,614,4199,463,3736,151,0.1103,0.7541,0.1924,462,92,152
6bba_6321a359,798,3906,695,3211,103,0.1779,0.8709,0.2955,699,48,99
