dataset,radius_threshold_um,total_gt_nodes,total_pred_nodes,estimated_number_of_nodes,tp,fp,fn,precision,recall,f1_score,mean_distance_um
44b6_0113de3b,7.0,52,34247,25755.0,52,34195,0,0.0015,1.0,0.003,1.1238
44b6_0b24845f,7.0,51,39552,32795.0,35,39517,16,0.0009,0.6863,0.0018,3.6979
44b6_0c582fdc,7.0,71,32643,27958.0,61,32582,10,0.0019,0.8592,0.0037,1.8538
44b6_0db75fae,7.0,157,18757,15335.0,146,18611,11,0.0078,0.9299,0.0154,1.7799
44b6_12dfb391,7.0,788,71790,58672.0,779,71011,9,0.0109,0.9886,0.0215,2.1035
44b6_144b256d,7.0,121,79534,65376.0,110,79424,11,0.0014,0.9091,0.0028,2.9839
44b6_1574802b,7.0,155,20551,17677.0,140,20411,15,0.0068,0.9032,0.0135,2.1223
44b6_18ced818,7.0,100,94321,78644.0,95,94226,5,0.001,0.95,0.002,2.2107
44b6_1d530831,7.0,276,40754,35825.0,253,40501,23,0.0062,0.9167,0.0123,2.6627
44b6_24264f12,7.0,230,30320,26353.0,213,30107,17,0.007,0.9261,0.0139,2.2159
44b6_267148e4,7.0,280,24129,19130.0,241,23888,39,0.01,0.8607,0.0197,3.4888
44b6_2a2eff9f,7.0,214,61224,56367.0,204,61020,10,0.0033,0.9533,0.0066,2.2216
44b6_2f31fc2f,7.0,89,28127,24368.0,71,28056,18,0.0025,0.7978,0.005,4.104
44b6_33b596bf,7.0,50,26348,23330.0,41,26307,9,0.0016,0.82,0.0031,2.0035
44b6_341df25f,7.0,216,9006,7436.0,214,8792,2,0.0238,0.9907,0.0464,2.1451
44b6_3a861e03,7.0,935,49887,40546.0,918,48969,17,0.0184,0.9818,0.0361,2.0343
44b6_3bb3690f,7.0,400,39219,31937.0,346,38873,54,0.0088,0.865,0.0175,3.1559
44b6_40c45f5a,7.0,200,40358,32681.0,188,40170,12,0.0047,0.94,0.0093,3.0492
44b6_415c0a3a,7.0,331,60127,57292.0,270,59857,61,0.0045,0.8157,0.0089,2.9175
44b6_53f95252,7.0,70,45945,38715.0,67,45878,3,0.0015,0.9571,0.0029,1.7476
44b6_551a5dba,7.0,228,73498,57627.0,207,73291,21,0.0028,0.9079,0.0056,2.9684
44b6_5740d24b,7.0,173,20528,19730.0,167,20361,6,0.0081,0.9653,0.0161,1.9498
44b6_587a1e22,7.0,381,20871,18137.0,348,20523,33,0.0167,0.9134,0.0327,1.792
44b6_5f15d135,7.0,278,38432,29519.0,244,38188,34,0.0063,0.8777,0.0126,2.7109
