dataset,t,node_id,x,y,z,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_0b24845f,11,90000000036,244,172,63,0.46889022,1.3176715,1.0,2.13031,40.49646,0
44b6_0b24845f,12,91000000036,240,170,62,0.45889822,0.47990966,0.984127,2.1763353,43.178345,0
44b6_0b24845f,13,92000000036,236,173,61,0.47489825,0.2539047,0.96825397,2.1350024,40.76465,0
44b6_0b24845f,14,93000000036,236,174,61,0.44867674,0.51712304,0.96825397,2.3550162,54.71045,0
44b6_0b24845f,15,94000000036,233,173,60,0.479789,0.5258201,0.95238096,2.42597,59.80603,0
44b6_0b24845f,16,95000000036,229,175,59,0.4970613,0.61444974,0.93650794,2.433201,60.342407,0
44b6_0b24845f,17,96000000036,224,173,58,0.48748827,0.4500423,0.9206349,2.429591,60.07422,0
44b6_0b24845f,18,97000000036,218,169,57,0.4642169,0.31121245,0.9047619,2.307903,51.492188,0
44b6_0b24845f,19,98000000036,214,168,56,0.46118098,0.3071491,0.8888889,2.2587838,48.273926,0
44b6_0b24845f,20,99000000036,214,167,56,0.42993936,0.36469048,0.8888889,2.3198614,52.296753,0
44b6_0b24845f,21,100000000036,208,167,55,0.44257185,0.5907674,0.8730159,2.418696,59.269653,0
44b6_0b24845f,22,101000000036,202,166,54,0.45354897,0.67570496,0.85714287,2.3588579,54.978638,0
44b6_0b24845f,23,102000000036,199,163,53,0.46962744,0.6610966,0.84126985,2.3550162,54.71045,0
44b6_0b24845f,24,103000000036,192,162,52,0.469488,0.6783538,0.82539684,2.3854067,56.855957,0
44b6_0b24845f,25,104000000036,185,161,51,0.44538966,0.62973976,0.8095238,2.3928847,57.392334,0
44b6_0b24845f,26,105000000036,181,160,51,0.4392018,0.7162154,0.8095238,2.3741014,56.05139,0
44b6_0b24845f,27,106000000036,179,156,51,0.44997874,1.0294912,0.8095238,2.4475355,61.41516,0
44b6_0b24845f,28,107000000036,170,154,51,0.48538008,1.2608304,0.8095238,2.499849,65.43799,0
44b6_0b24845f,29,108000000036,168,153,51,0.48079374,1.3080335,0.8095238,2.5201738,67.04712,0
44b6_0b24845f,30,109000000036,162,152,50,0.48007584,1.1985868,0.7936508,2.4826555,64.097046,0
44b6_0b24845f,31,110000000036,157,151,49,0.46760488,1.1144726,0.7777778,2.458177,62.219727,0
44b6_0b24845f,32,111000000036,155,152,48,0.4645082,1.2698039,0.7619048,2.4861133,64.365234,0
44b6_0b24845f,33,112000000036,153,151,45,0.43332735,0.68249094,0.71428573,2.3778818,56.31958,0
44b6_0b24845f,34,113000000036,152,149,44,0.40921104,0.47564256,0.6984127,2.3703089,55.783203,0
44b6_0b24845f,35,114000000036,146,148,42,0.41099894,0.31492847,0.6666667,2.2753932,49.34668,0
44b6_0b24845f,36,115000000036,144,149,42,0.43240926,0.32756105,0.6666667,2.2376726,46.932983,0
44b6_0b24845f,37,116000000036,145,148,41,0.4554984,0.5075229,0.6507937,2.3665042,55.515015,0
44b6_0b24845f,38,117000000036,144,146,41,0.46534067,0.6120144,0.6507937,2.400316,57.92871,0
44b6_0b24845f,39,118000000027,254,240,5,0.79710776,0.83567303,0.07936508,2.2545931,48.005737,0
44b6_0b24845f,39,118000000036,141,147,42,0.47908732,0.7092109,0.6666667,2.4150422,59.001465,0
44b6_0b24845f,40,119000000027,253,240,3,0.80930966,1.0317004,0.04761905,2.3854067,56.855957,0
44b6_0b24845f,40,119000000036,140,148,42,0.5165844,0.8712913,0.6666667,2.472224,63.29248,0
44b6_0b24845f,41,120000000027,253,239,2,0.81365514,1.0157119,0.031746034,2.3356164,53.369507,0
44b6_0b24845f,41,120000000036,135,143,40,0.4853594,0.5832956,0.63492066,2.3928847,57.392334,0
44b6_0b24845f,42,121000000028,252,240,3,0.80393904,0.7120109,0.04761905,2.3854067,56.855957,0
44b6_0b24845f,42,121000000037,131,142,37,0.49656707,0.40460712,0.5873016,2.3511617,54.44226,0
44b6_0b24845f,43,122000000028,252,240,3,0.7884872,0.8512997,0.04761905,2.2917635,50.419434,0
44b6_0b24845f,43,122000000037,129,141,37,0.48174357,0.46529555,0.5873016,2.3626873,55.246826,0
44b6_0b24845f,44,123000000028,253,241,3,0.824926,1.0066984,0.04761905,2.4040146,58.1969,0
44b6_0b24845f,44,123000000037,126,140,36,0.50751114,0.5740615,0.5714286,2.4150422,59.001465,0
44b6_0b24845f,45,124000000028,250,242,2,0.7934653,1.3938599,0.031746034,2.451093,61.68335,0
44b6_0b24845f,45,124000000037,124,139,35,0.48735437,0.49471974,0.5555556,2.4077017,58.465088,0
44b6_0b24845f,46,125000000028,252,243,2,0.8415886,1.3404293,0.031746034,2.4652207,62.756104,0
44b6_0b24845f,46,125000000037,122,137,35,0.45257288,0.35571894,0.5555556,2.3198614,52.296753,0
44b6_0b24845f,47,126000000029,252,243,1,0.8485279,1.2896137,0.015873017,2.2836077,49.883057,0
44b6_0b24845f,47,126000000038,123,135,34,0.4531072,0.20344387,0.53968257,2.262959,48.542114,0
44b6_0b24845f,48,127000000029,254,242,1,0.80346453,1.0799369,0.015873017,2.1113307,39.423706,0
44b6_0b24845f,48,127000000038,124,133,34,0.44455442,0.27023447,0.53968257,2.216155,45.59204,0
44b6_0b24845f,49,128000000029,255,245,1,0.78058785,1.3070391,0.015873017,1.9566469,31.378052,0
44b6_0b24845f,49,128000000038,127,132,33,0.495522,0.40957168,0.52380955,2.3356164,53.369507,0
