dataset,total_nodes,total_edges,mean_dist_um,median_dist_um,p90_dist_um,p95_dist_um,p99_dist_um,max_dist_um,edges_over_7um,ratio_over_7um_pct,edges_over_10um,ratio_over_10um_pct,edges_over_15um,ratio_over_15um_pct
6bba_f1fde7e0,476,446,3.5992719915251783,3.0671202393287422,7.702650559932987,8.783831479238838,9.960166288941426,17.202181229788856,64,14.349775784753364,4,0.8968609865470852,1,0.2242152466367713
44b6_e57ff5c6,193,186,3.91261050661762,3.287841406064822,7.819437560229773,8.646287302584735,12.354231080549217,13.350737339188424,24,12.903225806451612,5,2.6881720430107525,0,0.0
6bba_7f87b3d8,1000,934,3.5039866509841207,3.040096626753827,7.462176414689009,8.482749038489821,9.909578925158195,15.118832678566822,113,12.098501070663811,8,0.8565310492505354,1,0.10706638115631692
44b6_87bba6c4,153,149,3.7500600057087095,3.300390601883359,8.00092826309918,9.402535500276917,11.719538345252463,12.328867610713484,18,12.080536912751679,4,2.684563758389262,0,0.0
44b6_f28707c6,63,61,3.9396872204160167,3.300390601883359,7.198768340834423,8.68463307011298,12.84773636554738,12.955490209270353,7,11.475409836065573,2,3.278688524590164,0,0.0
6bba_0c7fa718,704,659,3.759613897012966,3.350023320814349,7.189590622376978,8.330588577811545,9.651493659083226,9.992428774452184,73,11.077389984825494,0,0.0,0,0.0
44b6_e29f0176,51,50,4.16443108752755,3.7782013703158857,5.883104813715466,9.780884733752695,15.952449504116492,18.69191523928193,5,10.0,3,6.0,1,2.0
44b6_d754aa59,72,70,3.5947172078824945,3.040096626753827,6.337790171169292,8.474424667745684,11.421990050369871,15.351735447499086,6,8.571428571428571,1,1.4285714285714286,1,1.4285714285714286
6bba_acd782a8,356,330,3.678923300401847,3.300390601883359,6.558099677174257,7.593600972296538,9.036172915362751,20.909052502743876,28,8.484848484848486,2,0.6060606060606061,2,0.6060606060606061
6bba_87289e13,724,699,3.227314095315529,2.632800908728193,5.8814883528183985,8.166533902218012,10.804198668165979,18.058715001350457,57,8.15450643776824,9,1.2875536480686696,4,0.5722460658082975
44b6_c15fded2,104,102,3.3663212559483253,2.632800908728193,4.601419519189684,11.16106624882017,11.994546889136949,13.96105772541966,8,7.8431372549019605,6,5.88235294117647,0,0.0
6bba_67ebd073,462,438,2.843826880743808,2.03125,6.563169608695177,8.183170343388168,13.051621939834021,14.67569339290311,34,7.76255707762557,8,1.82648401826484,0,0.0
6bba_268e1230,641,609,3.2786301419074046,2.9575446425202108,6.104382026507121,7.914901284749244,9.27282867104208,15.254673976358852,47,7.717569786535304,2,0.3284072249589491,1,0.16420361247947454
6bba_a5e926bb,741,698,3.3791431807890486,2.8726212985703494,6.550584420492571,7.9498059418958125,9.727867077975759,19.338524132544343,53,7.593123209169055,5,0.7163323782234957,3,0.42979942693409745
6bba_e5e44988,666,634,3.8552349548107436,3.350023320814349,6.182284018648048,7.981264240613063,16.553143191002093,26.558933584106875,48,7.570977917981073,19,2.996845425867508,9,1.4195583596214512
