dataset,estimated_number_of_nodes,pred_nodes,pe_ratio,tp,fp,fn,precision,recall,f1_score,mean_dist_um
44b6_0113de3b,25755,42513,1.6507,52,42461,0,0.0012,1.0,0.0024,0.7836
44b6_0b24845f,32795,90360,2.7553,47,90313,4,0.0005,0.9216,0.001,3.6243
44b6_0c582fdc,27958,43028,1.539,68,42960,3,0.0016,0.9577,0.0032,1.3691
44b6_0db75fae,15335,28181,1.8377,155,28026,2,0.0055,0.9873,0.0109,1.7436
44b6_12dfb391,58672,95264,1.6237,785,94479,3,0.0082,0.9962,0.0163,1.9598
44b6_144b256d,65376,121701,1.8616,121,121580,0,0.001,1.0,0.002,2.2119
44b6_1574802b,17677,30081,1.7017,152,29929,3,0.0051,0.9806,0.0101,1.875
44b6_18ced818,78644,123847,1.5748,98,123749,2,0.0008,0.98,0.0016,2.3138
44b6_1d530831,35825,60779,1.6966,271,60508,5,0.0045,0.9819,0.0089,2.5708
44b6_24264f12,26353,40302,1.5293,224,40078,6,0.0056,0.9739,0.0111,1.8289
44b6_267148e4,19130,38980,2.0376,258,38722,22,0.0066,0.9214,0.0131,2.6128
44b6_2a2eff9f,56367,84465,1.4985,208,84257,6,0.0025,0.972,0.0049,2.0407
44b6_2f31fc2f,24368,49529,2.0325,88,49441,1,0.0018,0.9888,0.0035,3.7457
44b6_33b596bf,23330,36905,1.5819,46,36859,4,0.0012,0.92,0.0025,1.4878
44b6_341df25f,7436,12005,1.6144,213,11792,3,0.0177,0.9861,0.0349,2.3249
44b6_3a861e03,40546,64252,1.5847,935,63317,0,0.0146,1.0,0.0287,1.89
44b6_3bb3690f,31937,66792,2.0914,393,66399,7,0.0059,0.9825,0.0117,2.8141
44b6_40c45f5a,32681,54830,1.6777,192,54638,8,0.0035,0.96,0.007,2.808
44b6_415c0a3a,57292,81660,1.4253,311,81349,20,0.0038,0.9396,0.0076,2.6243
44b6_53f95252,38715,66889,1.7277,66,66823,4,0.001,0.9429,0.002,1.5392
44b6_551a5dba,57627,103904,1.803,219,103685,9,0.0021,0.9605,0.0042,2.6987
44b6_5740d24b,19730,52293,2.6504,172,52121,1,0.0033,0.9942,0.0066,2.1875
44b6_587a1e22,18137,29690,1.637,379,29311,2,0.0128,0.9948,0.0252,1.4983
44b6_5f15d135,29519,67692,2.2932,269,67423,9,0.004,0.9676,0.0079,2.427
44b6_668e0cc7,39701,54599,1.3753,637,53962,6,0.0117,0.9907,0.0231,1.7332
44b6_66f9292d,52710,91093,1.7282,193,90900,7,0.0021,0.965,0.0042,2.3862
44b6_706092f0,69898,132877,1.901,118,132759,0,0.0009,1.0,0.0018,2.5795
44b6_71a4179f,67688,119975,1.7725,121,119854,0,0.001,1.0,0.002,3.4504
44b6_74d0c52e,15090,63308,4.1954,137,63171,3,0.0022,0.9786,0.0043,1.7752
44b6_7a302da0,66858,111599,1.6692,502,111097,14,0.0045,0.9729,0.009,2.316
44b6_7e557709,56060,87795,1.5661,570,87225,0,0.0065,1.0,0.0129,1.8325
44b6_808952d6,15742,26237,1.6667,181,26056,0,0.0069,1.0,0.0137,3.3813
44b6_81c256f0,10052,23180,2.306,199,22981,0,0.0086,1.0,0.017,2.981
44b6_87bba6c4,28102,46244,1.6456,144,46100,9,0.0031,0.9412,0.0062,3.101
44b6_8cc6506c,32172,63412,1.971,386,63026,14,0.0061,0.965,0.0121,2.706
44b6_8f5ab931,27571,42576,1.5442,596,41980,20,0.014,0.9675,0.0276,2.1467
44b6_8f9ecab4,74833,118950,1.5895,371,118579,3,0.0031,0.992,0.0062,1.8708
44b6_90724892,25532,45220,1.7711,104,45116,1,0.0023,0.9905,0.0046,2.2042
44b6_949adeb1,37179,58660,1.5778,359,58301,29,0.0061,0.9253,0.0122,2.7419
44b6_95029e92,5161,10729,2.0789,200,10529,0,0.0186,1.0,0.0366,1.5995
44b6_97725144,35774,70488,1.9704,212,70276,13,0.003,0.9422,0.006,2.0054
44b6_996155de,7573,31013,4.0952,377,30636,3,0.0122,0.9921,0.024,1.8496
44b6_9be80b04,57877,113691,1.9644,218,113473,4,0.0019,0.982,0.0038,2.2191
44b6_9bfa6a0a,64308,102377,1.592,263,102114,1,0.0026,0.9962,0.0051,2.5193
