dataset,raw_nodes,final_nodes,edges,estimated_nodes,pe_ratio_raw,pe_ratio_final,culled_nodes,cull_rate_pct
44b6_0113de3b,29553,25943,22044,25755.0,1.1475,1.0073,3610,12.22
44b6_0b24845f,40674,34531,27954,32795.0,1.2403,1.0529,6143,15.1
44b6_0c582fdc,32079,27618,23750,27958.0,1.1474,0.9878,4461,13.91
44b6_0db75fae,17612,15488,13302,15335.0,1.1485,1.01,2124,12.06
44b6_12dfb391,70170,50324,38898,58672.0,1.196,0.8577,19846,28.28
44b6_144b256d,80909,65757,53243,65376.0,1.2376,1.0058,15152,18.73
44b6_1574802b,19450,16775,14021,17677.0,1.1003,0.949,2675,13.75
44b6_18ced818,98704,71755,54519,78644.0,1.2551,0.9124,26949,27.3
44b6_1d530831,42717,34652,28404,35825.0,1.1924,0.9673,8065,18.88
44b6_24264f12,29442,25946,22548,26353.0,1.1172,0.9846,3496,11.87
44b6_267148e4,23334,20660,17625,19130.0,1.2198,1.08,2674,11.46
44b6_2a2eff9f,64116,55055,45763,56367.0,1.1375,0.9767,9061,14.13
44b6_2f31fc2f,26648,24264,20307,24368.0,1.0936,0.9957,2384,8.95
44b6_33b596bf,26299,22662,19353,23330.0,1.1273,0.9714,3637,13.83
44b6_341df25f,7989,7400,6824,7436.0,1.0744,0.9952,589,7.37
44b6_3a861e03,46267,35796,28292,40546.0,1.1411,0.8828,10471,22.63
44b6_3bb3690f,43441,33697,26990,31937.0,1.3602,1.0551,9744,22.43
44b6_40c45f5a,41550,32179,26191,32681.0,1.2714,0.9846,9371,22.55
44b6_415c0a3a,63006,55468,47422,57292.0,1.0997,0.9682,7538,11.96
44b6_53f95252,46590,37160,30661,38715.0,1.2034,0.9598,9430,20.24
44b6_551a5dba,80046,55674,43127,57627.0,1.389,0.9661,24372,30.45
44b6_5740d24b,19251,17587,15157,19730.0,0.9757,0.8914,1664,8.64
44b6_587a1e22,20121,18418,16319,18137.0,1.1094,1.0155,1703,8.46
44b6_5f15d135,37358,30165,24458,29519.0,1.2656,1.0219,7193,19.25
44b6_668e0cc7,41553,38489,34178,39701.0,1.0466,0.9695,3064,7.37
44b6_66f9292d,63313,49979,40215,52710.0,1.2012,0.9482,13334,21.06
44b6_706092f0,96746,67275,51380,69898.0,1.3841,0.9625,29471,30.46
44b6_71a4179f,88003,66164,52208,67688.0,1.3001,0.9775,21839,24.82
44b6_74d0c52e,15466,14451,12569,15090.0,1.0249,0.9577,1015,6.56
