dataset,t,node_id,x,y,z,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_0113de3b,0,11000000075,249,222,63,0.8106618,4.6527276,1.0,2.1350024,40.76465,0
44b6_0113de3b,1,12000000075,251,227,63,0.7790895,4.218081,1.0,2.1113307,39.423706,0
44b6_0113de3b,2,13000000075,253,230,63,0.71753097,4.6910253,1.0,2.0522413,36.205444,0
44b6_0113de3b,27,38000000003,73,74,1,0.99815166,2.3111224,0.015873017,2.2419267,47.20117,0
44b6_0113de3b,28,39000000003,75,78,3,0.90303546,2.039154,0.04761905,2.400316,57.92871,0
44b6_0113de3b,29,40000000003,77,80,5,0.9945957,2.641905,0.07936508,2.5335438,68.11987,0
44b6_0113de3b,30,41000000003,78,86,7,0.94929475,2.7327237,0.11111111,2.4652207,62.756104,0
44b6_0113de3b,31,42000000003,77,91,9,1.0159317,3.4393873,0.14285715,2.5368643,68.38806,0
44b6_0113de3b,32,43000000003,81,98,11,0.95032686,2.6016047,0.17460318,2.4687274,63.024292,0
44b6_0113de3b,33,44000000003,78,104,11,0.9610111,3.274231,0.17460318,2.5235295,67.31531,0
44b6_0113de3b,34,45000000003,79,109,13,1.0058258,2.8492942,0.20634921,2.4791882,63.828857,0
44b6_0113de3b,35,46000000003,80,112,14,1.0111084,3.1104133,0.22222222,2.5032594,65.70618,0
44b6_0113de3b,36,47000000003,83,110,15,0.9905858,3.7873974,0.23809524,2.4826555,64.097046,0
44b6_0113de3b,37,48000000003,84,114,16,0.9953821,3.3809428,0.25396827,2.4652207,62.756104,0
44b6_0113de3b,38,49000000003,83,114,16,0.9922206,3.026574,0.25396827,2.4652207,62.756104,0
44b6_0113de3b,39,50000000003,89,114,18,0.9957901,3.079801,0.2857143,2.499849,65.43799,0
44b6_0113de3b,40,51000000003,92,116,19,0.9704712,2.8082783,0.3015873,2.475711,63.56067,0
44b6_0113de3b,41,52000000003,93,120,19,1.0043828,2.7220676,0.3015873,2.5066607,65.974365,0
44b6_0113de3b,42,53000000003,92,124,21,0.95226175,3.4630933,0.33333334,2.5235295,67.31531,0
44b6_0113de3b,43,54000000003,93,127,22,0.96310806,3.7134082,0.34920636,2.4964292,65.1698,0
44b6_0113de3b,44,55000000003,95,126,24,0.97835606,3.5512621,0.3809524,2.5134354,66.51074,0
44b6_0113de3b,45,56000000003,98,125,26,1.0196416,3.6805284,0.41269842,2.475711,63.56067,0
44b6_0113de3b,46,57000000003,107,118,29,1.0480869,4.2841945,0.46031746,2.5032594,65.70618,0
44b6_0113de3b,47,58000000003,118,110,31,1.0862111,4.5576787,0.4920635,2.5368643,68.38806,0
44b6_0113de3b,48,59000000003,116,125,31,1.0804636,5.160409,0.4920635,2.5368643,68.38806,0
44b6_0113de3b,49,60000000003,119,126,33,0.9972628,4.1848097,0.52380955,2.5302145,67.851685,0
44b6_0113de3b,50,61000000003,128,128,32,0.88035834,4.631944,0.50793654,2.472224,63.29248,0
44b6_0113de3b,51,62000000003,113,127,35,0.88030696,4.323359,0.5555556,2.4826555,64.097046,0
44b6_0113de3b,52,63000000003,118,125,37,0.8516645,3.9684227,0.5873016,2.4687274,63.024292,0
44b6_0113de3b,53,64000000003,122,124,38,0.921825,4.0537605,0.6031746,2.5066607,65.974365,0
44b6_0113de3b,54,65000000003,132,122,39,0.76753134,4.076905,0.61904764,2.4652207,62.756104,0
44b6_0113de3b,55,66000000003,132,120,41,0.80749565,4.2455597,0.6507937,2.4546402,61.951538,0
44b6_0113de3b,56,67000000003,137,118,42,0.8403129,3.3358748,0.6666667,2.4652207,62.756104,0
44b6_0113de3b,57,68000000003,137,120,43,0.9148265,3.9165633,0.6825397,2.4895616,64.63342,0
44b6_0113de3b,58,69000000003,139,121,44,0.9671017,3.8603792,0.6984127,2.5032594,65.70618,0
44b6_0113de3b,59,70000000003,143,121,47,0.82041997,3.2451174,0.74603176,2.4652207,62.756104,0
44b6_0113de3b,60,71000000003,147,122,48,0.89076144,3.572034,0.7619048,2.5032594,65.70618,0
44b6_0113de3b,61,72000000003,150,120,49,0.86215955,3.095056,0.7777778,2.4652207,62.756104,0
44b6_0113de3b,62,73000000003,153,122,50,0.83063656,3.7125401,0.7936508,2.4895616,64.63342,0
44b6_0113de3b,63,74000000003,156,123,50,0.84018594,3.6250439,0.7936508,2.493,64.90161,0
44b6_0113de3b,64,75000000003,159,123,51,0.8721844,3.5255058,0.8095238,2.4652207,62.756104,0
44b6_0113de3b,65,76000000003,164,126,53,0.8501513,4.5175276,0.84126985,2.493,64.90161,0
44b6_0113de3b,66,77000000003,171,127,54,0.8992866,4.5903788,0.85714287,2.4652207,62.756104,0
44b6_0113de3b,67,78000000003,173,128,56,0.8724086,4.344073,0.8888889,2.5201738,67.04712,0
44b6_0113de3b,68,79000000003,180,128,57,0.89617115,4.951966,0.9047619,2.4826555,64.097046,0
44b6_0113de3b,69,80000000004,182,129,58,0.936149,4.6676464,0.9206349,2.5401762,68.65625,0
44b6_0113de3b,70,81000000004,188,127,59,0.905361,5.053324,0.93650794,2.5168092,66.77893,0
44b6_0113de3b,71,82000000004,192,127,60,0.8902941,4.716483,0.95238096,2.5168092,66.77893,0
44b6_0113de3b,72,83000000004,194,128,61,0.9293764,4.502108,0.96825397,2.4652207,62.756104,0
44b6_0113de3b,73,84000000004,196,128,62,1.007204,5.339983,0.984127,2.3277657,52.83313,0
44b6_0113de3b,74,85000000004,200,130,63,1.0234567,5.6145325,1.0,2.1350024,40.76465,0
44b6_0113de3b,75,86000000004,202,128,63,0.8784405,5.4097853,1.0,2.1350024,40.76465,0
44b6_0b24845f,11,90000000036,244,172,63,0.46889022,1.3176715,1.0,2.13031,40.49646,0
44b6_0b24845f,12,91000000036,240,170,62,0.45889822,0.47990966,0.984127,2.1763353,43.178345,0
44b6_0b24845f,13,92000000036,236,173,61,0.47489825,0.2539047,0.96825397,2.1350024,40.76465,0
44b6_0b24845f,14,93000000036,236,174,61,0.44867674,0.51712304,0.96825397,2.3550162,54.71045,0
44b6_0b24845f,15,94000000036,233,173,60,0.479789,0.5258201,0.95238096,2.42597,59.80603,0
44b6_0b24845f,16,95000000036,229,175,59,0.4970613,0.61444974,0.93650794,2.433201,60.342407,0
44b6_0b24845f,17,96000000036,224,173,58,0.48748827,0.4500423,0.9206349,2.429591,60.07422,0
44b6_0b24845f,18,97000000036,218,169,57,0.4642169,0.31121245,0.9047619,2.307903,51.492188,0
44b6_0b24845f,19,98000000036,214,168,56,0.46118098,0.3071491,0.8888889,2.2587838,48.273926,0
44b6_0b24845f,20,99000000036,214,167,56,0.42993936,0.36469048,0.8888889,2.3198614,52.296753,0
44b6_0b24845f,21,100000000036,208,167,55,0.44257185,0.5907674,0.8730159,2.418696,59.269653,0
44b6_0b24845f,22,101000000036,202,166,54,0.45354897,0.67570496,0.85714287,2.3588579,54.978638,0
44b6_0b24845f,23,102000000036,199,163,53,0.46962744,0.6610966,0.84126985,2.3550162,54.71045,0
44b6_0b24845f,24,103000000036,192,162,52,0.469488,0.6783538,0.82539684,2.3854067,56.855957,0
44b6_0b24845f,25,104000000036,185,161,51,0.44538966,0.62973976,0.8095238,2.3928847,57.392334,0
44b6_0b24845f,26,105000000036,181,160,51,0.4392018,0.7162154,0.8095238,2.3741014,56.05139,0
44b6_0b24845f,27,106000000036,179,156,51,0.44997874,1.0294912,0.8095238,2.4475355,61.41516,0
