dataset,t,node_id,y,x,z,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_0113de3b,0,11000000075,222,249,63,0.27656898,4.6520295,1.0,2.1350024,40.76465,0
44b6_0113de3b,1,12000000075,227,251,63,0.26600578,4.217459,1.0,2.1113307,39.423706,0
44b6_0113de3b,2,13000000075,230,253,63,0.24541001,4.690223,1.0,2.0522413,36.205444,0
44b6_0113de3b,27,38000000003,74,73,1,0.33929795,2.3109334,0.015873017,2.2419267,47.20117,0
44b6_0113de3b,28,39000000003,78,75,3,0.30747467,2.0389783,0.04761905,2.400316,57.92871,0
44b6_0113de3b,29,40000000003,80,77,5,0.33810824,2.6416678,0.07936508,2.5335438,68.11987,0
44b6_0113de3b,30,41000000003,86,78,7,0.3229518,2.732453,0.11111111,2.4652207,62.756104,0
44b6_0113de3b,31,42000000003,91,77,9,0.34524667,3.4390135,0.14285715,2.5368643,68.38806,0
44b6_0113de3b,32,43000000003,98,81,11,0.3232971,2.601364,0.17460318,2.4687274,63.024292,0
44b6_0113de3b,33,44000000003,104,78,11,0.32687175,3.2738771,0.17460318,2.5235295,67.31531,0
44b6_0113de3b,34,45000000003,109,79,13,0.3418655,2.849024,0.20634921,2.4791882,63.828857,0
44b6_0113de3b,35,46000000003,112,80,14,0.3436329,3.1100984,0.22222222,2.5032594,65.70618,0
44b6_0113de3b,36,47000000003,110,83,15,0.33676663,3.7869427,0.23809524,2.4826555,64.097046,0
44b6_0113de3b,37,48000000003,114,84,16,0.3383713,3.3805795,0.25396827,2.4652207,62.756104,0
44b6_0113de3b,38,49000000003,114,83,16,0.3373136,3.0262654,0.25396827,2.4652207,62.756104,0
44b6_0113de3b,39,50000000003,114,89,18,0.33850786,3.079494,0.2857143,2.499849,65.43799,0
44b6_0113de3b,40,51000000003,116,92,19,0.33003682,2.808005,0.3015873,2.475711,63.56067,0
44b6_0113de3b,41,52000000003,120,93,19,0.34138274,2.7218184,0.3015873,2.5066607,65.974365,0
44b6_0113de3b,42,53000000003,124,92,21,0.32394442,3.462701,0.33333334,2.5235295,67.31531,0
44b6_0113de3b,43,54000000003,127,93,22,0.3275733,3.7129729,0.34920636,2.4964292,65.1698,0
44b6_0113de3b,44,55000000003,126,95,24,0.3326749,3.5508735,0.3809524,2.5134354,66.51074,0
44b6_0113de3b,45,56000000003,125,98,26,0.3464879,3.680138,0.41269842,2.475711,63.56067,0
44b6_0113de3b,46,57000000003,118,107,29,0.35600492,4.2836905,0.46031746,2.5032594,65.70618,0
44b6_0113de3b,47,58000000003,110,118,31,0.36876023,4.557134,0.4920635,2.5368643,68.38806,0
44b6_0113de3b,48,59000000003,125,116,31,0.36683732,5.1597195,0.4920635,2.5368643,68.38806,0
44b6_0113de3b,49,60000000003,126,119,33,0.33900055,4.184302,0.52380955,2.5302145,67.851685,0
44b6_0113de3b,50,61000000003,128,128,32,0.29988754,4.631239,0.50793654,2.472224,63.29248,0
44b6_0113de3b,51,62000000003,127,113,35,0.29987034,4.3227415,0.5555556,2.4826555,64.097046,0
44b6_0113de3b,52,63000000003,125,118,37,0.2902874,3.9678817,0.5873016,2.4687274,63.024292,0
44b6_0113de3b,53,64000000003,124,122,38,0.31376114,4.053247,0.6031746,2.5066607,65.974365,0
44b6_0113de3b,54,65000000003,122,132,39,0.26213875,4.0762577,0.61904764,2.4652207,62.756104,0
44b6_0113de3b,55,66000000003,120,132,41,0.27550972,4.2448907,0.6507937,2.4546402,61.951538,0
