dataset,t,eval_result,gt_node_id,gt_z,gt_y,gt_x,pred_node_id,pred_z,pred_y,pred_x,distance_um
44b6_0b24845f,0,FP,,,,,0.0,53.0,20.0,23.0,
44b6_0b24845f,0,FP,,,,,1.0,33.0,22.0,76.0,
44b6_0b24845f,0,FP,,,,,2.0,55.0,157.0,72.0,
44b6_0b24845f,0,FP,,,,,3.0,54.0,158.0,72.0,
44b6_0b24845f,0,FP,,,,,4.0,34.0,22.0,77.0,
44b6_0b24845f,0,FP,,,,,5.0,49.0,228.0,235.0,
44b6_0b24845f,0,FP,,,,,6.0,10.0,105.0,119.0,
44b6_0b24845f,0,FP,,,,,7.0,52.0,22.0,22.0,
44b6_0b24845f,0,FP,,,,,8.0,53.0,107.0,208.0,
44b6_0b24845f,0,FP,,,,,9.0,11.0,108.0,162.0,
44b6_0b24845f,0,FP,,,,,10.0,54.0,112.0,113.0,
44b6_0b24845f,0,FP,,,,,11.0,53.0,113.0,113.0,
44b6_0b24845f,0,FP,,,,,12.0,15.0,61.0,80.0,
44b6_0b24845f,0,FP,,,,,13.0,52.0,229.0,120.0,
44b6_0b24845f,0,FP,,,,,14.0,44.0,83.0,32.0,
44b6_0b24845f,0,FP,,,,,15.0,15.0,117.0,144.0,
44b6_0b24845f,0,FP,,,,,16.0,19.0,107.0,32.0,
44b6_0b24845f,0,FP,,,,,17.0,15.0,115.0,146.0,
44b6_0b24845f,0,FP,,,,,18.0,60.0,109.0,64.0,
44b6_0b24845f,0,FP,,,,,19.0,37.0,105.0,190.0,
44b6_0b24845f,0,FP,,,,,20.0,14.0,163.0,113.0,
44b6_0b24845f,0,FP,,,,,21.0,43.0,118.0,220.0,
44b6_0b24845f,0,FP,,,,,22.0,46.0,200.0,191.0,
44b6_0b24845f,0,FP,,,,,23.0,38.0,105.0,191.0,
44b6_0b24845f,0,FP,,,,,24.0,19.0,31.0,98.0,
44b6_0b24845f,0,FP,,,,,25.0,52.0,18.0,46.0,
