dataset,total_gt_edges,total_pred_edges,tp,fp,fn,precision,recall,f1_score,official_edge_tp,official_edge_fp,official_edge_fn
44b6_0113de3b,50,22044,47,21997,3,0.0021,0.94,0.0043,47,2,3
44b6_0b24845f,49,27954,24,27930,25,0.0009,0.4898,0.0017,24,5,25
44b6_0c582fdc,70,23750,49,23701,21,0.0021,0.7,0.0041,49,16,21
44b6_0db75fae,151,13302,125,13177,26,0.0094,0.8278,0.0186,125,9,26
44b6_12dfb391,773,38898,449,38449,324,0.0115,0.5809,0.0226,449,106,324
44b6_144b256d,119,53243,94,53149,25,0.0018,0.7899,0.0035,94,12,25
44b6_1574802b,153,14021,123,13898,30,0.0088,0.8039,0.0174,123,13,30
44b6_18ced818,99,54519,62,54457,37,0.0011,0.6263,0.0023,62,17,37
44b6_1d530831,271,28404,186,28218,85,0.0065,0.6863,0.013,186,42,85
44b6_24264f12,221,22548,175,22373,46,0.0078,0.7919,0.0154,176,21,45
44b6_267148e4,277,17625,152,17473,125,0.0086,0.5487,0.017,152,70,125
44b6_2a2eff9f,210,45763,162,45601,48,0.0035,0.7714,0.007,162,17,48
44b6_2f31fc2f,85,20307,40,20267,45,0.002,0.4706,0.0039,40,34,45
44b6_33b596bf,49,19353,39,19314,10,0.002,0.7959,0.004,39,6,10
44b6_341df25f,209,6824,192,6632,17,0.0281,0.9187,0.0546,192,7,17
44b6_3a861e03,919,28292,618,27674,301,0.0218,0.6725,0.0423,616,86,303
44b6_3bb3690f,396,26990,209,26781,187,0.0077,0.5278,0.0153,209,82,187
44b6_40c45f5a,198,26191,138,26053,60,0.0053,0.697,0.0105,138,39,60
44b6_415c0a3a,322,47422,205,47217,117,0.0043,0.6366,0.0086,205,60,117
44b6_53f95252,68,30661,56,30605,12,0.0018,0.8235,0.0036,56,5,12
44b6_551a5dba,224,43127,89,43038,135,0.0021,0.3973,0.0041,89,37,135
44b6_5740d24b,170,15157,153,15004,17,0.0101,0.9,0.02,153,15,17
44b6_587a1e22,371,16319,303,16016,68,0.0186,0.8167,0.0363,303,33,68
44b6_5f15d135,273,24458,164,24294,109,0.0067,0.6007,0.0133,164,46,109
44b6_668e0cc7,631,34178,513,33665,118,0.015,0.813,0.0295,513,77,118
44b6_66f9292d,198,40215,113,40102,85,0.0028,0.5707,0.0056,113,30,85
44b6_706092f0,117,51380,73,51307,44,0.0014,0.6239,0.0028,73,18,44
44b6_71a4179f,119,52208,80,52128,39,0.0015,0.6723,0.0031,80,35,39
44b6_74d0c52e,139,12569,90,12479,49,0.0072,0.6475,0.0142,90,22,49
44b6_7a302da0,507,51979,313,51666,194,0.006,0.6174,0.0119,313,84,194
44b6_7e557709,560,42470,413,42057,147,0.0097,0.7375,0.0192,413,67,147
44b6_808952d6,179,14702,179,14523,0,0.0122,1.0,0.0241,179,0,0
44b6_81c256f0,197,9630,197,9433,0,0.0205,1.0,0.0401,197,0,0
44b6_87bba6c4,149,24900,86,24814,63,0.0035,0.5772,0.0069,86,50,63
44b6_8cc6506c,396,27655,249,27406,147,0.009,0.6288,0.0178,249,65,147
44b6_8f5ab931,604,22736,424,22312,180,0.0186,0.702,0.0363,424,81,180
44b6_8f9ecab4,370,60691,250,60441,120,0.0041,0.6757,0.0082,250,53,120
44b6_90724892,103,20551,84,20467,19,0.0041,0.8155,0.0081,84,10,19
44b6_949adeb1,378,30612,244,30368,134,0.008,0.6455,0.0157,244,70,134
44b6_95029e92,198,4454,196,4258,2,0.044,0.9899,0.0843,196,0,2
44b6_97725144,221,30062,141,29921,80,0.0047,0.638,0.0093,141,21,80
44b6_996155de,377,8440,320,8120,57,0.0379,0.8488,0.0726,320,7,57
44b6_9be80b04,220,44777,93,44684,127,0.0021,0.4227,0.0041,93,33,127
44b6_9bfa6a0a,259,48004,139,47865,120,0.0029,0.5367,0.0058,139,64,120
44b6_a21120c2,286,20102,244,19858,42,0.0121,0.8531,0.0239,244,34,42
44b6_a2bb48bb,410,49359,200,49159,210,0.0041,0.4878,0.008,201,94,209
44b6_aaf8b0ea,206,19081,203,18878,3,0.0106,0.9854,0.0211,203,3,3
44b6_abf82518,94,22877,93,22784,1,0.0041,0.9894,0.0081,93,0,1
44b6_b2c44266,168,45837,118,45719,50,0.0026,0.7024,0.0051,118,36,50
44b6_c15fded2,102,16604,72,16532,30,0.0043,0.7059,0.0086,72,25,30
44b6_c50204e0,325,40172,160,40012,165,0.004,0.4923,0.0079,159,87,166
