dataset,gt_nodes,est_nodes,pred_nodes,node_tp,node_fp,node_fn,node_recall,node_precision,node_f1,pre_pe_ratio,gt_edges,pred_edges,edge_tp,edge_fp,edge_fn,edge_recall,edge_precision,edge_f1,official_edge_tp,official_edge_fp,official_edge_fn,official_jaccard,official_dice,post_node_recall,final_pe_ratio,pass1_edges,pass2_edges
44b6_0113de3b,52,25755,31866,52,31814,0,1.0,0.0016318333019519236,0.003258349520646657,1.2372743156668609,50,27881,47,27834,3,0.94,0.0016857358057458484,0.003365436253625004,47,2,3,0.9038461538461539,0.9494949494949495,1.0,1.1971655989128325,27344,537
44b6_0b24845f,51,32795,73569,44,73525,7,0.8627450980392157,0.0005980779948075956,0.0011953273566965498,2.2432992834273517,49,56328,30,56298,19,0.6122448979591837,0.0005325948018747337,0.0010642637955194493,30,11,19,0.5,0.6666666666666666,0.8627450980392157,2.0433907607867052,52617,3711
44b6_0c582fdc,71,27958,37838,67,37771,4,0.9436619718309859,0.0017707066969712987,0.0035347806589464243,1.3533872236926818,70,32060,51,32009,19,0.7285714285714285,0.0015907673112913287,0.0031746031746031746,51,10,19,0.6375,0.7786259541984732,0.9295774647887324,1.2904356534802204,30944,1116
44b6_0db75fae,157,15335,20261,152,20109,5,0.9681528662420382,0.007502097625980949,0.014888823587031051,1.3212259537006847,151,17458,133,17325,18,0.8807947019867549,0.007618283881315156,0.015105911749673462,133,10,18,0.8260869565217391,0.9047619047619048,0.9554140127388535,1.2628627323117052,16857,601
44b6_12dfb391,788,58672,81489,785,80704,3,0.9961928934010152,0.009633202027267484,0.0190818819354133,1.388890782656122,773,71652,639,71013,134,0.8266494178525227,0.008918104170155752,0.0176458405246807,639,156,134,0.6878363832077503,0.8150510204081632,0.9949238578680203,1.3339241887101172,68649,3003
44b6_144b256d,121,65376,102865,119,102746,2,0.9834710743801653,0.0011568560734943859,0.00231099372730274,1.5734367351933432,119,92174,103,92071,16,0.865546218487395,0.0011174517759888905,0.0022320219301572167,103,13,16,0.7803030303030303,0.8765957446808511,0.9834710743801653,1.5139347772883016,88551,3623
44b6_1574802b,155,17677,22005,144,21861,11,0.9290322580645162,0.006543967280163599,0.012996389891696752,1.2448379249872716,153,19740,125,19615,28,0.8169934640522876,0.006332320162107396,0.012567234705675364,125,12,28,0.7575757575757576,0.8620689655172413,0.9290322580645162,1.210160095038751,19088,652
44b6_18ced818,100,78644,113341,98,113243,2,0.98,0.0008646473914999868,0.0017277703828421824,1.4411906820609328,99,93261,80,93181,19,0.8080808080808081,0.0008578076580778675,0.0017137960582690663,80,18,19,0.6837606837606838,0.8121827411167513,0.98,1.3675296271807131,88233,5028
44b6_1d530831,276,35825,55134,271,54863,5,0.9818840579710145,0.004915297275728226,0.009781627865006316,1.5389811584089323,271,47091,220,46871,51,0.8118081180811808,0.00467180565288484,0.009290148220092057,220,50,51,0.6853582554517134,0.8133086876155268,0.9818840579710145,1.4675505931612003,45230,1861
44b6_24264f12,230,26353,33880,220,33660,10,0.9565217391304348,0.006493506493506494,0.012899442978598652,1.2856221303077449,221,29490,183,29307,38,0.8280542986425339,0.006205493387589013,0.012318669852916428,183,15,38,0.7754237288135594,0.8735083532219571,0.9521739130434783,1.2393655371304975,28709,781
44b6_267148e4,280,19130,29151,259,28892,21,0.925,0.008884772392027718,0.017600489280010873,1.5238369053842133,277,23612,172,23440,105,0.6209386281588448,0.007284431644926309,0.014399933023567332,172,81,105,0.48044692737430167,0.6490566037735849,0.9142857142857143,1.4279665446941976,22482,1130
44b6_2a2eff9f,214,56367,74612,211,74401,3,0.985981308411215,0.002827963330295395,0.005639750888728517,1.323682296379087,210,65364,186,65178,24,0.8857142857142857,0.002845603084266569,0.005672980144569494,186,27,24,0.7848101265822784,0.8794326241134752,0.985981308411215,1.274788440044707,62826,2538
44b6_2f31fc2f,89,24368,39819,79,39740,10,0.8876404494382022,0.0019839774981792613,0.003959105943670442,1.634069271175312,85,30367,37,30330,48,0.43529411764705883,0.001218427898705832,0.002430053855247603,37,43,48,0.2890625,0.4484848484848485,0.8764044943820225,1.4986047275114904,28690,1677
44b6_33b596bf,50,23330,30195,45,30150,5,0.9,0.0014903129657228018,0.002975698462555794,1.2942563223317616,49,25088,41,25047,8,0.8367346938775511,0.001634247448979592,0.003262123562875443,41,3,8,0.7884615384615384,0.8817204301075269,0.9,1.2251607372481783,24118,970
44b6_341df25f,216,7436,7986,207,7779,9,0.9583333333333334,0.025920360631104433,0.05047549378200439,1.0739644970414202,209,7351,197,7154,12,0.9425837320574163,0.02679907495578833,0.052116402116402116,197,4,12,0.9248826291079812,0.9609756097560975,0.9583333333333334,1.0472027972027973,7225,126
44b6_3a861e03,935,40546,53186,926,52260,9,0.9903743315508021,0.017410596773587035,0.034219619001866194,1.3117446850490802,919,46065,783,45282,136,0.8520130576713819,0.016997720612178444,0.03333049548782564,783,134,136,0.7435897435897436,0.8529411764705882,0.9850267379679144,1.2538844768904454,44428,1637
44b6_3bb3690f,400,31937,61193,394,60799,6,0.985,0.006438644943049042,0.012793661617391587,1.9160534802893197,396,51079,281,50798,115,0.7095959595959596,0.005501282327375242,0.010917921321029625,279,137,117,0.5234521575984991,0.687192118226601,0.98,1.8104079907317532,47577,3502
44b6_40c45f5a,200,32681,50225,191,50034,9,0.955,0.0038028870084619213,0.007575607337630144,1.5368256785288088,198,42469,144,42325,54,0.7272727272727273,0.0033907085168004896,0.006749947266036984,144,51,54,0.5783132530120482,0.732824427480916,0.955,1.4588904868272086,40262,2207
44b6_415c0a3a,331,57292,73273,305,72968,26,0.9214501510574018,0.004162515524135766,0.008287593065594262,1.27893946798855,322,66251,244,66007,78,0.7577639751552795,0.0036829632760260224,0.007330299070193623,244,54,78,0.648936170212766,0.7870967741935484,0.918429003021148,1.2419360469175451,64149,2102
44b6_53f95252,70,38715,57880,68,57812,2,0.9714285714285714,0.0011748445058742225,0.0023468507333908543,1.4950277670153687,68,49218,60,49158,8,0.8823529411764706,0.0012190661952944045,0.0024347684940956866,60,2,8,0.8571428571428571,0.9230769230769231,0.9714285714285714,1.4242025054888285,46959,2259
44b6_551a5dba,228,57627,94915,220,94695,8,0.9649122807017544,0.0023178633514196914,0.0046246176807542335,1.6470578027660645,224,80717,162,80555,62,0.7232142857142857,0.002007012153573597,0.004002915704031332,163,62,61,0.5699300699300699,0.7260579064587973,0.9649122807017544,1.5649608690370833,75980,4737
44b6_5740d24b,173,19730,40272,171,40101,2,0.9884393063583815,0.0042461263408820026,0.008455927803189517,2.041155600608211,170,31702,165,31537,5,0.9705882352941176,0.005204718945176961,0.010353915662650603,165,3,5,0.953757225433526,0.9763313609467456,0.9884393063583815,1.8682209832742018,29406,2296
44b6_587a1e22,381,18137,21511,377,21134,4,0.989501312335958,0.017525916972711636,0.03444180522565321,1.1860285604013894,371,19312,329,18983,42,0.8867924528301887,0.017036039768019883,0.03342986333384138,329,27,42,0.8266331658291457,0.9050894085281981,0.9816272965879265,1.159011964492474,19020,292
44b6_5f15d135,278,29519,56669,258,56411,20,0.9280575539568345,0.004552753710141347,0.009061056772086327,1.9197466038822453,273,46823,208,46615,65,0.7619047619047619,0.0044422612818486645,0.008833021912688976,208,45,65,0.6540880503144654,0.7908745247148289,0.9244604316546763,1.8040245265761035,44295,2528
44b6_668e0cc7,643,39701,45897,637,45260,6,0.9906687402799378,0.01387890276052901,0.027374301675977656,1.1560665978186948,631,41364,555,40809,76,0.8795562599049128,0.013417464461850884,0.026431718061674006,555,72,76,0.7894736842105263,0.8823529411764706,0.9844479004665629,1.124959069041082,40315,1049
