dataset,radius_threshold_um,total_gt_nodes,total_pred_nodes,estimated_number_of_nodes,tp,fp,fn,precision,recall,f1_score,mean_distance_um
44b6_0113de3b,7.0,52,29560,25755.0,52,29508,0,0.0018,1.0,0.0035,0.7372
44b6_0b24845f,7.0,51,40892,32795.0,36,40856,15,0.0009,0.7059,0.0018,3.4106
44b6_0c582fdc,7.0,71,32109,27958.0,66,32043,5,0.0021,0.9296,0.0041,2.2271
44b6_0db75fae,7.0,157,17612,15335.0,147,17465,10,0.0083,0.9363,0.0165,1.45
44b6_12dfb391,7.0,788,70294,58672.0,781,69513,7,0.0111,0.9911,0.022,1.9173
44b6_144b256d,7.0,121,81473,65376.0,112,81361,9,0.0014,0.9256,0.0027,2.4021
44b6_1574802b,7.0,155,19457,17677.0,145,19312,10,0.0075,0.9355,0.0148,1.9775
44b6_18ced818,7.0,100,98743,78644.0,97,98646,3,0.001,0.97,0.002,2.0464
44b6_1d530831,7.0,276,42754,35825.0,258,42496,18,0.006,0.9348,0.012,2.6171
44b6_24264f12,7.0,230,29451,26353.0,218,29233,12,0.0074,0.9478,0.0147,1.799
44b6_267148e4,7.0,280,23333,19130.0,246,23087,34,0.0105,0.8786,0.0208,2.9177
44b6_2a2eff9f,7.0,214,64155,56367.0,208,63947,6,0.0032,0.972,0.0065,2.1752
44b6_2f31fc2f,7.0,89,26695,24368.0,78,26617,11,0.0029,0.8764,0.0058,4.1738
44b6_33b596bf,7.0,50,26320,23330.0,45,26275,5,0.0017,0.9,0.0034,1.307
44b6_341df25f,7.0,216,7996,7436.0,207,7789,9,0.0259,0.9583,0.0504,1.9091
44b6_3a861e03,7.0,935,46343,40546.0,920,45423,15,0.0199,0.984,0.0389,1.7359
44b6_3bb3690f,7.0,400,43485,31937.0,364,43121,36,0.0084,0.91,0.0166,3.062
44b6_40c45f5a,7.0,200,41576,32681.0,186,41390,14,0.0045,0.93,0.0089,3.1381
44b6_415c0a3a,7.0,331,63058,57292.0,281,62777,50,0.0045,0.8489,0.0089,3.0447
44b6_53f95252,7.0,70,46643,38715.0,67,46576,3,0.0014,0.9571,0.0029,1.5795
44b6_551a5dba,7.0,228,80053,57627.0,213,79840,15,0.0027,0.9342,0.0053,2.7753
44b6_5740d24b,7.0,173,19252,19730.0,167,19085,6,0.0087,0.9653,0.0172,1.9107
44b6_587a1e22,7.0,381,20126,18137.0,367,19759,14,0.0182,0.9633,0.0358,1.429
44b6_5f15d135,7.0,278,37539,29519.0,240,37299,38,0.0064,0.8633,0.0127,2.5282
44b6_668e0cc7,7.0,643,41558,39701.0,623,40935,20,0.015,0.9689,0.0295,1.6963
44b6_66f9292d,7.0,200,63374,52710.0,158,63216,42,0.0025,0.79,0.005,2.7627
44b6_706092f0,7.0,118,97586,69898.0,112,97474,6,0.0011,0.9492,0.0023,2.9516
44b6_71a4179f,7.0,121,88466,67688.0,119,88347,2,0.0013,0.9835,0.0027,3.4175
44b6_74d0c52e,7.0,140,15465,15090.0,115,15350,25,0.0074,0.8214,0.0147,2.2117
44b6_7a302da0,7.0,516,84212,66858.0,491,83721,25,0.0058,0.9516,0.0116,2.3656
44b6_7e557709,7.0,570,65274,56060.0,564,64710,6,0.0086,0.9895,0.0171,1.705
44b6_808952d6,7.0,181,17250,15742.0,181,17069,0,0.0105,1.0,0.0208,2.1269
44b6_81c256f0,7.0,199,11229,10052.0,199,11030,0,0.0177,1.0,0.0348,1.9778
44b6_87bba6c4,7.0,153,32189,28102.0,138,32051,15,0.0043,0.902,0.0085,3.7795
44b6_8cc6506c,7.0,400,41770,32172.0,371,41399,29,0.0089,0.9275,0.0176,2.8291
44b6_8f5ab931,7.0,616,30572,27571.0,539,30033,77,0.0176,0.875,0.0346,2.3417
44b6_8f9ecab4,7.0,374,92530,74833.0,366,92164,8,0.004,0.9786,0.0079,2.1232
44b6_90724892,7.0,105,28793,25532.0,103,28690,2,0.0036,0.981,0.0071,2.6949
44b6_949adeb1,7.0,388,43898,37179.0,339,43559,49,0.0077,0.8737,0.0153,2.9485
44b6_95029e92,7.0,200,5917,5161.0,200,5717,0,0.0338,1.0,0.0654,0.8574
44b6_97725144,7.0,225,47295,35774.0,197,47098,28,0.0042,0.8756,0.0083,1.8402
44b6_996155de,7.0,380,10346,7573.0,362,9984,18,0.035,0.9526,0.0675,1.7844
44b6_9be80b04,7.0,222,85936,57877.0,209,85727,13,0.0024,0.9414,0.0049,2.2433
44b6_9bfa6a0a,7.0,264,79214,64308.0,253,78961,11,0.0032,0.9583,0.0064,2.7266
44b6_a21120c2,7.0,296,24418,23040.0,294,24124,2,0.012,0.9932,0.0238,1.07
44b6_a2bb48bb,7.0,416,78888,60613.0,376,78512,40,0.0048,0.9038,0.0095,3.4437
44b6_aaf8b0ea,7.0,209,22226,22099.0,209,22017,0,0.0094,1.0,0.0186,1.7566
44b6_abf82518,7.0,96,29902,27604.0,96,29806,0,0.0032,1.0,0.0064,1.1893
44b6_b2c44266,7.0,170,75735,59729.0,160,75575,10,0.0021,0.9412,0.0042,2.9717
44b6_c15fded2,7.0,104,22883,20585.0,103,22780,1,0.0045,0.9904,0.009,2.3485
