search_radius_um,covered_edges,missed_edges,coverage_rate_pct,missed_rate_pct,search_volume_ratio_vs_7um,evaluation
4.0,114402,14481,88.76422802076301,11.235771979236981,0.1865889212827988,
5.0,120764,8119,93.70048803953975,6.299511960460262,0.3644314868804665,
6.0,124297,4586,96.44173397577647,3.5582660242235207,0.629737609329446,
7.0,126183,2700,97.9050766974698,2.094923302530202,1.0,Current Baseline (2.09% Missed)
8.0,127191,1692,98.68718139708108,1.3128186029189264,1.4927113702623904,
8.5,127691,1192,99.07513015680888,0.9248698431911112,1.7904518950437314,
9.0,128030,853,99.33815941590434,0.6618405840956526,2.125364431486881,
10.0,128499,384,99.70205535252904,0.29794464747096205,2.915451895043732,99.70% Covered
11.0,128584,299,99.76800664168277,0.23199335831723347,3.880466472303207,
12.0,128653,230,99.82154357052521,0.17845642947479498,5.037900874635568,
13.0,128709,174,99.86499383161473,0.13500616838527968,6.405247813411079,
14.0,128759,124,99.90378870758751,0.09621129241249816,8.0,
15.0,128796,87,99.93249691580736,0.06750308419263984,9.839650145772595,99.93% Covered
20.0,128866,17,99.98680974216926,0.013190257830745716,23.323615160349856,
25.0,128873,10,99.99224102480544,0.007758975194556303,45.55393586005832,
