dataset,node_id,t,z,y,x,z_norm,y_norm,x_norm,dist_to_center_xy_um,dist_to_border_z_slices,dist_to_border_xy_um,raw_intensity,mean_intensity_3x3,max_intensity_3x3,min_intensity_3x3,std_intensity_3x3,local_contrast,local_snr,laplacian_sharpness,det_prob,neighbor_count_5um,neighbor_count_10um,neighbor_count_15um,nearest_neighbor_dist_um,is_gt_node,gt_matched_dist_um
44b6_0113de3b,0,0,0,212,64,0.0,0.8314,0.251,42.9,0,17.47,607.0,495.83,614.0,352.0,100.66,0.5284,2.5333,248.0,1.0,0,1,9,8.75,0,127.07
44b6_0113de3b,1,0,1,8,52,0.0159,0.0314,0.2039,57.7,1,3.25,997.0,1023.33,1792.0,394.0,508.02,1.3661,1.187,192.0,1.0,0,2,3,8.12,0,155.29
44b6_0113de3b,2,0,1,8,72,0.0159,0.0314,0.2824,53.8,1,3.25,888.0,995.74,1534.0,538.0,362.6,1.0003,0.9653,296.0,1.0,0,2,4,7.27,0,151.26
44b6_0113de3b,3,0,1,24,64,0.0159,0.0941,0.251,49.61,1,9.75,977.0,1035.59,1713.0,479.0,441.38,1.1916,1.1283,238.0,1.0,0,3,6,6.08,0,149.23
44b6_0113de3b,4,0,1,52,84,0.0159,0.2039,0.3294,35.68,1,21.12,395.0,417.15,560.0,317.0,67.88,0.5825,1.1491,87.0,1.0,0,2,6,6.89,0,139.33
44b6_0113de3b,5,0,1,100,36,0.0159,0.3922,0.1412,39.07,1,14.62,1034.0,961.7,1407.0,539.0,311.24,0.9026,1.5904,122.0,1.0,0,0,2,10.78,0,141.76
44b6_0113de3b,6,0,1,128,72,0.0159,0.502,0.2824,22.75,1,29.25,963.0,959.78,1180.0,704.0,142.93,0.4959,1.8121,42.0,1.0,0,1,3,9.33,0,129.54
44b6_0113de3b,7,0,1,164,28,0.0159,0.6431,0.1098,43.18,1,11.38,618.0,667.78,1100.0,315.0,288.41,1.1755,1.0506,179.0,1.0,0,0,2,10.9,0,136.99
44b6_0113de3b,8,0,1,180,64,0.0159,0.7059,0.251,33.5,1,26.0,566.0,646.37,990.0,381.0,229.22,0.9422,0.8071,239.0,1.0,0,1,7,9.19,0,126.85
44b6_0113de3b,9,0,1,188,40,0.0159,0.7373,0.1569,43.27,1,16.25,1022.0,1015.85,1553.0,542.0,321.26,0.9952,1.4941,51.0,1.0,0,1,6,7.96,0,132.48
44b6_0113de3b,10,0,1,216,28,0.0159,0.8471,0.1098,54.12,1,11.38,601.0,712.74,1257.0,322.0,342.73,1.3118,0.8141,377.0,1.0,0,2,5,8.75,0,134.97
44b6_0113de3b,11,0,1,236,36,0.0159,0.9255,0.1412,57.64,1,7.72,317.0,364.07,539.0,243.0,103.5,0.813,0.7149,148.0,1.0,0,2,5,8.75,0,132.93
44b6_0113de3b,12,0,1,244,68,0.0159,0.9569,0.2667,53.06,1,4.47,1251.0,1180.11,1571.0,724.0,295.97,0.7177,1.7806,207.0,1.0,0,2,7,9.48,0,125.05
44b6_0113de3b,13,0,2,36,72,0.0317,0.1412,0.2824,43.75,2,14.62,1232.0,1149.78,1268.0,1046.0,61.92,0.1931,3.0037,150.0,1.0,0,3,8,6.08,0,143.9
44b6_0113de3b,14,0,2,64,60,0.0317,0.251,0.2353,37.94,2,24.38,1734.0,1601.89,2118.0,974.0,424.23,0.7142,1.7915,376.0,1.0,0,0,4,10.02,0,140.86
44b6_0113de3b,15,0,2,88,92,0.0317,0.3451,0.3608,21.86,2,35.75,1136.0,1048.41,1250.0,743.0,160.27,0.4836,2.4522,279.0,1.0,0,2,4,7.08,0,129.84
44b6_0113de3b,16,0,3,0,112,0.0476,0.0,0.4392,52.4,3,0.0,529.0,515.83,639.0,407.0,68.91,0.4498,1.7706,12.0,1.0,0,1,3,7.27,0,144.01
44b6_0113de3b,17,0,3,92,60,0.0476,0.3608,0.2353,31.26,3,24.38,1959.0,1765.37,2105.0,1295.0,302.51,0.4588,2.195,518.0,1.0,0,0,7,10.78,0,134.87
44b6_0113de3b,18,0,3,148,48,0.0476,0.5804,0.1882,33.5,3,19.5,1815.0,1695.63,1970.0,1355.0,169.46,0.3627,2.7144,305.0,1.0,0,1,6,8.75,0,130.68
44b6_0113de3b,19,0,3,148,80,0.0476,0.5804,0.3137,21.12,3,32.5,1125.0,994.59,1186.0,687.0,193.81,0.5017,2.26,377.0,1.0,0,1,6,9.33,0,122.98
44b6_0113de3b,20,0,3,148,108,0.0476,0.5804,0.4235,11.49,3,43.47,892.0,802.26,938.0,599.0,126.0,0.4226,2.3253,247.0,1.0,0,0,1,11.38,0,117.01
44b6_0113de3b,21,0,3,208,88,0.0476,0.8157,0.3451,36.34,3,19.09,749.0,745.85,1019.0,513.0,128.28,0.6784,1.8397,34.0,1.0,0,2,6,8.29,0,117.54
44b6_0113de3b,22,0,3,220,48,0.0476,0.8627,0.1882,49.53,3,14.22,2016.0,1835.07,2016.0,1707.0,93.67,0.1684,3.2988,309.0,1.0,0,4,9,8.75,0,127.18
44b6_0113de3b,23,0,3,228,84,0.0476,0.8941,0.3294,44.38,3,10.97,1147.0,981.78,1147.0,809.0,79.88,0.3443,4.2315,338.0,1.0,0,3,7,6.89,0,118.34
44b6_0113de3b,24,0,4,52,96,0.0635,0.2039,0.3765,33.5,4,21.12,1388.0,1269.93,1402.0,1055.0,80.38,0.2732,4.1427,319.0,1.0,0,1,7,6.89,0,133.51
44b6_0113de3b,25,0,4,64,128,0.0635,0.251,0.502,26.0,4,26.0,713.0,699.11,817.0,553.0,74.6,0.3776,2.1447,56.0,1.0,0,0,2,12.16,0,125.41
44b6_0113de3b,26,0,4,244,88,0.0635,0.9569,0.3451,49.85,4,4.47,316.0,328.52,407.0,256.0,48.2,0.4596,1.2448,31.0,1.0,0,2,4,6.89,0,116.4
44b6_0113de3b,27,0,5,100,96,0.0794,0.3922,0.3765,17.27,5,39.0,417.0,432.37,508.0,382.0,31.23,0.2914,1.1209,56.0,1.0,0,2,4,7.08,0,123.3
44b6_0113de3b,28,0,5,180,80,0.0794,0.7059,0.3137,28.75,5,30.47,1057.0,974.89,1089.0,845.0,69.98,0.2503,3.0295,180.0,1.0,0,2,9,9.19,0,117.85
44b6_0113de3b,29,0,5,196,48,0.0794,0.7686,0.1882,42.65,5,19.5,1414.0,1340.81,1593.0,1006.0,181.93,0.4378,2.2426,229.0,1.0,0,1,8,7.96,0,125.15
44b6_0113de3b,30,0,6,80,104,0.0952,0.3137,0.4078,21.8,6,32.5,1312.0,1206.78,1334.0,1061.0,76.14,0.2262,3.2967,229.0,1.0,0,2,6,8.75,0,124.0
44b6_0113de3b,31,0,6,120,56,0.0952,0.4706,0.2196,29.43,6,22.75,1607.0,1486.89,1638.0,1340.0,64.76,0.2004,4.1228,236.0,1.0,0,1,7,8.75,0,128.23
44b6_0113de3b,32,0,7,0,104,0.1111,0.0,0.4078,52.91,7,0.0,1273.0,1087.72,1324.0,751.0,161.57,0.5268,3.2309,471.0,1.0,0,2,4,7.27,0,141.01
44b6_0113de3b,33,0,7,28,108,0.1111,0.1098,0.4235,41.43,7,11.38,1389.0,1323.74,1566.0,1060.0,122.07,0.3823,2.6953,152.0,1.0,0,0,8,11.49,0,133.32
44b6_0113de3b,34,0,7,36,76,0.1111,0.1412,0.298,42.93,7,14.62,2008.0,1770.78,2061.0,1353.0,259.19,0.3998,2.5271,602.0,1.0,0,1,8,8.29,0,137.59
44b6_0113de3b,35,0,7,72,72,0.1111,0.2824,0.2824,32.17,7,29.25,1523.0,1462.44,1658.0,1145.0,108.32,0.3508,3.4896,243.0,1.0,0,1,10,9.48,0,131.01
44b6_0113de3b,36,0,7,156,60,0.1111,0.6118,0.2353,29.88,7,24.38,1541.0,1351.93,1594.0,1130.0,123.75,0.3432,3.3212,358.0,1.0,0,1,8,8.75,0,122.05
44b6_0113de3b,37,0,7,252,56,0.1111,0.9882,0.2196,58.25,7,1.22,1573.0,1369.63,1624.0,1137.0,165.27,0.3556,2.6381,385.0,1.0,0,0,5,11.38,0,120.74
44b6_0113de3b,38,0,8,12,84,0.127,0.0471,0.3294,50.4,8,4.88,2094.0,2074.7,2239.0,1915.0,89.08,0.1562,2.0095,34.0,1.0,0,1,8,9.61,0,140.57
44b6_0113de3b,39,0,8,204,84,0.127,0.8,0.3294,35.68,8,20.72,1147.0,1011.93,1165.0,848.0,78.65,0.3133,3.8016,281.0,1.0,0,2,7,8.44,0,111.96
44b6_0113de3b,40,0,8,224,56,0.127,0.8784,0.2196,48.75,8,12.59,1953.0,1843.0,2211.0,1166.0,264.13,0.567,2.9796,529.0,1.0,0,1,10,8.9,0,118.9
44b6_0113de3b,41,0,9,184,96,0.1429,0.7216,0.3765,26.2,9,28.84,1006.0,911.19,1046.0,782.0,73.41,0.2897,3.0516,184.0,1.0,0,2,6,9.33,0,108.64
44b6_0113de3b,42,0,10,88,60,0.1587,0.3451,0.2353,32.05,10,24.38,961.0,979.56,1072.0,892.0,47.64,0.1838,1.4485,42.0,1.0,1,2,6,3.98,0,127.58
44b6_0113de3b,43,0,10,112,68,0.1587,0.4392,0.2667,25.23,10,27.62,1418.0,1348.63,1603.0,1077.0,142.13,0.39,2.3992,156.0,1.0,0,1,8,8.75,0,121.74
44b6_0113de3b,44,0,12,36,136,0.1905,0.1412,0.5333,37.52,12,14.62,898.0,804.93,904.0,604.0,81.13,0.3727,3.6236,288.0,1.0,0,0,4,10.41,0,121.18
44b6_0113de3b,45,0,12,84,64,0.1905,0.3294,0.251,31.55,12,26.0,1019.0,966.59,1053.0,865.0,53.9,0.1945,2.857,120.0,1.0,1,2,5,3.98,0,125.14
44b6_0113de3b,46,0,12,104,100,0.1905,0.4078,0.3922,14.98,12,40.62,1446.0,1348.48,1507.0,1181.0,90.94,0.2418,2.914,204.0,1.0,0,0,5,10.41,0,113.27
44b6_0113de3b,47,0,12,144,96,0.1905,0.5647,0.3765,14.53,12,39.0,1130.0,1044.78,1141.0,877.0,88.05,0.2527,2.8733,242.0,1.0,0,1,4,8.75,0,108.33
44b6_0113de3b,48,0,12,164,88,0.1905,0.6431,0.3451,21.86,12,35.75,1433.0,1347.85,1481.0,1193.0,65.52,0.2137,3.6632,192.0,1.0,0,2,9,8.75,0,108.17
44b6_0113de3b,49,0,12,192,60,0.1905,0.7529,0.2353,37.94,12,24.38,1712.0,1635.07,1864.0,1408.0,114.51,0.2789,2.6549,152.0,1.0,0,1,6,8.9,0,113.63
44b6_0113de3b,50,0,13,12,128,0.2063,0.0471,0.502,47.12,13,4.88,1016.0,1011.56,1089.0,960.0,33.48,0.1275,1.6725,17.0,1.0,0,1,6,8.44,0,127.66
44b6_0113de3b,51,0,13,40,88,0.2063,0.1569,0.3451,39.27,13,16.25,1383.0,1274.11,1459.0,1112.0,99.69,0.2723,2.7185,195.0,1.0,0,0,7,10.78,0,127.85
44b6_0113de3b,52,0,13,140,72,0.2063,0.549,0.2824,23.27,13,29.25,2278.0,2123.89,2428.0,1633.0,232.79,0.3743,2.7708,495.0,1.0,0,0,6,10.02,0,113.5
44b6_0113de3b,53,0,13,212,68,0.2063,0.8314,0.2667,41.94,13,17.47,1752.0,1657.63,1841.0,1251.0,135.38,0.3559,3.7007,412.0,1.0,0,1,5,8.9,0,109.66
44b6_0113de3b,54,0,14,56,112,0.2222,0.2196,0.4392,29.96,14,22.75,1002.0,943.04,1046.0,812.0,61.34,0.2481,3.0976,146.0,1.0,0,0,6,10.9,0,118.26
44b6_0113de3b,55,0,14,68,80,0.2222,0.2667,0.3137,31.22,14,27.62,1246.0,1237.11,1469.0,835.0,192.08,0.5125,2.1397,188.0,1.0,0,1,7,9.75,0,122.34
44b6_0113de3b,56,0,14,168,68,0.2222,0.6588,0.2667,29.3,14,27.62,1439.0,1359.19,1564.0,1150.0,116.98,0.3046,2.4706,164.0,1.0,0,1,6,8.9,0,110.58
44b6_0113de3b,57,0,15,200,108,0.2381,0.7843,0.4235,30.36,15,22.34,678.0,637.26,742.0,541.0,58.26,0.3154,2.3517,73.0,1.0,0,0,4,10.02,0,97.19
44b6_0113de3b,58,0,15,232,96,0.2381,0.9098,0.3765,44.2,15,9.34,684.0,656.81,811.0,428.0,111.94,0.5831,2.2869,129.0,1.0,0,1,6,9.61,0,99.82
44b6_0113de3b,59,0,16,0,140,0.254,0.0,0.549,52.23,16,0.0,754.0,582.89,754.0,455.0,101.81,0.513,2.937,299.0,1.0,0,1,2,8.44,0,126.21
44b6_0113de3b,60,0,16,176,104,0.254,0.6902,0.4078,21.8,16,32.09,992.0,903.52,1009.0,763.0,66.53,0.2723,3.4419,212.0,1.0,0,0,7,10.02,0,98.25
44b6_0113de3b,61,0,16,244,116,0.254,0.9569,0.4549,47.38,16,4.47,1212.0,1144.78,1392.0,893.0,142.07,0.4359,2.2453,139.0,1.0,0,1,2,9.61,0,93.98
44b6_0113de3b,62,0,16,252,72,0.254,0.9882,0.2824,55.27,16,1.22,1723.0,1641.3,1807.0,1384.0,145.96,0.2577,2.3225,255.0,1.0,0,0,2,11.83,0,105.6
44b6_0113de3b,63,0,17,104,84,0.2698,0.4078,0.3294,20.36,17,34.12,2558.0,2249.04,2558.0,2042.0,153.92,0.2294,3.3524,516.0,1.0,0,1,6,9.75,0,111.26
44b6_0113de3b,64,0,18,20,104,0.2857,0.0784,0.4078,44.95,18,8.12,1641.0,1607.26,1783.0,1432.0,100.24,0.2184,2.0851,67.0,1.0,0,1,6,8.75,0,124.71
44b6_0113de3b,65,0,18,112,108,0.2857,0.4392,0.4235,10.41,18,43.88,980.0,914.59,985.0,808.0,55.3,0.1935,3.1101,167.0,1.0,0,0,6,10.41,0,103.08
44b6_0113de3b,66,0,19,48,96,0.3016,0.1882,0.3765,35.0,19,19.5,1876.0,1716.85,2116.0,1152.0,305.28,0.5615,2.3716,484.0,1.0,0,0,6,10.66,0,118.2
44b6_0113de3b,67,0,19,52,136,0.3016,0.2039,0.5333,31.05,19,21.12,1327.0,1221.48,1388.0,1059.0,90.45,0.2693,2.9628,207.0,1.0,0,0,8,10.02,0,109.5
44b6_0113de3b,68,0,19,80,120,0.3016,0.3137,0.4706,19.77,19,32.5,613.0,579.26,657.0,490.0,48.63,0.2883,2.5291,79.0,1.0,0,1,7,8.44,0,105.77
44b6_0113de3b,69,0,19,144,84,0.3016,0.5647,0.3294,19.02,19,34.12,1017.0,1018.48,1207.0,725.0,141.33,0.4733,2.0661,102.0,1.0,0,0,8,11.02,0,103.0
44b6_0113de3b,70,0,20,4,116,0.3175,0.0157,0.4549,50.61,20,1.62,1574.0,1484.48,1771.0,1073.0,181.12,0.4702,2.7661,304.0,1.0,0,2,5,6.7,0,125.08
44b6_0113de3b,71,0,20,76,140,0.3175,0.298,0.549,21.68,20,30.88,969.0,881.74,1111.0,678.0,115.33,0.4911,2.5232,149.0,1.0,0,2,4,7.27,0,101.79
44b6_0113de3b,72,0,20,160,116,0.3175,0.6275,0.4549,13.88,20,38.59,1650.0,1440.0,1787.0,1135.0,162.53,0.4528,3.1686,378.0,1.0,0,0,5,10.41,0,91.85
44b6_0113de3b,73,0,20,180,84,0.3175,0.7059,0.3294,27.67,20,30.47,2365.0,2238.11,2487.0,2023.0,128.59,0.2073,2.6596,220.0,1.0,0,0,6,10.53,0,98.32
44b6_0113de3b,74,0,21,88,92,0.3333,0.3451,0.3608,21.86,21,35.75,1386.0,1318.19,1469.0,1093.0,98.52,0.2852,2.9741,210.0,1.0,0,1,7,9.75,0,108.12
44b6_0113de3b,75,0,21,124,160,0.3333,0.4863,0.6275,13.1,21,38.59,791.0,725.04,853.0,624.0,66.52,0.3158,2.5104,105.0,1.0,0,0,1,14.8,0,86.89
44b6_0113de3b,76,0,21,208,72,0.3333,0.8157,0.2824,39.67,21,19.09,839.0,814.59,893.0,704.0,40.37,0.232,3.3442,81.0,1.0,0,0,3,12.48,0,99.3
44b6_0113de3b,77,0,21,224,112,0.3333,0.8784,0.4392,39.54,21,12.59,1489.0,1373.89,1533.0,1182.0,86.62,0.2555,3.5441,263.0,1.0,0,0,8,10.02,0,88.07
44b6_0113de3b,78,0,22,32,152,0.3492,0.1255,0.5961,40.2,22,13.0,954.0,925.0,1090.0,817.0,76.22,0.2951,1.7975,1.0,1.0,0,0,6,11.49,0,109.31
44b6_0113de3b,79,0,22,48,180,0.3492,0.1882,0.7059,38.76,22,19.5,699.0,612.63,742.0,506.0,62.92,0.3852,3.0675,150.0,1.0,0,0,4,11.72,0,101.1
44b6_0113de3b,80,0,22,76,156,0.3492,0.298,0.6118,23.99,22,30.88,1818.0,1574.33,1951.0,1246.0,188.48,0.4478,3.0348,439.0,1.0,0,2,4,7.27,0,96.87
44b6_0113de3b,81,0,22,248,88,0.3492,0.9725,0.3451,51.39,22,2.84,1665.0,1539.96,1705.0,1338.0,100.08,0.2383,3.2675,287.0,1.0,0,0,4,10.41,0,93.96
44b6_0113de3b,82,0,24,4,112,0.381,0.0157,0.4392,50.79,24,1.62,459.0,504.93,561.0,452.0,28.81,0.2159,0.243,95.0,1.0,0,1,4,6.7,0,122.3
44b6_0113de3b,83,0,24,36,120,0.381,0.1412,0.4706,37.52,24,14.62,1688.0,1620.63,1879.0,1211.0,165.52,0.4122,2.8818,286.0,1.0,0,0,9,10.9,0,111.68
44b6_0113de3b,84,0,24,60,108,0.381,0.2353,0.4235,28.8,24,24.38,1982.0,1887.7,2083.0,1665.0,96.3,0.2214,3.2917,216.0,1.0,0,0,6,10.66,0,107.84
44b6_0113de3b,85,0,24,80,196,0.381,0.3137,0.7686,33.81,24,23.97,174.0,187.74,220.0,165.0,13.45,0.293,0.669,37.0,1.0,0,0,2,13.79,0,88.36
44b6_0113de3b,86,0,24,120,100,0.381,0.4706,0.3922,11.83,24,40.62,1336.0,1267.59,1441.0,1083.0,103.02,0.2824,2.4559,148.0,1.0,0,0,8,10.78,0,96.94
44b6_0113de3b,87,0,24,184,116,0.381,0.7216,0.4549,23.27,24,28.84,1255.0,1178.11,1396.0,1082.0,79.73,0.2665,2.1699,32.0,1.0,0,0,7,10.66,0,84.7
44b6_0113de3b,88,0,24,228,136,0.381,0.8941,0.5333,40.75,24,10.97,1073.0,1010.15,1193.0,716.0,154.71,0.4722,2.3076,237.0,1.0,0,0,3,10.02,0,78.29
44b6_0113de3b,89,0,25,4,164,0.3968,0.0157,0.6431,52.46,25,1.62,1498.0,1324.52,1520.0,1093.0,138.26,0.3224,2.9293,383.0,1.0,0,1,4,9.61,0,113.35
44b6_0113de3b,90,0,25,112,128,0.3968,0.4392,0.502,6.5,25,45.5,1119.0,1101.22,1221.0,965.0,73.23,0.2325,2.1028,52.0,1.0,0,0,5,10.02,0,90.7
44b6_0113de3b,91,0,26,88,164,0.4127,0.3451,0.6431,21.86,26,35.75,740.0,626.78,802.0,508.0,88.15,0.4691,2.6319,170.0,1.0,0,2,5,8.75,0,88.15
44b6_0113de3b,92,0,26,152,96,0.4127,0.5961,0.3765,16.25,26,39.0,1995.0,1914.56,2126.0,1664.0,121.79,0.2413,2.7179,200.0,1.0,0,0,5,10.02,0,91.03
44b6_0113de3b,93,0,26,164,140,0.4127,0.6431,0.549,15.42,26,36.97,1264.0,1144.67,1313.0,1010.0,94.99,0.2647,2.674,205.0,1.0,0,1,5,9.61,0,78.3
44b6_0113de3b,94,0,26,196,164,0.4127,0.7686,0.6431,31.26,26,23.97,831.0,759.93,879.0,651.0,69.37,0.3,2.5948,132.0,1.0,0,1,2,8.29,0,70.14
44b6_0113de3b,95,0,26,232,100,0.4127,0.9098,0.3922,43.75,26,9.34,2076.0,1888.67,2133.0,1712.0,121.94,0.2229,2.985,307.0,1.0,0,1,5,9.88,0,85.41
44b6_0113de3b,96,0,27,92,112,0.4286,0.3608,0.4392,16.0,27,37.38,1929.0,1869.52,2227.0,1258.0,245.18,0.5183,2.7368,373.0,1.0,0,0,5,10.9,0,96.48
44b6_0113de3b,97,0,27,136,128,0.4286,0.5333,0.502,3.25,27,48.34,1232.0,1198.07,1427.0,1031.0,99.98,0.3305,2.0104,6.0,1.0,0,0,5,10.28,0,84.02
44b6_0113de3b,98,0,27,208,100,0.4286,0.8157,0.3922,34.43,27,19.09,1775.0,1675.48,1857.0,1392.0,124.4,0.2775,3.0787,301.0,1.0,0,1,5,9.88,0,84.37
44b6_0113de3b,99,0,28,8,144,0.4444,0.0314,0.5647,49.18,28,3.25,1853.0,1766.89,1861.0,1562.0,73.14,0.1692,3.9788,283.0,1.0,0,2,7,8.29,0,112.31
44b6_0113de3b,100,0,28,48,164,0.4444,0.1882,0.6431,35.64,28,19.5,987.0,940.93,1122.0,674.0,131.18,0.4761,2.3861,178.0,1.0,0,0,6,11.38,0,97.08
44b6_0113de3b,101,0,28,104,148,0.4444,0.4078,0.5804,12.69,28,42.25,1120.0,1097.74,1197.0,992.0,53.78,0.1867,2.3799,51.0,1.0,0,1,5,9.75,0,84.95
44b6_0113de3b,102,0,29,172,104,0.4603,0.6745,0.4078,20.36,29,33.72,1473.0,1406.26,1555.0,1149.0,117.83,0.2887,2.7498,242.0,1.0,0,0,5,10.02,0,83.28
44b6_0113de3b,103,0,29,216,128,0.4603,0.8471,0.502,35.75,29,15.84,1570.0,1517.3,1675.0,1359.0,90.25,0.2083,2.3378,106.0,1.0,0,0,8,10.02,0,73.99
44b6_0113de3b,104,0,30,20,172,0.4762,0.0784,0.6745,47.38,30,8.12,728.0,697.85,805.0,636.0,41.66,0.2422,2.2086,15.0,1.0,0,1,7,8.9,0,102.9
44b6_0113de3b,105,0,30,184,160,0.4762,0.7216,0.6275,26.2,30,28.84,1262.0,1100.52,1262.0,890.0,118.73,0.338,3.1333,372.0,1.0,0,1,6,8.29,0,66.49
44b6_0113de3b,106,0,30,244,148,0.4762,0.9569,0.5804,47.82,30,4.47,1336.0,1241.0,1401.0,1078.0,93.66,0.2603,2.7547,193.0,1.0,0,0,4,11.49,0,68.11
44b6_0113de3b,107,0,30,252,108,0.4762,0.9882,0.4235,51.03,30,1.22,1390.0,1334.78,1497.0,1082.0,134.68,0.3109,2.2868,201.0,1.0,0,0,2,10.9,0,79.41
44b6_0113de3b,108,0,31,24,140,0.4921,0.0941,0.549,42.53,31,9.75,1542.0,1461.52,1633.0,1218.0,123.08,0.284,2.6323,233.0,1.0,0,2,6,8.29,0,105.52
44b6_0113de3b,109,0,31,40,188,0.4921,0.1569,0.7373,43.27,31,16.25,302.0,300.04,329.0,259.0,19.74,0.2333,2.1781,16.0,1.0,0,0,3,10.53,0,93.73
44b6_0113de3b,110,0,31,136,188,0.4921,0.5333,0.7373,24.59,31,27.22,923.0,835.26,940.0,665.0,80.51,0.3292,3.2047,241.0,1.0,0,0,3,11.6,0,67.37
44b6_0113de3b,111,0,31,176,136,0.4921,0.6902,0.5333,19.77,31,32.09,1238.0,1239.07,1343.0,1112.0,55.59,0.1864,2.2664,21.0,1.0,0,1,8,9.61,0,71.84
44b6_0113de3b,112,0,32,0,176,0.5079,0.0,0.6902,55.54,31,0.0,1106.0,952.28,1155.0,761.0,121.05,0.4137,2.8501,296.0,1.0,0,1,5,8.9,0,107.48
44b6_0113de3b,113,0,32,44,128,0.5079,0.1725,0.502,34.12,31,17.88,1869.0,1753.04,1928.0,1429.0,136.29,0.2846,3.2285,381.0,1.0,0,1,3,9.61,0,100.91
44b6_0113de3b,114,0,32,80,160,0.5079,0.3137,0.6275,23.44,31,32.5,309.0,307.67,338.0,261.0,17.54,0.2503,2.736,19.0,1.0,0,0,7,10.41,0,84.69
44b6_0113de3b,115,0,32,216,164,0.5079,0.8471,0.6431,38.63,31,15.84,1512.0,1327.0,1512.0,1068.0,128.42,0.3346,3.4573,444.0,1.0,0,1,6,9.75,0,61.12
44b6_0113de3b,116,0,33,68,132,0.5238,0.2667,0.5176,24.43,30,27.62,1717.0,1630.67,1786.0,1416.0,93.58,0.2269,3.2166,232.0,1.0,0,0,3,10.02,0,92.47
44b6_0113de3b,117,0,34,8,224,0.5397,0.0314,0.8784,62.43,29,3.25,727.0,693.15,814.0,515.0,98.69,0.4314,2.1482,125.0,1.0,0,1,2,6.7,0,99.41
44b6_0113de3b,118,0,34,12,240,0.5397,0.0471,0.9412,65.51,29,4.88,204.0,198.26,228.0,176.0,12.9,0.2623,2.1705,4.0,1.0,0,1,1,6.7,0,97.53
44b6_0113de3b,119,0,34,200,144,0.5397,0.7843,0.5647,29.96,29,22.34,1207.0,1098.04,1265.0,970.0,90.87,0.2687,2.608,179.0,1.0,0,0,8,10.41,0,64.19
44b6_0113de3b,120,0,35,92,132,0.5556,0.3608,0.5176,14.72,28,37.38,2140.0,2059.59,2291.0,1649.0,145.16,0.3117,3.3824,340.0,1.0,0,0,4,10.28,0,84.37
44b6_0113de3b,121,0,35,112,184,0.5556,0.4392,0.7216,23.66,28,28.84,1212.0,1052.44,1280.0,732.0,156.07,0.5207,3.0755,412.0,1.0,0,1,5,6.7,0,69.03
44b6_0113de3b,122,0,35,144,124,0.5556,0.5647,0.4863,6.7,28,45.09,1775.0,1685.93,2123.0,1100.0,296.42,0.6068,2.2772,327.0,1.0,0,1,3,8.9,0,75.19
44b6_0113de3b,123,0,35,192,120,0.5556,0.7529,0.4706,26.2,28,25.59,1711.0,1552.0,1711.0,1263.0,133.52,0.2887,3.3554,448.0,1.0,0,2,7,8.9,0,70.46
44b6_0113de3b,124,0,36,16,152,0.5714,0.0627,0.5961,46.53,27,6.5,1858.0,1725.93,2035.0,1484.0,156.56,0.3192,2.3888,197.0,1.0,0,0,5,10.02,0,102.38
44b6_0113de3b,125,0,36,124,132,0.5714,0.4863,0.5176,2.3,27,49.97,1947.0,1821.56,2074.0,1444.0,154.11,0.3459,3.2639,376.0,1.0,0,2,3,8.9,0,75.96
44b6_0113de3b,126,0,36,124,156,0.5714,0.4863,0.6118,11.49,27,40.22,1733.0,1647.85,1796.0,1504.0,72.49,0.1772,3.1591,166.0,1.0,0,2,6,8.12,0,70.27
44b6_0113de3b,127,0,36,140,168,0.5714,0.549,0.6588,16.97,27,35.34,572.0,594.15,671.0,544.0,34.98,0.2138,0.8005,71.0,1.0,0,2,6,8.12,0,64.17
44b6_0113de3b,128,0,36,164,156,0.5714,0.6431,0.6118,18.53,27,36.97,657.0,626.52,719.0,521.0,64.06,0.316,2.1229,74.0,1.0,0,0,5,10.9,0,62.51
44b6_0113de3b,129,0,36,216,120,0.5714,0.8471,0.4706,35.9,27,15.84,1935.0,1801.74,2010.0,1509.0,158.83,0.2781,2.682,351.0,1.0,0,1,5,9.88,0,68.39
44b6_0113de3b,130,0,36,252,120,0.5714,0.9882,0.4706,50.48,27,1.22,1548.0,1442.19,1768.0,1066.0,249.03,0.4868,1.9355,262.0,1.0,0,0,4,10.9,0,69.43
