rank,feature_name,hierarchy,roc_auc,direction,cohens_d,best_f1,best_precision,best_recall,best_threshold,pos_mean,pos_std,pos_median,pos_iqr,neg_mean,neg_std,neg_median,neg_iqr
1,gt_matched_dist_um,ノード (Node),1.0,POS_LOW,-0.403,0.7857,0.647,1.0,9.52,2.4372,1.872,1.82,2.2,90.544,222.2817,33.68,30.58
2,mean_intensity_3x3,ノード (Node),0.6478,POS_LOW,-0.4357,0.1074,0.0607,0.4678,772.85,1026.5057,679.3735,814.98,726.0,1363.7865,777.1328,1218.74,1000.35
3,raw_intensity,ノード (Node),0.6478,POS_LOW,-0.4387,0.1077,0.0625,0.3864,697.0,1051.8588,696.0435,838.0,760.0,1399.2226,794.7355,1256.0,1028.0
4,min_intensity_3x3,ノード (Node),0.6477,POS_LOW,-0.4323,0.1074,0.0606,0.4681,668.0,910.868,630.8076,703.0,659.0,1222.9914,724.8495,1083.0,935.0
5,max_intensity_3x3,ノード (Node),0.6472,POS_LOW,-0.4365,0.1079,0.0627,0.3875,768.0,1136.0166,728.5835,919.0,797.0,1497.1325,830.4149,1345.0,1066.0
6,neighbor_count_15um,ノード (Node),0.6329,POS_LOW,-0.4547,0.1761,0.1261,0.2919,1.0,5.3894,4.7384,4.0,8.0,7.2129,3.9834,7.0,6.0
7,transformer_prob,エッジ (Edge),0.6236,POS_HIGH,0.3564,0.1227,0.1015,0.155,0.974,0.8626,0.1237,0.9051,0.1583,0.8177,0.1261,0.8484,0.1849
8,min_track_intensity,トラック (Track),0.6118,POS_LOW,-0.3352,0.06,0.0328,0.3523,601.0,1063.171,776.2598,832.0,956.0,1338.9253,823.5217,1196.0,1089.0
9,mean_track_intensity,トラック (Track),0.6031,POS_LOW,-0.3089,0.0576,0.0309,0.4151,777.8,1161.3222,789.7288,929.19,963.1,1423.0538,848.4017,1275.0,1121.0
10,std_intensity_3x3,ノード (Node),0.5981,POS_LOW,-0.2487,0.1013,0.0616,0.285,31.14,62.1448,46.8962,47.98,51.64,74.6347,50.3189,62.17,54.34
11,neighbor_count_10um,ノード (Node),0.5961,POS_LOW,-0.274,0.1032,0.0589,0.4143,0.0,1.3781,1.5982,1.0,2.0,1.7888,1.4958,2.0,2.0
12,nearest_neighbor_dist_um,ノード (Node),0.5957,POS_HIGH,0.7454,0.1723,0.142,0.2191,13.4,10.5726,5.6127,8.9,5.8,8.4163,2.7557,8.29,2.91
13,max_track_intensity,トラック (Track),0.5942,POS_LOW,-0.2835,0.055,0.0295,0.3968,834.0,1254.6894,836.8496,1034.0,1025.0,1509.2577,899.0054,1351.0,1179.0
14,intensity_diff,エッジ (Edge),0.5843,POS_LOW,-0.2449,0.0787,0.043,0.463,44.0,80.4364,98.7756,50.0,86.0,111.3782,127.1877,73.0,120.0
15,min_track_snr,トラック (Track),0.5829,POS_LOW,-0.289,0.0534,0.0317,0.17,0.8076,1.6368,0.8623,1.5847,1.1606,1.884,0.8553,1.8451,1.163
16,laplacian_sharpness,ノード (Node),0.5744,POS_LOW,-0.2281,0.0762,0.0416,0.4526,47.0,82.5503,86.1276,54.0,88.0,105.591,101.4927,75.0,116.0
17,mean_track_snr,トラック (Track),0.5738,POS_LOW,-0.2399,0.0455,0.0244,0.3279,1.9458,2.1749,0.6464,2.2092,0.759,2.3341,0.6636,2.3614,0.7837
18,dist_to_border_xy_um,ノード (Node),0.5482,POS_HIGH,0.1726,0.071,0.0465,0.1501,37.38,20.592,13.578,19.09,22.76,18.3365,13.0482,16.25,22.34
19,local_contrast,ノード (Node),0.5469,POS_HIGH,0.1411,0.0687,0.0371,0.4582,0.2211,0.2425,0.1261,0.211,0.1304,0.2255,0.1202,0.1968,0.1221
20,dx_um,エッジ (Edge),0.5449,POS_LOW,-0.168,0.0703,0.0403,0.2737,-1.62,-0.245,1.5809,0.0,1.62,0.0247,1.6062,0.0,1.62
21,dist_to_center_xy_um,ノード (Node),0.5432,POS_LOW,-0.1668,0.0717,0.0472,0.1492,16.25,35.6681,16.1135,37.41,25.04,38.2769,15.6253,39.3,24.0
