dataset,gt_nodes,est_nodes,pred_nodes,node_tp,node_fp,node_fn,node_recall,node_precision,node_f1,pre_pe_ratio,gt_edges,pred_edges,edge_tp,edge_fp,edge_fn,edge_recall,edge_precision,edge_f1,official_edge_tp,official_edge_fp,official_edge_fn,official_jaccard,official_dice,post_node_recall,final_pe_ratio,pass1_edges,pass2_edges
44b6_0113de3b,52,25755,31866,52,31814,0,1.0,0.0016318333019519236,0.003258349520646657,1.2372743156668609,50,22599,43,22556,7,0.86,0.0019027390592504093,0.003797077133648285,43,22556,7,,,0.9038461538461539,0.9249854397204427,22314,285
44b6_0b24845f,51,32795,73569,44,73525,7,0.8627450980392157,0.0005980779948075956,0.0011953273566965498,2.2432992834273517,49,28470,19,28451,30,0.3877551020408163,0.0006673691605198455,0.0013324450366422385,19,28451,30,,,0.5294117647058824,0.9249885653300808,27287,1183
44b6_0c582fdc,71,27958,37838,67,37771,4,0.9436619718309859,0.0017707066969712987,0.0035347806589464243,1.3533872236926818,70,24427,41,24386,29,0.5857142857142857,0.0016784705448888524,0.003347348654937339,41,24386,29,,,0.704225352112676,0.9249946348093568,23848,579
44b6_0db75fae,157,15335,20261,152,20109,5,0.9681528662420382,0.007502097625980949,0.014888823587031051,1.3212259537006847,151,13503,127,13376,24,0.8410596026490066,0.009405317336888099,0.018602607294565695,127,13376,24,,,0.8726114649681529,0.9249429409846756,13156,347
44b6_12dfb391,788,58672,81489,785,80704,3,0.9961928934010152,0.009633202027267484,0.0190818819354133,1.388890782656122,773,52205,640,51565,133,0.8279430789133247,0.01225936213006417,0.024160972479142288,640,51565,133,,,0.9225888324873096,0.9249897736569402,50795,1410
44b6_144b256d,121,65376,102865,119,102746,2,0.9834710743801653,0.0011568560734943859,0.00231099372730274,1.5734367351933432,119,58993,90,58903,29,0.7563025210084033,0.0015256047327649044,0.0030450669914738127,90,58903,29,,,0.7603305785123967,0.92498776309349,57835,1158
44b6_1574802b,155,17677,22005,144,21861,11,0.9290322580645162,0.006543967280163599,0.012996389891696752,1.2448379249872716,153,15698,115,15583,38,0.7516339869281046,0.007325773983946999,0.014510125544129707,115,15583,38,,,0.832258064516129,0.924987271595859,15319,379
44b6_18ced818,100,78644,113340,98,113242,2,0.98,0.0008646550202929239,0.0017277856135401975,1.4411779665327298,99,67636,75,67561,24,0.7575757575757576,0.0011088769294458573,0.0022145124381781943,75,67561,24,,,0.92,0.9249910991302579,64742,2894
44b6_1d530831,276,35825,55134,271,54863,5,0.9818840579710145,0.004915297275728226,0.009781627865006316,1.5389811584089323,271,31577,211,31366,60,0.7785977859778598,0.006682078728188238,0.013250439588043205,211,31366,60,,,0.8876811594202898,0.9249965108164689,30793,784
44b6_24264f12,230,26353,33880,220,33660,10,0.9565217391304348,0.006493506493506494,0.012899442978598652,1.2856221303077449,221,23128,153,22975,68,0.6923076923076923,0.006615358007609823,0.013105486316330463,153,22975,68,,,0.7695652173913043,0.9249800781694684,22728,400
