dataset,noise_ratio,n_gt_nodes,n_noise_nodes,n_gt_edges,n_pred_edges,tp_edges,fp_edges,culled_gt,kept_gt,culled_noise,kept_noise,gt_erase_rate,noise_purge_rate,pre_pe_ratio,post_pe_ratio,edge_precision,edge_recall
44b6_0113de3b,0.2,52,0,50,50,50,0,0,52,0,0,0.0,0.0,1.04,1.04,1.0,1.0
44b6_0b24845f,0.2,51,0,49,49,49,0,0,51,0,0,0.0,0.0,1.0408,1.0408,1.0,1.0
44b6_0c582fdc,0.2,71,0,70,70,70,0,0,71,0,0,0.0,0.0,1.0143,1.0143,1.0,1.0
44b6_0db75fae,0.2,157,0,151,151,151,0,0,157,0,0,0.0,0.0,1.0397,1.0397,1.0,1.0
44b6_12dfb391,0.2,788,173,773,777,772,5,0,788,165,8,0.0,0.953757,1.2432,1.0245,0.9936,0.9987
44b6_144b256d,0.2,121,0,119,119,119,0,0,121,0,0,0.0,0.0,1.0168,1.0168,1.0,1.0
44b6_1574802b,0.2,155,0,153,152,152,0,0,155,0,0,0.0,0.0,1.0131,1.0197,1.0,0.9935
44b6_18ced818,0.2,100,0,99,99,99,0,0,100,0,0,0.0,0.0,1.0101,1.0101,1.0,1.0
44b6_1d530831,0.2,276,59,271,271,270,1,0,276,57,2,0.0,0.966102,1.2362,1.0258,0.9963,0.9963
44b6_24264f12,0.2,230,51,221,222,221,1,0,230,49,2,0.0,0.960784,1.2715,1.045,0.9955,1.0
44b6_267148e4,0.2,280,84,277,273,272,1,0,280,82,2,0.0,0.97619,1.3141,1.033,0.9963,0.9819
44b6_2a2eff9f,0.2,214,45,210,213,209,4,0,214,37,8,0.0,0.822222,1.2333,1.0423,0.9812,0.9952
44b6_2f31fc2f,0.2,89,1,85,82,81,1,1,88,1,0,0.011236,1.0,1.0588,1.0732,0.9878,0.9529
44b6_33b596bf,0.2,50,0,49,49,49,0,0,50,0,0,0.0,0.0,1.0204,1.0204,1.0,1.0
44b6_341df25f,0.2,216,11,209,210,208,2,0,216,9,2,0.0,0.818182,1.0861,1.0381,0.9905,0.9952
44b6_3a861e03,0.2,935,195,919,908,900,8,2,933,188,7,0.002139,0.964103,1.2296,1.0352,0.9912,0.9793
44b6_3bb3690f,0.2,400,100,396,400,396,4,0,400,92,8,0.0,0.92,1.2626,1.02,0.99,1.0
44b6_40c45f5a,0.2,200,0,198,198,198,0,0,200,0,0,0.0,0.0,1.0101,1.0101,1.0,1.0
44b6_415c0a3a,0.2,331,64,322,326,322,4,0,331,58,6,0.0,0.90625,1.2267,1.0337,0.9877,1.0
44b6_53f95252,0.2,70,0,68,68,68,0,0,70,0,0,0.0,0.0,1.0294,1.0294,1.0,1.0
44b6_551a5dba,0.2,228,24,224,225,224,1,0,228,22,2,0.0,0.916667,1.125,1.0222,0.9956,1.0
44b6_5740d24b,0.2,173,0,170,170,170,0,0,173,0,0,0.0,0.0,1.0176,1.0176,1.0,1.0
44b6_587a1e22,0.2,381,71,371,368,368,0,0,381,71,0,0.0,1.0,1.2183,1.0353,1.0,0.9919
44b6_5f15d135,0.2,278,79,273,270,269,1,1,277,77,2,0.003597,0.974684,1.3077,1.0333,0.9963,0.9853
44b6_668e0cc7,0.2,643,113,631,625,618,7,1,642,105,8,0.001555,0.929204,1.1981,1.04,0.9888,0.9794
44b6_66f9292d,0.2,200,0,198,198,198,0,0,200,0,0,0.0,0.0,1.0101,1.0101,1.0,1.0
44b6_706092f0,0.2,118,0,117,116,116,0,0,118,0,0,0.0,0.0,1.0085,1.0172,1.0,0.9915
44b6_71a4179f,0.2,121,0,119,119,119,0,0,121,0,0,0.0,0.0,1.0168,1.0168,1.0,1.0
44b6_74d0c52e,0.2,140,0,139,138,138,0,0,140,0,0,0.0,0.0,1.0072,1.0145,1.0,0.9928
44b6_7a302da0,0.2,516,100,507,508,506,2,0,516,98,2,0.0,0.98,1.215,1.0197,0.9961,0.998
44b6_7e557709,0.2,570,111,560,562,560,2,0,570,109,2,0.0,0.981982,1.2161,1.0178,0.9964,1.0
44b6_808952d6,0.2,181,0,179,179,179,0,0,181,0,0,0.0,0.0,1.0112,1.0112,1.0,1.0
44b6_81c256f0,0.2,199,0,197,197,197,0,0,199,0,0,0.0,0.0,1.0102,1.0102,1.0,1.0
44b6_87bba6c4,0.2,153,19,149,136,134,2,5,148,19,0,0.03268,1.0,1.1544,1.0882,0.9853,0.8993
44b6_8cc6506c,0.2,400,100,396,399,396,3,0,400,94,6,0.0,0.94,1.2626,1.0175,0.9925,1.0
44b6_8f5ab931,0.2,616,103,604,606,604,2,0,616,101,2,0.0,0.980583,1.1904,1.0198,0.9967,1.0
44b6_8f9ecab4,0.2,374,87,370,376,370,6,0,374,75,12,0.0,0.862069,1.2459,1.0266,0.984,1.0
44b6_90724892,0.2,105,0,103,103,103,0,0,105,0,0,0.0,0.0,1.0194,1.0194,1.0,1.0
44b6_949adeb1,0.2,388,76,378,381,378,3,0,388,70,6,0.0,0.921053,1.2275,1.0341,0.9921,1.0
44b6_95029e92,0.2,200,0,198,198,198,0,0,200,0,0,0.0,0.0,1.0101,1.0101,1.0,1.0
44b6_97725144,0.2,225,32,221,221,220,1,1,224,30,2,0.004444,0.9375,1.1629,1.0226,0.9955,0.9955
44b6_996155de,0.2,380,100,377,382,376,6,0,380,89,11,0.0,0.89,1.2732,1.0236,0.9843,0.9973
44b6_9be80b04,0.2,222,22,220,227,219,8,0,222,9,13,0.0,0.409091,1.1091,1.0352,0.9648,0.9955
44b6_9bfa6a0a,0.2,264,53,259,265,259,6,0,264,42,11,0.0,0.792453,1.2239,1.0377,0.9774,1.0
44b6_a21120c2,0.2,296,67,286,284,282,2,0,296,66,1,0.0,0.985075,1.2692,1.0458,0.993,0.986
44b6_a2bb48bb,0.2,416,100,410,411,405,6,0,416,91,9,0.0,0.91,1.2585,1.0341,0.9854,0.9878
44b6_aaf8b0ea,0.2,209,38,206,209,205,4,0,209,32,6,0.0,0.842105,1.199,1.0287,0.9809,0.9951
44b6_abf82518,0.2,96,0,94,94,94,0,0,96,0,0,0.0,0.0,1.0213,1.0213,1.0,1.0
44b6_b2c44266,0.2,170,0,168,168,168,0,0,170,0,0,0.0,0.0,1.0119,1.0119,1.0,1.0
