edge_id,dataset,track_id,edge_type,t,s_node_id,s_z,s_y,s_x,s_mean_intensity,s_snr,s_z_depth_ratio,s_estimated_radius,s_volume,s_local_density_r15,e_node_id,e_z,e_y,e_x,e_mean_intensity,e_snr,e_estimated_radius,e_volume,e_local_density_r15,track_distance_3d_um
0,44b6_0113de3b,11000000075,move,0,11000000075,63,222,249,100.0,3.5,2.1,4.0,268.0,3,12000000075,63,227,251,102.0,3.6,4.0,268.0,3,2.1877232028983924
1,44b6_0113de3b,12000000075,move,1,12000000075,63,227,251,100.0,3.5,2.1,4.0,268.0,3,13000000075,63,230,253,102.0,3.6,4.0,268.0,3,1.4647552056572457
2,44b6_0113de3b,38000000003,move,27,38000000003,1,74,73,100.0,3.5,0.03333333333333333,4.0,268.0,3,39000000003,3,78,75,102.0,3.6,4.0,268.0,3,3.72334275215162
3,44b6_0113de3b,39000000003,move,28,39000000003,3,78,75,100.0,3.5,0.1,4.0,268.0,3,40000000003,5,80,77,102.0,3.6,4.0,268.0,3,3.447145558284419
4,44b6_0113de3b,40000000003,move,29,40000000003,5,80,77,100.0,3.5,0.16666666666666666,4.0,268.0,3,41000000003,7,86,78,102.0,3.6,4.0,268.0,3,4.0827619710803615
5,44b6_0113de3b,41000000003,move,30,41000000003,7,86,78,100.0,3.5,0.23333333333333334,4.0,268.0,3,42000000003,9,91,77,102.0,3.6,4.0,268.0,3,3.8540258983302125
6,44b6_0113de3b,42000000003,move,31,42000000003,9,91,77,100.0,3.5,0.3,4.0,268.0,3,43000000003,11,98,81,102.0,3.6,4.0,268.0,3,4.614113030962723
7,44b6_0113de3b,43000000003,move,32,43000000003,11,98,81,100.0,3.5,0.36666666666666664,4.0,268.0,3,44000000003,11,104,78,102.0,3.6,4.0,268.0,3,2.7252078475778685
8,44b6_0113de3b,44000000003,move,33,44000000003,11,104,78,100.0,3.5,0.36666666666666664,4.0,268.0,3,45000000003,13,109,79,102.0,3.6,4.0,268.0,3,3.8540258983302125
9,44b6_0113de3b,45000000003,move,34,45000000003,13,109,79,100.0,3.5,0.43333333333333335,4.0,268.0,3,46000000003,14,112,80,102.0,3.6,4.0,268.0,3,2.0714766773970688
10,44b6_0113de3b,46000000003,move,35,46000000003,14,112,80,100.0,3.5,0.4666666666666667,4.0,268.0,3,47000000003,15,110,83,102.0,3.6,4.0,268.0,3,2.1877232028983924
11,44b6_0113de3b,47000000003,move,36,47000000003,15,110,83,100.0,3.5,0.5,4.0,268.0,3,48000000003,16,114,84,102.0,3.6,4.0,268.0,3,2.333728575156074
12,44b6_0113de3b,48000000003,move,37,48000000003,16,114,84,100.0,3.5,0.5333333333333333,4.0,268.0,3,49000000003,16,114,83,102.0,3.6,4.0,268.0,3,0.40625
13,44b6_0113de3b,49000000003,move,38,49000000003,16,114,83,100.0,3.5,0.5333333333333333,4.0,268.0,3,50000000003,18,114,89,102.0,3.6,4.0,268.0,3,4.0625
14,44b6_0113de3b,50000000003,move,39,50000000003,18,114,89,100.0,3.5,0.6,4.0,268.0,3,51000000003,19,116,92,102.0,3.6,4.0,268.0,3,2.1877232028983924
15,44b6_0113de3b,51000000003,move,40,51000000003,19,116,92,100.0,3.5,0.6333333333333333,4.0,268.0,3,52000000003,19,120,93,102.0,3.6,4.0,268.0,3,1.6750116604071745
16,44b6_0113de3b,52000000003,move,41,52000000003,19,120,93,100.0,3.5,0.6333333333333333,4.0,268.0,3,53000000003,21,124,92,102.0,3.6,4.0,268.0,3,3.65625
17,44b6_0113de3b,53000000003,move,42,53000000003,21,124,92,100.0,3.5,0.7,4.0,268.0,3,54000000003,22,127,93,102.0,3.6,4.0,268.0,3,2.0714766773970688
18,44b6_0113de3b,54000000003,move,43,54000000003,22,127,93,100.0,3.5,0.7333333333333333,4.0,268.0,3,55000000003,24,126,95,102.0,3.6,4.0,268.0,3,3.374565944310468
19,44b6_0113de3b,55000000003,move,44,55000000003,24,126,95,100.0,3.5,0.8,4.0,268.0,3,56000000003,26,125,98,102.0,3.6,4.0,268.0,3,3.494694639736067
20,44b6_0113de3b,56000000003,move,45,56000000003,26,125,98,100.0,3.5,0.8666666666666667,4.0,268.0,3,57000000003,29,118,107,102.0,3.6,4.0,268.0,3,6.724634051381532
21,44b6_0113de3b,57000000003,move,46,57000000003,29,118,107,100.0,3.5,0.9666666666666667,4.0,268.0,3,58000000003,31,110,118,102.0,3.6,4.0,268.0,3,6.410516871711672
22,44b6_0113de3b,58000000003,move,47,58000000003,31,110,118,100.0,3.5,1.0333333333333334,4.0,268.0,3,59000000003,31,125,116,102.0,3.6,4.0,268.0,3,6.147678042358757
23,44b6_0113de3b,59000000003,move,48,59000000003,31,125,116,100.0,3.5,1.0333333333333334,4.0,268.0,3,60000000003,33,126,119,102.0,3.6,4.0,268.0,3,3.494694639736067
24,44b6_0113de3b,60000000003,move,49,60000000003,33,126,119,100.0,3.5,1.1,4.0,268.0,3,61000000003,32,128,128,102.0,3.6,4.0,268.0,3,4.0827619710803615
