dataset,source_id,target_id,eval_result,edge_id
44b6_0113de3b,87,279,FP,
44b6_0113de3b,279,436,FP,
44b6_0113de3b,436,637,FP,
44b6_0113de3b,88,233,FP,
44b6_0113de3b,233,359,FP,
44b6_0113de3b,359,570,FP,
44b6_0113de3b,570,702,FP,
44b6_0113de3b,702,880,FP,
44b6_0113de3b,880,1043,FP,
44b6_0113de3b,1043,1200,FP,
44b6_0113de3b,1200,1373,FP,
44b6_0113de3b,1373,1611,FP,
44b6_0113de3b,1611,1711,FP,
44b6_0113de3b,1711,1887,FP,
44b6_0113de3b,2,177,FP,
44b6_0113de3b,177,393,FP,
44b6_0113de3b,393,566,FP,
44b6_0113de3b,566,710,FP,
44b6_0113de3b,710,929,FP,
44b6_0113de3b,929,1054,FP,
44b6_0113de3b,1054,1198,FP,
44b6_0113de3b,1198,1370,FP,
44b6_0113de3b,1370,1582,FP,
44b6_0113de3b,1582,1740,FP,
44b6_0113de3b,1740,1912,FP,
44b6_0113de3b,3,186,FP,
44b6_0113de3b,186,403,FP,
44b6_0113de3b,4,182,FP,
44b6_0113de3b,182,353,FP,
44b6_0113de3b,353,522,FP,
44b6_0113de3b,522,748,FP,
44b6_0113de3b,748,898,FP,
44b6_0113de3b,898,1048,FP,
44b6_0113de3b,1048,1230,FP,
44b6_0113de3b,1230,1406,FP,
44b6_0113de3b,1406,1572,FP,
44b6_0113de3b,1572,1735,FP,
44b6_0113de3b,1735,1906,FP,
44b6_0113de3b,1906,2051,FP,
44b6_0113de3b,2051,2219,FP,
44b6_0113de3b,2219,2448,FP,
44b6_0113de3b,2448,2618,FP,
44b6_0113de3b,5,213,FP,
44b6_0113de3b,213,376,FP,
44b6_0113de3b,376,593,FP,
44b6_0113de3b,593,755,FP,
44b6_0113de3b,755,941,FP,
44b6_0113de3b,941,1108,FP,
44b6_0113de3b,1108,1265,FP,
44b6_0113de3b,1265,1465,FP,
44b6_0113de3b,1465,1652,FP,
