threshold,mean_pe_ratio,median_pe_ratio,macro_pe_ratio,node_recall,datasets_with_penalty,target_achieved
0.05,0.3497,0.0885,4.5156,0.5489,20,False
0.075,0.24,0.0228,2.7487,0.4471,1,False
0.1,0.1841,0.0098,1.9946,0.3983,0,False
0.125,0.1512,0.005,1.5873,0.3652,0,False
0.15,0.1277,0.0043,1.3189,0.3331,0,False
0.175,0.1106,0.0024,1.1264,0.3071,0,False
0.2,0.0965,0.0017,0.9706,0.2787,0,False
0.225,0.0833,0.001,0.8315,0.2568,0,False
0.25,0.072,0.0008,0.7083,0.2343,0,False
0.275,0.0615,0.0007,0.6019,0.2128,0,False
0.3,0.0522,0.0002,0.5066,0.1901,0,False
0.325,0.0443,0.0,0.4274,0.1691,0,False
0.35,0.038,0.0,0.3637,0.1508,0,False
0.375,0.0321,0.0,0.305,0.1325,0,False
0.4,0.0261,0.0,0.2451,0.1104,0,False
0.425,0.0207,0.0,0.195,0.0927,0,False
0.45,0.0163,0.0,0.154,0.0765,0,False
0.475,0.0125,0.0,0.1182,0.0635,0,False
0.5,0.0094,0.0,0.0882,0.0495,0,False
0.525,0.0064,0.0,0.062,0.0366,0,False
0.55,0.004,0.0,0.0388,0.0242,0,False
0.575,0.0022,0.0,0.0216,0.0131,0,False
0.6,0.0011,0.0,0.0107,0.0064,0,False
0.625,0.0006,0.0,0.0061,0.0037,0,False
0.65,0.0003,0.0,0.0026,0.0019,0,False
0.675,0.0001,0.0,0.0006,0.0005,0,False
0.7,0.0,0.0,0.0002,0.0,0,False
