dataset,t,eval_result,gt_node_id,gt_z,gt_y,gt_x,pred_node_id,pred_z,pred_y,pred_x,distance_um
6bba_f17befbc,0,TP,1000002.0,10.0,61.0,71.0,0.0,10.0,61.0,70.0,0.4062
6bba_f17befbc,0,FP,,,,,1.0,13.0,125.0,71.0,
6bba_f17befbc,0,FP,,,,,2.0,11.0,31.0,90.0,
6bba_f17befbc,0,FP,,,,,3.0,8.0,11.0,0.0,
6bba_f17befbc,0,FP,,,,,4.0,11.0,64.0,97.0,
6bba_f17befbc,0,FP,,,,,5.0,9.0,55.0,35.0,
6bba_f17befbc,0,FP,,,,,6.0,20.0,15.0,246.0,
6bba_f17befbc,0,FP,,,,,7.0,12.0,72.0,52.0,
6bba_f17befbc,0,FP,,,,,8.0,25.0,167.0,193.0,
6bba_f17befbc,0,FP,,,,,9.0,11.0,103.0,29.0,
6bba_f17befbc,0,FP,,,,,10.0,8.0,30.0,11.0,
6bba_f17befbc,0,FP,,,,,11.0,9.0,35.0,40.0,
6bba_f17befbc,0,FP,,,,,12.0,12.0,90.0,93.0,
6bba_f17befbc,0,FP,,,,,13.0,24.0,223.0,85.0,
6bba_f17befbc,0,FP,,,,,14.0,11.0,90.0,0.0,
6bba_f17befbc,0,TP,1000009.0,24.0,228.0,64.0,15.0,24.0,227.0,62.0,0.9084
6bba_f17befbc,0,FP,,,,,16.0,21.0,155.0,148.0,
6bba_f17befbc,0,FP,,,,,17.0,10.0,81.0,49.0,
6bba_f17befbc,0,FP,,,,,18.0,11.0,73.0,14.0,
6bba_f17befbc,0,FP,,,,,19.0,17.0,65.0,191.0,
6bba_f17befbc,0,FP,,,,,20.0,23.0,217.0,39.0,
6bba_f17befbc,0,FP,,,,,21.0,14.0,1.0,121.0,
6bba_f17befbc,0,FP,,,,,22.0,16.0,98.0,156.0,
6bba_f17befbc,0,FP,,,,,23.0,24.0,199.0,128.0,
6bba_f17befbc,0,FP,,,,,24.0,11.0,65.0,13.0,
6bba_f17befbc,0,FP,,,,,25.0,11.0,98.0,51.0,
6bba_f17befbc,0,FP,,,,,26.0,8.0,0.0,35.0,
6bba_f17befbc,0,FP,,,,,27.0,9.0,19.0,123.0,
6bba_f17befbc,0,FP,,,,,28.0,17.0,166.0,59.0,
6bba_f17befbc,0,FP,,,,,29.0,27.0,225.0,139.0,
6bba_f17befbc,0,FP,,,,,30.0,34.0,200.0,255.0,
6bba_f17befbc,0,TP,1000006.0,19.0,176.0,86.0,31.0,20.0,175.0,83.0,2.0715
6bba_f17befbc,0,FP,,,,,32.0,17.0,154.0,95.0,
6bba_f17befbc,0,FP,,,,,33.0,8.0,15.0,54.0,
6bba_f17befbc,0,FP,,,,,34.0,14.0,45.0,148.0,
6bba_f17befbc,0,FP,,,,,35.0,18.0,209.0,9.0,
6bba_f17befbc,0,FP,,,,,36.0,17.0,178.0,22.0,
6bba_f17befbc,0,FP,,,,,37.0,11.0,113.0,11.0,
6bba_f17befbc,0,TP,1000011.0,31.0,245.0,152.0,38.0,32.0,243.0,152.0,1.8168
6bba_f17befbc,0,FP,,,,,39.0,24.0,255.0,42.0,
6bba_f17befbc,0,FP,,,,,40.0,14.0,145.0,44.0,
6bba_f17befbc,0,FP,,,,,41.0,26.0,248.0,33.0,
6bba_f17befbc,0,FP,,,,,42.0,39.0,255.0,223.0,
6bba_f17befbc,0,FP,,,,,43.0,14.0,140.0,32.0,
6bba_f17befbc,0,FP,,,,,44.0,17.0,132.0,155.0,
6bba_f17befbc,0,FP,,,,,45.0,28.0,239.0,115.0,
6bba_f17befbc,0,FP,,,,,46.0,19.0,190.0,46.0,
6bba_f17befbc,0,FP,,,,,47.0,28.0,247.0,77.0,
6bba_f17befbc,0,FP,,,,,48.0,8.0,12.0,33.0,
6bba_f17befbc,0,FP,,,,,49.0,30.0,159.0,255.0,
6bba_f17befbc,0,TP,1000005.0,15.0,68.0,142.0,50.0,14.0,67.0,141.0,1.7236
6bba_f17befbc,0,FP,,,,,51.0,8.0,10.0,81.0,
6bba_f17befbc,0,FP,,,,,52.0,15.0,168.0,0.0,
6bba_f17befbc,0,FP,,,,,53.0,18.0,109.0,9.0,
6bba_f17befbc,0,FP,,,,,54.0,26.0,204.0,151.0,
6bba_f17befbc,0,FP,,,,,55.0,23.0,102.0,217.0,
6bba_f17befbc,0,FP,,,,,56.0,33.0,235.0,189.0,
6bba_f17befbc,0,FP,,,,,57.0,16.0,177.0,0.0,
6bba_f17befbc,0,FP,,,,,58.0,20.0,121.0,56.0,
6bba_f17befbc,0,FP,,,,,59.0,11.0,58.0,116.0,
6bba_f17befbc,0,FP,,,,,60.0,28.0,165.0,220.0,
6bba_f17befbc,0,FP,,,,,61.0,26.0,255.0,11.0,
6bba_f17befbc,0,TP,1000013.0,34.0,234.0,215.0,62.0,35.0,232.0,215.0,1.8168
6bba_f17befbc,0,FP,,,,,63.0,26.0,230.0,14.0,
6bba_f17befbc,0,FP,,,,,64.0,26.0,158.0,49.0,
6bba_f17befbc,0,TP,1000003.0,15.0,117.0,105.0,65.0,13.0,115.0,104.0,3.3746
6bba_f17befbc,0,FP,,,,,66.0,15.0,150.0,23.0,
6bba_f17befbc,0,FP,,,,,67.0,14.0,91.0,118.0,
6bba_f17befbc,0,FP,,,,,68.0,26.0,145.0,4.0,
6bba_f17befbc,0,FP,,,,,69.0,28.0,205.0,159.0,
6bba_f17befbc,0,FP,,,,,70.0,11.0,0.0,150.0,
6bba_f17befbc,0,FP,,,,,71.0,14.0,17.0,163.0,
6bba_f17befbc,0,FP,,,,,72.0,15.0,132.0,123.0,
6bba_f17befbc,0,FP,,,,,73.0,13.0,138.0,7.0,
6bba_f17befbc,0,FP,,,,,74.0,30.0,200.0,21.0,
6bba_f17befbc,0,FP,,,,,75.0,23.0,154.0,3.0,
6bba_f17befbc,0,FP,,,,,76.0,21.0,59.0,240.0,
6bba_f17befbc,0,FP,,,,,77.0,16.0,8.0,217.0,
6bba_f17befbc,0,FP,,,,,78.0,25.0,130.0,220.0,
6bba_f17befbc,0,FP,,,,,79.0,32.0,205.0,227.0,
6bba_f17befbc,0,FP,,,,,80.0,19.0,37.0,235.0,
6bba_f17befbc,0,FP,,,,,81.0,25.0,127.0,248.0,
6bba_f17befbc,0,FP,,,,,82.0,33.0,255.0,55.0,
6bba_f17befbc,0,FP,,,,,83.0,14.0,87.0,32.0,
6bba_f17befbc,0,FP,,,,,84.0,28.0,210.0,183.0,
6bba_f17befbc,0,FP,,,,,85.0,37.0,246.0,0.0,
6bba_f17befbc,0,FP,,,,,86.0,30.0,255.0,117.0,
6bba_f17befbc,0,FP,,,,,87.0,19.0,203.0,65.0,
6bba_f17befbc,0,FP,,,,,88.0,38.0,233.0,244.0,
6bba_f17befbc,0,FP,,,,,89.0,34.0,255.0,174.0,
6bba_f17befbc,0,TP,1000007.0,24.0,98.0,241.0,90.0,23.0,99.0,243.0,1.8617
6bba_f17befbc,0,FP,,,,,91.0,37.0,255.0,197.0,
6bba_f17befbc,0,FP,,,,,92.0,34.0,240.0,0.0,
6bba_f17befbc,0,FP,,,,,93.0,36.0,225.0,249.0,
6bba_f17befbc,0,FP,,,,,94.0,20.0,199.0,100.0,
6bba_f17befbc,0,FP,,,,,95.0,16.0,39.0,206.0,
6bba_f17befbc,0,FP,,,,,96.0,22.0,175.0,8.0,
6bba_f17befbc,0,FP,,,,,97.0,20.0,130.0,182.0,
6bba_f17befbc,0,FP,,,,,98.0,26.0,150.0,161.0,
6bba_f17befbc,0,FP,,,,,99.0,22.0,41.0,255.0,
6bba_f17befbc,0,FP,,,,,100.0,25.0,154.0,126.0,
6bba_f17befbc,0,FP,,,,,101.0,20.0,159.0,11.0,
6bba_f17befbc,0,FP,,,,,102.0,28.0,149.0,199.0,
6bba_f17befbc,0,FP,,,,,103.0,32.0,173.0,179.0,
6bba_f17befbc,0,FP,,,,,104.0,13.0,0.0,76.0,
6bba_f17befbc,0,FP,,,,,105.0,18.0,125.0,22.0,
6bba_f17befbc,0,FP,,,,,106.0,25.0,145.0,91.0,
6bba_f17befbc,0,FP,,,,,107.0,26.0,174.0,110.0,
6bba_f17befbc,0,FP,,,,,108.0,15.0,38.0,177.0,
6bba_f17befbc,0,FP,,,,,109.0,30.0,202.0,205.0,
6bba_f17befbc,0,FP,,,,,110.0,20.0,169.0,120.0,
6bba_f17befbc,0,FP,,,,,111.0,18.0,63.0,214.0,
6bba_f17befbc,0,FP,,,,,112.0,31.0,178.0,32.0,
6bba_f17befbc,0,FP,,,,,113.0,6.0,0.0,108.0,
6bba_f17befbc,0,FP,,,,,114.0,24.0,195.0,27.0,
6bba_f17befbc,0,FP,,,,,115.0,35.0,225.0,0.0,
6bba_f17befbc,0,FP,,,,,116.0,39.0,209.0,249.0,
6bba_f17befbc,0,FP,,,,,117.0,40.0,234.0,203.0,
6bba_f17befbc,0,FP,,,,,118.0,32.0,236.0,89.0,
6bba_f17befbc,0,FP,,,,,119.0,30.0,182.0,184.0,
6bba_f17befbc,0,FP,,,,,120.0,27.0,184.0,64.0,
6bba_f17befbc,0,FP,,,,,121.0,15.0,42.0,51.0,
6bba_f17befbc,0,FP,,,,,122.0,29.0,153.0,171.0,
6bba_f17befbc,0,FP,,,,,123.0,6.0,9.0,135.0,
6bba_f17befbc,0,FP,,,,,124.0,29.0,220.0,116.0,
6bba_f17befbc,0,FP,,,,,125.0,10.0,0.0,191.0,
6bba_f17befbc,0,FP,,,,,126.0,25.0,183.0,171.0,
6bba_f17befbc,0,FP,,,,,127.0,34.0,229.0,35.0,
6bba_f17befbc,0,FP,,,,,128.0,29.0,185.0,133.0,
6bba_f17befbc,0,FP,,,,,129.0,25.0,165.0,105.0,
6bba_f17befbc,0,FP,,,,,130.0,23.0,64.0,203.0,
6bba_f17befbc,0,FP,,,,,131.0,21.0,199.0,170.0,
6bba_f17befbc,0,FP,,,,,132.0,38.0,250.0,95.0,
6bba_f17befbc,0,FP,,,,,133.0,24.0,80.0,255.0,
6bba_f17befbc,0,FP,,,,,134.0,8.0,31.0,162.0,
6bba_f17befbc,0,FP,,,,,135.0,33.0,215.0,56.0,
6bba_f17befbc,0,FP,,,,,136.0,38.0,248.0,103.0,
6bba_f17befbc,0,FP,,,,,137.0,17.0,61.0,84.0,
6bba_f17befbc,0,FP,,,,,138.0,43.0,255.0,8.0,
6bba_f17befbc,0,FP,,,,,139.0,5.0,0.0,96.0,
6bba_f17befbc,0,FP,,,,,140.0,39.0,255.0,43.0,
6bba_f17befbc,0,FP,,,,,141.0,23.0,135.0,43.0,
6bba_f17befbc,0,FP,,,,,142.0,9.0,47.0,191.0,
6bba_f17befbc,0,FP,,,,,143.0,10.0,48.0,195.0,
6bba_f17befbc,0,FP,,,,,144.0,38.0,219.0,5.0,
6bba_f17befbc,0,FP,,,,,145.0,8.0,57.0,167.0,
6bba_f17befbc,0,FP,,,,,146.0,36.0,235.0,137.0,
6bba_f17befbc,0,FP,,,,,147.0,20.0,122.0,86.0,
