dataset,total_gt_edges,total_pred_edges,tp,fp,fn,precision,recall,f1_score,official_edge_tp,official_edge_fp,official_edge_fn
44b6_0113de3b,50,3420,9,3411,41,0.0026,0.18,0.0052,10,1,40
44b6_0b24845f,49,10300,0,10300,49,0.0,0.0,0.0,0,0,49
44b6_0c582fdc,70,4121,3,4118,67,0.0007,0.0429,0.0014,3,0,67
44b6_0db75fae,151,3517,76,3441,75,0.0216,0.5033,0.0414,84,0,67
44b6_12dfb391,773,3139,35,3104,738,0.0112,0.0453,0.0179,38,17,735
44b6_144b256d,119,7456,0,7456,119,0.0,0.0,0.0,0,0,119
44b6_1574802b,153,2821,11,2810,142,0.0039,0.0719,0.0074,37,3,116
44b6_18ced818,99,15316,36,15280,63,0.0024,0.3636,0.0047,36,4,63
44b6_1d530831,271,6954,60,6894,211,0.0086,0.2214,0.0166,91,17,180
44b6_24264f12,221,3172,40,3132,181,0.0126,0.181,0.0236,47,20,174
44b6_267148e4,277,5047,52,4995,225,0.0103,0.1877,0.0195,52,36,225
44b6_2a2eff9f,210,8347,48,8299,162,0.0058,0.2286,0.0112,49,6,161
44b6_2f31fc2f,85,6512,15,6497,70,0.0023,0.1765,0.0045,15,11,70
44b6_33b596bf,49,3582,5,3577,44,0.0014,0.102,0.0028,5,4,44
44b6_341df25f,209,1548,70,1478,139,0.0452,0.3349,0.0797,76,3,133
44b6_3a861e03,919,1152,15,1137,904,0.013,0.0163,0.0145,30,14,889
44b6_3bb3690f,396,10802,28,10774,368,0.0026,0.0707,0.005,31,20,365
44b6_40c45f5a,198,8699,84,8615,114,0.0097,0.4242,0.0189,106,36,92
44b6_415c0a3a,322,7631,19,7612,303,0.0025,0.059,0.0048,19,7,303
44b6_53f95252,68,3131,1,3130,67,0.0003,0.0147,0.0006,1,0,67
44b6_551a5dba,224,18500,79,18421,145,0.0043,0.3527,0.0084,82,50,142
44b6_5740d24b,170,5101,102,4999,68,0.02,0.6,0.0387,109,5,61
44b6_587a1e22,371,3636,127,3509,244,0.0349,0.3423,0.0634,127,14,244
44b6_5f15d135,273,9897,62,9835,211,0.0063,0.2271,0.0122,78,37,195
