dataset,t,bg_median,bg_noise,snr_proxy,fg_ratio,p01,p995,detected_nodes
44b6_0113de3b,0,154.0,124.54,10.8723,0.0616,37.0,1508.0,226
44b6_0113de3b,1,155.0,124.54,10.9285,0.0613,37.0,1516.0,222
44b6_0113de3b,2,156.0,126.02,10.9666,0.0613,37.0,1538.0,226
44b6_0113de3b,3,156.0,125.28,11.0554,0.0613,38.0,1541.0,221
44b6_0113de3b,4,156.0,126.76,10.9261,0.0605,38.0,1541.0,217
44b6_0113de3b,5,156.0,127.5,10.9959,0.0604,37.0,1558.0,224
44b6_0113de3b,6,157.0,128.98,10.9858,0.0603,36.0,1574.0,222
44b6_0113de3b,7,160.0,131.21,10.9063,0.0606,36.0,1591.0,223
44b6_0113de3b,8,161.0,131.95,10.8905,0.06,37.0,1598.0,223
44b6_0113de3b,9,164.0,133.43,10.7021,0.0601,37.0,1592.0,219
44b6_0113de3b,10,166.0,134.91,10.8439,0.0606,36.0,1629.0,230
44b6_0113de3b,11,166.0,134.91,10.8661,0.0608,36.0,1632.0,225
44b6_0113de3b,12,169.0,136.4,10.6014,0.0605,37.0,1615.0,229
44b6_0113de3b,13,170.0,137.88,10.6397,0.0597,36.0,1637.0,232
44b6_0113de3b,14,170.0,139.36,10.5664,0.0596,36.0,1642.57,236
44b6_0113de3b,15,171.0,140.1,10.689,0.0603,36.0,1668.57,232
44b6_0113de3b,16,169.0,136.4,10.8653,0.0592,40.0,1651.0,217
44b6_0113de3b,17,172.0,138.62,10.8064,0.0589,40.0,1670.0,223
44b6_0113de3b,18,174.0,139.36,10.6844,0.058,40.0,1663.0,228
44b6_0113de3b,19,176.0,143.07,10.3866,0.0573,41.0,1662.0,233
44b6_0113de3b,20,177.0,145.29,10.3171,0.0573,40.0,1676.0,235
44b6_0113de3b,21,178.0,146.78,10.2469,0.0571,41.0,1682.0,240
44b6_0113de3b,22,182.0,149.0,10.188,0.0576,41.0,1700.0,236
44b6_0113de3b,23,186.0,153.45,9.8405,0.0562,41.0,1696.0,237
44b6_0113de3b,24,188.0,152.71,9.7442,0.0561,42.0,1676.0,237
44b6_0113de3b,25,188.0,151.96,9.8247,0.0561,42.0,1681.0,236
44b6_0113de3b,26,193.0,155.67,9.7064,0.0555,43.0,1704.0,237
44b6_0113de3b,27,195.0,154.93,9.6495,0.0546,42.0,1690.0,242
44b6_0113de3b,28,192.0,151.96,9.7786,0.0566,41.0,1678.0,242
44b6_0113de3b,29,193.0,154.93,9.656,0.0569,40.0,1689.0,249
44b6_0113de3b,30,197.0,156.41,9.5709,0.057,39.0,1694.0,255
44b6_0113de3b,31,206.0,161.6,9.4554,0.0554,40.0,1734.0,254
44b6_0113de3b,32,205.0,160.86,9.3249,0.0553,40.0,1705.0,262
44b6_0113de3b,33,202.0,157.15,9.5766,0.0561,39.0,1707.0,259
44b6_0113de3b,34,202.0,157.89,9.4846,0.056,38.0,1699.57,264
44b6_0113de3b,35,198.0,153.45,9.7102,0.0576,38.0,1688.0,264
44b6_0113de3b,36,199.0,153.45,9.7819,0.0577,38.0,1700.0,261
44b6_0113de3b,37,202.0,154.19,9.7284,0.0567,38.0,1702.0,266
44b6_0113de3b,38,202.0,154.93,9.6818,0.0568,38.0,1702.0,253
44b6_0113de3b,39,203.0,154.93,9.6366,0.0566,38.0,1696.0,258
44b6_0113de3b,40,201.0,154.19,9.6116,0.056,38.0,1683.0,261
44b6_0113de3b,41,202.0,154.19,9.4726,0.0559,39.0,1662.57,260
44b6_0113de3b,42,196.0,149.0,9.7517,0.0567,37.0,1649.0,257
44b6_0113de3b,43,202.0,154.93,9.4559,0.0556,37.0,1667.0,269
44b6_0113de3b,44,205.0,157.15,9.443,0.0558,36.0,1689.0,267
44b6_0113de3b,45,202.0,156.41,9.5197,0.057,35.0,1691.0,268
44b6_0113de3b,46,200.0,156.41,9.5069,0.0572,35.0,1687.0,272
44b6_0113de3b,47,199.0,158.64,9.3232,0.0574,35.0,1678.0,273
44b6_0113de3b,48,204.0,161.6,9.2202,0.0562,35.0,1694.0,273
44b6_0113de3b,49,203.0,157.89,9.2657,0.0568,35.0,1666.0,267
44b6_0113de3b,50,201.0,158.64,9.2224,0.0553,37.0,1664.0,268
44b6_0113de3b,51,204.0,164.57,8.9022,0.0545,32.0,1669.0,290
44b6_0113de3b,52,202.0,163.83,8.9913,0.0552,33.0,1675.0,298
44b6_0113de3b,53,203.0,166.05,9.1057,0.0557,32.0,1715.0,297
44b6_0113de3b,54,203.0,163.08,9.0322,0.0554,33.0,1676.0,294
44b6_0113de3b,55,204.0,167.53,8.8043,0.0547,32.0,1679.0,287
44b6_0113de3b,56,205.0,165.31,8.8562,0.0552,33.0,1669.0,284
44b6_0113de3b,57,201.0,163.83,8.8143,0.0547,32.0,1645.0,281
44b6_0113de3b,58,201.0,163.83,8.8631,0.0541,31.0,1653.0,285
44b6_0113de3b,59,197.0,162.34,8.7839,0.0536,31.0,1623.0,290
44b6_0113de3b,60,199.0,165.31,8.7689,0.0541,31.0,1648.57,296
44b6_0113de3b,61,200.0,166.79,8.4751,0.0533,31.0,1613.57,294
44b6_0113de3b,62,200.0,166.05,8.365,0.0528,31.0,1589.0,299
44b6_0113de3b,63,200.0,167.53,8.3626,0.053,30.0,1601.0,292
44b6_0113de3b,64,200.0,168.27,8.195,0.0513,30.0,1579.0,293
44b6_0113de3b,65,203.0,171.24,8.1524,0.0518,30.0,1599.0,291
44b6_0113de3b,66,201.0,171.24,8.2166,0.0524,30.0,1608.0,291
44b6_0113de3b,67,202.0,173.46,8.0536,0.0524,30.0,1599.0,286
44b6_0113de3b,68,200.0,172.72,8.0766,0.0532,30.0,1595.0,290
44b6_0113de3b,69,199.0,174.2,7.9792,0.0529,30.0,1589.0,282
44b6_0113de3b,70,200.0,174.2,7.9046,0.0525,30.0,1577.0,291
44b6_0113de3b,71,202.0,173.46,7.9589,0.0524,30.0,1582.57,288
44b6_0113de3b,72,200.0,173.46,7.9787,0.0522,30.0,1584.0,286
44b6_0113de3b,73,197.0,173.46,7.9441,0.0516,29.0,1575.0,286
44b6_0113de3b,74,194.0,173.46,7.9787,0.0507,29.0,1578.0,281
44b6_0113de3b,75,194.0,172.72,7.9493,0.0507,28.0,1567.0,282
44b6_0113de3b,76,191.0,172.72,7.8277,0.0495,28.0,1543.0,288
44b6_0113de3b,77,192.0,170.5,7.8477,0.0498,28.0,1530.0,294
44b6_0113de3b,78,194.0,169.01,7.952,0.0501,28.0,1538.0,280
44b6_0113de3b,79,194.0,171.24,7.7119,0.0484,28.0,1514.57,287
44b6_0113de3b,80,187.0,167.53,7.909,0.0498,27.0,1512.0,291
44b6_0113de3b,81,186.0,167.53,7.7717,0.0498,27.0,1488.0,292
44b6_0113de3b,82,186.0,167.53,7.8135,0.0502,27.0,1495.0,287
44b6_0113de3b,83,185.0,166.05,7.6002,0.0487,27.0,1447.0,278
44b6_0113de3b,84,186.0,166.05,7.7086,0.0494,28.0,1466.0,282
44b6_0113de3b,85,183.0,163.08,7.8916,0.0499,27.0,1470.0,282
44b6_0113de3b,86,183.0,162.34,7.823,0.0502,27.0,1453.0,285
44b6_0113de3b,87,184.0,165.31,7.6524,0.049,28.0,1449.0,284
44b6_0113de3b,88,176.0,159.38,7.7803,0.0486,27.0,1416.0,284
44b6_0113de3b,89,173.0,159.38,7.705,0.0487,26.0,1401.0,284
44b6_0113de3b,90,172.0,160.86,7.6961,0.0482,26.0,1410.0,286
44b6_0113de3b,91,167.0,157.89,7.8343,0.0494,27.0,1404.0,278
44b6_0113de3b,92,166.0,154.93,7.9326,0.0504,27.0,1395.0,274
44b6_0113de3b,93,168.0,158.64,7.7698,0.0491,27.0,1400.57,274
44b6_0113de3b,94,163.0,157.89,7.6823,0.0486,26.0,1376.0,272
44b6_0113de3b,95,160.0,154.93,7.7842,0.0491,26.0,1366.0,270
44b6_0113de3b,96,157.0,154.19,7.8086,0.0497,26.0,1361.0,268
44b6_0113de3b,97,149.0,150.48,7.8681,0.0504,25.0,1333.0,269
44b6_0113de3b,98,148.0,151.96,7.9032,0.0503,25.0,1349.0,263
44b6_0113de3b,99,147.0,151.22,7.8295,0.0495,25.0,1331.0,258
