dataset,t,eval_result,gt_node_id,gt_z,gt_y,gt_x,pred_node_id,pred_z,pred_y,pred_x,distance_um
44b6_0113de3b,0,FP,,,,,0.0,54.0,99.0,190.0,
44b6_0113de3b,67,FP,,,,,13008.0,17.0,15.0,96.0,
44b6_0113de3b,67,FP,,,,,13007.0,21.0,194.0,44.0,
44b6_0113de3b,67,FP,,,,,13006.0,57.0,241.0,143.0,
44b6_0113de3b,67,FP,,,,,13005.0,7.0,153.0,63.0,
44b6_0113de3b,67,FP,,,,,13004.0,33.0,15.0,192.0,
44b6_0113de3b,67,FP,,,,,13003.0,14.0,39.0,79.0,
44b6_0113de3b,67,FP,,,,,13002.0,33.0,231.0,71.0,
44b6_0113de3b,67,FP,,,,,13001.0,44.0,15.0,162.0,
44b6_0113de3b,67,FP,,,,,13000.0,13.0,100.0,56.0,
44b6_0113de3b,67,FP,,,,,12999.0,54.0,101.0,189.0,
44b6_0113de3b,67,FP,,,,,12998.0,22.0,166.0,48.0,
44b6_0113de3b,67,FP,,,,,12997.0,33.0,28.0,142.0,
44b6_0113de3b,67,FP,,,,,12996.0,53.0,184.0,147.0,
44b6_0113de3b,67,FP,,,,,12995.0,42.0,156.0,117.0,
44b6_0113de3b,67,FP,,,,,12994.0,53.0,230.0,126.0,
44b6_0113de3b,67,FP,,,,,13009.0,38.0,94.0,167.0,
44b6_0113de3b,67,FP,,,,,12993.0,48.0,121.0,157.0,
44b6_0113de3b,67,FP,,,,,13010.0,39.0,38.0,152.0,
44b6_0113de3b,67,FP,,,,,13012.0,19.0,230.0,68.0,
44b6_0113de3b,67,FP,,,,,13027.0,38.0,222.0,63.0,
44b6_0113de3b,67,FP,,,,,13026.0,8.0,71.0,84.0,
44b6_0113de3b,67,FP,,,,,13025.0,19.0,201.0,31.0,
44b6_0113de3b,67,FP,,,,,13024.0,53.0,169.0,200.0,
44b6_0113de3b,67,FP,,,,,13023.0,59.0,170.0,221.0,
44b6_0113de3b,67,FP,,,,,13022.0,60.0,185.0,166.0,
44b6_0113de3b,67,FP,,,,,13021.0,19.0,99.0,66.0,
44b6_0113de3b,67,FP,,,,,13020.0,40.0,28.0,211.0,
44b6_0113de3b,67,FP,,,,,13019.0,24.0,184.0,59.0,
44b6_0113de3b,67,FP,,,,,13018.0,40.0,135.0,113.0,
44b6_0113de3b,67,FP,,,,,13017.0,61.0,217.0,218.0,
44b6_0113de3b,67,FP,,,,,13016.0,12.0,197.0,92.0,
44b6_0113de3b,67,FP,,,,,13015.0,36.0,132.0,99.0,
44b6_0113de3b,67,FP,,,,,13014.0,11.0,135.0,39.0,
44b6_0113de3b,67,FP,,,,,13013.0,49.0,113.0,144.0,
44b6_0113de3b,67,FP,,,,,13011.0,57.0,207.0,148.0,
44b6_0113de3b,67,FP,,,,,13028.0,4.0,88.0,40.0,
44b6_0113de3b,67,FP,,,,,12992.0,29.0,6.0,139.0,
44b6_0113de3b,67,FP,,,,,12990.0,48.0,173.0,128.0,
44b6_0113de3b,67,FP,,,,,12970.0,21.0,127.0,106.0,
44b6_0113de3b,67,FP,,,,,12969.0,40.0,32.0,168.0,
44b6_0113de3b,67,FP,,,,,12968.0,45.0,65.0,205.0,
44b6_0113de3b,67,FP,,,,,12967.0,29.0,104.0,128.0,
44b6_0113de3b,67,FP,,,,,12966.0,37.0,115.0,105.0,
44b6_0113de3b,67,FP,,,,,12965.0,55.0,15.0,232.0,
44b6_0113de3b,67,FP,,,,,12964.0,30.0,195.0,151.0,
44b6_0113de3b,67,FP,,,,,12963.0,18.0,199.0,72.0,
44b6_0113de3b,67,FP,,,,,12962.0,15.0,124.0,52.0,
44b6_0113de3b,67,FP,,,,,12961.0,25.0,163.0,60.0,
44b6_0113de3b,67,FP,,,,,12960.0,49.0,149.0,189.0,
44b6_0113de3b,67,FP,,,,,12959.0,34.0,180.0,71.0,
44b6_0113de3b,67,FP,,,,,12958.0,26.0,75.0,92.0,
44b6_0113de3b,67,FP,,,,,12957.0,22.0,27.0,106.0,
44b6_0113de3b,67,FP,,,,,12956.0,31.0,56.0,123.0,
44b6_0113de3b,67,FP,,,,,12971.0,36.0,164.0,131.0,
44b6_0113de3b,67,FP,,,,,12991.0,28.0,47.0,110.0,
44b6_0113de3b,67,FP,,,,,12972.0,54.0,242.0,177.0,
44b6_0113de3b,67,FP,,,,,12974.0,55.0,179.0,144.0,
44b6_0113de3b,67,FP,,,,,12989.0,37.0,170.0,87.0,
44b6_0113de3b,67,FP,,,,,12988.0,32.0,124.0,84.0,
44b6_0113de3b,67,FP,,,,,12987.0,14.0,140.0,78.0,
44b6_0113de3b,67,FP,,,,,12986.0,44.0,215.0,98.0,
