dataset,nodes,length,gt_count,group,mean_z,mean_step,total_disp,disp_ratio,raw_intensity,dog_response,local_contrast
6bba_6feb10f0,"[0, 2081, 2403, 3110, 2731, 735, 373, 1750, 1431, 1087]",10,0,Group C: Unannotated Cell Candidates,7.8,1.817211366430693,3.2752922102462856,0.20025139246959014,1701.6,78.6466552734375,1.001527645407332
6bba_6feb10f0,[1],1,0,Group B: Static/Optical Noise (Yolk/Debris),19.0,0.0,0.0,0.0,1914.0,89.7000732421875,1.7930542363888065
6bba_6feb10f0,[2],1,0,Group B: Static/Optical Noise (Yolk/Debris),5.0,0.0,0.0,0.0,1671.0,82.57958984375,0.931313830795351
6bba_6feb10f0,"[3, 397]",2,0,Group C: Unannotated Cell Candidates,39.5,3.2752922102462856,3.2752922102462856,0.9996947769198142,2528.0,88.62353515625,0.8602773038360019
6bba_6feb10f0,"[1440, 738, 4, 1097, 374]",5,0,Group C: Unannotated Cell Candidates,4.0,2.1022329143629186,7.198768340834423,0.855984166584268,1786.4,85.9766357421875,0.6302881529094766
6bba_6feb10f0,"[5, 551]",2,0,Group C: Unannotated Cell Candidates,1.0,3.8540258983302125,3.8540258983302125,0.9997405983704459,1446.5,53.801513671875,0.8922753783847114
6bba_6feb10f0,"[2722, 4036, 1093, 6, 742, 3112, 2093, 2415, 1759, 3507, 382, 1439]",12,0,Group C: Unannotated Cell Candidates,18.416666666666668,1.895718546718986,7.632744530147724,0.36601034151959944,1497.6666666666667,59.03871154785156,0.7964152435569511
6bba_6feb10f0,"[511, 7]",2,0,Group C: Unannotated Cell Candidates,50.0,3.25,3.25,0.9996924023377423,2306.0,74.40380859375,2.211200970627962
6bba_6feb10f0,"[1762, 8, 425, 1451, 2096, 2418, 1085, 734]",8,0,Group C: Unannotated Cell Candidates,15.875,1.8900166118434334,8.285906709588275,0.6262439640330666,1465.25,91.30848693847656,1.1243566293092775
6bba_6feb10f0,"[2784, 3904, 3523, 389, 3143, 9, 782, 2126, 2448, 4245, 1786, 1118, 1471]",13,0,Group C: Unannotated Cell Candidates,35.92307692307692,1.4906644997659673,9.758459871439754,0.5455013726875413,1830.0,65.17095477764423,1.283347194681674
6bba_6feb10f0,"[390, 1129, 10, 1481, 1772, 766]",6,0,Group C: Unannotated Cell Candidates,38.666666666666664,2.782629376962868,1.8168052317185792,0.13057252066969402,2100.8333333333335,71.39371744791667,1.1096275786757772
6bba_6feb10f0,"[11, 445]",2,0,Group C: Unannotated Cell Candidates,0.0,4.0625,4.0625,0.9997539067306508,1479.0,46.828857421875,0.6207864384276118
6bba_6feb10f0,"[1089, 4866, 739, 4164, 2085, 2407, 3496, 12, 4498, 2740, 3833, 1753, 3130, 379, 5181, 1438]",16,0,Group C: Unannotated Cell Candidates,56.6875,1.7823596516950215,5.629165124598851,0.2105431630510214,2206.125,82.77277374267578,0.9650965914534358
6bba_6feb10f0,"[1098, 13, 750, 372, 1470]",5,0,Group C: Unannotated Cell Candidates,42.4,3.103741849631727,6.20113711850496,0.4994485664677803,2503.6,108.630908203125,1.8137825279774646
6bba_6feb10f0,"[736, 1090, 2086, 1757, 2408, 14, 3854, 381, 3126, 3513, 1437, 2751]",12,10,Group A: Annotated GT Cells,48.0,1.8693755511019334,4.596194077712559,0.22350538730900518,2457.6666666666665,66.74884033203125,1.0140271578522941
6bba_6feb10f0,[15],1,0,Group B: Static/Optical Noise (Yolk/Debris),3.0,0.0,0.0,0.0,1733.0,134.2037353515625,0.9391183984571958
6bba_6feb10f0,"[16, 760, 446]",3,0,Group C: Unannotated Cell Candidates,56.333333333333336,3.2752922102462856,0.0,0.0,1443.6666666666667,63.792317708333336,1.1995556440968247
6bba_6feb10f0,"[17, 3859, 3480, 4511, 1441, 3106, 5153, 5541, 2097, 2744, 6211, 1105, 5848, 4830, 4192, 743, 1771, 2419, 377]",19,0,Group C: Unannotated Cell Candidates,39.0,1.7101267268555933,13.332181753655325,0.4330981391338579,1877.9473684210527,75.41085654810855,1.2725054955554085
6bba_6feb10f0,"[1829, 1127, 2857, 3247, 434, 18, 1462, 762, 2204, 2526]",10,0,Group C: Unannotated Cell Candidates,51.9,2.3443115462065394,7.887948184572462,0.37383988097840987,1640.1,53.655078125,0.9159633307002444
6bba_6feb10f0,"[3851, 19, 5140, 4508, 6180, 3109, 1448, 682, 3500, 2737, 2105, 1101, 5847, 6873, 5469, 4197, 1767, 745, 4842, 2427, 6527]",21,0,Group C: Unannotated Cell Candidates,23.285714285714285,2.2398069985093487,18.567891683292963,0.4144883288453262,1577.3333333333333,64.06785365513393,1.4613598100555414
