rank,feature_name,hierarchy,roc_auc,direction,cohens_d,best_f1,best_precision,best_recall,best_threshold,pos_mean,pos_std,pos_median,pos_iqr,neg_mean,neg_std,neg_median,neg_iqr
1,gt_matched_dist_um,ノード (Node),1.0,POS_LOW,-0.3962,0.6846,0.5204,1.0,9.93,3.6738,1.9834,3.37,3.65,99.176,244.2301,30.26,27.34
2,std_intensity_3x3,ノード (Node),0.6876,POS_LOW,-0.4981,0.1401,0.1064,0.2048,23.15,38.1249,22.1291,33.01,19.62,65.0605,54.6792,43.71,46.31
3,max_intensity_3x3,ノード (Node),0.6478,POS_LOW,-0.6218,0.1575,0.1196,0.2306,803.0,1150.0953,392.9558,1250.0,480.0,1421.7705,438.0268,1350.0,419.0
4,raw_intensity,ノード (Node),0.646,POS_LOW,-0.6119,0.156,0.1186,0.2281,729.0,1084.876,378.0786,1180.0,473.0,1338.4057,415.2768,1277.0,401.0
5,laplacian_sharpness,ノード (Node),0.6375,POS_LOW,-0.4403,0.0707,0.0377,0.5812,46.0,51.1238,50.0596,39.0,52.0,101.0102,114.5087,62.0,98.0
6,mean_intensity_3x3,ノード (Node),0.6375,POS_LOW,-0.5919,0.1513,0.115,0.2209,708.9435,1076.1581,369.7509,1174.44,455.075,1305.9124,388.616,1260.11,379.57
7,intensity_diff,エッジ (Edge),0.6193,POS_LOW,-0.3465,0.0677,0.037,0.3982,24.0,54.1559,60.1457,35.0,65.0,89.7677,103.5885,61.0,95.0
8,min_intensity_3x3,ノード (Node),0.6187,POS_LOW,-0.5193,0.1357,0.1031,0.1983,590.0,1001.2689,347.3374,1096.0,438.0,1181.3964,346.8544,1164.0,348.0
9,max_track_intensity,トラック (Track),0.582,POS_LOW,-0.3628,0.0713,0.0515,0.1157,804.55,1229.4833,346.8413,1272.0,297.0,1387.4994,437.3947,1321.0,417.0
10,local_contrast,ノード (Node),0.5802,POS_LOW,-0.3474,0.0628,0.0326,0.8762,0.195,0.1422,0.0502,0.1329,0.0605,0.184,0.1216,0.1439,0.1081
11,y,ノード (Node),0.575,POS_LOW,-0.26,0.0661,0.0359,0.4209,76.0,107.9213,71.1977,96.0,120.0,127.1103,73.8671,128.0,128.0
12,y_norm,ノード (Node),0.575,POS_LOW,-0.26,0.0661,0.0359,0.4209,0.298,0.4232,0.2792,0.3765,0.4706,0.4985,0.2897,0.502,0.5019
13,mean_track_intensity,トラック (Track),0.5739,POS_LOW,-0.3549,0.0737,0.0533,0.1195,767.4895,1179.5673,328.5897,1231.165,250.1075,1319.3708,395.2745,1264.635,366.645
14,dist_to_border_xy_um,ノード (Node),0.5656,POS_HIGH,0.2534,0.0781,0.0578,0.1202,40.62,20.3848,14.0636,17.88,21.13,17.1652,12.6686,14.62,19.91
15,local_snr,ノード (Node),0.5649,POS_LOW,-0.2173,0.0661,0.0388,0.2235,1.4968,2.1832,0.8833,2.1804,1.2007,2.3642,0.8313,2.3965,1.1044
16,min_track_intensity,トラック (Track),0.5586,POS_LOW,-0.3057,0.0696,0.0502,0.1131,682.0,1131.874,327.949,1170.0,282.0,1249.8787,387.2671,1202.0,370.0
17,dist_to_center_xy_um,ノード (Node),0.5578,POS_LOW,-0.2404,0.0798,0.0604,0.1179,12.38,36.0563,16.9045,37.52,24.43,39.7384,15.272,41.43,22.28
18,mean_track_snr,トラック (Track),0.5575,POS_LOW,-0.1536,0.0539,0.0286,0.4499,2.0946,2.197,0.7419,2.1694,0.8271,2.304,0.6956,2.3217,0.8035
19,dist_3d_um,エッジ (Edge),0.5453,POS_LOW,-0.1592,0.0529,0.029,0.305,0.0,1.7341,1.4936,1.62,2.3,1.9895,1.6068,1.62,2.81
20,velocity_um_per_frame,エッジ (Edge),0.5453,POS_LOW,-0.1592,0.0529,0.029,0.305,0.0,1.7341,1.4936,1.62,2.3,1.9895,1.6068,1.62,2.81
21,dx_um,エッジ (Edge),0.5428,POS_LOW,-0.146,0.0514,0.0266,0.7956,0.0,0.1941,0.9999,0.0,0.0,0.3623,1.1556,0.0,1.62
22,dist_xy_um,エッジ (Edge),0.5407,POS_LOW,-0.1523,0.0523,0.0277,0.4795,0.0,1.0631,1.165,1.62,1.62,1.2586,1.2865,1.62,1.62
23,dz_um,エッジ (Edge),0.5365,POS_LOW,-0.1089,0.0511,0.0264,0.7771,0.0,-0.0712,1.6555,0.0,1.62,0.1256,1.8111,0.0,1.62
24,std_track_intensity,トラック (Track),0.5356,POS_LOW,-0.1706,0.0473,0.0245,0.7134,51.56,35.8161,54.5504,0.0,61.5575,48.5767,75.1876,0.0,78.135
25,min_track_snr,トラック (Track),0.5331,POS_LOW,-0.1006,0.0529,0.0304,0.2044,0.8413,1.7366,1.0049,1.6615,1.3887,1.8296,0.9217,1.8142,1.2829
26,max_track_snr,トラック (Track),0.5327,POS_LOW,-0.1118,0.0525,0.0321,0.144,1.5071,2.6706,0.9814,2.7225,1.4127,2.7754,0.9369,2.8395,1.3281
27,cos_gap_prev,エッジ (Edge),0.5327,POS_LOW,-0.1309,0.05,0.0258,0.8444,0.0,-0.0309,0.4417,0.0,0.0,0.03,0.4653,0.0,0.0
28,nearest_neighbor_dist_um,ノード (Node),0.5308,POS_LOW,0.1593,0.063,0.0344,0.3755,6.08,8.1293,3.8958,6.89,3.51,7.7239,2.4982,7.45,2.82
29,dist_z_um,エッジ (Edge),0.5299,POS_LOW,-0.1091,0.0505,0.0265,0.5197,0.0,1.0331,1.2955,0.0,1.62,1.1832,1.3769,1.62,1.62
30,cos_next_gap,エッジ (Edge),0.5296,POS_LOW,-0.1192,0.0499,0.0257,0.8558,0.0,-0.0225,0.4225,0.0,0.0,0.0312,0.4507,0.0,0.0
31,dead_reckoning_bwd_um,エッジ (Edge),0.5286,POS_LOW,-0.1022,0.0509,0.0266,0.6123,0.0,1.4031,2.0447,0.0,2.81,1.6262,2.1861,0.0,3.25
32,x,ノード (Node),0.5228,POS_HIGH,0.0951,0.0573,0.0298,0.7032,116.0,146.0063,61.7433,140.0,92.0,139.0445,73.5004,144.0,124.0
33,x_norm,ノード (Node),0.5228,POS_HIGH,0.0951,0.0573,0.0298,0.7032,0.4549,0.5726,0.2421,0.549,0.3608,0.5453,0.2882,0.5647,0.4863
34,dead_reckoning_fwd_um,エッジ (Edge),0.5223,POS_LOW,-0.08,0.0501,0.0262,0.5741,0.0,1.59,2.1648,0.0,3.25,1.7728,2.2888,0.0,3.25
35,z,ノード (Node),0.5203,POS_HIGH,0.0741,0.0583,0.0327,0.2687,53.0,35.7319,18.1601,36.0,34.0,34.3746,18.3091,36.0,31.0
36,z_norm,ノード (Node),0.5203,POS_HIGH,0.0741,0.0583,0.0327,0.2687,0.8413,0.5672,0.2883,0.5714,0.5396,0.5456,0.2906,0.5714,0.4921
37,dead_reckoning_mean_um,エッジ (Edge),0.52,POS_LOW,-0.0836,0.0509,0.0271,0.4276,0.0,2.1015,2.1622,2.3,3.63,2.2888,2.2432,2.3,3.63
38,confinement_ratio,トラック (Track),0.5193,POS_LOW,-0.0798,0.046,0.0238,0.6941,0.3921,0.2593,0.3487,0.0,0.4819,0.2882,0.3628,0.0,0.5489
39,neighbor_count_10um,ノード (Node),0.5188,POS_HIGH,0.0922,0.0583,0.0325,0.2821,4.0,2.4356,1.9183,2.0,3.0,2.2793,1.6886,2.0,2.0
40,neighbor_count_5um,ノード (Node),0.5183,POS_HIGH,0.12,0.0557,0.0346,0.1426,1.0,0.1531,0.3897,0.0,0.0,0.1126,0.3361,0.0,0.0
41,straightness_ratio,トラック (Track),0.5182,POS_LOW,-0.081,0.0458,0.0237,0.6915,0.3333,0.2446,0.344,0.0,0.4305,0.2737,0.3597,0.0,0.5111
42,comp_count_10um,エッジ (Edge),0.518,POS_HIGH,0.1349,0.0525,0.0334,0.1226,2.0,1.1303,0.3587,1.0,0.0,1.09,0.2971,1.0,0.0
43,comp_count_15um,エッジ (Edge),0.518,POS_HIGH,0.1349,0.0525,0.0334,0.1226,2.0,1.1303,0.3587,1.0,0.0,1.09,0.2971,1.0,0.0
44,margin_fwd_um,エッジ (Edge),0.518,POS_LOW,-0.1262,0.0467,0.0239,1.0,999.0,876.7323,327.1236,999.0,0.0,912.3279,280.9546,999.0,0.0
45,transformer_prob,エッジ (Edge),0.5179,POS_LOW,-0.062,0.049,0.0262,0.3837,0.741,0.7824,0.137,0.8002,0.2341,0.7909,0.1366,0.8129,0.2218
46,trajectory_aspect_ratio,トラック (Track),0.5163,POS_LOW,-0.033,0.0452,0.0234,0.6812,2.5097,15064.8929,114056.6252,1.0,3.4917,19922.0114,147848.1363,1.0,4.4852
47,duration_frames,トラック (Track),0.5162,POS_LOW,0.0162,0.0459,0.024,0.5386,1.0,5.3882,10.2466,1.0,4.0,5.2477,8.645,2.0,5.0
48,track_length,トラック (Track),0.5162,POS_LOW,0.0156,0.0459,0.024,0.5386,1.0,5.3882,10.2466,1.0,4.0,5.2522,8.673,2.0,5.0
49,directed_motion_index,トラック (Track),0.5162,POS_LOW,-0.0684,0.0457,0.0236,0.6889,0.7155,0.939,1.7449,0.0,1.2041,1.072,1.9476,0.0,1.4436
50,net_velocity_um,トラック (Track),0.5148,POS_LOW,-0.0275,0.0453,0.0234,0.6851,0.64,0.6149,1.0899,0.0,0.8775,0.644,1.0584,0.0,1.0
51,ilp_selected,エッジ (Edge),0.5143,POS_LOW,-0.0966,0.0494,0.0308,0.1249,0.0,0.8751,0.3306,1.0,0.0,0.9037,0.295,1.0,0.0
52,snr_diff,エッジ (Edge),0.5137,POS_HIGH,0.1008,0.054,0.0313,0.1964,1.4979,0.8603,0.7705,0.6671,1.0624,0.7912,0.6838,0.6286,0.8967
53,step_velocity_cv,トラック (Track),0.5123,POS_LOW,-0.0581,0.0448,0.023,0.928,0.9705,0.274,0.3976,0.0,0.6346,0.2984,0.4207,0.0,0.6646
54,max_step_um,トラック (Track),0.5096,POS_LOW,-0.029,0.0448,0.0233,0.5694,0.0,2.0816,2.8014,0.0,3.98,2.1653,2.8831,0.0,3.98
55,total_disp_um,トラック (Track),0.5095,POS_LOW,-0.0879,0.0446,0.0232,0.572,0.0,3.4448,6.9462,0.0,5.14,4.4311,11.2999,0.0,5.075
56,mean_step_um,トラック (Track),0.5093,POS_LOW,-0.0209,0.0448,0.0233,0.5694,0.0,1.027,1.3814,0.0,1.995,1.0558,1.3793,0.0,2.06
57,path_length_um,トラック (Track),0.5085,POS_LOW,-0.0264,0.0448,0.0233,0.5694,0.0,8.9562,18.7576,0.0,9.71,9.5467,22.4011,0.0,9.73
58,neighbor_count_15um,ノード (Node),0.5072,POS_LOW,-0.0564,0.1056,0.0689,0.226,2.0,8.2898,5.3438,9.0,9.0,8.54,4.4112,8.0,7.0
59,fwd_rank,エッジ (Edge),0.5063,POS_HIGH,0.0622,0.0467,0.0239,1.0,1.0,1.0584,0.2418,1.0,0.0,1.0452,0.2128,1.0,0.0
60,is_mnn,エッジ (Edge),0.5063,POS_LOW,-0.0613,0.0467,0.0239,1.0,1.0,0.9433,0.2313,1.0,0.0,0.9559,0.2053,1.0,0.0
61,intensity_ratio,エッジ (Edge),0.5062,POS_HIGH,-0.0043,0.049,0.0253,0.7417,0.969,1.0081,0.0727,1.0,0.0793,1.0086,0.108,1.0,0.0955
62,dy_um,エッジ (Edge),0.5038,POS_LOW,-0.023,0.0476,0.0246,0.7825,0.0,0.1373,1.1945,0.0,0.0,0.1675,1.3188,0.0,0.0
63,snr_ratio,エッジ (Edge),0.5037,POS_HIGH,0.0236,0.0548,0.0339,0.142,1.8365,1628.961,19626.2625,1.0,0.6623,1211.5109,17625.9223,1.0,0.5371
64,dist_to_border_z_slices,ノード (Node),0.5007,POS_HIGH,-0.0051,0.0548,0.0332,0.1575,28.0,15.3966,9.401,14.0,17.0,15.4439,9.2567,16.0,16.0
65,det_prob,ノード (Node),0.5,POS_HIGH,0.0,0.0507,0.026,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
66,dt,エッジ (Edge),0.5,POS_HIGH,0.0,0.0467,0.0239,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
67,bwd_rank,エッジ (Edge),0.5,POS_HIGH,0.0,0.0467,0.0239,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
68,margin_bwd_um,エッジ (Edge),0.5,POS_HIGH,0.0,0.0467,0.0239,1.0,999.0,999.0,0.0,999.0,0.0,999.0,0.0,999.0,0.0
