dataset,radius_threshold_um,total_gt_nodes,total_pred_nodes,estimated_number_of_nodes,tp,fp,fn,precision,recall,f1_score,mean_distance_um
44b6_0113de3b,7.0,52,19544,25755,44,19500,8,0.0023,0.8462,0.0045,0.63
44b6_0b24845f,7.0,51,19921,32795,3,19918,48,0.0002,0.0588,0.0003,2.7412
44b6_0c582fdc,7.0,71,18128,27958,52,18076,19,0.0029,0.7324,0.0057,3.6362
44b6_0db75fae,7.0,157,9888,15335,144,9744,13,0.0146,0.9172,0.0287,1.2415
44b6_12dfb391,7.0,788,41457,58672,690,40767,98,0.0166,0.8756,0.0327,1.9576
44b6_144b256d,7.0,121,36993,65376,98,36895,23,0.0026,0.8099,0.0053,2.2285
44b6_1574802b,7.0,155,10767,17677,124,10643,31,0.0115,0.8,0.0227,1.6757
44b6_18ced818,7.0,100,46537,78644,91,46446,9,0.002,0.91,0.0039,2.048
44b6_1d530831,7.0,276,25456,35825,225,25231,51,0.0088,0.8152,0.0175,2.8121
44b6_24264f12,7.0,230,17614,26353,144,17470,86,0.0082,0.6261,0.0161,2.8414
44b6_267148e4,7.0,280,12339,19130,176,12163,104,0.0143,0.6286,0.0279,4.1218
44b6_2a2eff9f,7.0,214,30065,56367,173,29892,41,0.0058,0.8084,0.0114,2.3008
44b6_2f31fc2f,7.0,89,12447,24368,41,12406,48,0.0033,0.4607,0.0065,5.2721
44b6_33b596bf,7.0,50,15627,23330,34,15593,16,0.0022,0.68,0.0043,2.6115
44b6_341df25f,7.0,216,4739,7436,192,4547,24,0.0405,0.8889,0.0775,2.0795
44b6_3a861e03,7.0,935,30651,40546,828,29823,107,0.027,0.8856,0.0524,1.8167
44b6_3bb3690f,7.0,400,15582,31937,158,15424,242,0.0101,0.395,0.0198,3.8809
44b6_40c45f5a,7.0,200,20715,32681,167,20548,33,0.0081,0.835,0.016,3.8884
44b6_415c0a3a,7.0,331,30169,57292,162,30007,169,0.0054,0.4894,0.0106,3.5965
44b6_53f95252,7.0,70,25315,38715,60,25255,10,0.0024,0.8571,0.0047,1.7269
44b6_551a5dba,7.0,228,34400,57627,159,34241,69,0.0046,0.6974,0.0092,3.7158
44b6_5740d24b,7.0,173,10199,19730,118,10081,55,0.0116,0.6821,0.0228,1.381
44b6_587a1e22,7.0,381,12441,18137,318,12123,63,0.0256,0.8346,0.0496,1.3861
44b6_5f15d135,7.0,278,17987,29519,158,17829,120,0.0088,0.5683,0.0173,3.2197
44b6_668e0cc7,7.0,643,23942,39701,512,23430,131,0.0214,0.7963,0.0417,1.8076
44b6_66f9292d,7.0,200,25783,52710,118,25665,82,0.0046,0.59,0.0091,3.2633
44b6_706092f0,7.0,118,39554,69898,107,39447,11,0.0027,0.9068,0.0054,2.6749
44b6_71a4179f,7.0,121,37505,67688,118,37387,3,0.0031,0.9752,0.0063,3.5425
44b6_74d0c52e,7.0,140,8921,15090,90,8831,50,0.0101,0.6429,0.0199,2.0544
44b6_7a302da0,7.0,516,43243,66858,375,42868,141,0.0087,0.7267,0.0171,3.319
44b6_7e557709,7.0,570,39259,56060,497,38762,73,0.0127,0.8719,0.025,1.6965
44b6_808952d6,7.0,181,10155,15742,176,9979,5,0.0173,0.9724,0.0341,2.2608
44b6_81c256f0,7.0,199,6847,10052,197,6650,2,0.0288,0.9899,0.0559,2.4214
44b6_87bba6c4,7.0,153,16300,28102,118,16182,35,0.0072,0.7712,0.0143,3.7502
44b6_8cc6506c,7.0,400,15601,32172,123,15478,277,0.0079,0.3075,0.0154,5.0455
44b6_8f5ab931,7.0,616,16346,27571,440,15906,176,0.0269,0.7143,0.0519,2.4087
44b6_8f9ecab4,7.0,374,45433,74833,253,45180,121,0.0056,0.6765,0.011,2.9662
44b6_90724892,7.0,105,16878,25532,96,16782,9,0.0057,0.9143,0.0113,2.3275
44b6_949adeb1,7.0,388,23883,37179,273,23610,115,0.0114,0.7036,0.0225,3.1624
44b6_95029e92,7.0,200,3079,5161,200,2879,0,0.065,1.0,0.122,0.6589
44b6_97725144,7.0,225,26894,35774,175,26719,50,0.0065,0.7778,0.0129,2.0192
44b6_996155de,7.0,380,4466,7573,223,4243,157,0.0499,0.5868,0.092,2.4425
