rank,feature_name,hierarchy,roc_auc,direction,cohens_d,best_f1,best_precision,best_recall,best_threshold,pos_mean,pos_std,pos_median,pos_iqr,neg_mean,neg_std,neg_median,neg_iqr
1,gt_matched_dist_um,ノード (Node),1.0,POS_LOW,-1.0484,0.0865,0.0452,1.0,24.04,1.7148,2.0239,0.91,1.25,493.8778,469.9836,101.855,947.3275
2,step_velocity_cv,トラック (Track),0.8752,POS_HIGH,1.2206,0.0253,0.013,0.5,0.7386,0.6644,0.1151,0.6644,0.1151,0.3226,0.2801,0.3621,0.5218
3,dist_to_center_xy_um,ノード (Node),0.8554,POS_LOW,-1.3863,0.0331,0.0173,0.4,11.83,17.2872,13.6745,14.85,16.235,37.8834,14.8592,38.76,22.52
4,dist_to_border_xy_um,ノード (Node),0.8526,POS_HIGH,1.422,0.0316,0.0165,0.3667,41.84,36.4135,11.0467,37.38,14.3125,18.4038,12.6688,17.47,19.9
5,min_intensity_3x3,ノード (Node),0.7887,POS_HIGH,0.9248,0.0126,0.0063,0.7,1350.0,1428.4667,185.523,1440.0,227.75,1029.6701,431.6204,1010.0,650.0
6,mean_intensity_3x3,ノード (Node),0.7677,POS_HIGH,0.8453,0.0125,0.0063,0.8333,1567.602,1678.4755,151.4823,1676.26,185.06,1268.2612,485.7671,1252.575,739.385
7,raw_intensity,ノード (Node),0.7647,POS_HIGH,0.8305,0.0125,0.0063,0.8333,1685.0,1796.65,159.8351,1809.5,201.0,1359.1771,527.3017,1342.0,799.75
8,mean_track_intensity,トラック (Track),0.7631,POS_HIGH,0.7947,0.0074,0.0037,1.0,1292.2085,1530.41,184.41,1530.41,184.41,1114.4325,523.5609,1076.5,798.1625
9,max_intensity_3x3,ノード (Node),0.7487,POS_HIGH,0.7704,0.0118,0.0059,0.9167,1717.0,1886.7667,145.5348,1899.5,195.0,1471.7688,539.2671,1459.5,809.75
10,straightness_ratio,トラック (Track),0.7359,POS_HIGH,0.7707,0.0065,0.0033,1.0,0.7089,0.8138,0.0827,0.8138,0.0827,0.5389,0.3568,0.6444,0.8177
11,confinement_ratio,トラック (Track),0.7337,POS_HIGH,0.7601,0.0065,0.0033,1.0,0.711,0.8138,0.0827,0.8138,0.0827,0.5429,0.3566,0.6478,0.8182
12,max_track_intensity,トラック (Track),0.7137,POS_HIGH,0.6295,0.0065,0.0033,0.5,1938.0,1748.5,305.5,1748.5,305.5,1326.9993,669.7956,1266.5,977.5
13,nearest_neighbor_dist_um,ノード (Node),0.7103,POS_LOW,-0.5842,0.0092,0.0046,0.65,7.96,7.7003,0.8041,7.45,1.2575,9.0195,2.2601,8.75,2.83
14,std_track_intensity,トラック (Track),0.7101,POS_HIGH,0.4995,0.0086,0.0043,0.5,266.7855,206.98,66.64,206.98,66.64,139.2794,135.5772,122.95,203.1575
15,neighbor_count_10um,ノード (Node),0.6892,POS_HIGH,0.6365,0.0079,0.004,0.6833,2.0,1.9833,0.9218,2.0,1.0,1.2788,1.1071,1.0,2.0
16,total_disp_um,トラック (Track),0.6773,POS_HIGH,0.8839,0.0253,0.013,0.5,113.8605,62.36,58.38,62.36,58.38,29.8164,36.7992,11.02,49.72
17,directed_motion_index,トラック (Track),0.6722,POS_HIGH,0.7445,0.0253,0.013,0.5,12.0968,7.2514,4.8722,7.2514,4.8722,4.3203,3.936,3.6892,6.976
18,local_contrast,ノード (Node),0.6707,POS_LOW,-0.5152,0.0096,0.0049,0.2167,0.2054,0.2772,0.0885,0.2691,0.0976,0.3701,0.1805,0.3234,0.1765
19,duration_frames,トラック (Track),0.6624,POS_HIGH,0.6095,0.0124,0.0063,0.5,49.0,29.5,25.5,29.5,25.5,17.2275,20.13,8.0,26.0
20,track_length,トラック (Track),0.6618,POS_HIGH,0.6022,0.0124,0.0063,0.5,49.0,29.5,25.5,29.5,25.5,17.2882,20.2747,8.0,26.0
21,neighbor_count_15um,ノード (Node),0.6595,POS_HIGH,0.5173,0.0077,0.0039,0.3833,8.0,6.9333,1.4704,7.0,2.0,5.7442,2.3004,6.0,3.0
22,path_length_um,トラック (Track),0.6461,POS_HIGH,0.6189,0.0128,0.0065,0.5,137.502,84.795,80.355,84.795,80.355,45.5812,63.3487,15.575,73.9375
23,laplacian_sharpness,ノード (Node),0.6293,POS_HIGH,0.3005,0.0075,0.0038,0.5,292.0,278.0667,117.422,292.0,147.75,229.7618,160.8439,204.0,212.0
24,max_step_um,トラック (Track),0.6265,POS_HIGH,0.419,0.0074,0.0037,0.5,7.27,5.215,2.405,5.215,2.405,3.9237,3.082,3.98,6.08
25,snr_diff,エッジ (Edge),0.618,POS_LOW,-0.4044,0.0065,0.0033,0.7115,0.4402,0.4098,0.3263,0.3349,0.2883,0.6018,0.475,0.4978,0.6314
26,trajectory_aspect_ratio,トラック (Track),0.6176,POS_HIGH,-0.1188,0.0052,0.0026,1.0,19.2809,41.4247,20.912,41.4247,20.9121,6949.5443,58191.5617,19.2808,69.4026
27,dz_um,エッジ (Edge),0.6082,POS_HIGH,0.4239,0.0067,0.0034,0.3654,3.25,2.0606,1.358,1.62,1.63,1.4471,1.4476,1.62,1.62
28,max_track_snr,トラック (Track),0.599,POS_LOW,-0.1557,0.0052,0.0026,0.5,2.7504,3.1142,0.5325,3.1142,0.5325,3.254,0.8984,3.4863,1.1218
29,std_intensity_3x3,ノード (Node),0.5946,POS_HIGH,0.1349,0.006,0.003,0.6,118.98,137.9347,50.4842,128.71,60.745,127.8061,75.1181,111.26,78.375
30,net_velocity_um,トラック (Track),0.5944,POS_HIGH,0.3079,0.0051,0.0026,0.5,2.07,1.785,0.455,1.785,0.455,1.4368,1.1313,1.58,2.07
31,min_track_intensity,トラック (Track),0.5894,POS_HIGH,0.165,0.0065,0.0033,0.5,1132.2,873.0,267.0,873.0,267.0,804.9928,412.3132,741.5,554.5
32,dist_z_um,エッジ (Edge),0.588,POS_HIGH,0.3534,0.0064,0.0032,0.3654,3.25,2.0606,1.358,1.62,1.63,1.617,1.2549,1.62,1.62
33,mean_track_snr,トラック (Track),0.5828,POS_LOW,0.0262,0.0043,0.0022,1.0,2.7209,2.5389,0.1614,2.5389,0.1614,2.5241,0.565,2.6483,0.4713
34,transformer_prob,エッジ (Edge),0.5809,POS_HIGH,0.2513,0.0059,0.003,0.2885,0.9829,0.946,0.061,0.9657,0.0381,0.924,0.0873,0.9571,0.0738
35,dist_3d_um,エッジ (Edge),0.577,POS_HIGH,0.3108,0.01,0.0052,0.1346,5.39,3.234,1.7454,2.81,1.68,2.7625,1.5165,2.3,2.01
36,velocity_um_per_frame,エッジ (Edge),0.577,POS_HIGH,0.3108,0.01,0.0052,0.1346,5.39,3.234,1.7454,2.81,1.68,2.7625,1.5165,2.3,2.01
37,cos_gap_prev,エッジ (Edge),0.5719,POS_HIGH,0.2915,0.0054,0.0027,0.7308,0.3333,0.4997,0.419,0.6496,0.8041,0.3532,0.5027,0.5,0.8
38,mean_step_um,トラック (Track),0.5618,POS_HIGH,0.2104,0.0065,0.0032,0.5,3.0,2.27,0.79,2.27,0.79,1.9773,1.3917,2.385,2.91
39,intensity_diff,エッジ (Edge),0.5616,POS_LOW,-0.2806,0.0051,0.0025,0.8654,153.0,93.4231,71.9451,79.5,81.5,132.9583,140.9928,93.0,131.0
40,cos_next_gap,エッジ (Edge),0.5563,POS_HIGH,0.2236,0.0054,0.0027,0.1346,0.9487,0.4645,0.4486,0.6049,0.8041,0.3526,0.5006,0.5,0.8
41,dx_um,エッジ (Edge),0.5495,POS_HIGH,0.1736,0.0074,0.0038,0.1731,3.25,1.1544,1.7258,1.62,1.62,0.8862,1.5451,1.62,1.62
42,x,ノード (Node),0.5466,POS_LOW,-0.1389,0.0058,0.0029,0.65,136.0,129.6667,46.4832,120.0,65.0,138.5541,64.0344,136.0,104.0
43,x_norm,ノード (Node),0.5466,POS_LOW,-0.1389,0.0058,0.0029,0.65,0.5333,0.5085,0.1823,0.4706,0.2549,0.5433,0.2511,0.5333,0.4078
44,dist_xy_um,エッジ (Edge),0.5435,POS_HIGH,0.2097,0.0083,0.0042,0.2308,3.63,2.2085,1.5905,1.62,1.63,1.9037,1.4527,1.62,0.68
45,z,ノード (Node),0.5414,POS_HIGH,0.1438,0.009,0.0047,0.1167,61.0,34.9333,18.2555,33.5,31.5,32.2427,18.7144,33.0,32.0
46,z_norm,ノード (Node),0.5414,POS_HIGH,0.1438,0.009,0.0047,0.1167,0.9683,0.5545,0.2898,0.5317,0.5,0.5118,0.2971,0.5238,0.5079
47,y,ノード (Node),0.5328,POS_LOW,-0.0839,0.0079,0.004,0.8833,132.0,124.0,27.6454,124.0,13.0,130.3933,76.263,132.0,132.0
48,y_norm,ノード (Node),0.5328,POS_LOW,-0.0839,0.0079,0.004,0.8833,0.5176,0.4863,0.1084,0.4863,0.051,0.5113,0.2991,0.5176,0.5176
49,local_snr,ノード (Node),0.5296,POS_HIGH,0.1335,0.0053,0.0027,0.7667,2.4702,2.7607,0.4654,2.7336,0.5458,2.6752,0.6406,2.7028,0.8153
50,dead_reckoning_mean_um,エッジ (Edge),0.5254,POS_HIGH,0.1373,0.0075,0.0039,0.0962,6.89,3.2585,2.2181,2.805,1.475,2.9819,2.0143,2.63,1.67
51,dead_reckoning_fwd_um,エッジ (Edge),0.5183,POS_HIGH,0.0841,0.0059,0.0031,0.0769,6.89,2.8558,2.4309,2.3,2.01,2.6585,2.3447,2.3,2.01
52,dead_reckoning_bwd_um,エッジ (Edge),0.5146,POS_HIGH,0.1408,0.007,0.0036,0.0962,6.7,2.9463,2.76,2.3,2.01,2.6202,2.3153,2.3,2.01
53,min_track_snr,トラック (Track),0.5092,POS_HIGH,0.0026,0.0043,0.0022,0.5,2.1102,1.7304,0.479,1.7304,0.479,1.7284,0.7495,1.6932,1.0398
54,neighbor_count_5um,ノード (Node),0.5084,POS_LOW,-0.1288,0.0046,0.0023,1.0,0.0,0.0,0.0,0.0,0.0,0.0175,0.1364,0.0,0.0
55,margin_fwd_um,エッジ (Edge),0.5073,POS_HIGH,0.1219,0.0042,0.0021,1.0,999.0,999.0,0.0,999.0,0.0,984.423,119.6812,999.0,0.0
56,comp_count_15um,エッジ (Edge),0.5073,POS_LOW,-0.1202,0.0042,0.0021,1.0,1.0,1.0,0.0,1.0,0.0,1.0149,0.1241,1.0,0.0
57,comp_count_10um,エッジ (Edge),0.5073,POS_LOW,-0.1206,0.0042,0.0021,1.0,1.0,1.0,0.0,1.0,0.0,1.0148,0.1226,1.0,0.0
58,dist_to_border_z_slices,ノード (Node),0.5071,POS_HIGH,0.0266,0.0068,0.0035,0.1,30.0,15.55,9.5209,15.5,15.25,15.2997,9.3984,15.0,16.0
59,intensity_ratio,エッジ (Edge),0.5061,POS_HIGH,-0.037,0.005,0.0025,0.8462,0.9468,1.0075,0.0675,0.9913,0.0844,1.0144,0.1867,1.0012,0.1432
60,snr_ratio,エッジ (Edge),0.5042,POS_HIGH,-0.015,0.0049,0.0024,0.8269,0.8631,1.0161,0.193,1.0071,0.2333,59.1371,3882.1269,0.9966,0.3761
61,is_mnn,エッジ (Edge),0.5037,POS_HIGH,0.0862,0.0042,0.0021,1.0,1.0,1.0,0.0,1.0,0.0,0.9926,0.0855,1.0,0.0
62,fwd_rank,エッジ (Edge),0.5037,POS_LOW,-0.0856,0.0042,0.0021,1.0,1.0,1.0,0.0,1.0,0.0,1.0075,0.0876,1.0,0.0
63,ilp_selected,エッジ (Edge),0.5036,POS_HIGH,0.0851,0.0042,0.0021,1.0,1.0,1.0,0.0,1.0,0.0,0.9928,0.0844,1.0,0.0
64,dy_um,エッジ (Edge),0.5032,POS_LOW,-0.0201,0.005,0.0026,0.1731,-1.62,0.4054,1.7108,0.0,1.62,0.4362,1.5375,0.0,1.62
65,det_prob,ノード (Node),0.5,POS_HIGH,0.0,0.0045,0.0023,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
66,dt,エッジ (Edge),0.5,POS_HIGH,0.0,0.0041,0.0021,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
67,bwd_rank,エッジ (Edge),0.5,POS_HIGH,0.0,0.0041,0.0021,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
68,margin_bwd_um,エッジ (Edge),0.5,POS_HIGH,0.0,0.0041,0.0021,1.0,999.0,999.0,0.0,999.0,0.0,999.0,0.0,999.0,0.0
