dataset,t,eval_result,gt_node_id,gt_z,gt_y,gt_x,pred_node_id,pred_z,pred_y,pred_x,distance_um
6bba_fc516dc6,0,FP,,,,,0.0,49.0,98.0,125.0,
6bba_fc516dc6,0,FP,,,,,1.0,50.0,190.0,235.0,
6bba_fc516dc6,0,FP,,,,,2.0,43.0,197.0,212.0,
6bba_fc516dc6,0,FP,,,,,3.0,42.0,134.0,126.0,
6bba_fc516dc6,0,FP,,,,,4.0,35.0,238.0,225.0,
6bba_fc516dc6,0,FP,,,,,5.0,38.0,184.0,165.0,
6bba_fc516dc6,0,FP,,,,,6.0,44.0,176.0,183.0,
6bba_fc516dc6,0,TP,1000013.0,60.0,87.0,160.0,7.0,59.0,85.0,158.0,1.9902
6bba_fc516dc6,0,FP,,,,,8.0,44.0,100.0,104.0,
6bba_fc516dc6,0,FP,,,,,9.0,63.0,37.0,121.0,
6bba_fc516dc6,0,FP,,,,,10.0,45.0,209.0,244.0,
6bba_fc516dc6,0,FP,,,,,11.0,48.0,0.0,35.0,
6bba_fc516dc6,0,FP,,,,,12.0,55.0,167.0,228.0,
6bba_fc516dc6,0,FP,,,,,13.0,37.0,200.0,187.0,
6bba_fc516dc6,0,FP,,,,,14.0,35.0,71.0,47.0,
6bba_fc516dc6,0,FP,,,,,15.0,39.0,235.0,250.0,
6bba_fc516dc6,0,FP,,,,,16.0,50.0,32.0,67.0,
6bba_fc516dc6,0,FP,,,,,17.0,44.0,61.0,67.0,
6bba_fc516dc6,0,FP,,,,,18.0,32.0,209.0,174.0,
6bba_fc516dc6,0,FP,,,,,19.0,55.0,162.0,224.0,
6bba_fc516dc6,0,FP,,,,,20.0,48.0,161.0,188.0,
6bba_fc516dc6,0,FP,,,,,21.0,26.0,180.0,105.0,
6bba_fc516dc6,0,FP,,,,,22.0,30.0,198.0,145.0,
6bba_fc516dc6,0,FP,,,,,23.0,55.0,46.0,101.0,
6bba_fc516dc6,0,FP,,,,,24.0,54.0,78.0,127.0,
6bba_fc516dc6,0,FP,,,,,25.0,36.0,152.0,119.0,
6bba_fc516dc6,0,FP,,,,,26.0,63.0,157.0,255.0,
6bba_fc516dc6,0,FP,,,,,27.0,39.0,161.0,145.0,
6bba_fc516dc6,0,FP,,,,,28.0,43.0,10.0,18.0,
6bba_fc516dc6,0,FP,,,,,29.0,19.0,243.0,165.0,
6bba_fc516dc6,0,FP,,,,,30.0,50.0,125.0,161.0,
6bba_fc516dc6,0,FP,,,,,31.0,44.0,156.0,161.0,
6bba_fc516dc6,0,FP,,,,,32.0,44.0,37.0,43.0,
6bba_fc516dc6,0,FP,,,,,33.0,38.0,218.0,216.0,
6bba_fc516dc6,0,FP,,,,,34.0,31.0,172.0,123.0,
6bba_fc516dc6,0,FP,,,,,35.0,44.0,40.0,48.0,
6bba_fc516dc6,0,FP,,,,,36.0,18.0,216.0,119.0,
6bba_fc516dc6,0,FP,,,,,37.0,50.0,68.0,105.0,
6bba_fc516dc6,0,FP,,,,,38.0,63.0,47.0,147.0,
6bba_fc516dc6,0,FP,,,,,39.0,54.0,150.0,196.0,
6bba_fc516dc6,0,FP,,,,,40.0,12.0,67.0,0.0,
6bba_fc516dc6,0,FP,,,,,41.0,21.0,226.0,145.0,
6bba_fc516dc6,0,FP,,,,,42.0,50.0,133.0,168.0,
6bba_fc516dc6,0,FP,,,,,43.0,63.0,142.0,236.0,
6bba_fc516dc6,0,FP,,,,,44.0,39.0,98.0,77.0,
6bba_fc516dc6,0,FP,,,,,45.0,25.0,162.0,81.0,
6bba_fc516dc6,0,FP,,,,,46.0,37.0,37.0,25.0,
6bba_fc516dc6,0,FP,,,,,47.0,28.0,217.0,159.0,
6bba_fc516dc6,0,FP,,,,,48.0,44.0,151.0,157.0,
6bba_fc516dc6,0,FP,,,,,49.0,34.0,103.0,64.0,
6bba_fc516dc6,0,FP,,,,,50.0,52.0,11.0,65.0,
6bba_fc516dc6,0,FP,,,,,51.0,15.0,147.0,88.0,
6bba_fc516dc6,0,FP,,,,,52.0,38.0,120.0,94.0,
6bba_fc516dc6,0,FP,,,,,53.0,18.0,201.0,101.0,
6bba_fc516dc6,0,FP,,,,,54.0,15.0,245.0,216.0,
6bba_fc516dc6,0,FP,,,,,55.0,17.0,168.0,59.0,
6bba_fc516dc6,0,FP,,,,,56.0,27.0,242.0,190.0,
6bba_fc516dc6,0,FP,,,,,57.0,16.0,97.0,0.0,
6bba_fc516dc6,0,FP,,,,,58.0,31.0,125.0,72.0,
6bba_fc516dc6,0,FP,,,,,59.0,27.0,83.0,22.0,
6bba_fc516dc6,0,FP,,,,,60.0,16.0,238.0,142.0,
6bba_fc516dc6,0,FP,,,,,61.0,27.0,65.0,10.0,
6bba_fc516dc6,0,FP,,,,,62.0,43.0,135.0,190.0,
6bba_fc516dc6,0,FP,,,,,63.0,20.0,147.0,41.0,
6bba_fc516dc6,0,FP,,,,,64.0,29.0,143.0,83.0,
6bba_fc516dc6,0,FP,,,,,65.0,4.0,113.0,10.0,
6bba_fc516dc6,0,FP,,,,,66.0,5.0,221.0,80.0,
6bba_fc516dc6,0,FP,,,,,67.0,21.0,136.0,106.0,
6bba_fc516dc6,0,FP,,,,,68.0,27.0,226.0,205.0,
6bba_fc516dc6,0,FP,,,,,69.0,37.0,175.0,195.0,
6bba_fc516dc6,0,FP,,,,,70.0,45.0,19.0,39.0,
6bba_fc516dc6,0,FP,,,,,71.0,29.0,255.0,228.0,
6bba_fc516dc6,0,FP,,,,,72.0,63.0,67.0,164.0,
6bba_fc516dc6,0,FP,,,,,73.0,15.0,255.0,165.0,
6bba_fc516dc6,0,FP,,,,,74.0,35.0,81.0,84.0,
6bba_fc516dc6,0,FP,,,,,75.0,32.0,230.0,206.0,
6bba_fc516dc6,0,FP,,,,,76.0,0.0,192.0,28.0,
6bba_fc516dc6,0,FP,,,,,77.0,25.0,204.0,129.0,
6bba_fc516dc6,0,FP,,,,,78.0,7.0,136.0,0.0,
6bba_fc516dc6,0,FP,,,,,79.0,7.0,93.0,7.0,
6bba_fc516dc6,0,FP,,,,,80.0,11.0,245.0,126.0,
6bba_fc516dc6,0,FP,,,,,81.0,20.0,234.0,187.0,
6bba_fc516dc6,0,FP,,,,,82.0,17.0,113.0,13.0,
6bba_fc516dc6,0,FP,,,,,83.0,55.0,119.0,192.0,
6bba_fc516dc6,0,FP,,,,,84.0,30.0,96.0,39.0,
6bba_fc516dc6,0,FP,,,,,85.0,18.0,132.0,61.0,
6bba_fc516dc6,0,FP,,,,,86.0,8.0,142.0,81.0,
6bba_fc516dc6,0,FP,,,,,87.0,56.0,0.0,72.0,
6bba_fc516dc6,0,FP,,,,,88.0,58.0,12.0,93.0,
6bba_fc516dc6,0,FP,,,,,89.0,35.0,18.0,0.0,
6bba_fc516dc6,0,FP,,,,,90.0,13.0,157.0,29.0,
6bba_fc516dc6,0,FP,,,,,91.0,21.0,124.0,27.0,
6bba_fc516dc6,0,FP,,,,,92.0,37.0,170.0,190.0,
6bba_fc516dc6,0,FP,,,,,93.0,0.0,204.0,58.0,
6bba_fc516dc6,0,FP,,,,,94.0,24.0,109.0,35.0,
6bba_fc516dc6,0,FP,,,,,95.0,24.0,152.0,62.0,
6bba_fc516dc6,0,FP,,,,,96.0,10.0,230.0,105.0,
6bba_fc516dc6,0,FP,,,,,97.0,16.0,168.0,113.0,
6bba_fc516dc6,0,FP,,,,,98.0,3.0,255.0,99.0,
6bba_fc516dc6,0,FP,,,,,99.0,19.0,178.0,79.0,
6bba_fc516dc6,0,FP,,,,,100.0,14.0,251.0,184.0,
6bba_fc516dc6,0,FP,,,,,101.0,6.0,238.0,171.0,
6bba_fc516dc6,0,FP,,,,,102.0,13.0,137.0,27.0,
6bba_fc516dc6,0,FP,,,,,103.0,63.0,107.0,190.0,
6bba_fc516dc6,0,FP,,,,,104.0,9.0,173.0,80.0,
6bba_fc516dc6,0,FP,,,,,105.0,10.0,88.0,24.0,
6bba_fc516dc6,0,FP,,,,,106.0,18.0,64.0,19.0,
6bba_fc516dc6,0,FP,,,,,107.0,42.0,143.0,198.0,
6bba_fc516dc6,0,FP,,,,,108.0,4.0,161.0,17.0,
6bba_fc516dc6,0,FP,,,,,109.0,24.0,213.0,186.0,
6bba_fc516dc6,0,FP,,,,,110.0,24.0,158.0,100.0,
6bba_fc516dc6,0,FP,,,,,111.0,10.0,178.0,58.0,
6bba_fc516dc6,0,FP,,,,,112.0,8.0,104.0,42.0,
6bba_fc516dc6,0,FP,,,,,113.0,32.0,46.0,7.0,
6bba_fc516dc6,0,FP,,,,,114.0,0.0,255.0,118.0,
6bba_fc516dc6,0,FP,,,,,115.0,29.0,14.0,23.0,
6bba_fc516dc6,0,FP,,,,,116.0,13.0,141.0,32.0,
6bba_fc516dc6,0,FP,,,,,117.0,28.0,145.0,114.0,
6bba_fc516dc6,0,FP,,,,,118.0,11.0,210.0,98.0,
6bba_fc516dc6,0,FP,,,,,119.0,6.0,224.0,126.0,
6bba_fc516dc6,0,FP,,,,,120.0,0.0,223.0,156.0,
6bba_fc516dc6,0,FP,,,,,121.0,27.0,111.0,68.0,
6bba_fc516dc6,0,FP,,,,,122.0,18.0,76.0,41.0,
6bba_fc516dc6,0,FP,,,,,123.0,24.0,90.0,46.0,
6bba_fc516dc6,0,FP,,,,,124.0,8.0,125.0,33.0,
6bba_fc516dc6,0,FP,,,,,125.0,13.0,191.0,78.0,
6bba_fc516dc6,0,FP,,,,,126.0,10.0,173.0,38.0,
6bba_fc516dc6,0,FP,,,,,127.0,28.0,230.0,230.0,
