dataset,edge_id,source_id,target_id
44b6_0113de3b,0,11000000075,12000000075
44b6_0113de3b,1,12000000075,13000000075
44b6_0113de3b,2,38000000003,39000000003
44b6_0113de3b,3,39000000003,40000000003
44b6_0113de3b,4,40000000003,41000000003
44b6_0113de3b,5,41000000003,42000000003
44b6_0113de3b,6,42000000003,43000000003
44b6_0113de3b,7,43000000003,44000000003
44b6_0113de3b,8,44000000003,45000000003
44b6_0113de3b,9,45000000003,46000000003
44b6_0113de3b,10,46000000003,47000000003
44b6_0113de3b,11,47000000003,48000000003
44b6_0113de3b,12,48000000003,49000000003
44b6_0113de3b,13,49000000003,50000000003
44b6_0113de3b,14,50000000003,51000000003
44b6_0113de3b,15,51000000003,52000000003
44b6_0113de3b,16,52000000003,53000000003
44b6_0113de3b,17,53000000003,54000000003
44b6_0113de3b,18,54000000003,55000000003
44b6_0113de3b,19,55000000003,56000000003
44b6_0113de3b,20,56000000003,57000000003
44b6_0113de3b,21,57000000003,58000000003
44b6_0113de3b,22,58000000003,59000000003
44b6_0113de3b,23,59000000003,60000000003
44b6_0113de3b,24,60000000003,61000000003
44b6_0113de3b,25,61000000003,62000000003
44b6_0113de3b,26,62000000003,63000000003
44b6_0113de3b,27,63000000003,64000000003
44b6_0113de3b,28,64000000003,65000000003
44b6_0113de3b,29,65000000003,66000000003
44b6_0113de3b,30,66000000003,67000000003
44b6_0113de3b,31,67000000003,68000000003
44b6_0113de3b,32,68000000003,69000000003
44b6_0113de3b,33,69000000003,70000000003
44b6_0113de3b,34,70000000003,71000000003
44b6_0113de3b,35,71000000003,72000000003
44b6_0113de3b,36,72000000003,73000000003
44b6_0113de3b,37,73000000003,74000000003
44b6_0113de3b,38,74000000003,75000000003
44b6_0113de3b,39,75000000003,76000000003
44b6_0113de3b,40,76000000003,77000000003
44b6_0113de3b,41,77000000003,78000000003
44b6_0113de3b,42,78000000003,79000000003
44b6_0113de3b,43,79000000003,80000000004
44b6_0113de3b,44,80000000004,81000000004
44b6_0113de3b,45,81000000004,82000000004
44b6_0113de3b,46,82000000004,83000000004
44b6_0113de3b,47,83000000004,84000000004
44b6_0113de3b,48,84000000004,85000000004
44b6_0113de3b,49,85000000004,86000000004
44b6_74d0c52e,0,238000000027,239000000027
44b6_74d0c52e,1,239000000027,240000000026
44b6_74d0c52e,2,240000000026,241000000026
44b6_74d0c52e,3,241000000026,242000000026
44b6_74d0c52e,4,242000000026,243000000026
44b6_74d0c52e,5,243000000026,244000000026
44b6_74d0c52e,6,244000000026,245000000026
44b6_74d0c52e,7,245000000026,246000000026
44b6_74d0c52e,8,246000000026,247000000026
44b6_74d0c52e,9,247000000026,248000000026
44b6_74d0c52e,10,248000000026,249000000026
44b6_74d0c52e,11,249000000026,250000000026
44b6_74d0c52e,12,250000000026,251000000026
44b6_74d0c52e,13,251000000026,252000000026
44b6_74d0c52e,14,252000000026,253000000026
44b6_74d0c52e,15,253000000026,254000000026
44b6_74d0c52e,16,254000000026,255000000026
44b6_74d0c52e,17,255000000026,256000000026
44b6_74d0c52e,18,256000000026,257000000026
44b6_74d0c52e,19,257000000026,258000000024
44b6_74d0c52e,20,258000000024,259000000024
44b6_74d0c52e,21,259000000024,260000000024
44b6_74d0c52e,22,260000000024,261000000024
44b6_74d0c52e,23,261000000024,262000000022
44b6_74d0c52e,24,262000000022,263000000022
44b6_74d0c52e,25,263000000022,264000000023
44b6_74d0c52e,26,264000000023,265000000023
44b6_74d0c52e,27,265000000023,266000000021
44b6_74d0c52e,28,266000000021,267000000021
44b6_74d0c52e,29,267000000021,268000000021
44b6_74d0c52e,30,268000000021,269000000021
44b6_74d0c52e,31,269000000021,270000000021
44b6_74d0c52e,32,270000000021,271000000021
44b6_74d0c52e,33,271000000021,272000000021
44b6_74d0c52e,34,272000000021,273000000021
44b6_74d0c52e,35,273000000021,274000000021
44b6_74d0c52e,36,274000000021,275000000021
44b6_74d0c52e,37,275000000021,276000000022
44b6_74d0c52e,38,276000000022,277000000022
44b6_74d0c52e,39,277000000022,278000000022
44b6_74d0c52e,40,278000000022,279000000022
44b6_74d0c52e,41,279000000022,280000000022
44b6_74d0c52e,42,280000000022,281000000022
44b6_74d0c52e,43,281000000022,282000000022
44b6_74d0c52e,44,282000000022,283000000022
44b6_74d0c52e,45,283000000022,284000000022
44b6_74d0c52e,46,284000000022,285000000022
44b6_74d0c52e,47,285000000022,286000000022
44b6_74d0c52e,48,286000000022,287000000023
44b6_74d0c52e,49,287000000023,288000000021
44b6_74d0c52e,50,288000000021,289000000021
44b6_74d0c52e,51,289000000021,290000000021
44b6_74d0c52e,52,290000000021,291000000021
44b6_74d0c52e,53,291000000021,292000000021
44b6_74d0c52e,54,292000000021,293000000021
