dataset,num_nodes,estimated_number_of_nodes,num_edges,n_frames
44b6_0113de3b,52,25755,50,76
44b6_0b24845f,51,32795,49,51
44b6_0c582fdc,71,27958,70,91
44b6_0db75fae,157,15335,151,89
44b6_12dfb391,788,58672,773,100
44b6_144b256d,121,65376,119,100
44b6_1574802b,155,17677,153,99
44b6_18ced818,100,78644,99,100
44b6_1d530831,276,35825,271,100
44b6_24264f12,230,26353,221,87
44b6_267148e4,280,19130,277,100
44b6_2a2eff9f,214,56367,210,100
44b6_2f31fc2f,89,24368,85,81
44b6_33b596bf,50,23330,49,71
44b6_341df25f,216,7436,209,100
44b6_3a861e03,935,40546,919,100
44b6_3bb3690f,400,31937,396,100
44b6_40c45f5a,200,32681,198,100
44b6_415c0a3a,331,57292,322,100
44b6_53f95252,70,38715,68,51
44b6_551a5dba,228,57627,224,100
44b6_5740d24b,173,19730,170,100
44b6_587a1e22,381,18137,371,100
44b6_5f15d135,278,29519,273,100
44b6_668e0cc7,643,39701,631,100
44b6_66f9292d,200,52710,198,100
44b6_706092f0,118,69898,117,100
44b6_71a4179f,121,67688,119,100
44b6_74d0c52e,140,15090,139,100
44b6_7a302da0,516,66858,507,100
44b6_7e557709,570,56060,560,100
44b6_808952d6,181,15742,179,100
44b6_81c256f0,199,10052,197,100
44b6_87bba6c4,153,28102,149,81
44b6_8cc6506c,400,32172,396,100
44b6_8f5ab931,616,27571,604,100
44b6_8f9ecab4,374,74833,370,100
44b6_90724892,105,25532,103,86
44b6_949adeb1,388,37179,378,100
44b6_95029e92,200,5161,198,100
44b6_97725144,225,35774,221,100
44b6_996155de,380,7573,377,100
44b6_9be80b04,222,57877,220,100
44b6_9bfa6a0a,264,64308,259,100
44b6_a21120c2,296,23040,286,85
44b6_a2bb48bb,416,60613,410,100
44b6_aaf8b0ea,209,22099,206,100
44b6_abf82518,96,27604,94,58
44b6_b2c44266,170,59729,168,100
44b6_c15fded2,104,20585,102,75
44b6_c50204e0,333,47078,325,100
44b6_c771cb04,227,53345,223,100
44b6_c8e2a523,168,33144,164,81
44b6_c96cfa10,629,46236,616,100
44b6_cf2536e8,76,57565,75,76
44b6_cf8fed6b,191,43729,188,100
44b6_d29c9ab2,1353,38055,1328,100
44b6_d2f34f90,283,24074,281,100
44b6_d5e7d891,906,44848,893,100
44b6_d754aa59,72,5171,70,76
44b6_d78e09d9,463,22259,451,100
44b6_db3c847b,165,15023,162,100
44b6_ddf577ad,659,53492,647,100
44b6_deabac95,126,13989,124,98
44b6_e28840c6,311,74686,309,100
44b6_e29f0176,51,12969,50,81
44b6_e31261b4,116,72856,113,97
44b6_e35b117d,270,28641,266,100
44b6_e57ff5c6,193,20314,186,100
44b6_eb2880fc,390,48084,379,100
44b6_f28707c6,63,18656,61,73
6bba_05b6850b,861,6362,845,100
6bba_05db0fb1,1229,69800,1183,100
6bba_062c8d37,930,6030,898,100
6bba_07477033,613,4836,602,100
6bba_07e24132,359,21485,345,100
6bba_085bf656,1198,8463,1168,100
6bba_09961292,1950,31117,1871,100
6bba_0c7fa718,704,13650,659,100
6bba_0e7c0d07,209,22467,198,86
6bba_12665c0e,1036,8314,998,100
6bba_13f19531,737,5773,704,100
6bba_15403b9a,758,6889,729,100
6bba_1d0d8384,1438,17909,1365,100
6bba_1ebfb80d,745,11558,719,100
6bba_1f58c2f6,317,28903,299,100
6bba_207c6aaf,475,11999,450,100
6bba_20852818,952,9758,909,100
6bba_2312ac41,1156,11950,1132,100
6bba_23af9eeb,513,4450,499,100
6bba_2540cd90,529,3783,523,100
6bba_2646afc7,738,5495,721,100
6bba_268e1230,641,5107,609,100
6bba_2819ca14,986,5534,949,100
6bba_283bf9f1,1342,20861,1288,100
6bba_312f0dc3,520,9963,500,81
6bba_32db13fc,862,38705,811,100
6bba_337b1b3a,1272,30480,1213,100
6bba_372c8cb8,1036,7021,1007,100
