dataset,total_gt_edges,total_pred_edges,tp,fp,fn,precision,recall,f1_score,official_edge_tp,official_edge_fp,official_edge_fn
44b6_0113de3b,50,17565,32,17533,18,0.0018,0.64,0.0036,39,4,11
44b6_0b24845f,49,14537,1,14536,48,0.0001,0.0204,0.0001,1,0,48
44b6_0c582fdc,70,15408,35,15373,35,0.0023,0.5,0.0045,39,12,31
44b6_0db75fae,151,8212,115,8097,36,0.014,0.7616,0.0275,131,7,20
44b6_12dfb391,773,36502,423,36079,350,0.0116,0.5472,0.0227,561,127,212
44b6_144b256d,119,31434,80,31354,39,0.0025,0.6723,0.0051,87,8,32
44b6_1574802b,153,9138,58,9080,95,0.0063,0.3791,0.0125,110,12,43
44b6_18ced818,99,36694,82,36612,17,0.0022,0.8283,0.0045,82,7,17
44b6_1d530831,271,21482,120,21362,151,0.0056,0.4428,0.011,181,37,90
44b6_24264f12,221,15127,86,15041,135,0.0057,0.3891,0.0112,99,40,122
44b6_267148e4,277,9666,104,9562,173,0.0108,0.3755,0.0209,104,63,173
44b6_2a2eff9f,210,24799,119,24680,91,0.0048,0.5667,0.0095,156,14,54
44b6_2f31fc2f,85,9070,15,9055,70,0.0017,0.1765,0.0033,18,15,67
44b6_33b596bf,49,12999,19,12980,30,0.0015,0.3878,0.0029,25,7,24
44b6_341df25f,209,4366,166,4200,43,0.038,0.7943,0.0726,183,5,26
44b6_3a861e03,919,26846,510,26336,409,0.019,0.555,0.0367,703,116,216
44b6_3bb3690f,396,12615,108,12507,288,0.0086,0.2727,0.0166,111,29,285
44b6_40c45f5a,198,17111,90,17021,108,0.0053,0.4545,0.0104,122,53,76
44b6_415c0a3a,322,25657,114,25543,208,0.0044,0.354,0.0088,116,35,206
44b6_53f95252,68,20951,35,20916,33,0.0017,0.5147,0.0033,50,3,18
44b6_551a5dba,224,28277,90,28187,134,0.0032,0.4018,0.0063,100,53,124
44b6_5740d24b,170,8024,99,7925,71,0.0123,0.5824,0.0242,105,9,65
44b6_587a1e22,371,10925,274,10651,97,0.0251,0.7385,0.0485,274,23,97
44b6_5f15d135,273,14378,87,14291,186,0.0061,0.3187,0.0119,108,35,165
44b6_668e0cc7,631,20725,398,20327,233,0.0192,0.6307,0.0373,412,85,219
44b6_66f9292d,198,21328,82,21246,116,0.0038,0.4141,0.0076,82,16,116
44b6_706092f0,117,33791,98,33693,19,0.0029,0.8376,0.0058,96,12,21
44b6_71a4179f,119,31993,85,31908,34,0.0027,0.7143,0.0053,96,31,23
44b6_74d0c52e,139,6931,66,6865,73,0.0095,0.4748,0.0187,66,22,73
44b6_7a302da0,507,36445,244,36201,263,0.0067,0.4813,0.0132,269,113,238
44b6_7e557709,560,35327,353,34974,207,0.01,0.6304,0.0197,424,63,136
44b6_808952d6,179,9273,130,9143,49,0.014,0.7263,0.0275,171,2,8
44b6_81c256f0,197,6387,192,6195,5,0.0301,0.9746,0.0583,195,0,2
44b6_87bba6c4,149,12393,74,12319,75,0.006,0.4966,0.0118,74,40,75
44b6_8cc6506c,396,12426,60,12366,336,0.0048,0.1515,0.0094,72,51,324
44b6_8f5ab931,604,13696,258,13438,346,0.0188,0.4272,0.0361,344,71,260
44b6_8f9ecab4,370,39360,182,39178,188,0.0046,0.4919,0.0092,185,49,185
44b6_90724892,103,14317,75,14242,28,0.0052,0.7282,0.0104,79,14,24
44b6_949adeb1,378,19564,187,19377,191,0.0096,0.4947,0.0188,202,61,176
44b6_95029e92,198,2844,182,2662,16,0.064,0.9192,0.1197,198,0,0
44b6_97725144,221,21949,136,21813,85,0.0062,0.6154,0.0123,136,23,85
44b6_996155de,377,3947,163,3784,214,0.0413,0.4324,0.0754,193,7,184
44b6_9be80b04,220,27063,128,26935,92,0.0047,0.5818,0.0094,133,35,87
44b6_9bfa6a0a,259,33613,183,33430,76,0.0054,0.7066,0.0108,184,51,75
44b6_a21120c2,286,13980,189,13791,97,0.0135,0.6608,0.0265,199,36,87
44b6_a2bb48bb,410,29376,120,29256,290,0.0041,0.2927,0.0081,145,85,265
44b6_aaf8b0ea,206,11115,151,10964,55,0.0136,0.733,0.0267,151,5,55
44b6_abf82518,94,12786,89,12697,5,0.007,0.9468,0.0138,89,2,5
44b6_b2c44266,168,28907,135,28772,33,0.0047,0.8036,0.0093,135,25,33
44b6_c15fded2,102,11845,57,11788,45,0.0048,0.5588,0.0095,57,37,45
44b6_c50204e0,325,21934,70,21864,255,0.0032,0.2154,0.0063,114,62,211
44b6_c771cb04,223,23191,116,23075,107,0.005,0.5202,0.0099,116,66,107
44b6_c8e2a523,164,22709,136,22573,28,0.006,0.8293,0.0119,136,20,28
44b6_c96cfa10,616,28058,407,27651,209,0.0145,0.6607,0.0284,407,88,209
44b6_cf2536e8,75,22126,24,22102,51,0.0011,0.32,0.0022,24,5,51
44b6_cf8fed6b,188,23454,153,23301,35,0.0065,0.8138,0.0129,168,17,20
44b6_d29c9ab2,1328,25701,936,24765,392,0.0364,0.7048,0.0693,934,155,394
44b6_d2f34f90,281,9414,33,9381,248,0.0035,0.1174,0.0068,33,30,248
44b6_d5e7d891,893,23202,360,22842,533,0.0155,0.4031,0.0299,360,184,533
44b6_d754aa59,70,3034,56,2978,14,0.0185,0.8,0.0361,56,0,14
44b6_d78e09d9,451,12312,276,12036,175,0.0224,0.612,0.0433,276,63,175
44b6_db3c847b,162,7428,116,7312,46,0.0156,0.716,0.0306,116,7,46
44b6_ddf577ad,647,27953,354,27599,293,0.0127,0.5471,0.0248,354,156,293
44b6_deabac95,124,7983,96,7887,28,0.012,0.7742,0.0237,96,13,28
44b6_e28840c6,309,38640,142,38498,167,0.0037,0.4595,0.0073,141,34,168
44b6_e29f0176,50,6039,13,6026,37,0.0022,0.26,0.0043,13,9,37
44b6_e31261b4,113,37707,83,37624,30,0.0022,0.7345,0.0044,83,8,30
44b6_e35b117d,266,14705,118,14587,148,0.008,0.4436,0.0158,118,35,148
44b6_e57ff5c6,186,7822,70,7752,116,0.0089,0.3763,0.0175,70,28,116
44b6_eb2880fc,379,21854,252,21602,127,0.0115,0.6649,0.0227,252,35,127
44b6_f28707c6,61,10870,35,10835,26,0.0032,0.5738,0.0064,35,13,26
6bba_05b6850b,845,3388,42,3346,803,0.0124,0.0497,0.0198,533,31,312
6bba_05db0fb1,1183,40189,290,39899,893,0.0072,0.2451,0.014,699,179,484
6bba_062c8d37,898,3275,199,3076,699,0.0608,0.2216,0.0954,635,57,263
6bba_07477033,602,2550,94,2456,508,0.0369,0.1561,0.0596,371,26,231
6bba_07e24132,345,17053,58,16995,287,0.0034,0.1681,0.0067,241,31,104
6bba_085bf656,1168,5373,277,5096,891,0.0516,0.2372,0.0847,746,114,422
6bba_09961292,1871,12838,924,11914,947,0.072,0.4939,0.1256,1115,214,756
6bba_0c7fa718,659,7178,149,7029,510,0.0208,0.2261,0.038,344,82,315
6bba_0e7c0d07,198,10710,33,10677,165,0.0031,0.1667,0.0061,94,29,104
