dataset,track_id,track_length,duration_frames,total_disp_um,path_length_um,straightness_ratio,net_velocity_um,mean_step_um,max_step_um,step_velocity_cv,confinement_ratio,trajectory_aspect_ratio,directed_motion_index,mean_track_intensity,min_track_intensity,max_track_intensity,std_track_intensity,mean_track_snr,min_track_snr,max_track_snr,is_gt_track
44b6_0113de3b,0,13,13,25.64,31.73,0.8082,2.14,2.64,3.98,0.3191,0.8082,49.0516,6.2269,1002.0,607.0,1182.0,170.43,2.6501,1.0221,3.645,0
44b6_0113de3b,1,57,57,75.19,158.05,0.4757,1.34,2.82,8.75,0.6158,0.4781,92.8002,4.8224,1291.84,997.0,2600.0,332.05,2.8602,1.0931,4.6849,0
44b6_0113de3b,2,69,69,124.38,203.77,0.6104,1.83,3.0,8.12,0.5413,0.6104,31.8948,9.2747,2019.97,384.0,3669.0,438.85,2.7268,0.6814,3.8777,0
44b6_0113de3b,3,69,69,126.08,207.73,0.6069,1.85,3.05,8.29,0.5228,0.6069,60.5081,9.3479,2250.99,369.0,2991.0,422.62,2.7848,1.1283,4.0457,0
44b6_0113de3b,4,97,97,135.98,248.56,0.5471,1.42,2.59,7.96,0.5446,0.5471,91.7595,7.6316,1249.74,387.0,1650.0,234.41,2.6275,0.5236,4.0532,0
44b6_0113de3b,5,31,31,40.95,74.36,0.5507,1.36,2.48,6.08,0.5765,0.5507,15.3987,4.1849,1436.52,1034.0,1586.0,135.52,2.6715,0.7804,3.9677,0
44b6_0113de3b,6,51,51,89.03,142.34,0.6255,1.78,2.85,7.27,0.4461,0.6255,114.5079,7.9542,1434.69,963.0,1591.0,125.44,2.6316,1.2172,3.748,0
44b6_0113de3b,7,35,35,42.56,71.9,0.592,1.25,2.11,5.14,0.5657,0.5976,16.4327,4.3841,1271.14,595.0,1459.0,210.65,2.7704,1.0468,3.7721,0
44b6_0113de3b,8,30,30,53.13,76.25,0.6968,1.83,2.63,4.6,0.3459,0.6968,19.7667,6.9923,1355.5,566.0,1689.0,207.5,2.6292,0.8071,3.6796,0
44b6_0113de3b,9,23,23,37.52,59.09,0.6349,1.71,2.69,5.14,0.4257,0.6349,33.216,5.1921,1631.17,1022.0,1985.0,223.8,2.8344,1.4941,3.9619,0
44b6_0113de3b,10,3,3,1.62,1.62,1.0,0.81,0.81,1.62,1.0,1.0,88020.8333,1.4073,464.0,380.0,601.0,119.65,0.7161,0.6599,0.8141,0
44b6_0113de3b,11,12,12,12.16,16.44,0.7399,1.11,1.49,3.63,0.8488,0.7399,39.875,2.8333,1140.67,317.0,1659.0,456.05,1.9614,0.6852,3.4973,0
44b6_0113de3b,12,7,7,8.9,13.63,0.6529,1.48,2.27,2.81,0.152,0.6529,7.723,2.5625,1459.71,860.0,1818.0,315.52,2.2654,1.7806,3.2902,0
44b6_0113de3b,13,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1232.0,1232.0,1232.0,0.0,3.0037,3.0037,3.0037,0
44b6_0113de3b,14,65,65,121.22,200.46,0.6047,1.89,3.13,8.29,0.4731,0.6047,70.6821,9.2347,2109.26,916.0,2648.0,278.31,2.8527,1.7748,3.8149,0
44b6_0113de3b,15,78,78,117.43,216.04,0.5436,1.53,2.81,10.9,0.5846,0.5467,137.4061,7.321,1203.73,886.0,1548.0,155.55,2.6094,1.4058,4.2506,0
