dataset,series,n_frames,estimated_nodes,pred_nodes,pe_ratio,recall,tp_count,gt_total,mean_dist_um,avg_threshold,elapsed_sec
44b6_0113de3b,44b6,100,25755,29554,1.1475,1.0,52,52,0.737,0.0492,287.08
44b6_0b24845f,44b6,100,32795,40673,1.2402,0.7059,36,51,3.411,0.035,282.31
44b6_0c582fdc,44b6,100,27958,32081,1.1475,0.9296,66,71,2.227,0.0399,319.73
44b6_0db75fae,44b6,100,15335,17612,1.1485,0.9363,147,157,1.45,0.0508,319.55
44b6_12dfb391,44b6,100,58672,70168,1.1959,0.9911,781,788,1.917,0.0403,321.79
44b6_144b256d,44b6,100,65376,80907,1.2376,0.9256,112,121,2.402,0.0378,323.47
44b6_1574802b,44b6,100,17677,19450,1.1003,0.9355,145,155,1.977,0.0482,311.25
44b6_18ced818,44b6,100,78644,98701,1.255,0.97,97,100,2.046,0.0367,312.27
44b6_1d530831,44b6,100,35825,42720,1.1925,0.9348,258,276,2.617,0.0377,316.94
44b6_24264f12,44b6,100,26353,29443,1.1173,0.9478,218,230,1.799,0.0428,315.55
44b6_267148e4,44b6,100,19130,23333,1.2197,0.8786,246,280,2.918,0.0392,311.73
44b6_2a2eff9f,44b6,100,56367,64114,1.1374,0.972,208,214,2.175,0.0357,313.65
44b6_2f31fc2f,44b6,100,24368,26649,1.0936,0.8764,78,89,4.174,0.0362,293.03
44b6_33b596bf,44b6,100,23330,26300,1.1273,0.9,45,50,1.307,0.0405,308.26
44b6_341df25f,44b6,100,7436,7990,1.0745,0.9583,207,216,1.909,0.0588,308.47
44b6_3a861e03,44b6,100,40546,46267,1.1411,0.984,920,935,1.736,0.0422,316.69
44b6_3bb3690f,44b6,100,31937,43441,1.3602,0.91,364,400,3.064,0.0361,337.11
44b6_40c45f5a,44b6,100,32681,41550,1.2714,0.93,186,200,3.138,0.0366,346.03
44b6_415c0a3a,44b6,100,57292,63003,1.0997,0.8489,281,331,3.046,0.0368,334.37
44b6_53f95252,44b6,100,38715,46590,1.2034,0.9571,67,70,1.58,0.0359,336.99
44b6_551a5dba,44b6,100,57627,80047,1.3891,0.9342,213,228,2.775,0.0358,338.76
44b6_5740d24b,44b6,100,19730,19251,0.9757,0.9653,167,173,1.911,0.0367,336.33
44b6_587a1e22,44b6,100,18137,20121,1.1094,0.9633,367,381,1.429,0.0465,333.89
44b6_5f15d135,44b6,100,29519,37355,1.2655,0.8633,240,278,2.528,0.035,332.63
44b6_668e0cc7,44b6,100,39701,41555,1.0467,0.9689,623,643,1.696,0.0397,337.85
44b6_66f9292d,44b6,100,52710,63311,1.2011,0.79,158,200,2.763,0.0353,335.82
44b6_706092f0,44b6,100,69898,96743,1.3841,0.9407,111,118,2.97,0.0399,324.13
44b6_71a4179f,44b6,100,67688,88003,1.3001,0.9835,119,121,3.418,0.039,336.63
44b6_74d0c52e,44b6,100,15090,15465,1.0249,0.8214,115,140,2.212,0.0369,329.98
44b6_7a302da0,44b6,100,66858,83839,1.254,0.9516,491,516,2.366,0.0381,328.01
44b6_7e557709,44b6,100,56060,65256,1.164,0.9895,564,570,1.705,0.0412,383.73
44b6_808952d6,44b6,100,15742,17225,1.0942,1.0,181,181,2.127,0.0409,347.89
44b6_81c256f0,44b6,100,10052,11216,1.1158,1.0,199,199,1.978,0.0496,955.27
44b6_87bba6c4,44b6,100,28102,32176,1.145,0.902,138,153,3.78,0.0374,1003.19
44b6_8cc6506c,44b6,100,32172,41674,1.2953,0.925,370,400,2.823,0.0361,1018.31
44b6_8f5ab931,44b6,100,27571,30550,1.108,0.875,539,616,2.342,0.0403,1051.18
44b6_8f9ecab4,44b6,100,74833,92410,1.2349,0.9786,366,374,2.127,0.0381,1151.07
44b6_90724892,44b6,100,25532,28776,1.1271,0.981,103,105,2.695,0.041,929.41
44b6_949adeb1,44b6,100,37179,43879,1.1802,0.8737,339,388,2.948,0.0373,1058.9
44b6_95029e92,44b6,100,5161,5913,1.1457,1.0,200,200,0.857,0.0565,1057.23
44b6_97725144,44b6,100,35774,47282,1.3217,0.8756,197,225,1.84,0.0356,1096.93
44b6_996155de,44b6,100,7573,10337,1.365,0.9526,362,380,1.784,0.0518,1050.21
44b6_9be80b04,44b6,100,57877,85929,1.4847,0.9414,209,222,2.243,0.0359,1152.36
44b6_9bfa6a0a,44b6,100,64308,79168,1.2311,0.9583,253,264,2.727,0.0375,1060.4
44b6_a21120c2,44b6,100,23040,24411,1.0595,0.9932,294,296,1.07,0.0479,1040.81
44b6_a2bb48bb,44b6,100,60613,78678,1.298,0.9038,376,416,3.444,0.0357,1090.77
44b6_aaf8b0ea,44b6,100,22099,22210,1.005,1.0,209,209,1.757,0.0395,1037.51
44b6_abf82518,44b6,100,27604,29891,1.0829,1.0,96,96,1.189,0.039,1003.1
44b6_b2c44266,44b6,100,59729,75636,1.2663,0.9412,160,170,2.972,0.0378,493.72
44b6_c15fded2,44b6,100,20585,22867,1.1109,0.9904,103,104,2.348,0.0415,483.42
44b6_c50204e0,44b6,100,47078,56853,1.2076,0.8649,288,333,2.849,0.0355,470.37
44b6_c771cb04,44b6,100,53345,64807,1.2149,0.9295,211,227,2.62,0.0351,459.4
44b6_c8e2a523,44b6,100,33144,37698,1.1374,0.994,167,168,0.645,0.0486,419.43
44b6_c96cfa10,44b6,100,46236,53090,1.1482,0.9571,602,629,1.818,0.0386,420.39
44b6_cf2536e8,44b6,100,57565,69078,1.2,0.6974,53,76,3.237,0.035,420.74
44b6_cf8fed6b,44b6,100,43729,47911,1.0956,1.0,191,191,1.149,0.041,404.51
44b6_d29c9ab2,44b6,100,38055,44111,1.1591,0.986,1334,1353,1.357,0.0435,415.04
44b6_d2f34f90,44b6,100,24074,28701,1.1922,0.9329,264,283,2.743,0.0367,405.75
44b6_d5e7d891,44b6,100,44848,53874,1.2013,0.8642,783,906,2.765,0.0358,404.17
44b6_d754aa59,44b6,100,5171,7349,1.4212,1.0,72,72,0.739,0.055,392.92
44b6_d78e09d9,44b6,100,22259,24696,1.1095,0.9266,429,463,1.856,0.0467,375.16
44b6_db3c847b,44b6,100,15023,16863,1.1225,0.8727,144,165,1.977,0.0427,368.19
44b6_ddf577ad,44b6,100,53492,64298,1.202,0.9636,635,659,2.328,0.0376,332.9
44b6_deabac95,44b6,100,13989,15123,1.0811,0.881,111,126,2.22,0.0559,326.23
44b6_e28840c6,44b6,100,74686,95852,1.2834,0.9839,306,311,1.409,0.0388,354.98
44b6_e29f0176,44b6,100,12969,13777,1.0623,0.6078,31,51,3.743,0.0522,349.46
44b6_e31261b4,44b6,100,72856,83674,1.1485,0.9914,115,116,1.721,0.038,337.46
44b6_e35b117d,44b6,100,28641,39007,1.3619,0.763,206,270,3.027,0.0352,332.05
44b6_e57ff5c6,44b6,100,20314,22141,1.0899,0.8342,161,193,2.354,0.0368,330.43
44b6_eb2880fc,44b6,100,48084,50593,1.0522,0.9359,365,390,2.059,0.0351,337.41
44b6_f28707c6,44b6,100,18656,22080,1.1835,0.8413,53,63,3.103,0.0396,335.31
6bba_05b6850b,6bba,100,6362,7880,1.2386,0.935,805,861,3.464,0.0677,316.7
6bba_05db0fb1,6bba,100,69800,81677,1.1702,0.9536,1172,1229,1.9,0.0373,330.42
6bba_062c8d37,6bba,100,6030,6721,1.1146,0.9602,893,930,2.095,0.0668,321.87
6bba_07477033,6bba,100,4836,5708,1.1803,0.9739,597,613,3.21,0.068,320.34
6bba_07e24132,6bba,100,21485,38367,1.7858,0.8969,322,359,2.423,0.0364,319.09
6bba_085bf656,6bba,100,8463,9308,1.0998,0.9883,1184,1198,3.142,0.0471,318.38
6bba_09961292,6bba,100,31117,38964,1.2522,0.9841,1919,1950,2.246,0.0432,326.88
6bba_0c7fa718,6bba,100,13650,15769,1.1552,0.9162,645,704,2.331,0.0457,330.18
6bba_0e7c0d07,6bba,100,22467,26438,1.1767,0.8756,183,209,3.353,0.0445,321.45
6bba_12665c0e,6bba,100,8314,8834,1.0625,0.971,1006,1036,2.276,0.054,320.31
6bba_13f19531,6bba,100,5773,6421,1.1122,0.9959,734,737,3.014,0.0583,310.58
6bba_15403b9a,6bba,100,6889,7343,1.0659,0.9222,699,758,3.136,0.0567,313.47
6bba_1d0d8384,6bba,100,17909,21469,1.1988,0.8901,1280,1438,2.425,0.0416,318.54
6bba_1ebfb80d,6bba,100,11558,13186,1.1409,0.894,666,745,3.26,0.0505,310.48
6bba_1f58c2f6,6bba,100,28903,35682,1.2345,0.9211,292,317,2.529,0.0374,311.07
