config,description,num_features,features_used,macro_recall,recall_44b6_dense,recall_6bba_sparse,micro_recall,macro_precision,macro_f1,total_tp,total_gt,delta_recall,delta_tp
Baseline_5D,5大特徴量すべて (現状),5,"mean_intensity, snr, z_depth_ratio, estimated_radius_um, volume_um3",0.6740240175799475,0.6944095564239257,0.6627164140024283,0.6705539132391394,0.036325225191881305,0.06630682349601622,86423,128883,0.0,0
Spatial_Only,空間距離のみ (特徴量なし),0,(None),0.6584991149181666,0.6765696824711461,0.6484755969786234,0.6561532552780429,0.036120139546465105,0.06582888564799684,84567,128883,-1.552490266178086,-1856
No_mean_intensity,輝度(mean_intensity)を除外,4,"snr, z_depth_ratio, estimated_radius_um, volume_um3",0.6722744846044293,0.6927579328198129,0.6609125719224587,0.6688159027955588,0.03634054962521204,0.06631362307273744,86199,128883,-0.17495329755181643,-224
No_snr,SNR(snr)を除外,4,"mean_intensity, z_depth_ratio, estimated_radius_um, volume_um3",0.6697760800048362,0.687493361705279,0.6599485253116217,0.6672563487814529,0.03632059041651744,0.06627177458266242,85998,128883,-0.4247937575111216,-425
No_z_depth_ratio,Z深度比率(z_depth_ratio)を除外,4,"mean_intensity, snr, estimated_radius_um, volume_um3",0.6745627186474588,0.6955321089089962,0.6629312599867622,0.670716851718225,0.036332858477843,0.06632244685795284,86444,128883,0.053870106751130464,21
No_estimated_radius_um,推定半径(estimated_radius_um)を除外,4,"mean_intensity, snr, z_depth_ratio, volume_um3",0.6731026540958497,0.6928872841842902,0.6621283670936678,0.6698788823972129,0.03630113128666711,0.06626068290598804,86336,128883,-0.09213634840977702,-87
No_volume_um3,体積(volume_um3)を除外,4,"mean_intensity, snr, z_depth_ratio, estimated_radius_um",0.6730076957915809,0.6924314797909682,0.6622335656044208,0.6697469798189055,0.036298294848808435,0.06625511316836095,86319,128883,-0.10163217883665254,-104
Only_mean_intensity,空間 + 輝度のみ,1,mean_intensity,0.6686235204006421,0.6864860510892589,0.6587153979092999,0.6658830101720165,0.03629709812443648,0.06622142951401479,85821,128883,-0.5400497179305352,-602
Only_snr,空間 + SNRのみ,1,snr,0.6711817023464104,0.6918105865252231,0.6597391181534753,0.6673572154589822,0.03628803237783327,0.06621431205969405,86011,128883,-0.2842315233537063,-412
Only_z_depth_ratio,空間 + Z深度比率のみ,1,z_depth_ratio,0.6582127883843647,0.6758234644629545,0.6484443664970221,0.656098942451681,0.03612697909727268,0.0658411613632252,84560,128883,-1.5811229195582754,-1863
Only_estimated_radius_um,空間 + 推定半径のみ,1,estimated_radius_um,0.6623410092761841,0.680699044696385,0.6521580365040412,0.6600560198009047,0.036213310840502055,0.06602089421713685,85070,128883,-1.1683008303763343,-1353
Only_volume_um3,空間 + 体積のみ,1,volume_um3,0.6627488065153055,0.6809796646186073,0.6526363774111301,0.6605137993373835,0.036221088064324496,0.06603688218083983,85129,128883,-1.127521106464191,-1294
