dataset,gt_estimated_nodes,nodes_before_filtering,nodes_after_filtering,isolated_nodes_removed,isolated_removal_pct,pe_ratio_before,pe_ratio_after,edge_count
44b6_0113de3b,25755,34247,32644,1603,4.680701959295705,1.3297223840031063,1.2674820423218793,27254
44b6_0b24845f,32795,39552,35840,3712,9.385113268608414,1.206037505717335,1.0928495197438635,29085
44b6_0c582fdc,27958,32643,30835,1808,5.538706613975431,1.1675727877530582,1.1029043565348022,26249
44b6_0db75fae,15335,18757,17711,1046,5.576584741696433,1.223149657645908,1.1549396804695142,15081
44b6_12dfb391,58672,71790,68646,3144,4.37944003343084,1.2235819470957185,1.169995909462776,60792
44b6_144b256d,65376,79534,76128,3406,4.282445243543641,1.2165626529613314,1.1644640234948604,68214
44b6_1574802b,17677,20551,19562,989,4.8124178872074355,1.1625841488940432,1.106635741358828,16989
44b6_18ced818,78644,94321,88471,5850,6.202224319080586,1.1993413356390825,1.1249554956512893,74022
44b6_1d530831,35825,40754,38508,2246,5.511115473327771,1.1375854849965108,1.0748918353105372,33146
44b6_24264f12,26353,30320,28831,1489,4.910949868073879,1.1505331461313701,1.0940310401092854,24653
44b6_267148e4,19130,24129,22304,1825,7.5635127854449005,1.2613173026659696,1.1659174072138003,18440
44b6_2a2eff9f,56367,61224,58034,3190,5.210375016333464,1.0861674383948055,1.0295740415491335,50004
44b6_2f31fc2f,24368,28127,25426,2701,9.602872684609094,1.1542596848325672,1.0434175968483257,20341
44b6_33b596bf,23330,26348,24475,1873,7.108698952482162,1.1293613373339049,1.049078439777111,20537
44b6_341df25f,7436,9006,8691,315,3.4976682211858763,1.2111350188273264,1.1687735341581496,7789
44b6_3a861e03,40546,49887,47334,2553,5.117565698478561,1.2303803087850835,1.1674147881418635,41004
44b6_3bb3690f,31937,39219,36871,2348,5.986894107447921,1.2280113974387075,1.1544916554466607,31751
44b6_40c45f5a,32681,40358,38081,2277,5.642004063630507,1.2349071325846823,1.1652336219821915,32900
44b6_415c0a3a,57292,60127,57593,2534,4.214412826184576,1.049483348460518,1.0052537876143266,51000
44b6_53f95252,38715,45945,43300,2645,5.756883229948852,1.1867493219682295,1.1184295492703087,37119
44b6_551a5dba,57627,73498,69379,4119,5.604234128819831,1.2754090964304927,1.2039321845662623,60126
44b6_5740d24b,19730,20528,19033,1495,7.2827357755261115,1.0404460212873796,0.9646730866700456,16113
44b6_587a1e22,18137,20871,19927,944,4.523022375545015,1.1507415779897447,1.0986932789325687,17037
44b6_5f15d135,29519,38432,35778,2654,6.905703580349709,1.301941122666757,1.2120329279447135,30466
44b6_668e0cc7,39701,41494,39651,1843,4.441606015327517,1.045162590362963,0.9987405858794489,34432
44b6_66f9292d,52710,60061,57263,2798,4.658597092955495,1.1394612028078164,1.0863782963384556,50867
44b6_706092f0,69898,90119,85585,4534,5.031125511823256,1.28929296975593,1.2244270222323959,75833
44b6_71a4179f,67688,83663,79442,4221,5.045241026499169,1.2360093369578065,1.1736496867982509,70142
44b6_74d0c52e,15090,16787,15545,1242,7.398582236254245,1.1124585818422796,1.030152418820411,13187
44b6_7a302da0,66858,82392,77854,4538,5.507816292843965,1.232343175087499,1.164467976906279,67948
44b6_7e557709,56060,67550,64894,2656,3.931902294596595,1.2049589725294327,1.1575811630396005,58103
44b6_808952d6,15742,18296,17681,615,3.361390467861828,1.1622411383559903,1.1231736755177233,16014
44b6_81c256f0,10052,12215,11804,411,3.3647155137126483,1.2151810584958218,1.1742936729009152,10708
44b6_87bba6c4,28102,31999,29117,2882,9.006531454107941,1.138673404028183,1.036118425734823,23486
44b6_8cc6506c,32172,39519,37024,2495,6.313418861813306,1.2283662812383438,1.1508143727464877,31609
44b6_8f5ab931,27571,30501,29105,1396,4.576899118061703,1.106271081933916,1.055638170541511,25441
44b6_8f9ecab4,74833,88252,84498,3754,4.253727960839415,1.1793192842729812,1.12915425013029,75577
44b6_90724892,25532,28375,26746,1629,5.740969162995595,1.111350462165126,1.0475481748394173,22628
44b6_949adeb1,37179,42883,40312,2571,5.995382785719283,1.153419941364749,1.0842680007531134,33991
44b6_95029e92,5161,8717,8245,472,5.414706894573821,1.6890137570238326,1.5975586126719628,7328
44b6_97725144,35774,48562,45274,3288,6.770726082121824,1.3574663163191145,1.2655559903840778,38508
44b6_996155de,7573,11774,11388,386,3.278410056055716,1.554733923148026,1.5037633698666315,10394
44b6_9be80b04,57877,75491,71174,4317,5.7185624776463415,1.3043350553760562,1.2297458403165333,62135
44b6_9bfa6a0a,64308,76475,73158,3317,4.337365152010461,1.1891988555078683,1.1376189587609629,65442
44b6_a21120c2,23040,25855,24714,1141,4.413072906594469,1.1221788194444444,1.07265625,20990
44b6_a2bb48bb,60613,77840,72643,5197,6.6765159301130526,1.284212957616353,1.1984722749245211,61375
44b6_aaf8b0ea,22099,24464,23497,967,3.9527468933943752,1.1070184171229467,1.063260781030816,21013
44b6_abf82518,27604,30094,28686,1408,4.678673489732173,1.0902043182147514,1.0391972177945226,25199
44b6_b2c44266,59729,72766,69005,3761,5.1686227084077725,1.218269182474175,1.155301444859281,60745
44b6_c15fded2,20585,25135,23031,2104,8.370797692460712,1.2210347340296333,1.1188243866893368,18942
44b6_c50204e0,47078,56331,52540,3791,6.729864550602688,1.196546157440843,1.116020221759633,44331
44b6_c771cb04,53345,61866,58323,3543,5.726893608767336,1.1597338082294497,1.0933170868872435,50462
44b6_c8e2a523,33144,42632,40864,1768,4.147119534621881,1.2862659908279024,1.2329230026550808,35289
44b6_c96cfa10,46236,51794,49295,2499,4.824883191103217,1.1202093606713384,1.066160567523142,43038
44b6_cf2536e8,57565,62869,59771,3098,4.9277068189409725,1.0921393207678276,1.0383218969860157,52803
44b6_cf8fed6b,43729,47450,44794,2656,5.597471022128556,1.0850922728624026,1.0243545473255735,37991
44b6_d29c9ab2,38055,49121,46853,2268,4.61716984589076,1.2907896465641835,1.231191696229142,40781
44b6_d2f34f90,24074,29291,27300,1991,6.797309753849305,1.2167068206363711,1.1340034892415054,23188
44b6_d5e7d891,44848,52365,49464,2901,5.5399598968776855,1.1676105957902247,1.1029254370317516,42628
44b6_d754aa59,5171,8898,8059,839,9.429085187682626,1.7207503384258365,1.5584993231483273,6675
