dataset,weight,gt_edges,pred_edges,tp,precision,recall,f1
44b6_0113de3b,0.0,50,27066,31,0.0011453484075962463,0.62,0.0022864729311107834
44b6_0b24845f,0.0,49,28939,24,0.0008293306610456478,0.4897959183673469,0.001655857596246723
44b6_0c582fdc,0.0,70,26078,43,0.0016488994554797146,0.6142857142857143,0.0032889704757534033
44b6_0db75fae,0.0,151,14981,120,0.008010146185167879,0.7947019867549668,0.01586042823156225
44b6_12dfb391,0.0,773,60535,552,0.00911869166597836,0.7141009055627425,0.0180074378547661
44b6_144b256d,0.0,119,67889,87,0.0012815036309269544,0.7310924369747899,0.0025585225267615577
44b6_1574802b,0.0,153,16854,107,0.006348641272101579,0.6993464052287581,0.012583054036573177
44b6_18ced818,0.0,99,73731,67,0.000908708684271202,0.6767676767676768,0.001814980360287146
44b6_1d530831,0.0,271,32917,195,0.005923990643132728,0.7195571955719557,0.011751235386284198
44b6_24264f12,0.0,221,24495,149,0.006082874055929782,0.6742081447963801,0.012056967146787508
44b6_267148e4,0.0,277,18366,137,0.007459435914189263,0.49458483754512633,0.014697205385399347
44b6_2a2eff9f,0.0,210,49709,156,0.0031382647005572433,0.7428571428571429,0.0062501252028285825
44b6_2f31fc2f,0.0,85,20231,32,0.001581731006870644,0.3764705882352941,0.003150226422524119
44b6_33b596bf,0.0,49,20383,32,0.0015699357307560223,0.6530612244897959,0.003132341425215349
44b6_341df25f,0.0,209,7706,189,0.02452634310926551,0.9043062200956937,0.04775742261528743
44b6_3a861e03,0.0,919,40791,662,0.016229070138020642,0.720348204570185,0.03174298729321506
44b6_3bb3690f,0.0,396,31597,244,0.00772225211254233,0.6161616161616161,0.015253336667395995
44b6_40c45f5a,0.0,198,32735,140,0.0042767679853367956,0.7070707070707071,0.00850211034524641
44b6_415c0a3a,0.0,322,50716,190,0.0037463522359807554,0.5900621118012422,0.007445432814765469
44b6_53f95252,0.0,68,36864,49,0.0013292100694444445,0.7205882352941176,0.00265352539802881
44b6_551a5dba,0.0,224,59906,142,0.0023703802624111107,0.6339285714285714,0.004723099950108099
44b6_5740d24b,0.0,170,16004,150,0.009372656835791053,0.8823529411764706,0.01854828737479906
44b6_587a1e22,0.0,371,16926,252,0.01488833746898263,0.6792452830188679,0.02913800080938891
44b6_5f15d135,0.0,273,30301,169,0.005577373684036831,0.6190476190476191,0.01105514489435468
44b6_668e0cc7,0.0,631,34290,444,0.01294838145231846,0.7036450079239303,0.02542882506228344
44b6_66f9292d,0.0,198,50586,102,0.0020163681651049698,0.5151515151515151,0.004017013232514178
44b6_706092f0,0.0,117,75536,77,0.001019381486973099,0.6581196581196581,0.0020356099559832395
44b6_71a4179f,0.0,119,69848,88,0.0012598785935173519,0.7394957983193278,0.0025154715794588876
44b6_74d0c52e,0.0,139,13133,97,0.0073859742633061755,0.697841726618705,0.014617239300783604
44b6_7a302da0,0.0,507,67644,344,0.005085447341966767,0.6785009861932939,0.01009522971049581
44b6_7e557709,0.0,560,57841,405,0.007001953631507063,0.7232142857142857,0.013869625520110958
44b6_808952d6,0.0,179,15901,174,0.0109427080057858,0.9720670391061452,0.02164179104477612
44b6_81c256f0,0.0,197,10601,186,0.017545514574096782,0.9441624365482234,0.03445082422670864
44b6_87bba6c4,0.0,149,23380,72,0.0030795551753635586,0.48322147651006714,0.006120107101874282
44b6_8cc6506c,0.0,396,31437,250,0.007952412762032,0.6313131313131313,0.01570697075362046
44b6_8f5ab931,0.0,604,25282,426,0.016849932758484298,0.7052980132450332,0.03291354400061809
44b6_8f9ecab4,0.0,370,75246,277,0.0036812588044547218,0.7486486486486487,0.007326491747778248
44b6_90724892,0.0,103,22456,79,0.003517990737442109,0.7669902912621359,0.0070038565539252634
44b6_949adeb1,0.0,378,33762,234,0.006930869024346899,0.6190476190476191,0.013708260105448154
44b6_95029e92,0.0,198,7223,188,0.026027966219022567,0.9494949494949495,0.05066702600727665
44b6_97725144,0.0,221,38228,146,0.0038191901224233545,0.6606334841628959,0.00759447579911051
44b6_996155de,0.0,377,10304,336,0.03260869565217391,0.8912466843501327,0.06291545735418032
44b6_9be80b04,0.0,220,61912,141,0.0022774260240341127,0.6409090909090909,0.004538724006952938
44b6_9bfa6a0a,0.0,259,65165,167,0.002562725389396148,0.6447876447876448,0.005105160185864515
44b6_a21120c2,0.0,286,20862,183,0.008771929824561403,0.6398601398601399,0.01730660109703045
44b6_a2bb48bb,0.0,410,61063,216,0.003537330298216596,0.526829268292683,0.0070274754770387
44b6_aaf8b0ea,0.0,206,20861,190,0.009107904702555007,0.9223300970873787,0.018037689277068402
44b6_abf82518,0.0,94,25007,86,0.0034390370696205062,0.9148936170212766,0.006852316640771285
44b6_b2c44266,0.0,168,60447,122,0.002018297020530382,0.7261904761904762,0.004025406252577746
44b6_c15fded2,0.0,102,18783,60,0.0031943778949049674,0.5882352941176471,0.006354249404289119
44b6_c50204e0,0.0,325,44069,173,0.003925662029998412,0.5323076923076923,0.007793846015227283
44b6_c771cb04,0.0,223,50201,134,0.0026692695364634172,0.600896860986547,0.0053149293986990325
44b6_c8e2a523,0.0,164,35138,126,0.003585861460527065,0.7682926829268293,0.007138405756047817
44b6_c96cfa10,0.0,616,42806,445,0.01039573891510536,0.7224025974025974,0.02049652250011515
44b6_cf2536e8,0.0,75,52523,36,0.0006854140091007749,0.48,0.0013688733411916802
44b6_cf8fed6b,0.0,188,37835,144,0.003805999735694463,0.7659574468085106,0.00757436288562186
44b6_d29c9ab2,0.0,1328,40526,930,0.022948230765434535,0.7003012048192772,0.04444019687485067
44b6_d2f34f90,0.0,281,23064,194,0.00841137703780784,0.6903914590747331,0.01662026129792247
44b6_d5e7d891,0.0,893,42422,502,0.011833482626938853,0.5621500559910414,0.023179037285005196
44b6_d754aa59,0.0,70,6579,51,0.007751937984496124,0.7285714285714285,0.015340652729733796
