dataset,series,bg_median,bg_noise,dyn_range,snr_proxy,contrast_ratio,p01,p995,estimated_number_of_nodes,n_frames,est_per_frame,total_pred_nodes,pe_ratio,recall,precision,f1_score
44b6_0113de3b,44b6,189.0,152.70570793180133,1636.0,9.75078091486391,8.878306408555217,42.0,1678.0,25755,76,338.88157894736844,34247,1.3297223840031063,1.0,0.0015,0.003
44b6_0b24845f,44b6,1053.0,1133.432171979244,2393.0,1.2166585896581266,2.3095916209915326,39.0,2432.0,32795,51,643.0392156862745,39552,1.206037505717335,0.6863,0.0009,0.0018
44b6_0c582fdc,44b6,509.0,442.55003706449224,1852.0,3.269686693286309,3.8428290011232025,104.0,1956.0,27958,91,307.2307692307692,32643,1.1675727877530582,0.8592,0.0019,0.0037
44b6_0db75fae,44b6,163.0,367.67976278724984,1836.0,4.612709551964815,11.40490727577256,23.0,1859.0,15335,89,172.30337078651687,18757,1.223149657645908,0.9299,0.0078,0.0154
44b6_12dfb391,44b6,509.0,290.58561897702003,1830.4849999998696,4.836732652429339,3.7612671166742606,84.0,1914.4849999998696,58672,100,586.72,71790,1.2235819470957185,0.9886,0.0109,0.0215
44b6_144b256d,44b6,737.0,334.32171979243884,1638.0,3.033006561163507,2.375848000327707,113.0,1751.0,65376,100,653.76,79534,1.2165626529613314,0.9091,0.0014,0.0028
44b6_1574802b,44b6,123.0,340.2520385470719,1560.0,4.249790724771946,12.756096523894591,9.0,1569.0,17677,99,178.55555555555554,20551,1.1625841488940432,0.9032,0.0068,0.0135
44b6_18ced818,44b6,1041.0,472.94292068198666,2286.0,2.8248651440322403,2.2833813421385076,91.0,2377.0,78644,100,786.44,94321,1.1993413356390825,0.95,0.001,0.002
44b6_1d530831,44b6,472.0,409.93328391401036,1785.0,3.368840785812546,3.9258473744523865,68.0,1853.0,35825,100,358.25,40754,1.1375854849965108,0.9167,0.0062,0.0123
44b6_24264f12,44b6,246.0,240.177909562639,1680.0,6.132953448353265,6.987804593991683,39.0,1719.0,26353,87,302.9080459770115,30320,1.1505331461313701,0.9261,0.007,0.0139
44b6_267148e4,44b6,192.0,417.3461823573017,1754.0,3.821767226366537,9.307291181911918,33.0,1787.0,19130,100,191.3,24129,1.2613173026659696,0.8607,0.01,0.0197
44b6_2a2eff9f,44b6,534.0,325.42624166048927,1225.0,2.23706599048287,2.3632958358933367,37.0,1262.0,56367,100,563.67,61224,1.0861674383948055,0.9533,0.0033,0.0066
