dataset,series,gt_nodes,estimated_nodes,raw_nodes,raw_pe_ratio,raw_recall,target_nodes_90,int_nodes,int_pe_ratio,int_recall,int_recall_drop,snr_nodes,snr_pe_ratio,snr_recall,snr_recall_drop,comp_nodes,comp_pe_ratio,comp_recall,comp_recall_drop
44b6_0113de3b,44b6,52,25755,34247,1.3297,1.0,23180,23180,0.9,1.0,0.0,23180,0.9,1.0,0.0,23180,0.9,1.0,0.0
44b6_0b24845f,44b6,51,32795,39552,1.206,0.6863,29516,29511,0.8999,0.3333,0.3529,29511,0.8999,0.2549,0.4314,29511,0.8999,0.1765,0.5098
44b6_0c582fdc,44b6,71,27958,32643,1.1676,0.8592,25162,25160,0.8999,0.662,0.1972,25160,0.8999,0.7746,0.0845,25160,0.8999,0.7324,0.1268
44b6_0db75fae,44b6,157,15335,18757,1.2231,0.9299,13802,13801,0.9,0.9108,0.0191,13801,0.9,0.8599,0.0701,13801,0.9,0.8854,0.0446
44b6_12dfb391,44b6,788,58672,71790,1.2236,0.9886,52805,52805,0.9,0.868,0.1206,52805,0.9,0.9112,0.0774,52805,0.9,0.8947,0.0939
44b6_144b256d,44b6,121,65376,79534,1.2166,0.9091,58838,58836,0.9,0.405,0.5041,58836,0.9,0.8264,0.0826,58836,0.9,0.7355,0.1736
44b6_1574802b,44b6,155,17677,20551,1.1626,0.9032,15909,15909,0.9,0.9032,0.0,15909,0.9,0.8903,0.0129,15909,0.9,0.8968,0.0065
44b6_18ced818,44b6,100,78644,94321,1.1993,0.95,70780,70774,0.8999,0.94,0.01,70774,0.8999,0.93,0.02,70774,0.8999,0.93,0.02
44b6_1d530831,44b6,276,35825,40754,1.1376,0.9167,32242,32238,0.8999,0.9094,0.0072,32238,0.8999,0.8877,0.029,32238,0.8999,0.8986,0.0181
44b6_24264f12,44b6,230,26353,30320,1.1505,0.9261,23718,23715,0.8999,0.9261,0.0,23715,0.8999,0.8696,0.0565,23715,0.8999,0.9174,0.0087
44b6_267148e4,44b6,280,19130,24129,1.2613,0.8607,17217,17217,0.9,0.7357,0.125,17217,0.9,0.6929,0.1679,17217,0.9,0.7107,0.15
44b6_2a2eff9f,44b6,214,56367,61224,1.0862,0.9533,50730,50727,0.8999,0.9393,0.014,50727,0.8999,0.9159,0.0374,50727,0.8999,0.9252,0.028
44b6_2f31fc2f,44b6,89,24368,28127,1.1543,0.7978,21931,21931,0.9,0.6517,0.1461,21931,0.9,0.5843,0.2135,21931,0.9,0.6404,0.1573
44b6_33b596bf,44b6,50,23330,26348,1.1294,0.82,20997,20997,0.9,0.82,0.0,20997,0.9,0.78,0.04,20997,0.9,0.82,0.0
44b6_341df25f,44b6,216,7436,9006,1.2111,0.9907,6692,6692,0.8999,0.9907,0.0,6692,0.8999,0.9907,0.0,6692,0.8999,0.9907,0.0
44b6_3a861e03,44b6,935,40546,49887,1.2304,0.9818,36491,36491,0.9,0.8995,0.0824,36491,0.9,0.8941,0.0877,36491,0.9,0.9059,0.0759
44b6_3bb3690f,44b6,400,31937,39219,1.228,0.865,28743,28740,0.8999,0.34,0.525,28740,0.8999,0.5875,0.2775,28740,0.8999,0.4125,0.4525
44b6_40c45f5a,44b6,200,32681,40358,1.2349,0.94,29413,29413,0.9,0.94,0.0,29413,0.9,0.915,0.025,29413,0.9,0.94,0.0
44b6_415c0a3a,44b6,331,57292,60127,1.0495,0.8157,51563,51563,0.9,0.7976,0.0181,51563,0.9,0.7402,0.0755,51563,0.9,0.7523,0.0634
44b6_53f95252,44b6,70,38715,45945,1.1867,0.9571,34844,34844,0.9,0.9571,0.0,34844,0.9,0.9429,0.0143,34844,0.9,0.9571,0.0
44b6_551a5dba,44b6,228,57627,73498,1.2754,0.9079,51864,51864,0.9,0.8904,0.0175,51864,0.9,0.8026,0.1053,51864,0.9,0.8289,0.0789
44b6_5740d24b,44b6,173,19730,20528,1.0404,0.9653,17757,17754,0.8998,0.9653,0.0,17754,0.8998,0.9653,0.0,17754,0.8998,0.9653,0.0
44b6_587a1e22,44b6,381,18137,20871,1.1507,0.9134,16323,16323,0.9,0.9134,0.0,16323,0.9,0.8871,0.0262,16323,0.9,0.9134,0.0
44b6_5f15d135,44b6,278,29519,38432,1.3019,0.8777,26567,26565,0.8999,0.741,0.1367,26565,0.8999,0.7446,0.1331,26565,0.8999,0.795,0.0827
