dataset,gt_node_id,has_prev,has_next,prev_detected,next_detected,both_surrounding_detected,dist_delta_t2_um,interp_error_um,is_recovered_node
44b6_0b24845f,92000000036.0,True,True,True,True,True,2.8726212985703494,2.4543687133863976,True
44b6_0b24845f,95000000036.0,True,True,True,False,False,,,False
44b6_0b24845f,96000000036.0,True,True,False,False,False,,,False
44b6_0b24845f,97000000036.0,True,True,False,True,False,,,False
44b6_0b24845f,113000000036.0,True,True,True,True,True,8.608283165794443,4.127987791058133,True
44b6_0b24845f,118000000027.0,False,True,False,True,False,,,False
44b6_0b24845f,118000000036.0,True,True,True,False,False,,,False
44b6_0b24845f,119000000036.0,True,True,False,False,False,,,False
44b6_0b24845f,120000000036.0,True,True,False,False,False,,,False
44b6_0b24845f,121000000037.0,True,True,False,True,False,,,False
44b6_0b24845f,126000000029.0,True,True,True,True,True,6.953879874753374,1.3006346107285474,True
44b6_0b24845f,126000000038.0,True,True,True,False,False,,,False
44b6_0b24845f,127000000038.0,True,True,False,False,False,,,False
44b6_0b24845f,128000000038.0,True,True,False,False,False,,,False
44b6_0b24845f,129000000039.0,True,False,False,False,False,,,False
44b6_0c582fdc,135000000083.0,True,True,True,False,False,,,False
44b6_0c582fdc,136000000083.0,True,True,False,True,False,,,False
44b6_0c582fdc,153000000077.0,True,True,True,True,True,7.094851236107774,4.067574955132972,True
44b6_0c582fdc,162000000076.0,True,True,True,True,True,6.625736987309412,4.60516226980657,True
44b6_0c582fdc,167000000076.0,True,True,True,True,True,9.138367776851618,4.112967773548681,True
44b6_0db75fae,44000000002.0,False,True,False,True,False,,,False
44b6_0db75fae,47000000002.0,True,True,True,True,True,1.6750116604071745,2.0413809855401808,True
44b6_0db75fae,98000000025.0,True,True,True,False,False,,,False
44b6_0db75fae,99000000025.0,True,True,False,True,False,,,False
44b6_0db75fae,110000000030.0,True,True,True,False,False,,,False
44b6_0db75fae,111000000030.0,True,True,False,False,False,,,False
44b6_0db75fae,112000000030.0,True,True,False,True,False,,,False
44b6_0db75fae,126000000032.0,True,True,True,False,False,,,False
44b6_0db75fae,127000000032.0,True,True,False,False,False,,,False
44b6_0db75fae,128000000032.0,True,True,False,True,False,,,False
44b6_12dfb391,144000000045.0,True,True,True,True,True,6.858289350304491,1.8727199678876176,True
44b6_12dfb391,146000000045.0,True,True,True,True,True,3.374565944310468,5.378019682292451,True
44b6_12dfb391,149000000045.0,True,True,True,False,False,,,False
44b6_12dfb391,150000000045.0,True,True,False,True,False,,,False
44b6_12dfb391,152000000045.0,True,True,True,True,True,3.72334275215162,2.9575446425202108,True
44b6_12dfb391,188000000050.0,True,True,True,True,True,6.080193253507654,2.0714766773970688,True
