dataset,Both Nodes Detected <= 7.0um (Tracking Matching / Model Failure),Both Nodes Missing (Node Detection Failure),Distance > 7.0um (Spatial Search Radius Miss),Source Node Missing (Node Detection Failure),Target Node Missing (Node Detection Failure)
44b6_0113de3b,2,0,1,0,0
44b6_0b24845f,5,8,0,6,6
44b6_0c582fdc,12,1,0,4,4
44b6_0db75fae,11,5,1,5,4
44b6_12dfb391,311,1,0,6,6
44b6_144b256d,9,2,0,7,7
44b6_1574802b,12,4,2,6,6
44b6_18ced818,31,0,0,3,3
44b6_1d530831,52,4,1,14,14
44b6_24264f12,25,3,1,8,9
44b6_267148e4,57,12,12,22,22
44b6_2a2eff9f,38,3,1,3,3
44b6_2f31fc2f,21,1,3,10,10
44b6_33b596bf,1,1,0,4,4
44b6_341df25f,4,2,1,5,5
44b6_3a861e03,249,2,26,12,12
44b6_3bb3690f,127,12,1,24,23
44b6_40c45f5a,36,4,0,10,10
44b6_415c0a3a,45,27,0,23,22
44b6_53f95252,7,1,0,2,2
44b6_551a5dba,114,8,0,7,6
44b6_5740d24b,7,1,0,5,4
44b6_587a1e22,45,7,4,5,7
44b6_5f15d135,49,19,3,19,19
44b6_668e0cc7,76,8,12,10,12
44b6_66f9292d,28,27,0,15,15
44b6_706092f0,33,3,0,4,4
44b6_71a4179f,36,0,0,2,1
44b6_74d0c52e,9,11,0,15,14
44b6_7a302da0,154,9,0,15,16
44b6_7e557709,137,2,0,4,4
44b6_87bba6c4,27,6,13,8,9
44b6_8cc6506c,97,10,0,20,20
44b6_8f5ab931,59,29,0,46,46
44b6_8f9ecab4,107,3,0,5,5
44b6_90724892,15,0,0,2,2
44b6_949adeb1,63,24,0,25,22
44b6_95029e92,2,0,0,0,0
44b6_97725144,33,12,3,16,16
44b6_996155de,34,13,0,5,5
44b6_9be80b04,108,7,0,6,6
44b6_9bfa6a0a,101,3,0,8,8
44b6_a21120c2,34,0,4,2,2
44b6_a2bb48bb,139,11,2,29,29
44b6_aaf8b0ea,3,0,0,0,0
44b6_abf82518,1,0,0,0,0
44b6_b2c44266,37,6,0,4,3
44b6_c15fded2,20,0,8,1,1
44b6_c50204e0,95,19,0,25,26
44b6_c771cb04,62,4,1,11,12
44b6_c8e2a523,21,0,7,1,1
44b6_c96cfa10,126,13,0,13,13
44b6_cf2536e8,6,15,0,8,8
44b6_cf8fed6b,21,0,6,0,0
44b6_d29c9ab2,286,7,30,12,12
44b6_d2f34f90,77,5,0,14,14
44b6_d5e7d891,234,52,1,71,70
44b6_d754aa59,4,0,6,0,0
44b6_d78e09d9,54,15,0,17,19
44b6_db3c847b,12,11,0,10,10
44b6_ddf577ad,210,9,0,14,14
44b6_deabac95,12,8,0,6,7
44b6_e28840c6,117,2,0,2,3
44b6_e29f0176,3,15,2,5,5
44b6_e31261b4,29,0,1,1,1
44b6_e35b117d,45,36,0,28,27
44b6_e57ff5c6,16,11,18,20,20
44b6_eb2880fc,54,10,1,14,15
44b6_f28707c6,2,3,6,7,7
6bba_05b6850b,91,38,2,18,18
6bba_05db0fb1,337,32,15,23,24
6bba_062c8d37,149,31,20,4,4
6bba_07477033,78,6,3,10,10
6bba_07e24132,63,27,3,7,8
6bba_085bf656,228,6,0,8,8
6bba_09961292,646,19,7,10,12
6bba_0c7fa718,118,38,56,20,15
6bba_0e7c0d07,21,14,6,12,10
6bba_12665c0e,61,14,35,14,15
6bba_13f19531,74,0,9,2,2
6bba_15403b9a,133,31,15,28,26
6bba_1d0d8384,278,129,20,22,23
6bba_1ebfb80d,95,49,10,24,28
6bba_1f58c2f6,50,10,10,15,14
6bba_207c6aaf,64,89,8,38,40
6bba_20852818,141,63,16,9,10
6bba_2312ac41,47,25,7,18,18
6bba_23af9eeb,59,5,2,2,4
6bba_2540cd90,231,0,1,1,1
6bba_2646afc7,139,39,8,32,32
6bba_268e1230,71,90,25,16,15
6bba_2819ca14,157,19,40,17,18
6bba_283bf9f1,109,49,8,60,61
6bba_312f0dc3,102,22,12,9,10
6bba_32db13fc,149,77,25,44,41
6bba_337b1b3a,127,6,19,8,6
6bba_372c8cb8,101,20,0,3,3
6bba_3a1849c2,96,239,0,21,24
6bba_3abfe10a,256,44,12,29,28
6bba_3c5691b6,88,0,6,1,1
6bba_3db54e20,69,31,20,27,29
6bba_3fda6b25,83,8,9,10,10
6bba_43fea39d,92,7,16,9,10
6bba_474be664,53,134,0,25,23
6bba_48816121,101,18,5,30,29
6bba_4aa14c89,25,27,3,15,18
6bba_4f99ce20,117,4,42,6,7
6bba_4ffd3da3,28,123,3,67,68
6bba_55b7eebe,90,1,2,4,3
6bba_55c70843,128,50,1,33,32
6bba_57b7cc1e,378,152,11,137,134
6bba_5a4d9360,83,97,34,21,24
6bba_5b28472a,76,6,4,6,6
6bba_5c039895,213,10,3,23,24
6bba_5c824876,65,40,5,26,38
6bba_5dfe9ad1,129,74,5,60,60
6bba_5f89039d,123,8,0,6,6
6bba_61dd1e0d,68,10,1,6,8
6bba_61ecbe65,77,20,30,9,10
6bba_6321a359,58,8,20,8,8
6bba_6479435d,91,82,8,39,42
6bba_67ebd073,69,10,22,15,16
6bba_6ca87370,165,26,21,23,23
6bba_6db0e9b4,56,7,1,7,7
6bba_6feb10f0,19,1062,0,59,57
6bba_6feeb0b1,409,57,12,10,9
6bba_705ec2c9,56,45,8,18,17
6bba_718b21f9,214,14,2,1,1
6bba_74686d6a,26,42,5,30,30
6bba_767a1e17,146,43,33,21,19
6bba_76db78c1,105,0,4,1,1
6bba_784a78c9,93,16,1,26,24
6bba_786893ac,527,55,12,55,59
6bba_789f8168,77,3,31,9,8
6bba_78a7bd97,90,176,21,52,51
6bba_7af54fde,49,43,6,27,20
6bba_7b5d3b2c,79,9,0,6,5
6bba_7d3058ae,222,11,9,1,1
6bba_7f87b3d8,140,36,95,26,27
6bba_80d12824,93,11,20,12,12
6bba_825bd1c6,292,10,10,13,13
6bba_87289e13,86,0,47,2,2
6bba_8b7818bf,109,4,5,7,8
6bba_907271db,276,17,2,22,21
6bba_91951b3a,88,15,14,22,18
6bba_96833384,82,18,5,18,21
6bba_969618f6,27,47,3,30,27
6bba_971fa5e0,155,7,24,9,9
6bba_9a41d029,171,50,12,41,37
6bba_9e23430b,78,23,14,17,14
6bba_a5e926bb,71,10,43,8,7
6bba_a90a0b9c,250,96,4,61,64
6bba_ab78413d,59,711,1,51,52
6bba_acd782a8,44,9,26,3,6
6bba_ae82a791,223,20,22,19,18
6bba_aeee7805,56,1,0,2,1
6bba_af149c94,147,63,2,26,24
6bba_afb141ff,68,14,21,8,7
6bba_b1ae37b9,84,6,4,9,8
6bba_b204cac7,257,31,1,5,4
6bba_b329af44,347,46,16,60,55
6bba_b693381b,166,8,55,8,7
6bba_bb9f20c3,537,80,11,33,32
6bba_bbb708ca,54,30,16,8,7
6bba_c27cba08,46,16,1,15,14
6bba_c328f2fd,57,75,7,19,20
6bba_c73a1d11,75,225,17,67,66
6bba_cdcfe533,162,0,23,2,1
6bba_cf35214c,87,0,1,7,8
6bba_cff5865f,282,8,18,20,20
6bba_d0fc38b5,129,10,7,5,6
6bba_d1acb6ff,44,50,17,32,30
6bba_d2b9fc0c,194,1,2,9,9
6bba_d3da753b,217,1,45,2,2
6bba_d5eae175,191,0,3,2,2
6bba_d6ecebbb,114,113,2,27,24
6bba_d82a4fc6,77,2,6,4,5
6bba_debd7bfa,52,66,36,31,32
6bba_df673a83,39,27,1,24,24
6bba_e16ffc58,292,38,10,4,4
6bba_e5e44988,100,48,36,10,10
6bba_ebdf3b34,182,11,22,9,8
6bba_ebff6e76,215,236,1,94,92
6bba_ed9377fd,117,10,1,9,9
6bba_edf14583,192,4,2,5,6
6bba_eebc57a5,173,59,15,11,12
6bba_ef7b4f7e,52,7,3,6,6
6bba_f17befbc,122,49,28,45,43
6bba_f1fde7e0,56,36,45,24,26
