feature,importance_gain
radius_diff,207183.80639028753
snr_min,198371.62488220297
density_source,164474.7686447546
density_target,138449.5494642034
mahalanobis_dist,105503.6653674841
spatial_margin,94265.30665965506
radius_ratio,73554.27800944149
int_ratio,43402.20057902634
delta_x_scaled,35335.771865203606
snr_diff,34476.6056305985
snr_ratio,27199.20098831877
volume_diff,25682.77516205907
total_cost_4d,25367.51877117455
int_diff,22225.536889962852
spatial_rank,20089.591608925162
spatial_dist_xy,13086.544156534224
z_depth_diff,10157.185522955657
delta_y_scaled,9890.395252360217
density_diff,7874.985338661076
spatial_dist,6674.441448069364
delta_z_scaled,5415.828274549544
volume_ratio,3480.6630651712417
abs_delta_z,2996.57983314991
