dataset,total_gt,tp_baseline,tp_new,tp_gain,rec_baseline,rec_new
44b6_0113de3b,50,47,48,1,0.94,0.96
44b6_0b24845f,49,24,31,7,0.4897959183673469,0.6326530612244898
44b6_0c582fdc,70,49,53,4,0.7,0.7571428571428571
44b6_0db75fae,151,125,129,4,0.8278145695364238,0.8543046357615894
44b6_12dfb391,773,449,528,79,0.5808538163001293,0.6830530401034929
44b6_144b256d,119,94,96,2,0.7899159663865546,0.8067226890756303
44b6_1574802b,153,123,132,9,0.803921568627451,0.8627450980392157
44b6_18ced818,99,62,71,9,0.6262626262626263,0.7171717171717171
44b6_1d530831,271,186,200,14,0.6863468634686347,0.7380073800738007
44b6_24264f12,221,175,187,12,0.7918552036199095,0.8461538461538461
44b6_267148e4,277,152,163,11,0.5487364620938628,0.5884476534296029
44b6_2a2eff9f,210,162,180,18,0.7714285714285715,0.8571428571428571
44b6_2f31fc2f,85,40,42,2,0.47058823529411764,0.49411764705882355
44b6_33b596bf,49,39,39,0,0.7959183673469388,0.7959183673469388
44b6_341df25f,209,192,193,1,0.9186602870813397,0.9234449760765551
44b6_3a861e03,919,618,697,79,0.6724700761697497,0.7584330794341676
44b6_3bb3690f,396,209,255,46,0.5277777777777778,0.6439393939393939
44b6_40c45f5a,198,138,143,5,0.696969696969697,0.7222222222222222
44b6_415c0a3a,322,205,213,8,0.6366459627329193,0.6614906832298136
44b6_53f95252,68,56,59,3,0.8235294117647058,0.8676470588235294
44b6_551a5dba,224,89,116,27,0.39732142857142855,0.5178571428571429
44b6_5740d24b,170,153,157,4,0.9,0.9235294117647059
44b6_587a1e22,371,303,315,12,0.816711590296496,0.8490566037735849
44b6_5f15d135,273,164,182,18,0.6007326007326007,0.6666666666666666
44b6_668e0cc7,631,513,533,20,0.8129952456418383,0.8446909667194928
44b6_66f9292d,198,113,120,7,0.5707070707070707,0.6060606060606061
44b6_706092f0,117,73,82,9,0.6239316239316239,0.7008547008547008
44b6_71a4179f,119,80,90,10,0.6722689075630253,0.7563025210084033
44b6_74d0c52e,139,90,103,13,0.6474820143884892,0.7410071942446043
44b6_7a302da0,507,313,366,53,0.6173570019723866,0.7218934911242604
44b6_7e557709,560,413,465,52,0.7375,0.8303571428571429
44b6_808952d6,179,179,179,0,1.0,1.0
44b6_81c256f0,197,197,197,0,1.0,1.0
44b6_87bba6c4,149,86,91,5,0.5771812080536913,0.610738255033557
44b6_8cc6506c,396,249,278,29,0.6287878787878788,0.702020202020202
44b6_8f5ab931,604,424,452,28,0.7019867549668874,0.7483443708609272
44b6_8f9ecab4,370,250,297,47,0.6756756756756757,0.8027027027027027
44b6_90724892,103,84,89,5,0.8155339805825242,0.8640776699029126
44b6_949adeb1,378,244,256,12,0.6455026455026455,0.6772486772486772
44b6_95029e92,198,196,196,0,0.98989898989899,0.98989898989899
44b6_97725144,221,141,150,9,0.6380090497737556,0.6787330316742082
44b6_996155de,377,320,328,8,0.8488063660477454,0.870026525198939
44b6_9be80b04,220,93,115,22,0.42272727272727273,0.5227272727272727
44b6_9bfa6a0a,259,139,173,34,0.5366795366795367,0.667953667953668
44b6_a21120c2,286,244,247,3,0.8531468531468531,0.8636363636363636
44b6_a2bb48bb,410,200,242,42,0.4878048780487805,0.5902439024390244
44b6_aaf8b0ea,206,203,203,0,0.9854368932038835,0.9854368932038835
44b6_abf82518,94,93,93,0,0.9893617021276596,0.9893617021276596
44b6_b2c44266,168,118,133,15,0.7023809523809523,0.7916666666666666
44b6_c15fded2,102,72,77,5,0.7058823529411765,0.7549019607843137
44b6_c50204e0,325,160,192,32,0.49230769230769234,0.5907692307692308
