dataset,total_gt_nodes,total_gt_edges,delta_t_1,delta_t_2,delta_t_gt2,branch_parents,branch_edges,branch_edge_ratio,branch_tp_015,branch_fn_015
44b6_0113de3b,52,50,50,0,0,0,0,0.0,0,0
44b6_0b24845f,51,49,49,0,0,0,0,0.0,0,0
44b6_0c582fdc,71,70,70,0,0,0,0,0.0,0,0
44b6_0db75fae,157,151,151,0,0,0,0,0.0,0,0
44b6_12dfb391,788,773,773,0,0,1,2,0.0026,0,2
44b6_144b256d,121,119,119,0,0,0,0,0.0,0,0
44b6_1574802b,155,153,153,0,0,0,0,0.0,0,0
44b6_18ced818,100,99,99,0,0,0,0,0.0,0,0
44b6_1d530831,276,271,271,0,0,0,0,0.0,0,0
44b6_24264f12,230,221,221,0,0,0,0,0.0,0,0
44b6_267148e4,280,277,277,0,0,1,2,0.0072,0,1
44b6_2a2eff9f,214,210,210,0,0,1,2,0.0095,0,1
44b6_2f31fc2f,89,85,85,0,0,0,0,0.0,0,0
44b6_33b596bf,50,49,49,0,0,0,0,0.0,0,0
44b6_341df25f,216,209,209,0,0,1,2,0.0096,0,1
44b6_3a861e03,935,919,919,0,0,0,0,0.0,0,0
44b6_3bb3690f,400,396,396,0,0,0,0,0.0,0,0
44b6_40c45f5a,200,198,198,0,0,0,0,0.0,0,0
44b6_415c0a3a,331,322,322,0,0,0,0,0.0,0,0
44b6_53f95252,70,68,68,0,0,0,0,0.0,0,0
44b6_551a5dba,228,224,224,0,0,0,0,0.0,0,0
44b6_5740d24b,173,170,170,0,0,0,0,0.0,0,0
44b6_587a1e22,381,371,371,0,0,1,2,0.0054,0,1
44b6_5f15d135,278,273,273,0,0,1,2,0.0073,0,1
44b6_668e0cc7,643,631,631,0,0,0,0,0.0,0,0
44b6_66f9292d,200,198,198,0,0,0,0,0.0,0,0
44b6_706092f0,118,117,117,0,0,1,2,0.0171,0,1
44b6_71a4179f,121,119,119,0,0,0,0,0.0,0,0
44b6_74d0c52e,140,139,139,0,0,1,2,0.0144,0,2
44b6_7a302da0,516,507,507,0,0,1,2,0.0039,0,2
44b6_7e557709,570,560,560,0,0,0,0,0.0,0,0
44b6_808952d6,181,179,179,0,0,0,0,0.0,0,0
44b6_81c256f0,199,197,197,0,0,0,0,0.0,0,0
44b6_87bba6c4,153,149,149,0,0,0,0,0.0,0,0
44b6_8cc6506c,400,396,396,0,0,0,0,0.0,0,0
44b6_8f5ab931,616,604,604,0,0,0,0,0.0,0,0
44b6_8f9ecab4,374,370,370,0,0,0,0,0.0,0,0
44b6_90724892,105,103,103,0,0,0,0,0.0,0,0
44b6_949adeb1,388,378,378,0,0,0,0,0.0,0,0
44b6_95029e92,200,198,198,0,0,0,0,0.0,0,0
44b6_97725144,225,221,221,0,0,0,0,0.0,0,0
44b6_996155de,380,377,377,0,0,1,2,0.0053,0,1
44b6_9be80b04,222,220,220,0,0,1,2,0.0091,0,1
44b6_9bfa6a0a,264,259,259,0,0,0,0,0.0,0,0
44b6_a21120c2,296,286,286,0,0,2,4,0.014,0,2
44b6_a2bb48bb,416,410,410,0,0,0,0,0.0,0,0
44b6_aaf8b0ea,209,206,206,0,0,1,2,0.0097,0,1
44b6_abf82518,96,94,94,0,0,0,0,0.0,0,0
44b6_b2c44266,170,168,168,0,0,0,0,0.0,0,0
44b6_c15fded2,104,102,102,0,0,0,0,0.0,0,0
44b6_c50204e0,333,325,325,0,0,2,4,0.0123,0,3
44b6_c771cb04,227,223,223,0,0,0,0,0.0,0,0
44b6_c8e2a523,168,164,164,0,0,1,2,0.0122,0,2
44b6_c96cfa10,629,616,616,0,0,0,0,0.0,0,0
