dataset,optimal_threshold,opt_pe_ratio,opt_recall,opt_score
44b6_0113de3b,0.002,0.9637,0.92,0.92
44b6_0b24845f,0.002,0.9875,0.4082,0.4082
44b6_0c582fdc,0.002,0.9736,0.7143,0.7143
44b6_0db75fae,0.005,0.8689,0.7881,0.7881
44b6_12dfb391,0.001,0.9776,0.7141,0.7141
44b6_144b256d,0.001,0.9422,0.7647,0.7647
44b6_1574802b,0.002,0.9691,0.8366,0.8366
44b6_18ced818,0.001,0.9387,0.6566,0.6566
44b6_1d530831,0.002,0.9565,0.69,0.69
44b6_24264f12,0.002,0.9557,0.7692,0.7692
44b6_267148e4,0.005,0.8845,0.4043,0.4043
44b6_2a2eff9f,0.001,0.9254,0.7381,0.7381
44b6_2f31fc2f,0.001,0.965,0.4353,0.4353
44b6_33b596bf,0.002,0.9545,0.7755,0.7755
44b6_341df25f,0.005,0.9731,0.9187,0.9187
44b6_3a861e03,0.002,0.9084,0.7051,0.7051
44b6_3bb3690f,0.002,0.9017,0.4621,0.4621
44b6_40c45f5a,0.005,0.8507,0.702,0.702
44b6_415c0a3a,0.001,0.9309,0.6366,0.6366
44b6_53f95252,0.002,0.9285,0.7941,0.7941
44b6_551a5dba,0.002,0.8505,0.3036,0.3036
44b6_5740d24b,0.0002,0.9039,0.9176,0.9176
44b6_587a1e22,0.002,0.9598,0.7574,0.7574
44b6_5f15d135,0.005,0.8322,0.4725,0.4725
44b6_668e0cc7,0.0005,0.9797,0.8336,0.8336
44b6_66f9292d,0.001,0.9656,0.5707,0.5707
44b6_706092f0,0.002,0.7655,0.4957,0.4957
44b6_71a4179f,0.001,0.9686,0.6891,0.6891
44b6_74d0c52e,0.0002,0.9631,0.6547,0.6547
44b6_7a302da0,0.002,0.9118,0.5976,0.5976
44b6_7e557709,0.001,0.9893,0.7768,0.7768
44b6_808952d6,0.005,0.9609,1.0,1.0
44b6_81c256f0,0.01,0.9575,0.9949,0.9949
44b6_87bba6c4,0.002,0.9539,0.4765,0.4765
44b6_8cc6506c,0.002,0.9455,0.5455,0.5455
44b6_8f5ab931,0.002,0.9519,0.702,0.702
