dataset,is_true_edge,distance_um,forward_rank,reverse_rank,is_mutual_first,target_competition_count
6bba_6feb10f0,False,6.942003043070494,1,1,1,1
6bba_6feb10f0,False,5.025034981221523,1,1,1,1
6bba_6feb10f0,False,6.90625,2,1,0,1
6bba_6feb10f0,False,3.7454399357752353,1,1,1,1
6bba_6feb10f0,False,4.0010984819796676,1,1,1,1
6bba_6feb10f0,False,4.908737426772795,1,1,1,2
6bba_6feb10f0,False,4.942244555867304,1,1,1,1
6bba_6feb10f0,False,3.374565944310468,1,1,1,1
6bba_6feb10f0,False,1.1490485194281397,1,1,1,1
6bba_6feb10f0,False,6.107276653713994,2,2,0,2
6bba_6feb10f0,False,5.998209368219819,1,1,1,1
6bba_6feb10f0,False,6.942003043070494,1,1,1,1
6bba_6feb10f0,False,3.494694639736067,1,1,1,1
6bba_6feb10f0,True,6.512682938889317,1,1,1,1
6bba_6feb10f0,False,0.9084026158592896,1,1,1,1
6bba_6feb10f0,False,2.0714766773970688,1,1,1,1
6bba_6feb10f0,False,5.420051026051323,2,2,0,2
6bba_6feb10f0,False,4.318496736423452,1,1,1,1
6bba_6feb10f0,False,1.9902104160113323,1,1,1,1
6bba_6feb10f0,False,3.040096626753827,2,1,0,1
6bba_6feb10f0,False,1.284675299443404,1,1,1,1
6bba_6feb10f0,False,6.662995408410545,3,1,0,1
6bba_6feb10f0,False,2.2980970388562794,1,1,1,1
6bba_6feb10f0,False,3.494694639736067,1,1,1,1
6bba_6feb10f0,False,3.2752922102462856,1,1,1,2
6bba_6feb10f0,False,1.6750116604071745,1,1,1,1
6bba_6feb10f0,False,6.512682938889317,2,2,0,2
6bba_6feb10f0,False,5.025034981221523,1,1,1,2
6bba_6feb10f0,False,1.625,1,1,1,1
6bba_6feb10f0,False,3.2752922102462856,1,1,1,2
6bba_6feb10f0,False,2.6012692214570947,1,1,1,1
6bba_6feb10f0,False,2.0714766773970688,1,1,1,1
6bba_6feb10f0,False,5.008586377412294,1,1,1,1
6bba_6feb10f0,False,3.9804208320226646,1,1,1,1
6bba_6feb10f0,False,0.0,1,1,1,1
6bba_6feb10f0,False,2.9575446425202108,1,1,1,1
6bba_6feb10f0,False,4.942244555867304,1,1,1,1
6bba_6feb10f0,False,1.6750116604071745,1,1,1,1
6bba_6feb10f0,False,3.494694639736067,1,1,1,1
6bba_6feb10f0,False,5.58501412822743,1,1,1,1
6bba_6feb10f0,False,6.90625,1,1,1,1
6bba_6feb10f0,False,6.894291116568838,1,2,0,2
6bba_6feb10f0,False,3.374565944310468,1,1,1,1
6bba_6feb10f0,False,1.86167137607581,1,1,1,1
6bba_6feb10f0,False,6.712351604504937,1,1,1,2
6bba_6feb10f0,False,2.471122277933652,1,1,1,1
6bba_6feb10f0,False,5.28125,1,1,1,1
6bba_6feb10f0,False,0.8125,1,1,1,1
6bba_6feb10f0,True,3.2752922102462856,1,1,1,1
6bba_6feb10f0,False,1.625,1,1,1,1
