max_r,n_cand,n_pred,tp,recall,pe,penalty,score,time,dataset,is_fast
5.0,9692,8694,18,0.36,0.6703678001387925,1.0,0.36,0.41022348403930664,44b6_e29f0176,True
6.0,12063,10073,19,0.38,0.7766982805150744,1.0,0.38,0.37203168869018555,44b6_e29f0176,True
7.0,14467,10779,20,0.4,0.8311357853342586,1.0,0.4,0.4884531497955322,44b6_e29f0176,True
8.0,17289,11123,22,0.44,0.8576605752178271,1.0,0.44,0.3999660015106201,44b6_e29f0176,True
9.0,21376,11332,21,0.42,0.8737759272110417,1.0,0.42,0.551438570022583,44b6_e29f0176,True
10.0,26225,11450,21,0.42,0.8828745469966844,1.0,0.42,0.4209160804748535,44b6_e29f0176,True
5.0,18366,15838,33,0.5409836065573771,0.8489493996569468,1.0,0.5409836065573771,0.5225422382354736,44b6_f28707c6,True
6.0,20961,16851,35,0.5737704918032787,0.9032482847341338,1.0,0.5737704918032787,0.5672972202301025,44b6_f28707c6,True
7.0,24247,17273,36,0.5901639344262295,0.9258683533447685,1.0,0.5901639344262295,0.5641229152679443,44b6_f28707c6,True
8.0,29595,17450,36,0.5901639344262295,0.9353559176672385,1.0,0.5901639344262295,0.6447415351867676,44b6_f28707c6,True
9.0,38041,17439,36,0.5901639344262295,0.9347662950257289,1.0,0.5901639344262295,0.6426730155944824,44b6_f28707c6,True
10.0,49390,17366,35,0.5737704918032787,0.9308533447684391,1.0,0.5737704918032787,0.6386198997497559,44b6_f28707c6,True
5.0,14940,13433,87,0.46774193548387094,0.6612680909717437,1.0,0.46774193548387094,0.5006492137908936,44b6_e57ff5c6,True
6.0,18397,15317,96,0.5161290322580645,0.7540120114206951,1.0,0.5161290322580645,0.5748467445373535,44b6_e57ff5c6,True
7.0,22402,16401,102,0.5483870967741935,0.8073742246726395,1.0,0.5483870967741935,0.6464359760284424,44b6_e57ff5c6,True
8.0,27341,16964,106,0.5698924731182796,0.8350891011125332,1.0,0.5698924731182796,0.6361777782440186,44b6_e57ff5c6,True
9.0,34462,17367,105,0.5645161290322581,0.8549276361130255,1.0,0.5645161290322581,0.6489262580871582,44b6_e57ff5c6,True
10.0,43245,17600,104,0.5591397849462365,0.8663975583341538,1.0,0.5591397849462365,0.833388090133667,44b6_e57ff5c6,True
5.0,10437,8044,357,0.5417298937784522,0.5893040293040293,1.0,0.5417298937784522,0.552903413772583,6bba_0c7fa718,True
6.0,14561,9866,409,0.6206373292867982,0.7227838827838828,1.0,0.6206373292867982,0.5886924266815186,6bba_0c7fa718,True
7.0,19220,10799,426,0.6464339908952959,0.7911355311355311,1.0,0.6464339908952959,0.66904616355896,6bba_0c7fa718,True
8.0,24503,11138,438,0.6646433990895296,0.8159706959706959,1.0,0.6646433990895296,0.8486289978027344,6bba_0c7fa718,True
9.0,31406,11286,442,0.6707132018209409,0.8268131868131868,1.0,0.6707132018209409,0.8326494693756104,6bba_0c7fa718,True
10.0,39618,11377,439,0.6661608497723824,0.8334798534798534,1.0,0.6661608497723824,0.7563450336456299,6bba_0c7fa718,True
5.0,24396,21463,75,0.5033557046979866,0.7637534695039498,1.0,0.5033557046979866,1.0323560237884521,44b6_87bba6c4,True
6.0,29531,23784,81,0.5436241610738255,0.846345455839442,1.0,0.5436241610738255,1.0503640174865723,44b6_87bba6c4,True
7.0,35793,24964,83,0.5570469798657718,0.8883353497971674,1.0,0.5570469798657718,1.1758480072021484,44b6_87bba6c4,True
8.0,44702,25534,86,0.5771812080536913,0.9086186036581027,1.0,0.5771812080536913,1.3284063339233398,44b6_87bba6c4,True
9.0,58799,25999,84,0.5637583892617449,0.9251654686499181,1.0,0.5637583892617449,1.3184072971343994,44b6_87bba6c4,True
10.0,76200,26330,83,0.5570469798657718,0.9369439897516191,1.0,0.5570469798657718,1.3242378234863281,44b6_87bba6c4,True
5.0,97307,57969,90,0.7563025210084033,0.8564147263916795,1.0,0.7563025210084033,4.659383058547974,44b6_71a4179f,False
6.0,120686,56837,86,0.7226890756302521,0.839690934877674,1.0,0.7226890756302521,5.308598041534424,44b6_71a4179f,False
7.0,157921,55059,84,0.7058823529411765,0.8134233542134499,1.0,0.7058823529411765,5.448742389678955,44b6_71a4179f,False
