method,dataset,raw_nodes,edges,filtered_nodes,est_nodes,pe_ratio,tp_edges,gt_edges,edge_recall,penalty_factor,expected_score,elapsed_sec
4dmahalanobis,44b6_0113de3b,34247,27407,32661,25755,1.2681421083284798,31,50,0.62,0.973185789167152,0.6033751892836342,0.5174531936645508
4dmahalanobis,44b6_0b24845f,39552,29174,35815,32795,1.092087208415917,25,49,0.5102040816326531,0.9907912791584083,0.5055057546726572,0.5789806842803955
4dmahalanobis,44b6_74d0c52e,16787,13214,15534,15090,1.0294234592445328,98,139,0.7050359712230215,0.9970576540755467,0.7029615115065005,0.22780179977416992
4dmahalanobis,6bba_05b6850b,9548,7962,9103,6362,1.4308393586922352,596,845,0.7053254437869823,0.9569160641307765,0.6749372475999322,0.18023061752319336
4dmahalanobis,6bba_085bf656,10749,8851,10267,8463,1.2131631809051164,769,1168,0.6583904109589042,0.9786836819094884,0.6443559515311615,0.18654441833496094
lgbm_th_0.005,44b6_0113de3b,34247,8480,13447,25755,0.5221122112211221,47,50,0.94,1.0,0.94,0.9492692947387695
lgbm_th_0.005,44b6_0b24845f,39552,12496,18227,32795,0.5557859429791127,27,49,0.5510204081632653,1.0,0.5510204081632653,1.055687665939331
lgbm_th_0.005,44b6_74d0c52e,16787,6534,9095,15090,0.6027170311464546,102,139,0.7338129496402878,1.0,0.7338129496402878,0.530634880065918
lgbm_th_0.005,6bba_05b6850b,9548,6274,7488,6362,1.1769883684375981,668,845,0.7905325443786982,0.9823011631562402,0.7765410378560573,0.4492664337158203
lgbm_th_0.005,6bba_085bf656,10749,8129,9008,8463,1.064397967623774,896,1168,0.7671232876712328,0.9935602032376226,0.7621831696069433,0.6458632946014404
lgbm_th_0.010,44b6_0113de3b,34247,3703,6297,25755,0.24449621432731508,45,50,0.9,1.0,0.9,0.9457674026489258
lgbm_th_0.010,44b6_0b24845f,39552,6340,10313,32795,0.3144686690044214,25,49,0.5102040816326531,1.0,0.5102040816326531,1.1152217388153076
lgbm_th_0.010,44b6_74d0c52e,16787,3890,6014,15090,0.3985420808482439,94,139,0.6762589928057554,1.0,0.6762589928057554,0.5187702178955078
lgbm_th_0.010,6bba_05b6850b,9548,5478,6679,6362,1.0498270983967306,669,845,0.7917159763313609,0.9950172901603269,0.7877710853458683,0.47339391708374023
lgbm_th_0.010,6bba_085bf656,10749,7531,8578,8463,1.0135885619756588,897,1168,0.7679794520547946,0.9986411438024341,0.7669358784167666,0.5329113006591797
lgbm_th_0.020,44b6_0113de3b,34247,1259,2217,25755,0.08608037274315666,35,50,0.7,1.0,0.7,1.0395724773406982
lgbm_th_0.020,44b6_0b24845f,39552,2775,4915,32795,0.14987040707424912,19,49,0.3877551020408163,1.0,0.3877551020408163,1.4548988342285156
lgbm_th_0.020,44b6_74d0c52e,16787,1947,3281,15090,0.217428760768721,72,139,0.5179856115107914,1.0,0.5179856115107914,0.6866507530212402
lgbm_th_0.020,6bba_05b6850b,9548,4540,5723,6362,0.8995598868280414,665,845,0.7869822485207101,1.0,0.7869822485207101,0.5711650848388672
lgbm_th_0.020,6bba_085bf656,10749,6387,7791,8463,0.9205955334987593,893,1168,0.764554794520548,1.0,0.764554794520548,0.668748140335083
lgbm_th_0.030,44b6_0113de3b,34247,624,1135,25755,0.044069112793632306,30,50,0.6,1.0,0.6,1.3807168006896973
lgbm_th_0.030,44b6_0b24845f,39552,1659,3043,32795,0.09278853483762768,15,49,0.30612244897959184,1.0,0.30612244897959184,1.3749744892120361
lgbm_th_0.030,44b6_74d0c52e,16787,1265,2243,15090,0.1486414844267727,55,139,0.39568345323741005,1.0,0.39568345323741005,0.7067337036132812
lgbm_th_0.030,6bba_05b6850b,9548,3872,5002,6362,0.7862307450487268,662,845,0.7834319526627219,1.0,0.7834319526627219,0.6019902229309082
lgbm_th_0.030,6bba_085bf656,10749,5306,6902,8463,0.815550041356493,876,1168,0.75,1.0,0.75,0.5948472023010254
lgbm_th_0.050,44b6_0113de3b,34247,236,435,25755,0.0168899242865463,20,50,0.4,1.0,0.4,1.3147509098052979
lgbm_th_0.050,44b6_0b24845f,39552,807,1519,32795,0.04631803628601921,13,49,0.2653061224489796,1.0,0.2653061224489796,1.470033884048462
lgbm_th_0.050,44b6_74d0c52e,16787,693,1273,15090,0.08436050364479789,42,139,0.302158273381295,1.0,0.302158273381295,0.7957239151000977
lgbm_th_0.050,6bba_05b6850b,9548,2892,3906,6362,0.6139578748821125,649,845,0.7680473372781065,1.0,0.7680473372781065,0.6711602210998535
lgbm_th_0.050,6bba_085bf656,10749,3682,5132,8463,0.6064043483398323,829,1168,0.7097602739726028,1.0,0.7097602739726028,0.5979170799255371
