dataset,threshold,threshold_single,raw_nodes,filtered_nodes,est_nodes,pe_ratio,in_ideal_pe,pred_edges,tp_edges,gt_edges,edge_recall,penalty,kaggle_score
44b6_0113de3b,0.0002,0.0001,29560,28448,25755,1.1046,False,26295,48,50,0.96,0.8954,0.8596
44b6_0113de3b,0.0005,0.00025,29560,27777,25755,1.0785,False,25240,48,50,0.96,0.9215,0.8846
44b6_0113de3b,0.001,0.0005,29560,26757,25755,1.0389,False,23535,48,50,0.96,0.9611,0.9227
44b6_0113de3b,0.002,0.001,29560,24940,25755,0.9684,True,20768,46,50,0.92,1.0,0.92
44b6_0113de3b,0.005,0.0025,29560,20129,25755,0.7816,False,14775,38,50,0.76,1.0,0.76
44b6_0113de3b,0.01,0.005,29560,14157,25755,0.5497,False,9153,25,50,0.5,1.0,0.5
44b6_0113de3b,0.015,0.0075,29560,10389,25755,0.4034,False,6345,17,50,0.34,1.0,0.34
44b6_0113de3b,0.02,0.01,29560,8029,25755,0.3117,False,4700,13,50,0.26,1.0,0.26
44b6_0113de3b,0.03,0.015,29560,5389,25755,0.2092,False,3052,9,50,0.18,1.0,0.18
44b6_0113de3b,0.05,0.025,29560,3211,25755,0.1247,False,1760,9,50,0.18,1.0,0.18
44b6_12dfb391,0.0002,0.0001,70294,66431,58672,1.1322,False,59973,626,773,0.8098,0.8678,0.7027
44b6_12dfb391,0.0005,0.00025,70294,62980,58672,1.0734,False,54772,596,773,0.771,0.9266,0.7144
44b6_12dfb391,0.001,0.0005,70294,57740,58672,0.9841,True,48054,553,773,0.7154,1.0,0.7154
44b6_12dfb391,0.002,0.001,70294,49886,58672,0.8503,False,38987,476,773,0.6158,1.0,0.6158
44b6_12dfb391,0.005,0.0025,70294,34991,58672,0.5964,False,24467,328,773,0.4243,1.0,0.4243
44b6_12dfb391,0.01,0.005,70294,22881,58672,0.39,False,14857,192,773,0.2484,1.0,0.2484
44b6_12dfb391,0.015,0.0075,70294,16918,58672,0.2883,False,10581,139,773,0.1798,1.0,0.1798
44b6_12dfb391,0.02,0.01,70294,13495,58672,0.23,False,8227,105,773,0.1358,1.0,0.1358
44b6_12dfb391,0.03,0.015,70294,9530,58672,0.1624,False,5567,69,773,0.0893,1.0,0.0893
44b6_12dfb391,0.05,0.025,70294,5509,58672,0.0939,False,3075,36,773,0.0466,1.0,0.0466
