threshold,recall_pos,neg_cut_rate,precision,f1_score,tp,fp,tn,fn
0.001,1.0,0.3244097973286503,0.019945734346844515,0.03911136382097311,1926,94636,45443,0
0.005,1.0,0.6621335103762876,0.03910342307223779,0.07526377491207503,1926,47328,92751,0
0.01,0.9974039460020768,0.7843930924692495,0.05980138841328643,0.1128373814208934,1921,30202,109877,5
0.02,0.9823468328141225,0.8649476366907245,0.09091782796732341,0.16643209007741028,1892,18918,121161,34
0.03,0.9646936656282451,0.8975435290086309,0.11462060456508329,0.20489633877370975,1858,14352,125727,68
0.05,0.9402907580477674,0.9341086101414202,0.16402499773571236,0.27932443896043807,1811,9230,130849,115
0.08,0.8883696780893042,0.9597869773484962,0.232979302832244,0.3691477885652643,1711,5633,134446,215
0.1,0.8556593977154725,0.9689318170460954,0.27466666666666667,0.41584658087307597,1648,4352,135727,278
0.15,0.7767393561786086,0.9808679388059595,0.35823754789272033,0.4903310390036054,1496,2680,137399,430
0.2,0.7107995846313603,0.9867289172538354,0.42410161090458487,0.5312378734963136,1369,1859,138220,557
0.3,0.5602284527518172,0.9939391343456193,0.5596473029045643,0.5599377270368449,1079,849,139230,847
0.4,0.40031152647975077,0.9972444120817539,0.6663785652549697,0.5001621796951021,771,386,139693,1155
0.5,0.2487019730010384,0.9988863427066156,0.7543307086614173,0.37407262787973444,479,156,139923,1447
